m_id,m_nLine,m_nLineA,m_nLen,m_nLenA,m_gametext
10201045,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201046,3,2,20,12,"['ヘルムートの後を追う', '', '', '', '', '', '', '', '', '', '', '']"
10201055,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201056,3,2,20,12,"['ヘルムートの後を追う', '', '', '', '', '', '', '', '', '', '', '']"
10201065,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201066,3,2,20,12,"['ヘルムートの後を追う', '', '', '', '', '', '', '', '', '', '', '']"
10201075,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201076,3,2,20,12,"['様子がおかしい使用人を追う', '', '', '', '', '', '', '', '', '', '', '']"
10201085,3,2,20,12,"['リンユウの待つ家に向かう', '', '', '', '', '', '', '', '', '', '', '']"
10201086,3,2,20,12,"['ヘルムートのことを報告する', '', '', '', '', '', '', '', '', '', '', '']"
10201095,3,2,20,12,"['１階へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10201096,3,2,20,12,"['ヘルムートの様子を見る', '', '', '', '', '', '', '', '', '', '', '']"
10202002,3,2,20,12,"['盲目の夢', '', '', '', '', '', '', '', '', '', '', '']"
10202003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10202004,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10202015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10202025,3,2,20,12,"['研究所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10202026,3,2,20,12,"['ヘルムートの様子を見に向かう', '', '', '', '', '', '', '', '', '', '', '']"
10202035,3,2,20,12,"['ハンニバルの私室へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10202036,3,2,20,12,"['ヘルムートに従い指定の場所へ', '', '', '', '', '', '', '', '', '', '', '']"
10202045,3,2,20,12,"['暖炉の中に入る', '', '', '', '', '', '', '', '', '', '', '']"
10202046,3,2,20,12,"['ハンニバルの私室に潜り込む', '', '', '', '', '', '', '', '', '', '', '']"
10202055,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10202056,3,2,20,12,"['聖火騎士の駐屯地へ向かう', '', '', '', '', '', '', '', '', '', '', '']"
10202065,3,2,20,12,"['ミステルトスへ行く', '', '', '', '', '', '', '', '', '', '', '']"
10202066,3,2,20,12,"['宿屋で疲れを癒す', '', '', '', '', '', '', '', '', '', '', '']"
10202075,3,2,20,12,"['ヘルムートの家へ向かう', '', '', '', '', '', '', '', '', '', '', '']"
10202076,3,2,20,12,"['聖火騎士団のことを伝えに行く', '', '', '', '', '', '', '', '', '', '', '']"
10202085,3,2,20,12,"['コランバインの酒場へ', '', '', '', '', '', '', '', '', '', '', '']"
10202086,3,2,20,12,"['ヘルムートの後を追う', '', '', '', '', '', '', '', '', '', '', '']"
10202095,3,2,20,12,"['雪山へ向かう', '', '', '', '', '', '', '', '', '', '', '']"
10202096,3,2,20,12,"['リンユウらしき人影を探す', '', '', '', '', '', '', '', '', '', '', '']"
10203002,3,2,20,12,"['雷剣将ハンニバル', '', '', '', '', '', '', '', '', '', '', '']"
10203003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203055,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203065,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203075,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10203085,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10300001,3,2,20,12,"['名声を極めし者', '', '', '', '', '', '', '', '', '', '', '']"
10301002,3,2,20,12,"['偉大なる劇作家', '', '', '', '', '', '', '', '', '', '', '']"
10301003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10301004,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10301015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10301025,3,2,20,12,"['劇場へ向かう', '', '', '', '', '', '', '', '', '', '', '']"
10301026,3,2,20,12,"['話題の劇場の様子を見に行く', '', '', '', '', '', '', '', '', '', '', '']"
10301035,3,2,20,12,"['プルートゥを追う', '', '', '', '', '', '', '', '', '', '', '']"
10301036,3,2,20,12,"['頼まれたサインをもらいに行く', '', '', '', '', '', '', '', '', '', '', '']"
10301045,3,2,20,12,"['プルートゥを追う', '', '', '', '', '', '', '', '', '', '', '']"
10301046,3,2,20,12,"['シュワルツと共に様子を見に行く', '', '', '', '', '', '', '', '', '', '', '']"
10301055,3,2,20,12,"['プルートゥを追う', '', '', '', '', '', '', '', '', '', '', '']"
10301056,3,2,20,12,"['プルートゥと“題材”を探す', '', '', '', '', '', '', '', '', '', '', '']"
10301065,3,2,20,12,"['プルートゥを追う', '', '', '', '', '', '', '', '', '', '', '']"
10301066,3,2,20,12,"['プルートゥを探し最奥へ', '', '', '', '', '', '', '', '', '', '', '']"
10302002,3,2,20,12,"['悲劇の題材', '', '', '', '', '', '', '', '', '', '', '']"
10302003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10302004,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10302015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10302025,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10302026,3,2,20,12,"['プルートゥを探しに別荘へ向かう', '', '', '', '', '', '', '', '', '', '', '']"
10302035,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10302036,3,2,20,12,"['フランセスカとの再会', '', '', '', '', '', '', '', '', '', '', '']"
10302045,3,2,20,12,"['離れの小屋へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10302046,3,2,20,12,"['別荘に入るための鍵を探す', '', '', '', '', '', '', '', '', '', '', '']"
10302055,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10302056,3,2,20,12,"['別荘の中へ入る', '', '', '', '', '', '', '', '', '', '', '']"
10302065,3,2,20,12,"['地図に示された場所へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10302066,3,2,20,12,"['プルートゥを探しに別荘の奥へ', '', '', '', '', '', '', '', '', '', '', '']"
10302075,3,2,20,12,"['別荘の最奥へ行く', '', '', '', '', '', '', '', '', '', '', '']"
10302076,3,2,20,12,"['ミハエルとプルートゥを探す', '', '', '', '', '', '', '', '', '', '', '']"
10303002,3,2,20,12,"['盗公子プルートゥ', '', '', '', '', '', '', '', '', '', '', '']"
10303003,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10303015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10303025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10303035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10303045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10303055,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
10400001,3,2,20,12,"['Epilogue', '', '', '', '', '', '', '', '', '', '', '']"
10400002,3,2,20,12,"['指輪の封印', '', '', '', '', '', '', '', '', '', '', '']"
10401001,3,2,20,12,"['全てを極めし者', '', '', '', '', '', '', '', '', '', '', '']"
10401015,3,2,20,12,"['将軍マフレズ', '', '', '', '', '', '', '', '', '', '', '']"
10402025,3,2,20,12,"['王女エリカ', '', '', '', '', '', '', '', '', '', '', '']"
10403035,3,2,20,12,"['旅人シャルル', '', '', '', '', '', '', '', '', '', '', '']"
10404045,3,2,20,12,"['フィロス王', '', '', '', '', '', '', '', '', '', '', '']"
10405055,3,2,20,12,"['剣士エル', '', '', '', '', '', '', '', '', '', '', '']"
10406065,3,2,20,12,"['王女アラウネ', '', '', '', '', '', '', '', '', '', '', '']"
10407075,3,2,20,12,"['リーヴェン王', '', '', '', '', '', '', '', '', '', '', '']"
10408085,3,2,20,12,"['碩学王オディプス', '', '', '', '', '', '', '', '', '', '', '']"
200000000,3,2,20,12,"['no data.', '', '', '', '', '', '', '', '', '', '', '']"
200101011,3,2,20,12,"['ソフィア', '', '', '', '', '', '', '', '', '', '', '']"
200101012,3,2,20,12,"['危険に目もくれず', '', '', '', '', '', '', '', '', '', '', '']"
200101013,3,2,20,12,"['～トラベラーストーリー[名声]～\nソフィアは、珍しい植物を探しに\n【コランバイン】にやってきた。\n調査に夢中になるあまり、自分の状況も\n把握できていないようだが……？', '', '', '', '', '', '', '', '', '', '', '']"
200101014,3,2,20,12,"['【仮】ソフィア 1章受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200101015,3,2,20,12,"['ソフィアを酒場へ', '', '', '', '', '', '', '', '', '', '', '']"
200101016,3,2,20,12,"['凍えたソフィアに温かい物を与えよう', '', '', '', '', '', '', '', '', '', '', '']"
200101025,3,2,20,12,"['珍しい樹木を見に森へ', '', '', '', '', '', '', '', '', '', '', '']"
200101026,3,2,20,12,"['珍しい樹木が見れる場所へ行こう', '', '', '', '', '', '', '', '', '', '', '']"
200102011,3,2,20,12,"['ソフィア', '', '', '', '', '', '', '', '', '', '', '']"
200102012,3,2,20,12,"['不思議な苔', '', '', '', '', '', '', '', '', '', '', '']"
200102013,3,2,20,12,"['～トラベラーストーリー[名声]～\n植物の調査に夢中になって\n魔物に襲われたソフィア。\n今度は、洞窟の生き物から採れる\n不思議な苔に興味を示しているようだ。', '', '', '', '', '', '', '', '', '', '', '']"
200102014,3,2,20,12,"['【仮】ソフィア 2章受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200102015,3,2,20,12,"['ソフィアを追おう', '', '', '', '', '', '', '', '', '', '', '']"
200102016,3,2,20,12,"['洞窟に向かったソフィアを追いかけよう', '', '', '', '', '', '', '', '', '', '', '']"
200102025,3,2,20,12,"['村に戻って研究を', '', '', '', '', '', '', '', '', '', '', '']"
200102026,3,2,20,12,"['村に戻って苔の研究をしよう', '', '', '', '', '', '', '', '', '', '', '']"
200103011,3,2,20,12,"['ソフィア', '', '', '', '', '', '', '', '', '', '', '']"
200103012,3,2,20,12,"['幻の花', '', '', '', '', '', '', '', '', '', '', '']"
200103013,3,2,20,12,"['～トラベラーストーリー[名声]～\n【ドウクツコケガメ】の苔の培養を\n成功させたソフィア。\n彼女は、叶えたい夢のため、雪山への\n決死の探索行に臨もうとしていた――', '', '', '', '', '', '', '', '', '', '', '']"
200103014,3,2,20,12,"['【仮】ソフィア 3章受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200103015,3,2,20,12,"['極寒の山頂へ行こう', '', '', '', '', '', '', '', '', '', '', '']"
200103016,3,2,20,12,"['極寒の山頂に見たいものがあるらしい', '', '', '', '', '', '', '', '', '', '', '']"
200104011,3,2,20,12,"['ソフィア', '', '', '', '', '', '', '', '', '', '', '']"
200104012,3,2,20,12,"['再び花は咲く', '', '', '', '', '', '', '', '', '', '', '']"
200104013,3,2,20,12,"['～トラベラーストーリー[名声]～\n【スノークリスタル】を見るため\nソフィアは雪山を登ったが、\n謎の男たちによって奪われていた。\n彼女は手がかりを求め町へ向かう。', '', '', '', '', '', '', '', '', '', '', '']"
200104014,3,2,20,12,"['【仮】ソフィア 4章受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200104015,3,2,20,12,"['村を見て回ろう', '', '', '', '', '', '', '', '', '', '', '']"
200104016,3,2,20,12,"['怪しいよそ者が居ないか村を見て回ろう', '', '', '', '', '', '', '', '', '', '', '']"
200104025,3,2,20,12,"['倉庫へ行こう', '', '', '', '', '', '', '', '', '', '', '']"
200104026,3,2,20,12,"['花が保管されている倉庫へ行こう', '', '', '', '', '', '', '', '', '', '', '']"
200104035,3,2,20,12,"['山頂へ行こう', '', '', '', '', '', '', '', '', '', '', '']"
200104036,3,2,20,12,"['枯れてしまった花を元の場所へ戻そう', '', '', '', '', '', '', '', '', '', '', '']"
200201011,3,2,20,12,"['フィオル', '', '', '', '', '', '', '', '', '', '', '']"
200201012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201013,3,2,20,12,"['【仮】フィオルあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200201014,3,2,20,12,"['【仮】フィオル受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200201015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200201046,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202011,3,2,20,12,"['フィオル', '', '', '', '', '', '', '', '', '', '', '']"
200202012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202013,3,2,20,12,"['【仮】フィオルあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200202014,3,2,20,12,"['【仮】フィオル受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200202015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202046,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202055,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202056,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202065,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202066,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202075,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202076,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202085,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200202086,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203011,3,2,20,12,"['フィオル', '', '', '', '', '', '', '', '', '', '', '']"
200203012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203013,3,2,20,12,"['【仮】フィオルあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200203014,3,2,20,12,"['【仮】フィオル受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200203015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203046,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203055,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200203056,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204011,3,2,20,12,"['フィオル', '', '', '', '', '', '', '', '', '', '', '']"
200204012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204013,3,2,20,12,"['【仮】フィオルあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200204014,3,2,20,12,"['【仮】フィオル受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200204015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204045,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204046,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204055,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204056,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204065,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200204066,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301011,3,2,20,12,"['スケアクロウ', '', '', '', '', '', '', '', '', '', '', '']"
200301012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301013,3,2,20,12,"['【仮】スケアクロウあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200301014,3,2,20,12,"['【仮】スケアクロウ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200301015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200301036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302011,3,2,20,12,"['スケアクロウ', '', '', '', '', '', '', '', '', '', '', '']"
200302012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302013,3,2,20,12,"['【仮】スケアクロウあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200302014,3,2,20,12,"['【仮】スケアクロウ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200302015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200302036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303011,3,2,20,12,"['スケアクロウ', '', '', '', '', '', '', '', '', '', '', '']"
200303012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303013,3,2,20,12,"['【仮】スケアクロウあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200303014,3,2,20,12,"['【仮】スケアクロウ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200303015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200303036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304011,3,2,20,12,"['スケアクロウ', '', '', '', '', '', '', '', '', '', '', '']"
200304012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304013,3,2,20,12,"['【仮】スケアクロウあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200304014,3,2,20,12,"['【仮】スケアクロウ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200304015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304035,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200304036,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200401011,3,2,20,12,"['ギルデロイ', '', '', '', '', '', '', '', '', '', '', '']"
200401012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200401013,3,2,20,12,"['【仮】ギルデロイあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200401014,3,2,20,12,"['【仮】ギルデロイ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200401015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200401016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200401025,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200401026,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200402011,3,2,20,12,"['ギルデロイ', '', '', '', '', '', '', '', '', '', '', '']"
200402012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200402013,3,2,20,12,"['【仮】ギルデロイあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200402014,3,2,20,12,"['【仮】ギルデロイ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200402015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200402016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200403011,3,2,20,12,"['ギルデロイ', '', '', '', '', '', '', '', '', '', '', '']"
200403012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200403013,3,2,20,12,"['【仮】ギルデロイあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200403014,3,2,20,12,"['【仮】ギルデロイ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
200403015,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200403016,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200404011,3,2,20,12,"['ギルデロイ', '', '', '', '', '', '', '', '', '', '', '']"
200404012,3,2,20,12,"['', '', '', '', '', '', '', '', '', '', '', '']"
200404013,3,2,20,12,"['【仮】ギルデロイあらすじ', '', '', '', '', '', '', '', '', '', '', '']"
200404014,3,2,20,12,"['【仮】ギルデロイ受諾前テキスト', '', '', '', '', '', '', '', '', '', '', '']"
