m_id,m_EffectLabel,m_EffectCategory,m_EffectAsset,m_SpawnMax,m_LoopEffect,m_Enemy,m_PossibleReverse,m_Color
12,PC_ICE_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_schIceMagicBst2_A.FxPS_Btl_SchIceMagicBst2_A,4,194,194,194,"[1.0, 1.0, 1.0]"
13,COM_THUNDER_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/Eff_Btl_Com_ThunderL_Single_Shot_A.Eff_Btl_Com_ThunderL_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
14,EFFECT_DAMY_00002,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_SchSP_1.FxPS_Btl_SchSP_1,1,194,194,194,"[1.0, 1.0, 1.0]"
15,EFFECT_DAMY_00003,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Scholar/FxPS_Btl_SchSP_2.FxPS_Btl_SchSP_2,1,194,194,194,"[1.0, 1.0, 1.0]"
16,COM_SINGLE_TUMUZIKAZE,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/hunter/Eff_Btl_Ene_String_Single_Shot_A.Eff_Btl_Ene_String_Single_Shot_A,1,194,194,194,"[1.0, 1.0, 1.0]"
17,COM_SINGLE_KAMINARIOTOSI,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/hunter/FxPS_Btl_HunPtarmigan_A.FxPS_Btl_HunPtarmigan_A,1,194,194,194,"[1.0, 1.0, 1.0]"
18,PC_BOW_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/hunter/Eff_Btl_PC_BowAttack_All_Shot_A.Eff_Btl_PC_BowAttack_All_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
19,EFFECT_DAMY_00004,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/hunter/FxPS_Btl_HunSP_1.FxPS_Btl_HunSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
20,PC_STEAL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_Thisteal_A.FxPS_Btl_ThiSteal_A,0,194,194,194,"[1.0, 1.0, 1.0]"
21,PC_FIRE_SINGLE_ONIBI_S,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiFire1_A.FxPS_Btl_ThiFire1_A,1,194,194,194,"[1.0, 1.0, 1.0]"
22,PC_FIRE_SINGLE_ONIBI_M,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiFire2_A.FxPS_Btl_ThiFire2_A,4,194,194,194,"[1.0, 1.0, 1.0]"
23,PC_SPDRAIN_SINGLE,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/Eff_Btl_PC_HPDrain_Single_Shot_A.Eff_Btl_PC_HPDrain_Single_Shot_A,0,194,194,194,"[1.0, 1.0, 1.0]"
24,COM_SUMMON_BAT,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiBat_A.FxPS_Btl_ThiBat_A,0,194,194,194,"[1.0, 1.0, 1.0]"
25,COM_OWLEYE,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiOwl_A.FxPS_Btl_ThiOwl_A,0,194,194,194,"[1.0, 1.0, 1.0]"
26,PC_HPDRAIN_SINGLE,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/Eff_Btl_PC_SPDrain_Single_Shot_A.Eff_Btl_PC_SPDrain_Single_Shot_A,0,194,194,194,"[1.0, 1.0, 1.0]"
27,EFFECT_DAMY_00005,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiMPpasser_A.FxPS_Btl_ThiMPpasser_A,0,194,194,194,"[1.0, 1.0, 1.0]"
28,EFFECT_DAMY_00006,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiSP_1.FxPS_Btl_ThiSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
29,EFFECT_DAMY_00007,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Thief/FxPS_Btl_ThiSP_2.FxPS_Btl_ThiSP_2,0,194,194,194,"[1.0, 1.0, 1.0]"
30,PC_ICE_SINGLE_S,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/FxPS_Btl_HBIcicle_A.FxPS_Btl_HBIcicle_A,4,194,194,194,"[1.0, 1.0, 1.0]"
31,COM_ESUNA,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/Eff_Blt_Com_StateRecovery_Single_Shot_A.Eff_Blt_Com_StateRecovery_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
32,COM_HIT_POISEN2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/FxPS_Btl_HBPoisonAttack_A.FxPS_Btl_HBPoisonAttack_A,16,194,194,194,"[1.0, 1.0, 1.0]"
33,PC_AXE_SINGLE_M,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/Eff_Btl_PC_AxeM_Single_Shot_A.Eff_Btl_PC_AxeM_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
34,PC_AXE_SINGLE_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/Eff_Btl_PC_AxeL_Single_Shot_A.Eff_Btl_PC_AxeL_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
35,EFFECT_DAMY_00008,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/FxPS_Btl_MercSP_1.FxPS_Btl_MercSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
36,EFFECT_DAMY_00009,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/FxPS_Btl_MercSP_2.FxPS_Btl_MercSP_2,0,194,194,194,"[1.0, 1.0, 1.0]"
37,COM_HPRECOVERY_SINGLE_S2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Parameter/Eff_Blt_Com_RecoveryS_Single_Shot_A.Eff_Blt_Com_RecoveryS_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
38,COM_HPRECOVERY_SINGLE_M,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/Eff_Btl_PC_HolyLightL_All_Shot_A.Eff_Btl_PC_HolyLightL_All_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
39,COM_BLUE_SPIRAL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/FxPS_Btl_PriProtectionVeil_b.FxPS_Btl_PriProtectionVeil_B,0,194,194,194,"[1.0, 1.0, 1.0]"
40,COM_YELLOW_SPIRAL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/FxPS_Btl_PriLightMagicBst0_A.FxPS_Btl_PriLightMagicBst0_A,4,194,194,194,"[1.0, 1.0, 1.0]"
41,COM_ALL_HPRECOVERY,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Parameter/Eff_Blt_Com_RecoveryM_Single_Shot_A.Eff_Blt_Com_RecoveryM_Single_Shot_A,1,194,194,194,"[1.0, 1.0, 1.0]"
42,COM_SINGLE_REBORN,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/FxPS_Btl_PriRecovery_C.FxPS_Btl_PriRecovery_C,4,194,194,194,"[1.0, 1.0, 1.0]"
43,EFFECT_DAMY_00010,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/FxPS_Btl_PriSP_A.FxPS_Btl_PriSP_A,1,194,194,194,"[1.0, 1.0, 1.0]"
44,EFFECT_DAMY_00011,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/priest/FxPS_Btl_PriSP_A2.FxPS_Btl_PriSP_A2,4,194,194,194,"[1.0, 1.0, 1.0]"
45,COM_BUFF_DANCER_ATK,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanBuffPower_A.FxPS_Btl_DanBuffPower_A,4,194,194,194,"[1.0, 1.0, 1.0]"
46,COM_HIT_DARKNESS2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanDarkness_A.FxPS_Btl_DanDarkness_A,8,194,194,194,"[1.0, 1.0, 1.0]"
47,COM_DANCER_ARIA,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/Eff_Blt_Com_DanceAria_Single_Shot_A.Eff_Blt_Com_DanceAria_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
48,COM_BUFF_DANCER_DEFF_ARIA,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanBuffDefense_A.FxPS_Btl_DanBuffDefense_A,4,194,194,194,"[1.0, 1.0, 1.0]"
49,COM_DARK_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Eff_Blt_PC_DarkL_All_Shot_A.Eff_Blt_PC_DarkL_All_Shot_A,8,194,194,194,"[1.0, 1.0, 1.0]"
50,0,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanBuffSpd_A.FxPS_Btl_DanBuffSpd_A,4,194,194,194,"[1.0, 1.0, 1.0]"
51,COM_BUFF_DANCER_CRITICAL_ARIA,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanBuffMysterious_A.FxPS_Btl_DanBuffMysterious_A,4,194,194,194,"[1.0, 1.0, 1.0]"
52,EFFECT_DAMY_00012,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/FxPS_Btl_KIRAKIRA_A.FxPS_Btl_KIRAKIRA_A,0,194,194,194,"[1.0, 1.0, 1.0]"
53,COM_ALL_ARIA1,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanSP_1.FxPS_Btl_DanSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
54,COM_ALL_ARIA2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Dancer/FxPS_Btl_DanSP_2.FxPS_Btl_DanSP_2,0,194,194,194,"[1.0, 1.0, 1.0]"
55,COM_MONEYTHROW,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/FxPS_Btl_MercMoneyCollection_A.FxPS_Btl_MercMoneyCollection_A,4,194,194,194,"[1.0, 1.0, 1.0]"
56,COM_HIT_REGENE,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/FxPS_Btl_MerRest_A.FxPS_Btl_MerRest_A,4,194,194,194,"[1.0, 1.0, 1.0]"
57,PC_WIND_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/Eff_Blt_PCWindL_All_Shot_A.Eff_Blt_PCWindL_All_Shot_A,4,194,195,195,"[1.0, 1.0, 1.0]"
58,COM_BPPASSER,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/FxPS_Btl_MercBPpasser_A.FxPS_Btl_MercBPpasser_A,4,194,194,194,"[1.0, 1.0, 1.0]"
59,COM_SMOKE_S,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Merchant/FxPS_Btl_Smoke_A.FxPS_Btl_Smoke_A,4,194,194,194,"[1.0, 1.0, 1.0]"
60,COM_SMOKE_M,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Enemy/FxPS_Btl_SmokeM_A.FxPS_Btl_SmokeM_A,4,194,194,194,"[1.0, 1.0, 1.0]"
61,COM_SMOKE_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Enemy/FxPS_Btl_SmokeL_A.FxPS_Btl_SmokeL_A,4,194,194,194,"[1.0, 1.0, 1.0]"
62,EFFECT_DAMY_00013,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/FxPS_Btl_HBSP_1.FxPS_Btl_HBSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
63,EFFECT_DAMY_00014,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/HealingBuddha/FxPS_Btl_HBSP_2.FxPS_Btl_HBSP_2,0,194,194,194,"[1.0, 1.0, 1.0]"
64,PC_SPEAR_S2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/MONK/FxPS_Btl_MoSpear_A.FxPS_Btl_MoSpear_A,4,194,194,194,"[1.0, 1.0, 1.0]"
65,PC_PHENIX,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/MONK/FxPS_Btl_MoBow_A.FxPS_Btl_MoBow_A,4,194,194,194,"[1.0, 1.0, 1.0]"
66,EFFECT_DAMY_00015,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/MONK/FxPS_Btl_MoSP_1.FxPS_Btl_MoSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
67,EFFECT_DAMY_00016,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/MONK/FxPS_Btl_MoSP_SWORD.FxPS_Btl_MoSP_SWORD,0,194,194,194,"[1.0, 1.0, 1.0]"
68,PC_SINGLE_ARROW,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/MONK/FxPS_Btl_MoSP_BOW.FxPS_Btl_MoSP_BOW,4,194,194,194,"[1.0, 1.0, 1.0]"
69,PC_SINGLE_AXEDUST,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/MONK/FxPS_Btl_MoSP_AXE.FxPS_Btl_MoSP_AXE,4,194,194,194,"[1.0, 1.0, 1.0]"
70,PC_FIRE_ALL_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Blt_PC_FireXL_All_Shot_C1.Eff_Blt_PC_FireXL_All_Shot_C1,4,194,194,194,"[1.0, 1.0, 1.0]"
71,PC_ICE_ALL_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Blt_PC_IceXL_All_Shot_A2.Eff_Blt_PC_IceXL_All_Shot_A2,4,194,195,195,"[1.0, 1.0, 1.0]"
72,PC_THUNDER_ALL_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Btl_PC_ThunderXL_Single_Shot_A.Eff_Btl_PC_ThunderXL_Single_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
73,PC_WIND_ALL_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Blt_PC_WindXL_All_Shot_A.Eff_Blt_PC_WindXL_All_Shot_A,4,194,195,195,"[1.0, 1.0, 1.0]"
74,PC_LIGHT_ALL_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Btl_PC_HolyLightXL_All_Shot_A.Eff_Btl_PC_HolyLightXL_All_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
75,PC_DARK_ALL_LL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/Eff_Blt_PC_DarkXL_All_Shot_A.Eff_Blt_PC_DarkXL_All_Shot_A,4,194,194,194,"[1.0, 1.0, 1.0]"
76,COM_LIGHT_ALL_STONE_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_SchSP_1.FxPS_Btl_SchSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
77,COM_LIGHT_SINGLE_L2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/Magician/FxPS_Btl_SchSP_2.FxPS_Btl_SchSP_2,1,194,194,194,"[1.0, 1.0, 1.0]"
78,PC_METEOSTRIKE_NORMAL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorNormal_A.FxPS_Btl_StarMeteorNormal_A,1,194,194,194,"[1.0, 1.0, 1.0]"
79,PC_METEOSTRIKE_WIND,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorWind_A.FxPS_Btl_StarMeteorWind_A,1,194,194,194,"[1.0, 1.0, 1.0]"
80,PC_METEOSTRIKE_LIGHT,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorLight_A.FxPS_Btl_StarMeteorLight_A,4,194,194,194,"[1.0, 1.0, 1.0]"
81,PC_METEOSTRIKE_DARK,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorDark_A.FxPS_Btl_StarMeteorDark_A,1,194,194,194,"[1.0, 1.0, 1.0]"
82,PC_METEOSTRIKE_NORMAL2,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorNormal_A.FxPS_Btl_StarMeteorNormal_A,1,194,194,194,"[1.0, 1.0, 1.0]"
83,ENEMY_METEOSTRIKE_WIND,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorWind_A.FxPS_Btl_StarMeteorWind_A,1,194,195,195,"[1.0, 1.0, 1.0]"
84,ENEMY_METEOSTRIKE_LIGHT,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorLight_A.FxPS_Btl_StarMeteorLight_A,1,194,195,195,"[1.0, 1.0, 1.0]"
85,ENEMY_METEOSTRIKE_DARK,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorDark_A.FxPS_Btl_StarMeteorDark_A,1,194,195,195,"[1.0, 1.0, 1.0]"
86,ENEMY_METEOSTRIKE_NORMAL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMeteorNormal_A.FxPS_Btl_StarMeteorNormal_A,1,194,195,195,"[1.0, 1.0, 1.0]"
87,EFFECT_DAMY_00017,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StBp_A.FxPS_Btl_StBp_A,0,194,194,194,"[1.0, 1.0, 1.0]"
88,EFFECT_DAMY_00018,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StBp_B.FxPS_Btl_StBp_B,0,194,194,194,"[1.0, 1.0, 1.0]"
89,EFFECT_DAMY_00019,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StSatisfaction_A.FxPS_Btl_StSatisfaction_A,0,194,194,194,"[1.0, 1.0, 1.0]"
90,EFFECT_DAMY_00020,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StSatisfaction_B.FxPS_Btl_StSatisfaction_B,0,194,194,194,"[1.0, 1.0, 1.0]"
91,COM_BLUESPIRAL_KIRAKIRA,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StMimicry_A.FxPS_Btl_StMimicry_A,4,194,194,194,"[1.0, 1.0, 1.0]"
92,EFFECT_DAMY_00021,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StarMusic_A.FxPS_Btl_StarMusic_A,0,194,194,194,"[1.0, 1.0, 1.0]"
93,COM_BULEBALL_SCATTER,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_Stmimicry_B.FxPS_Btl_StMimicry_B,4,194,195,195,"[1.0, 1.0, 1.0]"
94,EFFECT_DAMY_00022,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StNegation_A.FxPS_Btl_StNegation_A,0,194,194,194,"[1.0, 1.0, 1.0]"
95,EFFECT_DAMY_00023,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StNegation_B.FxPS_Btl_StNegation_B,0,194,194,194,"[1.0, 1.0, 1.0]"
96,COM_SINGLE_DESPELL,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StDespell_B.FxPS_Btl_StDespell_B,0,194,194,194,"[1.0, 1.0, 1.0]"
97,COM_ALL_HPRECOVERY_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StRecovery_A.FxPS_Btl_StRecovery_A,0,194,194,194,"[1.0, 1.0, 1.0]"
98,EFFECT_DAMY_00024,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StDespell_A.FxPS_Btl_StDespell_A,0,194,194,194,"[1.0, 1.0, 1.0]"
99,EFFECT_DAMY_00025,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StSP_1.FxPS_Btl_StSP_1,0,194,194,194,"[1.0, 1.0, 1.0]"
100,COM_FIRE_ALL_L,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StSP_2A.FxPS_Btl_StSP_2A,0,194,194,194,"[1.0, 1.0, 1.0]"
101,EFFECT_DAMY_00026,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/STAR/FxPS_Btl_StSP_2B.FxPS_Btl_StSP_2B,0,194,194,194,"[1.0, 1.0, 1.0]"
102,COM_BUFF_FIRE_A,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMFireRune_A.FxPS_Btl_RMFireRune_A,4,194,194,194,"[1.0, 1.0, 1.0]"
103,COM_BUFF_ICE_A,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMIceRune_A.FxPS_Btl_RMIceRune_A,4,194,194,194,"[1.0, 1.0, 1.0]"
104,COM_BUFF_THUNDER_A,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMLightningRune_A.FxPS_Btl_RMLightningRune_A,4,194,194,194,"[1.0, 1.0, 1.0]"
105,COM_BUFF_WIND_A,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_WindRune_A.FxPS_Btl_WindRune_A,4,194,194,194,"[1.0, 1.0, 1.0]"
106,COM_BUFF_DARK_A,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMDarkRune_A.FxPS_Btl_RMDarkRune_A,4,194,194,194,"[1.0, 1.0, 1.0]"
107,COM_BUFF_LIGHT_A,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMLightRune_A.FxPS_Btl_RMLightRune_A,4,194,194,194,"[1.0, 1.0, 1.0]"
108,EFFECT_DAMY_00027,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_ReverseRune_A.FxPS_Btl_ReverseRune_A,1,194,195,195,"[1.0, 1.0, 1.0]"
109,EFFECT_DAMY_00028,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMSP_1.FxPS_Btl_RMSP_1,1,194,194,194,"[1.0, 1.0, 1.0]"
110,COM_BUFF_FIRE_B,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMSP_FIRE.FxPS_Btl_RMSP_FIRE,0,194,194,194,"[1.0, 1.0, 1.0]"
111,COM_BUFF_ICE_B,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMSP_ICE.FxPS_Btl_RMSP_ICE,0,194,194,194,"[1.0, 1.0, 1.0]"
112,COM_BUFF_THUNDER_B,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMSP_THUNDER.FxPS_Btl_RMSP_THUNDER,0,194,194,194,"[1.0, 1.0, 1.0]"
113,COM_BUFF_WIND_B,6,/Game/Effect/Resource/V1_0_0/Particles/Btl/Ability/RuneMaster/FxPS_Btl_RMSP_WIND.FxPS_Btl_RMSP_WIND,0,194,194,194,"[1.0, 1.0, 1.0]"
