m_id,m_Category,m_Grade,m_DisplayOrder,m_HideAchieved,m_HideCondAchieved,m_HideAfterAquired,m_OpenCondAchieve,m_OpenCondQuest,m_OpenCondOther,m_Title,m_Description,m_ConditionID,m_AddInfluence,m_RewardType,m_RewardItemId,m_RewardItemNum,m_RewardOption0,m_LimitedTimeId,m_LimitedStartTimestamp,m_LimitedEndTimestamp,m_AfterAchieveLimitNum,m_LimitNumHide
9012,1,1,11004,194,194,194,9011,0,0,120320,120332,95004,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9013,1,1,11005,194,194,194,9012,0,0,120321,120333,95005,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9014,1,1,11006,194,194,194,9013,0,0,120322,120334,95006,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9015,1,1,11007,194,194,194,9014,0,0,120323,120335,95007,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9016,1,1,11008,194,194,194,9015,0,0,120324,120336,95008,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9017,1,1,11009,194,194,194,9016,0,0,120325,120337,95009,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9018,1,1,11010,194,194,194,9017,0,0,120326,120338,95010,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9019,1,2,11011,194,194,194,9018,0,0,120327,120339,95011,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
9020,1,2,11012,194,194,194,9019,0,0,120328,120340,95012,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13034,1,2,11013,194,194,194,9020,0,0,120371,120379,95013,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13035,1,2,11014,194,194,194,13034,0,0,120372,120380,95014,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13036,1,2,11015,194,194,194,13035,0,0,120373,120381,95015,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13037,1,2,11016,194,194,194,13036,0,0,120374,120382,95016,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13038,1,2,11017,194,194,194,13037,0,0,120375,120383,95017,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13039,1,2,11018,194,194,194,13038,0,0,120376,120384,95018,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13040,1,2,11019,194,194,194,13039,0,0,120377,120385,95019,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13041,1,2,11020,194,194,194,13040,0,0,120378,120386,95020,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13349,1,2,11021,194,194,194,13041,0,0,121279,121285,103633,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13350,1,2,11022,194,194,194,13349,0,0,121280,121286,103634,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13351,1,2,11023,194,194,194,13350,0,0,121281,121287,103635,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13352,1,2,11024,194,194,194,13351,0,0,121282,121288,103636,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13353,1,2,11025,194,194,194,13352,0,0,121283,121289,103637,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13354,1,2,11026,194,194,194,13353,0,0,121284,121290,103638,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13461,1,2,11027,194,194,194,13354,0,0,121504,121595,103991,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13462,1,2,11028,194,194,194,13461,0,0,121505,121596,103992,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13463,1,2,11029,194,194,194,13462,0,0,121506,121597,103993,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13464,1,3,11030,194,194,194,13463,0,0,121507,121598,103994,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13465,1,3,11031,194,194,194,13464,0,0,121508,121599,103995,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13466,1,3,11032,194,194,194,13465,0,0,121509,121600,103996,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13467,1,3,11033,194,194,194,13466,0,0,121510,121601,103997,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13468,1,3,11034,194,194,194,13467,0,0,121511,121602,103998,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13469,1,3,11035,194,194,194,13468,0,0,121512,121603,103999,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13470,1,3,11036,194,194,194,13469,0,0,121513,121604,104000,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13471,1,3,11037,194,194,194,13470,0,0,121514,121605,104001,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13472,1,3,11038,194,194,194,13471,0,0,121515,121606,104002,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13473,1,3,11039,194,194,194,13472,0,0,121516,121607,104003,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
13474,1,3,11040,194,194,194,13473,0,0,121517,121608,104004,"[10, 10, 10]","[100, 0, 0, 0]","[0, 0, 0, 0]","[30, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
39,2,1,20001,194,194,194,0,0,0,111289,116290,90039,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
40,2,1,20002,194,194,194,39,0,0,111290,116291,90040,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
41,2,1,20003,194,194,194,40,0,0,111291,116292,90041,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
42,2,1,20004,194,194,194,41,0,0,111292,116293,90042,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
43,2,1,20005,194,194,194,42,0,0,111293,116294,90043,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
44,2,1,20006,194,194,194,43,0,0,111294,116295,90044,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
45,2,1,20007,194,194,194,44,0,0,111295,116296,90045,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
46,2,1,20008,194,194,194,45,0,0,111296,116297,90046,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
47,2,1,20009,194,194,194,46,0,0,111297,116298,90047,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
48,2,1,20010,194,194,194,47,0,0,111298,116299,90048,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
245,2,1,20011,194,194,194,48,0,0,111495,116496,90245,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
246,2,1,20012,194,194,194,245,0,0,111496,116497,90246,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
247,2,1,20013,194,194,194,246,0,0,111497,116498,90247,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
248,2,1,20014,194,194,194,247,0,0,111498,116499,90248,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
249,2,2,20015,194,194,194,248,0,0,111499,116500,90249,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
250,2,2,20016,194,194,194,249,0,0,111500,116501,90250,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
251,2,2,20017,194,194,194,250,0,0,111501,116502,90251,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
252,2,2,20018,194,194,194,251,0,0,111502,116503,90252,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
253,2,3,20019,194,194,194,252,0,0,111503,116504,90253,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
254,2,3,20020,194,194,194,253,0,0,111504,116505,90254,"[0, 10, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
49,2,1,22001,195,194,194,0,0,0,111299,116300,90049,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
50,2,2,22002,195,194,194,0,0,0,111300,116301,90050,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
51,2,1,22003,195,194,194,0,0,0,111301,116302,90051,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
52,2,2,22004,195,194,194,0,0,0,111302,116303,90052,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
53,2,1,22005,195,194,194,0,0,0,111303,116304,90053,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
54,2,2,22006,195,194,194,0,0,0,111304,116305,90054,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
55,2,1,22007,195,194,194,0,0,0,111305,116306,90055,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
56,2,2,22008,195,194,194,0,0,0,111306,116307,90056,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
57,2,1,22009,195,194,194,0,0,0,111307,116308,90057,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
58,2,2,22010,195,194,194,0,0,0,111308,116309,90058,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
460,2,1,22011,195,194,194,0,0,0,111680,116681,90430,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
461,2,2,22012,195,194,194,0,0,0,111681,116682,90431,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
462,2,1,22013,195,194,194,0,0,0,111682,116683,90432,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
463,2,2,22014,195,194,194,0,0,0,111683,116684,90433,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
464,2,1,22015,195,194,194,0,0,0,111684,116685,90434,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
465,2,2,22016,195,194,194,0,0,0,111685,116686,90435,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
466,2,1,22017,195,194,194,0,0,0,111686,116687,90436,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
467,2,2,22018,195,194,194,0,0,0,111687,116688,90437,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
468,2,1,22019,195,194,194,0,0,0,111688,116689,90438,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
469,2,2,22020,195,194,194,0,0,0,111689,116690,90439,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
470,2,1,22021,195,194,194,0,0,0,111690,116691,90440,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
471,2,2,22022,195,194,194,0,0,0,111691,116692,90441,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
472,2,1,22023,195,194,194,0,0,0,111692,116693,90442,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
473,2,2,22024,195,194,194,0,0,0,111693,116694,90443,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
474,2,1,22025,195,194,194,0,0,0,111694,116695,90444,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
475,2,2,22026,195,194,194,0,0,0,111695,116696,90445,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
476,2,1,22027,195,194,194,0,0,0,111696,116697,90446,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
477,2,2,22028,195,194,194,0,0,0,111697,116698,90447,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
478,2,1,22029,195,194,194,0,0,0,111698,116699,90448,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
479,2,2,22030,195,194,194,0,0,0,111699,116700,90449,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
480,2,1,22031,195,194,194,0,0,0,111700,116701,90450,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
481,2,2,22032,195,194,194,0,0,0,111701,116702,90451,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
482,2,1,22033,195,194,194,0,0,0,111702,116703,90452,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
483,2,2,22034,195,194,194,0,0,0,111703,116704,90453,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
484,2,1,22035,195,194,194,0,0,0,111704,116705,90454,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
485,2,2,22036,195,194,194,0,0,0,111705,116706,90455,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
486,2,1,22037,195,194,194,0,0,0,111706,116707,90456,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
487,2,2,22038,195,194,194,0,0,0,111707,116708,90457,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
488,2,1,22039,195,194,194,0,0,0,111708,116709,90458,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
489,2,2,22040,195,194,194,0,0,0,111709,116710,90459,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
490,2,1,22041,195,194,194,0,0,0,111710,116711,90460,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
491,2,2,22042,195,194,194,0,0,0,111711,116712,90461,"[0, 5, 0]","[100, 0, 0, 0]","[0, 0, 0, 0]","[2, 0, 0, 0]","[0, 0, 0, 0]",0,0,0,0,194
