m_id,m_Version,m_Name,m_MapID,m_ReturnMapID,m_ReturnPathActorName,m_ReturnDir,m_Kind,m_PlayBGM,m_SoundCueID,m_Skip,m_MapLoadWait,m_IgnoreCharaGroups,m_ForceObjectId
6231,Boss/B00_01,EvB00_01_06c,77,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
516,Boss/B00_01,EvB00_01_06c_Gacha,2014,0,,0,5,0,"[4000, 0, 0, 0, 0, 0, 0, 0]",0,194,"[0, 0, 0, 0]",0
59,Boss/B01_01,EvB01_01_00a,2010,0,,0,6,0,"[0, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
1,Boss/B01_01,EvB01_01_01a,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
2,Boss/B01_01,EvB01_01_01b,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
3,Boss/B01_01,EvB01_01_01c,2010,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
6250,Boss/B01_01,EvB01_01_01d,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
4,Boss/B01_01,EvB01_01_02a,46,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
6,Boss/B01_01,EvB01_01_03a,46,46,Bar0,2,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
7,Boss/B01_01,EvB01_01_04a,51,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
8,Boss/B01_01,EvB01_01_05a,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
9,Boss/B01_01,EvB01_01_06a,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
11,Boss/B01_01,EvB01_01_07a,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
58,Boss/B01_01,EvB01_01_07b,52,52,Fst_D_2A1_01,3,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
12,Boss/B01_01,EvB01_01_08a,51,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
13,Boss/B01_01,EvB01_01_09a,51,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
14,Boss/B01_01,EvB01_01_10a,51,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
15,Boss/B01_01,EvB01_01_10b,52,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
56,Boss/B01_01,EvB01_01_10c,51,51,Fst_D_1B1_01,3,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
16,Boss/B01_01,EvB01_01_11a,46,0,,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
17,Boss/B01_01,EvB01_01_12a,52,46,Hotel0,0,6,0,"[4001, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
6228,Boss/B01_02,EvB01_02_00a,2010,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
18,Boss/B01_02,EvB01_02_01a,52,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
19,Boss/B01_02,EvB01_02_02a,46,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
20,Boss/B01_02,EvB01_02_02b,46,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
21,Boss/B01_02,EvB01_02_02c,46,46,House4,3,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
23,Boss/B01_02,EvB01_02_03b,56,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
24,Boss/B01_02,EvB01_02_03c,56,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
25,Boss/B01_02,EvB01_02_03d,2008,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
26,Boss/B01_02,EvB01_02_03e,56,56,Bar0,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
27,Boss/B01_02,EvB01_02_04a,64,64,Snw_D_3A1_01,3,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
28,Boss/B01_02,EvB01_02_05a,65,65,Snw_D_3B1_01,2,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
29,Boss/B01_02,EvB01_02_06a,65,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
34,Boss/B01_02,EvB01_02_07a,65,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
35,Boss/B01_02,EvB01_02_08a,65,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
36,Boss/B01_02,EvB01_02_09a,2008,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
37,Boss/B01_02,EvB01_02_10a,52,0,,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
38,Boss/B01_02,EvB01_02_10b,52,46,Hotel0,0,6,0,"[4002, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
39,Boss/B01_03,EvB01_03_01a,2010,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
40,Boss/B01_03,EvB01_03_01b,52,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
6263,Boss/B01_03,EvB01_03_01c,2010,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
41,Boss/B01_03,EvB01_03_02a,46,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
42,Boss/B01_03,EvB01_03_02b,47,47,Fst_T_1B1_01,1,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
43,Boss/B01_03,EvB01_03_03a,47,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
44,Boss/B01_03,EvB01_03_04a,47,47,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
45,Boss/B01_03,EvB01_03_05a,46,46,House4,3,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
46,Boss/B01_03,EvB01_03_05b,51,51,Fst_D_1B1_02,1,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
6235,Boss/B01_03,EvB01_03_05c,52,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
47,Boss/B01_03,EvB01_03_06a,52,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
48,Boss/B01_03,EvB01_03_07a,52,52,Fst_D_1A2_01,2,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
57,Boss/B01_03,EvB01_03_07b,52,0,,1,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
49,Boss/B01_03,EvB01_03_08a,2003,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
50,Boss/B01_03,EvB01_03_09a,2003,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
51,Boss/B01_03,EvB01_03_10a,2003,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
52,Boss/B01_03,EvB01_03_10b,52,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
53,Boss/B01_03,EvB01_03_10c,47,0,,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
54,Boss/B01_03,EvB01_03_10d,2008,46,Hotel0,0,6,0,"[4003, 0, 0, 0, 0, 0, 0, 0]",1,194,"[9, 0, 0, 0]",0
101,Boss/B02_01,EvB02_01_01a,62,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
102,Boss/B02_01,EvB02_01_02a,61,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
164,Boss/B02_01,EvB02_01_03a,2010,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
172,Boss/B02_01,EvB02_01_03b,56,56,Bar0,3,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
6248,Boss/B02_01,EvB02_01_03c,56,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
103,Boss/B02_01,EvB02_01_04a,57,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
104,Boss/B02_01,EvB02_01_04b,57,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
105,Boss/B02_01,EvB02_01_05a,57,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
165,Boss/B02_01,EvB02_01_06a,57,57,House3,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
173,Boss/B02_01,EvB02_01_06b,57,57,House2,3,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
174,Boss/B02_01,EvB02_01_06c,60,60,Snw_D_1A1_03,2,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
166,Boss/B02_01,EvB02_01_07a,61,61,Spawn99,2,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
106,Boss/B02_01,EvB02_01_08a,61,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
107,Boss/B02_01,EvB02_01_08b,61,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
108,Boss/B02_01,EvB02_01_09a,57,57,House2,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
175,Boss/B02_01,EvB02_01_09b,56,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
109,Boss/B02_01,EvB02_01_10a,57,56,Hotel0,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
110,Boss/B02_01,EvB02_01_11a,57,0,,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
111,Boss/B02_01,EvB02_01_11b,61,57,House2,0,7,0,"[4004, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
112,Boss/B02_02,EvB02_02_01a,61,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
113,Boss/B02_02,EvB02_02_01b,57,57,House2,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
114,Boss/B02_02,EvB02_02_02a,2004,85,Spawn1,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
115,Boss/B02_02,EvB02_02_03a,77,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
116,Boss/B02_02,EvB02_02_03b,2004,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
117,Boss/B02_02,EvB02_02_03c,77,77,Hotel0,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
118,Boss/B02_02,EvB02_02_04a,57,57,Snw_T_1B1_04,3,7,0,"[4005, 4004, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
119,Boss/B02_02,EvB02_02_05a,56,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
176,Boss/B02_02,EvB02_02_05b,62,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
120,Boss/B02_02,EvB02_02_06a,61,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
121,Boss/B02_02,EvB02_02_07a,56,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
122,Boss/B02_02,EvB02_02_08a,119,56,Bar0,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
123,Boss/B02_02,EvB02_02_09a,119,119,Snw_D_4A1_01,3,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
124,Boss/B02_02,EvB02_02_10a,119,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
129,Boss/B02_02,EvB02_02_11a,119,0,,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
131,Boss/B02_02,EvB02_02_12a,57,57,House2,0,7,0,"[4005, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
134,Boss/B02_03,EvB02_03_01a,2010,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
6234,Boss/B02_03,EvB02_03_01b,256,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
135,Boss/B02_03,EvB02_03_02a,61,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
136,Boss/B02_03,EvB02_03_03a,57,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
137,Boss/B02_03,EvB02_03_03b,57,57,Spawn2,3,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
138,Boss/B02_03,EvB02_03_04a,119,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
139,Boss/B02_03,EvB02_03_04b,119,119,Snw_D_4A1_02,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
140,Boss/B02_03,EvB02_03_05a,122,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
141,Boss/B02_03,EvB02_03_06a,61,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
142,Boss/B02_03,EvB02_03_07a,122,122,House1,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
143,Boss/B02_03,EvB02_03_07b,119,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
144,Boss/B02_03,EvB02_03_07c,122,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
167,Boss/B02_03,EvB02_03_07d,122,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
168,Boss/B02_03,EvB02_03_08a,122,122,House0,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
169,Boss/B02_03,EvB02_03_09a,57,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
145,Boss/B02_03,EvB02_03_10a,62,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
152,Boss/B02_03,EvB02_03_10b,2005,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
153,Boss/B02_03,EvB02_03_10c,62,57,House2,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
146,Boss/B02_03,EvB02_03_11a,63,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
147,Boss/B02_03,EvB02_03_12a,62,62,Spawn15,1,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
148,Boss/B02_03,EvB02_03_13a,2005,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
149,Boss/B02_03,EvB02_03_13b,2005,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
150,Boss/B02_03,EvB02_03_13c,2005,0,,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
151,Boss/B02_03,EvB02_03_14a,62,56,Hotel0,0,7,0,"[4006, 0, 0, 0, 0, 0, 0, 0]",1,194,"[10, 0, 0, 0]",0
201,Boss/B03_01,EvB03_01_01a,78,0,,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
202,Boss/B03_01,EvB03_01_02a,133,133,Pln_T_1C1_02,2,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
204,Boss/B03_01,EvB03_01_04a,81,0,,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
205,Boss/B03_01,EvB03_01_05a,81,0,,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
206,Boss/B03_01,EvB03_01_06a,81,81,Pln_D_1A1_01,2,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
207,Boss/B03_01,EvB03_01_07a,82,0,,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
208,Boss/B03_01,EvB03_01_08a,78,0,,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
209,Boss/B03_01,EvB03_01_08b,78,82,Pln_D_1B1_05,2,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
210,Boss/B03_01,EvB03_01_09a,82,0,,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
211,Boss/B03_01,EvB03_01_10a,82,77,Spawn1,0,8,0,"[4007, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
212,Boss/B03_02,EvB03_02_01a,46,46,Fst_T_1B1_03,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
213,Boss/B03_02,EvB03_02_02a,54,0,,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
214,Boss/B03_02,EvB03_02_03a,54,0,,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
216,Boss/B03_02,EvB03_02_05a,54,0,,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
217,Boss/B03_02,EvB03_02_06a,54,0,,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
240,Boss/B03_02,EvB03_02_06b,55,0,,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
218,Boss/B03_02,EvB03_02_07a,55,55,Spawn0,1,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
219,Boss/B03_02,EvB03_02_08a,55,55,Fst_D_3B1_02,1,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
220,Boss/B03_02,EvB03_02_09a,55,0,,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
221,Boss/B03_02,EvB03_02_10a,55,54,Spawn1,0,8,0,"[4008, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
243,Boss/B03_02,EvB03_02_PL_01a,54,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
222,Boss/B03_03,EvB03_03_01a,77,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
223,Boss/B03_03,EvB03_03_02a,133,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
6233,Boss/B03_03,EvB03_03_02b,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
224,Boss/B03_03,EvB03_03_03a,133,133,Pln_T_1C1_01,2,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
225,Boss/B03_03,EvB03_03_04a,81,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
226,Boss/B03_03,EvB03_03_05a,82,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
227,Boss/B03_03,EvB03_03_05b,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
228,Boss/B03_03,EvB03_03_05c,82,82,Spawn1,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
229,Boss/B03_03,EvB03_03_06a,83,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
230,Boss/B03_03,EvB03_03_06b,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
231,Boss/B03_03,EvB03_03_07a,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
232,Boss/B03_03,EvB03_03_08a,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
233,Boss/B03_03,EvB03_03_08b,133,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
234,Boss/B03_03,EvB03_03_08c,81,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
235,Boss/B03_03,EvB03_03_08d,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
236,Boss/B03_03,EvB03_03_09a,78,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
237,Boss/B03_03,EvB03_03_09b,77,77,Hotel0,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
244,Boss/B03_03,EvB03_03_PL_02a,84,0,,0,8,0,"[4009, 0, 0, 0, 0, 0, 0, 0]",1,194,"[11, 0, 0, 0]",0
