m_id,m_PartVoiceID,m_voiceId,m_gametext
36015,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""While dashing, you'll continue to move forward, even around corners."", '', '', '', '', '', '', '', '', '', '', '']"
36016,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""If you can't move forward while dashing, you'll automatically stop."", '', '', '', '', '', '', '', '', '', '', '']"
36017,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Tap an icon to dash to that point.', '', '', '', '', '', '', '', '', '', '', '']"
36039,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Now, practice moving about as you like.', '', '', '', '', '', '', '', '', '', '', '']"
36018,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['When an arrow appears, flick to turn.', '', '', '', '', '', '', '', '', '', '', '']"
36019,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""It seems you can't go any further."", '', '', '', '', '', '', '', '', '', '', '']"
36688,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['You have been lured to this place by a mysterious force.', '', '', '', '', '', '', '', '', '', '', '']"
36689,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Follow the blue flame's lead to go deeper."", '', '', '', '', '', '', '', '', '', '', '']"
5001,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Valore\n→ Cragspear', '', '', '', '', '', '', '', '', '', '', '']"
5002,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['← Victors Hollow Trail', '', '', '', '', '', '', '', '', '', '', '']"
5003,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Valore\n→ Emberglow', '', '', '', '', '', '', '', '', '', '', '']"
5004,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ Flamesgrace Wilds', '', '', '', '', '', '', '', '', '', '', '']"
5005,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Emberglow\n→ Theatropolis', '', '', '', '', '', '', '', '', '', '', '']"
5007,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Theatropolis\n↓ Rippletide', '', '', '', '', '', '', '', '', '', '', '']"
5009,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Cragspear\n→ Clearbrook', '', '', '', '', '', '', '', '', '', '', '']"
5011,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['← Clearbrook\n→ Sunshade', '', '', '', '', '', '', '', '', '', '', '']"
5012,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ Donescu Traverse', '', '', '', '', '', '', '', '', '', '', '']"
5013,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Sunshade\n→ Shepherds Rock', '', '', '', '', '', '', '', '', '', '', '']"
5014,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ Sufrataljah Sands', '', '', '', '', '', '', '', '', '', '', '']"
5015,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Rippletide\n↓ Shepherds Rock', '', '', '', '', '', '', '', '', '', '', '']"
5017,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ West Emberglow Wilds\n↓ Valore', '', '', '', '', '', '', '', '', '', '', '']"
5018,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['← West Valore Trail\nBeyond that, Cragspear', '', '', '', '', '', '', '', '', '', '', '']"
5019,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['→ North Theatropolis Plains\n↓ Emberglow', '', '', '', '', '', '', '', '', '', '', '']"
5020,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['← West Emberglow Wilds\nBeyond that, Valore', '', '', '', '', '', '', '', '', '', '', '']"
5021,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['→ North Rippletide Coast\n↓ Theatropolis', '', '', '', '', '', '', '', '', '', '', '']"
5022,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['← North Theatropolis Plains\nBeyond that, Emberglow', '', '', '', '', '', '', '', '', '', '', '']"
5023,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ North Rippletide Coast\n→ Rippletide', '', '', '', '', '', '', '', '', '', '', '']"
5024,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ North Shepherds Rock Pass', '', '', '', '', '', '', '', '', '', '', '']"
5025,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Cragspear\n← West Valore Trail', '', '', '', '', '', '', '', '', '', '', '']"
5026,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ South Cragspear Pass\nBeyond that, Clearbrook', '', '', '', '', '', '', '', '', '', '', '']"
5027,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ South Cragspear Pass\n→ Clearbrook', '', '', '', '', '', '', '', '', '', '', '']"
5028,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ East Clearbrook Traverse\nBeyond that, Sunshade', '', '', '', '', '', '', '', '', '', '', '']"
5029,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Sunshade\n← East Clearbrook Traverse', '', '', '', '', '', '', '', '', '', '', '']"
5030,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↓ Eastern Sunshade Sands\nBeyond that, Shepherds Rock', '', '', '', '', '', '', '', '', '', '', '']"
5031,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['↑ Shepherds Rock\n← Eastern Sunshade Sands', '', '', '', '', '', '', '', '', '', '', '']"
5032,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['→ North Shepherds Rock Pass\nBeyond that, Rippletide', '', '', '', '', '', '', '', '', '', '', '']"
36737,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['What do you want to ask about?', '', '', '', '', '', '', '', '', '', '', '']"
36738,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Do you want to ask something else?', '', '', '', '', '', '', '', '', '', '', '']"
36739,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I'm done here."", '', '', '', '', '', '', '', '', '', '', '']"
37330,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I'm done here."", '', '', '', '', '', '', '', '', '', '', '']"
38563,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to the tower entrance?', '', '', '', '', '', '', '', '', '', '', '']"
38564,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to the Chamber of Bonfires?', '', '', '', '', '', '', '', '', '', '', '']"
38565,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Snow?', '', '', '', '', '', '', '', '', '', '', '']"
38566,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Plains?', '', '', '', '', '', '', '', '', '', '', '']"
38567,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Sea?', '', '', '', '', '', '', '', '', '', '', '']"
38568,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Mountains?', '', '', '', '', '', '', '', '', '', '', '']"
38569,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Desert?', '', '', '', '', '', '', '', '', '', '', '']"
38570,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: River?', '', '', '', '', '', '', '', '', '', '', '']"
38571,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Cliffs?', '', '', '', '', '', '', '', '', '', '', '']"
38572,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Forest?', '', '', '', '', '', '', '', '', '', '', '']"
38823,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Go to Bonfires of Battle: Dragon's Lair?"", '', '', '', '', '', '', '', '', '', '', '']"
39486,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Snow II?', '', '', '', '', '', '', '', '', '', '', '']"
39488,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Sea II?', '', '', '', '', '', '', '', '', '', '', '']"
39490,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Desert II?', '', '', '', '', '', '', '', '', '', '', '']"
39491,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: River II?', '', '', '', '', '', '', '', '', '', '', '']"
39493,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to Bonfires of Battle: Forest II?', '', '', '', '', '', '', '', '', '', '', '']"
38813,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Return to the Chamber of Bonfires?', '', '', '', '', '', '', '', '', '', '', '']"
39374,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Go to a different floor?', '', '', '', '', '', '', '', '', '', '', '']"
39375,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Enter the Skew?', '', '', '', '', '', '', '', '', '', '', '']"
39376,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['1st Floor', '', '', '', '', '', '', '', '', '', '', '']"
39377,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['2nd Floor', '', '', '', '', '', '', '', '', '', '', '']"
39378,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['3rd Floor', '', '', '', '', '', '', '', '', '', '', '']"
39379,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Forbidden\nArchives', '', '', '', '', '', '', '', '', '', '', '']"
39380,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Quit', '', '', '', '', '', '', '', '', '', '', '']"
39478,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['A secret path appears...', '', '', '', '', '', '', '', '', '', '', '']"
39481,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Bonfires of Battle', '', '', '', '', '', '', '', '', '', '', '']"
39482,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Bonfires of Battle II', '', '', '', '', '', '', '', '', '', '', '']"
39494,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""It seems there's nothing here yet..."", '', '', '', '', '', '', '', '', '', '', '']"
39645,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Return to town?', '', '', '', '', '', '', '', '', '', '', '']"
39537,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['The Cathedral of Tytos and the surrounding dungeon is now part of town.\n\nThe Elite Enemies in the dungeon have been moved to the following locations.\n-Emberglow Laboratory: Entrance\n-Emberglow Laboratory', '', '', '', '', '', '', '', '', '', '', '']"
39538,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['OK', '', '', '', '', '', '', '', '', '', '', '']"
39587,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Whatever slumbers in this land will wake when the time comes.', '', '', '', '', '', '', '', '', '', '', '']"
39759,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['OK', '', '', '', '', '', '', '', '', '', '', '']"
36068,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""This is Auguste's journal..."", '', '', '', '', '', '', '', '', '', '', '']"
36069,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Read the journal?', '', '', '', '', '', '', '', '', '', '', '']"
36070,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""This is someone's journal..."", '', '', '', '', '', '', '', '', '', '', '']"
36071,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Read the journal?', '', '', '', '', '', '', '', '', '', '', '']"
36871,1025,"[17022, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Oh, I've been waiting for you."", '', '', '', '', '', '', '', '', '', '', '']"
36872,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""You're the one chosen\nby General Mahrez."", '', '', '', '', '', '', '', '', '', '', '']"
36873,1011,"[17016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""The battle will be a difficult one.\nBut we won't lose."", '', '', '', '', '', '', '', '', '', '', '']"
36874,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['We have the God of War and\nthe Lion of Edoras on our side.', '', '', '', '', '', '', '', '', '', '', '']"
36006,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Inspect the bars?', '', '', '', '', '', '', '', '', '', '', '']"
36007,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Inspect the cell?', '', '', '', '', '', '', '', '', '', '', '']"
36008,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Smash the rock fragment against the bars?', '', '', '', '', '', '', '', '', '', '', '']"
36879,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Lie down and rest?', '', '', '', '', '', '', '', '', '', '', '']"
36880,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['...There is no point in resisting.', '', '', '', '', '', '', '', '', '', '', '']"
36009,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Battle has commenced on the\nfront lines.', '', '', '', '', '', '', '', '', '', '', '']"
36010,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""We're as ready as we'll ever be."", '', '', '', '', '', '', '', '', '', '', '']"
36001,1002,"[15555, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Ain't seen you around before."", '', '', '', '', '', '', '', '', '', '', '']"
36002,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Why come to a cesspool like this?\n...Punishment for your ""crimes""?', '', '', '', '', '', '', '', '', '', '', '']"
36003,1029,"[15564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""You'd better find some place to\ndisappear to."", '', '', '', '', '', '', '', '', '', '', '']"
36004,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""This land's finished..."", '', '', '', '', '', '', '', '', '', '', '']"
36005,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Anyone who opposes that king gets\ncalled a ""criminal.""', '', '', '', '', '', '', '', '', '', '', '']"
36877,1084,"[70606, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['So you came, Traveler.', '', '', '', '', '', '', '', '', '', '', '']"
36878,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Let's hurry onward."", '', '', '', '', '', '', '', '', '', '', '']"
36024,1027,"[61678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['We have no idea what to expect.\nBetter be prepared for anything.', '', '', '', '', '', '', '', '', '', '', '']"
36026,1036,"[61686, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['You must protect His Majesty!', '', '', '', '', '', '', '', '', '', '', '']"
36875,1018,"[17042, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I've been waiting for you."", '', '', '', '', '', '', '', '', '', '', '']"
36876,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['King Solon is here.', '', '', '', '', '', '', '', '', '', '', '']"
36033,1067,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I see you are ready.', '', '', '', '', '', '', '', '', '', '', '']"
36034,1068,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Lady Alaune awaits.', '', '', '', '', '', '', '', '', '', '', '']"
37386,1001,"[16863, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Well, if it isn't\n<clan_name>."", '', '', '', '', '', '', '', '', '', '', '']"
37387,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['...Your aid has been invaluable\nto Edoras.', '', '', '', '', '', '', '', '', '', '', '']"
37388,1011,"[16875, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Your bed is on the house.\nRest up, eh?', '', '', '', '', '', '', '', '', '', '', '']"
36337,1011,"[15344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['How about a flower?', '', '', '', '', '', '', '', '', '', '', '']"
36338,1016,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Thank you for\nbuying my flowers.', '', '', '', '', '', '', '', '', '', '', '']"
36339,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I don't have to sell bad\nflowers anymore."", '', '', '', '', '', '', '', '', '', '', '']"
36340,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Thanks to Mr. Bargello,\nthe town's a nicer place."", '', '', '', '', '', '', '', '', '', '', '']"
36341,1018,"[15341, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Speaking of which...', '', '', '', '', '', '', '', '', '', '', '']"
36342,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Mr. Bargello wanted to see you.', '', '', '', '', '', '', '', '', '', '', '']"
36651,0,"[77084, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Hey, why don't you go\ncheck on those guys?"", '', '', '', '', '', '', '', '', '', '', '']"
37684,0,"[60144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I think Rosso's checking\nout the old town."", '', '', '', '', '', '', '', '', '', '', '']"
37685,0,"[77103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Levina's gone to the church, though\nshe doesn't seem very religious."", '', '', '', '', '', '', '', '', '', '', '']"
37730,0,"[77103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Rosso went to the old town.', '', '', '', '', '', '', '', '', '', '', '']"
37686,0,"[60331, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['......', '', '', '', '', '', '', '', '', '', '', '']"
37715,0,"[16078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Your companion with the hat\nis heading toward the arena.', '', '', '', '', '', '', '', '', '', '', '']"
37731,0,"[16078, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Your friend is headed for the old town.\nHe's a strong one, isn't he?"", '', '', '', '', '', '', '', '', '', '', '']"
37687,0,"[77324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Fra went toward the\nentrance of the town.', '', '', '', '', '', '', '', '', '', '', '']"
37732,0,"[77324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Rosso? He said he was\ngoing to the old town.', '', '', '', '', '', '', '', '', '', '', '']"
37688,0,"[60404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I'm done here. I'm going\nto meet up with Bargello."", '', '', '', '', '', '', '', '', '', '', '']"
37727,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['......', '', '', '', '', '', '', '', '', '', '', '']"
36711,1065,"[77205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Chosen One...', '', '', '', '', '', '', '', '', '', '', '']"
36712,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['This way, please.\nQueen Alaune awaits.', '', '', '', '', '', '', '', '', '', '', '']"
37013,1065,"[77205, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Chosen One, the ceremony\nis about to begin.', '', '', '', '', '', '', '', '', '', '', '']"
37014,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['It is an important one to bind\nthe three nations together in peace.', '', '', '', '', '', '', '', '', '', '', '']"
37015,1060,"[61525, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Have you finished your preparations?', '', '', '', '', '', '', '', '', '', '', '']"
37371,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Have you finished preparing?', '', '', '', '', '', '', '', '', '', '', '']"
36713,0,"[77428, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Chosen One...\nYou have come.', '', '', '', '', '', '', '', '', '', '', '']"
36714,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['You saved my life in the last battle.', '', '', '', '', '', '', '', '', '', '', '']"
36715,0,"[77442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Kind Richard requires your\nstrength once more.', '', '', '', '', '', '', '', '', '', '', '']"
36716,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Pray come...', '', '', '', '', '', '', '', '', '', '', '']"
36725,0,"[77188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Chosen One.', '', '', '', '', '', '', '', '', '', '', '']"
36726,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['We need your help once again.', '', '', '', '', '', '', '', '', '', '', '']"
36727,0,"[77204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Are you ready?', '', '', '', '', '', '', '', '', '', '', '']"
36628,1002,"[16892, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['I want you to go and check on\nthe people in this cathedral.', '', '', '', '', '', '', '', '', '', '', '']"
36629,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Report your findings?', '', '', '', '', '', '', '', '', '', '', '']"
36630,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Return to the investigation?', '', '', '', '', '', '', '', '', '', '', '']"
36631,1067,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""That's terrible..."", '', '', '', '', '', '', '', '', '', '', '']"
36632,1055,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Do you suspect me!?', '', '', '', '', '', '', '', '', '', '', '']"
36633,1005,"[71372, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['M-me!?', '', '', '', '', '', '', '', '', '', '', '']"
36634,1042,"[78182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""I don't know anything\nabout that..."", '', '', '', '', '', '', '', '', '', '', '']"
36635,1037,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['How could you be so stupid?', '', '', '', '', '', '', '', '', '', '', '']"
36636,1026,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""What the hell's going on?"", '', '', '', '', '', '', '', '', '', '', '']"
36637,1041,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Well... Are you doubting me?', '', '', '', '', '', '', '', '', '', '', '']"
36638,1015,"[70872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Oh my... Do you suspect me?', '', '', '', '', '', '', '', '', '', '', '']"
36639,1015,"[16851, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""Wh-what!? I-I didn't do anything!"", '', '', '', '', '', '', '', '', '', '', '']"
36640,2260,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['You doubt me.', '', '', '', '', '', '', '', '', '', '', '']"
36641,1056,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['What? Are you doubting me?', '', '', '', '', '', '', '', '', '', '', '']"
36642,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['Yes', '', '', '', '', '', '', '', '', '', '', '']"
36643,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['No', '', '', '', '', '', '', '', '', '', '', '']"
37376,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[""It looks like you haven't\ndone enough research..."", '', '', '', '', '', '', '', '', '', '', '']"
