m_id,m_voiceId,m_gametext
112159,0,"['No', '', '', '', '', '', '', '', '', '', '', '']"
112266,50033,"['Then tell me of your true desire.', '', '', '', '', '', '', '', '', '', '', '']"
112160,50034,"['...Very well.', '', '', '', '', '', '', '', '', '', '', '']"
112161,50035,"['Your journey\nwill not be an easy one.', '', '', '', '', '', '', '', '', '', '', '']"
112162,50036,"['After all...', '', '', '', '', '', '', '', '', '', '', '']"
112163,50037,"['Your foes, too, possess\nrings of divine power.', '', '', '', '', '', '', '', '', '', '', '']"
112164,50038,"['Three rings...', '', '', '', '', '', '', '', '', '', '', '']"
112165,50039,"['...each fulfilling the desires\nof the one who wears it.', '', '', '', '', '', '', '', '', '', '', '']"
112166,50040,"['The master of wealth...', '', '', '', '', '', '', '', '', '', '', '']"
112167,50041,"['The master of power...', '', '', '', '', '', '', '', '', '', '', '']"
112168,50042,"['The master of fame...', '', '', '', '', '', '', '', '', '', '', '']"
112169,50043,"['Three tyrants of insatiable greed\nwho hold sway over this realm...', '', '', '', '', '', '', '', '', '', '', '']"
112170,50044,"[""For man's desire is\na bottomless abyss..."", '', '', '', '', '', '', '', '', '', '', '']"
112171,50045,"['Should you seek to acquire what\nthey possess...', '', '', '', '', '', '', '', '', '', '', '']"
112172,50046,"['...they will surely stand in your way.', '', '', '', '', '', '', '', '', '', '', '']"
112173,50047,"['You have been chosen by the ring.', '', '', '', '', '', '', '', '', '', '', '']"
112174,50048,"['Should you seek companions for your\ntravels, make your wish be known.', '', '', '', '', '', '', '', '', '', '', '']"
112175,50049,"['Now journey forth...', '', '', '', '', '', '', '', '', '', '', '']"
112176,50050,"['...and fulfill your boundless desire.', '', '', '', '', '', '', '', '', '', '', '']"
112177,17559,"['Why the long face, stranger?', '', '', '', '', '', '', '', '', '', '', '']"
112178,0,"['Something weighing on your mind?', '', '', '', '', '', '', '', '', '', '', '']"
112179,17575,"['What a strange light... For a second,\nI thought it would swallow me whole.', '', '', '', '', '', '', '', '', '', '', '']"
112181,17584,"['Anyhow, what brings you to these parts?', '', '', '', '', '', '', '', '', '', '', '']"
112182,0,"[""Hm?\nDon't tell me you've come here all alone."", '', '', '', '', '', '', '', '', '', '', '']"
112184,50048,"['Should you seek companions for your\ntravels, make your wish be known.', '', '', '', '', '', '', '', '', '', '', '']"
112185,0,"['Ah, so you had some friends after all.', '', '', '', '', '', '', '', '', '', '', '']"
112187,17558,"['Good to see it. And do you perchance have a\nname for your merry little band?', '', '', '', '', '', '', '', '', '', '', '']"
112246,17587,"[""Don't take this the wrong way, but..."", '', '', '', '', '', '', '', '', '', '', '']"
112247,0,"[""People 'round these parts might not take so\nkindly to that name."", '', '', '', '', '', '', '', '', '', '', '']"
112248,0,"[""Would you mind thinkin' of another?"", '', '', '', '', '', '', '', '', '', '', '']"
112188,17566,"['<clan_name>, is it?\nHas a nice ring to it.', '', '', '', '', '', '', '', '', '', '', '']"
112190,17559,"[""You're new to these parts, right?\nAny questions, I'm your man."", '', '', '', '', '', '', '', '', '', '', '']"
112191,0,"['Safe travels, now.', '', '', '', '', '', '', '', '', '', '', '']"
112192,78867,"['Why the long face, stranger?', '', '', '', '', '', '', '', '', '', '', '']"
112193,0,"['Something weighing on your mind?', '', '', '', '', '', '', '', '', '', '', '']"
112194,78921,"['What a strange light... For a second,\nI thought it would swallow me whole.', '', '', '', '', '', '', '', '', '', '', '']"
112196,78909,"['Anyhow, what brings you to these parts?', '', '', '', '', '', '', '', '', '', '', '']"
112197,0,"[""Hm?\nDon't tell me you've come here all alone."", '', '', '', '', '', '', '', '', '', '', '']"
112199,50048,"['Should you seek companions for your\ntravels, make your wish be known.', '', '', '', '', '', '', '', '', '', '', '']"
112200,78908,"['Ah, so you had some friends after all.', '', '', '', '', '', '', '', '', '', '', '']"
112202,0,"['Good to see it. And do you perchance have a\nname for your merry little band?', '', '', '', '', '', '', '', '', '', '', '']"
112249,78922,"[""Don't take this the wrong way, but..."", '', '', '', '', '', '', '', '', '', '', '']"
112250,0,"[""People 'round these parts might not take so\nkindly to that name."", '', '', '', '', '', '', '', '', '', '', '']"
112251,0,"[""Would you mind thinkin' of another?"", '', '', '', '', '', '', '', '', '', '', '']"
112203,78889,"['<clan_name>, is it?\nHas a nice ring to it.', '', '', '', '', '', '', '', '', '', '', '']"
112205,78909,"[""You're new to these parts, right?\nAny questions, I'm your man."", '', '', '', '', '', '', '', '', '', '', '']"
112206,0,"['Safe travels, now.', '', '', '', '', '', '', '', '', '', '', '']"
112207,17559,"['Why the long face, stranger?', '', '', '', '', '', '', '', '', '', '', '']"
112208,0,"['Something weighing on your mind?', '', '', '', '', '', '', '', '', '', '', '']"
112209,17575,"['What a strange light... For a second,\nI thought it would swallow me whole.', '', '', '', '', '', '', '', '', '', '', '']"
112211,17584,"['Anyhow, what brings you to these parts?', '', '', '', '', '', '', '', '', '', '', '']"
112212,0,"[""Hm?\nDon't tell me you've come here all alone."", '', '', '', '', '', '', '', '', '', '', '']"
112214,50048,"['Should you seek companions for your\ntravels, make your wish be known.', '', '', '', '', '', '', '', '', '', '', '']"
112215,0,"['Ah, so you had some friends after all.', '', '', '', '', '', '', '', '', '', '', '']"
112217,17558,"['Good to see it. And do you perchance have a\nname for your merry little band?', '', '', '', '', '', '', '', '', '', '', '']"
112252,17587,"[""Don't take this the wrong way, but..."", '', '', '', '', '', '', '', '', '', '', '']"
112253,0,"[""People 'round these parts might not take so\nkindly to that name."", '', '', '', '', '', '', '', '', '', '', '']"
112254,0,"[""Would you mind thinkin' of another?"", '', '', '', '', '', '', '', '', '', '', '']"
112218,17566,"['<clan_name>, is it?\nHas a nice ring to it.', '', '', '', '', '', '', '', '', '', '', '']"
112220,17559,"[""You're new to these parts, right?\nAny questions, I'm your man."", '', '', '', '', '', '', '', '', '', '', '']"
112221,0,"['Safe travels, now.', '', '', '', '', '', '', '', '', '', '', '']"
119255,0,"['Set the Tale of Wealth as your main quest?\n\n*If you proceed, your current\npreferences will be overwritten.\nYou can change your main quest\nany time from the Quest menu.', '', '', '', '', '', '', '', '', '', '', '']"
119256,0,"['Set the Tale of Power as your main quest?\n\n*If you proceed, your current\npreferences will be overwritten.\nYou can change your main quest\nany time from the Quest menu.', '', '', '', '', '', '', '', '', '', '', '']"
119257,0,"['Set the Tale of Fame as your main quest?\n\n*If you proceed, your current\npreferences will be overwritten.\nYou can change your main quest\nany time from the Quest menu.', '', '', '', '', '', '', '', '', '', '', '']"
119258,0,"['Valore, in the Woodlands.', '', '', '', '', '', '', '', '', '', '', '']"
119259,0,"['This town has long been ruled by syndicates', '', '', '', '', '', '', '', '', '', '', '']"
119260,0,"['that value blood ties and honor above all.', '', '', '', '', '', '', '', '', '', '', '']"
119261,0,"['Now, it faces dark days, as greed', '', '', '', '', '', '', '', '', '', '', '']"
119262,0,"['and wealth threaten to consume all...', '', '', '', '', '', '', '', '', '', '', '']"
119263,0,"['Emberglow, in the Frostlands.', '', '', '', '', '', '', '', '', '', '', '']"
119264,0,"['Amidst the falling snow in this remote town,', '', '', '', '', '', '', '', '', '', '', '']"
119265,0,"['pious folk live quiet and humble lives.', '', '', '', '', '', '', '', '', '', '', '']"
119266,0,"['But it is the shadow of power that silences them,', '', '', '', '', '', '', '', '', '', '', '']"
119267,0,"['descended upon blood-red wings...', '', '', '', '', '', '', '', '', '', '', '']"
119268,0,"['Theatropolis, in the Flatlands.', '', '', '', '', '', '', '', '', '', '', '']"
119269,0,"['It is famous for its great amphitheatre,', '', '', '', '', '', '', '', '', '', '', '']"
119270,0,"['which draws audiences from far and wide.', '', '', '', '', '', '', '', '', '', '', '']"
119271,0,"['And yet, few know that this very', '', '', '', '', '', '', '', '', '', '', '']"
119272,0,"['fame comes with great sacrifice...', '', '', '', '', '', '', '', '', '', '', '']"
1000001,0,"['There was only chaos.', '', '', '', '', '', '', '', '', '', '', '']"
1000002,0,"['the eyes and ears of the realm on you.', '', '', '', '', '', '', '', '', '', '', '']"
1000003,0,"['cause.', '', '', '', '', '', '', '', '', '', '', '']"
1000051,0,"['is the shadow of great power,', '', '', '', '', '', '', '', '', '', '', '']"
1000052,0,"['descended upon blood-red wings.', '', '', '', '', '', '', '', '', '', '', '']"
1000053,0,"['fame comes with great sacrifice...', '', '', '', '', '', '', '', '', '', '', '']"
1000054,0,"['and wealth threaten to consume all...', '', '', '', '', '', '', '', '', '', '', '']"
1,17103,"['Have you heard the rumors\nabout Lady Herminia?', '', '', '', '', '', '', '', '', '', '', '']"
2,0,"[""They say she'd happily slaughter\nher own child for coin!"", '', '', '', '', '', '', '', '', '', '', '']"
3,0,"[""I heard she's the one who killed\noff the last of the forest people!"", '', '', '', '', '', '', '', '', '', '', '']"
4,17121,"['Horrifying... A witch who knows\nnothing but her own desires.', '', '', '', '', '', '', '', '', '', '', '']"
5,0,"['And whatever she desires...\nshe gets.', '', '', '', '', '', '', '', '', '', '', '']"
976,0,"['She is', '', '', '', '', '', '', '', '', '', '', '']"
977,0,"['the wealthiest in the realm.', '', '', '', '', '', '', '', '', '', '', '']"
978,0,"['Lady Herminia, ""the Covetous Witch.""', '', '', '', '', '', '', '', '', '', '', '']"
979,0,"['Mercilessly crushing anyone who stood in her', '', '', '', '', '', '', '', '', '', '', '']"
980,0,"['way, she amassed boundless wealth.', '', '', '', '', '', '', '', '', '', '', '']"
981,0,"['People whispered of her with fear, saying...', '', '', '', '', '', '', '', '', '', '', '']"
982,0,"['', '', '', '', '', '', '', '', '', '', '', '']"
983,0,"['""That witch could even', '', '', '', '', '', '', '', '', '', '', '']"
984,0,"['buy men\'s souls.""', '', '', '', '', '', '', '', '', '', '', '']"
12,50500,"['Lady Herminia.\nThe preparations for the ball are complete.', '', '', '', '', '', '', '', '', '', '', '']"
13,50501,"['...Very well.', '', '', '', '', '', '', '', '', '', '', '']"
14,50502,"['...You came. Good.', '', '', '', '', '', '', '', '', '', '', '']"
15,50503,"[""Today our luck changes.\nI'll see to that."", '', '', '', '', '', '', '', '', '', '', '']"
16,50504,"['How do you plan to pull this off?', '', '', '', '', '', '', '', '', '', '', '']"
17,50505,"[""We'll never even make it through\nthe front gate!"", '', '', '', '', '', '', '', '', '', '', '']"
18,50506,"['......', '', '', '', '', '', '', '', '', '', '', '']"
19,50507,"['Would you like a flower?', '', '', '', '', '', '', '', '', '', '', '']"
968,0,"['Buy a flower?', '', '', '', '', '', '', '', '', '', '', '']"
969,50508,"[""...Don't even think about it."", '', '', '', '', '', '', '', '', '', '', '']"
970,50509,"['...Smart move.', '', '', '', '', '', '', '', '', '', '', '']"
20,50510,"['......', '', '', '', '', '', '', '', '', '', '', '']"
21,50511,"['How much?', '', '', '', '', '', '', '', '', '', '', '']"
22,50512,"['Ten thousand leaves, sir.', '', '', '', '', '', '', '', '', '', '', '']"
23,50513,"['Pretty steep for a single flower.', '', '', '', '', '', '', '', '', '', '', '']"
24,50514,"[""...It's the powder, isn't it?"", '', '', '', '', '', '', '', '', '', '', '']"
25,50515,"['......', '', '', '', '', '', '', '', '', '', '', '']"
26,50516,"['Who put you up to this?', '', '', '', '', '', '', '', '', '', '', '']"
27,50517,"[""I...I can't..."", '', '', '', '', '', '', '', '', '', '', '']"
28,50518,"['Nothing good will come of this.\nGet out while you still can.', '', '', '', '', '', '', '', '', '', '', '']"
29,50519,"[""But they said that if I don't sell this..."", '', '', '', '', '', '', '', '', '', '', '']"
30,50520,"[""My brothers... They'll..."", '', '', '', '', '', '', '', '', '', '', '']"
31,50521,"['Hey!', '', '', '', '', '', '', '', '', '', '', '']"
32,50522,"[""What do you think you're doing,\nmeddling in our business!?"", '', '', '', '', '', '', '', '', '', '', '']"
33,50523,"[""Those shabby clothes make\nit clear you're no customers."", '', '', '', '', '', '', '', '', '', '', '']"
34,50524,"[""You'd be wise not to judge\na book by its cover."", '', '', '', '', '', '', '', '', '', '', '']"
35,50525,"[""...And you'd be wise to\nkeep your mouth shut."", '', '', '', '', '', '', '', '', '', '', '']"
36,50526,"['How did I know this was coming?', '', '', '', '', '', '', '', '', '', '', '']"
37,50527,"['Heh! At least we get to have some fun.', '', '', '', '', '', '', '', '', '', '', '']"
38,50528,"[""...It's go time."", '', '', '', '', '', '', '', '', '', '', '']"
39,50529,"['......', '', '', '', '', '', '', '', '', '', '', '']"
40,50530,"[""Instead of a flower, looks like\nwe've picked ourselves a fight."", '', '', '', '', '', '', '', '', '', '', '']"
971,0,"['Fight the men?', '', '', '', '', '', '', '', '', '', '', '']"
41,50531,"[""Hah! Don't tell me you just\ncame to see the sights!"", '', '', '', '', '', '', '', '', '', '', '']"
42,50532,"['Or are you too scared to fight them?', '', '', '', '', '', '', '', '', '', '', '']"
43,50533,"[""C'mon! We'll have your back!"", '', '', '', '', '', '', '', '', '', '', '']"
44,50534,"[""You're not half bad."", '', '', '', '', '', '', '', '', '', '', '']"
45,50535,"['...Here they come!', '', '', '', '', '', '', '', '', '', '', '']"
46,17747,"[""No-good scoundrels!\nYou'll pay for this!"", '', '', '', '', '', '', '', '', '', '', '']"
47,0,"['......', '', '', '', '', '', '', '', '', '', '', '']"
48,60185,"['Using children to peddle their poison,\nare they now?', '', '', '', '', '', '', '', '', '', '', '']"
49,60211,"['...Makes me sick.', '', '', '', '', '', '', '', '', '', '', '']"
50,60287,"['Those greedy bastards!\nAlways looking down on us!', '', '', '', '', '', '', '', '', '', '', '']"
51,0,"['I should have stuck my dagger\nin their smug faces!', '', '', '', '', '', '', '', '', '', '', '']"
52,60237,"['Settle down, Pierro. Look at this.', '', '', '', '', '', '', '', '', '', '', '']"
53,60310,"['Wait a minute... Is that—!?', '', '', '', '', '', '', '', '', '', '', '']"
54,60214,"['Even smug bastards are\ngood for something.', '', '', '', '', '', '', '', '', '', '', '']"
55,60206,"['I just happened to find this\nin one of their pockets.', '', '', '', '', '', '', '', '', '', '', '']"
56,60312,"['An invitation to the ball!', '', '', '', '', '', '', '', '', '', '', '']"
57,60223,"['A ball for fat cats\nwith fat purses...', '', '', '', '', '', '', '', '', '', '', '']"
58,60333,"[""...It's go time."", '', '', '', '', '', '', '', '', '', '', '']"
59,60134,"['Hey...', '', '', '', '', '', '', '', '', '', '', '']"
60,60148,"['You really helped us out back there.', '', '', '', '', '', '', '', '', '', '', '']"
61,0,"[""We might look rough, but we're\nnot the bad guys here."", '', '', '', '', '', '', '', '', '', '', '']"
62,0,"[""We were born and raised in this town,\nand we've watched it go to shit."", '', '', '', '', '', '', '', '', '', '', '']"
63,60178,"[""...But no more watching.\nWe're going to take it back."", '', '', '', '', '', '', '', '', '', '', '']"
64,0,"['You can fight, and you look\nlike you can be trusted.', '', '', '', '', '', '', '', '', '', '', '']"
65,60179,"['What do you say?\nWant to join us?', '', '', '', '', '', '', '', '', '', '', '']"
972,0,"['Join their cause?', '', '', '', '', '', '', '', '', '', '', '']"
66,60284,"[""C'mon!\nWhat are you, scared?"", '', '', '', '', '', '', '', '', '', '', '']"
67,50536,"[""Don't be a chicken!\nI promise we're not so bad!"", '', '', '', '', '', '', '', '', '', '', '']"
68,60180,"['...Think carefully, friend.', '', '', '', '', '', '', '', '', '', '', '']"
69,60179,"[""A chance like this doesn't\ncome along every day."", '', '', '', '', '', '', '', '', '', '', '']"
70,60271,"['All right!\nA new addition to our ranks!', '', '', '', '', '', '', '', '', '', '', '']"
71,60214,"['...And one who packs a punch.\nI have a good feeling about this.', '', '', '', '', '', '', '', '', '', '', '']"
72,60142,"['Looks like my associates\nhave taken a liking to you.', '', '', '', '', '', '', '', '', '', '', '']"
73,60181,"['...Welcome to the family.', '', '', '', '', '', '', '', '', '', '', '']"
74,0,"[""Anyhow, we got what we came for.\nLet's leave before we make a scene."", '', '', '', '', '', '', '', '', '', '', '']"
75,0,"['We rendezvous in front of the manor tonight.', '', '', '', '', '', '', '', '', '', '', '']"
100125,60183,"[""We'll be waiting for you there."", '', '', '', '', '', '', '', '', '', '', '']"
76,60250,"[""Aren't you forgetting something?"", '', '', '', '', '', '', '', '', '', '', '']"
77,60272,"['Hah! Might as well!', '', '', '', '', '', '', '', '', '', '', '']"
78,70605,"['For the family!', '', '', '', '', '', '', '', '', '', '', '']"
79,71146,"['...You came. Good.', '', '', '', '', '', '', '', '', '', '', '']"
80,71147,"['Look at the size of this place!', '', '', '', '', '', '', '', '', '', '', '']"
81,71148,"['They say Lady Herminia started\nout as a small-time criminal.', '', '', '', '', '', '', '', '', '', '', '']"
82,71149,"['Then she took control of the\npowder operation...', '', '', '', '', '', '', '', '', '', '', '']"
83,71150,"[""Rumors say she's so rich she\ncould buy the whole continent..."", '', '', '', '', '', '', '', '', '', '', '']"
84,71151,"['A palace built on powder, eh?', '', '', '', '', '', '', '', '', '', '', '']"
85,71152,"[""Not just that. Word has it she'll\neven sell her body...for a price."", '', '', '', '', '', '', '', '', '', '', '']"
86,71153,"[""They say she's so gorgeous that even\nclergymen are reduced to dogs in heat."", '', '', '', '', '', '', '', '', '', '', '']"
87,71154,"[""...And that she's slept with the\nthousand wealthiest men in the realm."", '', '', '', '', '', '', '', '', '', '', '']"
88,71155,"[""Wait a minute, Pierro.\nYou're saying Lady Herminia's a harlot?"", '', '', '', '', '', '', '', '', '', '', '']"
89,71156,"[""I've never met a harlot who lives in a\nmansion like this."", '', '', '', '', '', '', '', '', '', '', '']"
90,71157,"['Heh. Even prostitution can pay if you\nchoose your clients right.', '', '', '', '', '', '', '', '', '', '', '']"
91,71158,"[""...It's go time."", '', '', '', '', '', '', '', '', '', '', '']"
92,71159,"['All right. Enough yapping from you lot.', '', '', '', '', '', '', '', '', '', '', '']"
93,71160,"['Now listen. Some of the fattest cats from\nthe underworld will be at this banquet.', '', '', '', '', '', '', '', '', '', '', '']"
94,71161,"['...Some of whom just might be able to\nhelp us get what we want.', '', '', '', '', '', '', '', '', '', '', '']"
95,71162,"['Use who we can use, right?', '', '', '', '', '', '', '', '', '', '', '']"
96,71163,"[""We're going to make a name\nfor ourselves here tonight."", '', '', '', '', '', '', '', '', '', '', '']"
97,71164,"['You got it, Boss.', '', '', '', '', '', '', '', '', '', '', '']"
98,71165,"[""Now let's go."", '', '', '', '', '', '', '', '', '', '', '']"
99,60257,"[""Looks like the party's\nalready in full swing."", '', '', '', '', '', '', '', '', '', '', '']"
100,60315,"['All right!\nTime to have some fun!', '', '', '', '', '', '', '', '', '', '', '']"
101,0,"['......', '', '', '', '', '', '', '', '', '', '', '']"
102,60258,"['J-just kidding, Boss!\nSheesh...', '', '', '', '', '', '', '', '', '', '', '']"
103,17741,"[""She's looking to expand her\nclientele, no doubt."", '', '', '', '', '', '', '', '', '', '', '']"
104,17804,"[""...And she'll get them."", '', '', '', '', '', '', '', '', '', '', '']"
105,17752,"['After all, no one can resist\nLady Herminia\'s ""product.""', '', '', '', '', '', '', '', '', '', '', '']"
106,16597,"['Hey, is that—?', '', '', '', '', '', '', '', '', '', '', '']"
107,16688,"[""It's her!"", '', '', '', '', '', '', '', '', '', '', '']"
108,50537,"['Good evening, everyone.', '', '', '', '', '', '', '', '', '', '', '']"
109,50538,"['...And welcome to my banquet.', '', '', '', '', '', '', '', '', '', '', '']"
110,50539,"['My servants have prepared a feast\nof the finest delicacies in the realm.', '', '', '', '', '', '', '', '', '', '', '']"
111,50540,"['Oh, but of course...', '', '', '', '', '', '', '', '', '', '', '']"
112,50541,"['This...is the main dish.', '', '', '', '', '', '', '', '', '', '', '']"
113,60256,"['Whoa!\nIs this heaven?', '', '', '', '', '', '', '', '', '', '', '']"
114,60270,"['I want a piece of the action!', '', '', '', '', '', '', '', '', '', '', '']"
115,60184,"[""Don't be a fool!"", '', '', '', '', '', '', '', '', '', '', '']"
116,50542,"['You are familiar with\nmy product, yes?', '', '', '', '', '', '', '', '', '', '', '']"
117,50543,"[""One whiff and you'll be transported\nto a world of sheer bliss."", '', '', '', '', '', '', '', '', '', '', '']"
118,50544,"['This world is cruel and unforgiving.', '', '', '', '', '', '', '', '', '', '', '']"
119,50545,"['Why waste your time struggling\nthrough a dreary existence?', '', '', '', '', '', '', '', '', '', '', '']"
120,50546,"['Tonight, let yourself dream...', '', '', '', '', '', '', '', '', '', '', '']"
121,50547,"['And I promise that all your\ndreams will be beautiful...', '', '', '', '', '', '', '', '', '', '', '']"
122,50548,"[""I trust you're all satisfied."", '', '', '', '', '', '', '', '', '', '', '']"
123,50549,"['Do feel free to indulge some more.', '', '', '', '', '', '', '', '', '', '', '']"
124,50550,"['But watch out.\nYou may never want to return...', '', '', '', '', '', '', '', '', '', '', '']"
125,50551,"['Envelop yourselves in rapture and\nbliss, my dear guests!', '', '', '', '', '', '', '', '', '', '', '']"
129,17630,"[""It's Taviani."", '', '', '', '', '', '', '', '', '', '', '']"
130,17638,"['He used to sell his product around here\nuntil Lady Herminia took over.', '', '', '', '', '', '', '', '', '', '', '']"
131,17664,"[""...He can't be too happy about\nthe current situation."", '', '', '', '', '', '', '', '', '', '', '']"
132,50552,"['......', '', '', '', '', '', '', '', '', '', '', '']"
133,50553,"[""Lord Taviani, I presume?\nI've heard so much about you..."", '', '', '', '', '', '', '', '', '', '', '']"
134,50554,"['And you, Lady Herminia, are\neven lovelier than the tales say...', '', '', '', '', '', '', '', '', '', '', '']"
135,50555,"['I can scarce imagine what beauty\nlies beneath that mask...', '', '', '', '', '', '', '', '', '', '', '']"
136,50556,"['Forgive me for concealing myself so.\nMy line of work means I have many foes...', '', '', '', '', '', '', '', '', '', '', '']"
137,50557,"['Indeed. Great riches invite great\nenemies...', '', '', '', '', '', '', '', '', '', '', '']"
138,50558,"['...And your riches are the greatest\nin the realm.', '', '', '', '', '', '', '', '', '', '', '']"
139,50559,"['You are kind to say so.', '', '', '', '', '', '', '', '', '', '', '']"
140,50560,"['In truth, I have found myself a\ntroublesome foe as well.', '', '', '', '', '', '', '', '', '', '', '']"
141,50561,"['For many years, my house held\nsway in these lands.', '', '', '', '', '', '', '', '', '', '', '']"
142,50562,"['...Until a greedy witch stole from\nus what was rightfully ours.', '', '', '', '', '', '', '', '', '', '', '']"
143,50563,"['......', '', '', '', '', '', '', '', '', '', '', '']"
144,50564,"['......', '', '', '', '', '', '', '', '', '', '', '']"
145,50565,"['A word of advice, Lord Taviani.', '', '', '', '', '', '', '', '', '', '', '']"
146,50566,"[""You'd be wise to burn your neighbor's\nhouse before your own bursts into flame."", '', '', '', '', '', '', '', '', '', '', '']"
147,50567,"['Sage advice, indeed.\nI thank you, my lady.', '', '', '', '', '', '', '', '', '', '', '']"
148,50568,"['......', '', '', '', '', '', '', '', '', '', '', '']"
149,50569,"['......', '', '', '', '', '', '', '', '', '', '', '']"
150,50570,"['Pray forgive my innocent jest.', '', '', '', '', '', '', '', '', '', '', '']"
