m_id,m_Repeat,m_HoldTime,m_AvailTime,m_Animations,m_PlayTimes,m_PlayRates,m_Effects,m_InvokeTimes,m_EffectLayout,m_OffsetsH,m_OffsetsV,m_Sounds,m_SoundTimes,m_Voices1,m_Voices2,m_Voices3,m_VoiceTimes,m_Texts,m_TextTime,m_CharaVisibility,m_VisibilityTarget,m_VisibilityStartTime
601,1,0.30000001192092896,0.30000001192092896,"[204, 19, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[116, 117, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[740, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
602,1,0.30000001192092896,0.30000001192092896,"[204, 20, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[128, 129, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[-180.0, 0.0, 0.0]","[80.0, 0.0, 0.0]","[220, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
603,1,0.30000001192092896,0.30000001192092896,"[204, 21, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[125, 126, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[742, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
604,1,0.30000001192092896,0.30000001192092896,"[204, 22, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[125, 126, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[742, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
605,1,0.30000001192092896,0.30000001192092896,"[204, 23, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[121, 119, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[741, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
606,1,0.30000001192092896,0.30000001192092896,"[204, 24, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[122, 123, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[219, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
607,1,0.30000001192092896,0.30000001192092896,"[204, 25, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[128, 618, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[-180.0, 0.0, 0.0]","[80.0, -9999.0, 0.0]","[220, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1000,1,1.600000023841858,0.4000000059604645,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[368, 381, 0]","[0.0, 0.20000000298023224, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[795, 795, 0]","[0.0, 0.20000000298023224, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1001,1,1.7999999523162842,0.699999988079071,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[368, 382, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[795, 796, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1002,1,2.0,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[368, 383, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[795, 797, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
2151,1,2.5,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[368, 536, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[795, 577, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1003,1,1.600000023841858,0.4000000059604645,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[369, 384, 0]","[0.0, 0.20000000298023224, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[798, 798, 0]","[0.0, 0.20000000298023224, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1004,1,1.7999999523162842,0.699999988079071,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[369, 385, 0]","[0.0, 0.4000000059604645, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[798, 799, 0]","[0.0, 0.4000000059604645, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1005,1,2.0,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[369, 386, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[798, 800, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1006,1,1.600000023841858,0.5,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[370, 387, 0]","[0.0, 0.20000000298023224, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[759, 759, 0]","[0.0, 0.20000000298023224, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1007,1,1.7999999523162842,0.5,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[370, 388, 0]","[0.0, 0.4000000059604645, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[759, 760, 0]","[0.0, 0.4000000059604645, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1008,1,2.0,1.2000000476837158,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[370, 389, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[759, 761, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
2180,1,3.0,1.5,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[370, 538, 0]","[0.0, 1.0, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[759, 579, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1009,1,1.600000023841858,0.4000000059604645,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[371, 390, 0]","[0.0, 0.20000000298023224, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[676, 676, 0]","[0.0, 0.20000000298023224, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1010,1,1.7999999523162842,0.699999988079071,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[371, 391, 0]","[0.0, 0.5, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[676, 762, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1011,1,2.0,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[371, 392, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[676, 763, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
2188,1,3.0,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[371, 539, 0]","[0.0, 1.0, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[676, 580, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1012,1,1.600000023841858,0.4000000059604645,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[372, 396, 0]","[0.0, 0.20000000298023224, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[672, 672, 0]","[0.0, 0.20000000298023224, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1013,1,1.7999999523162842,0.6000000238418579,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[372, 397, 0]","[0.0, 0.4000000059604645, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[672, 801, 0]","[0.0, 0.4000000059604645, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1014,1,2.0,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[372, 398, 0]","[0.0, 0.20000000298023224, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[672, 802, 0]","[0.0, 0.20000000298023224, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
2189,1,3.0,2.0,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[372, 543, 0]","[0.0, 1.0, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[672, 581, 0]","[0.0, 0.5, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1015,1,1.600000023841858,0.4000000059604645,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[373, 393, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[792, 792, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1016,1,1.7999999523162842,0.699999988079071,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[373, 394, 0]","[0.0, 0.4000000059604645, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[792, 793, 0]","[0.0, 0.4000000059604645, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1017,1,2.0,1.399999976158142,"[204, 34, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[373, 395, 0]","[0.0, 0.30000001192092896, 0.0]","[204, 2, 204]","[0.0, 0.0, 0.0]","[-9999.0, -9999.0, 0.0]","[792, 794, 0]","[0.0, 0.30000001192092896, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
