m_id,m_InvokeTiming,m_InvokeCondition,m_TargetType,m_ModifyType,m_ModifyStatus,m_HitRatio,m_HitTypes,m_CalcType,m_Values,m_Turns,m_OverwriteCount,m_Counts,m_OrderPriority,m_NextPriority,m_ShieldDamage,m_IgnoreWeak,m_CriticalRatio,m_Suicide,m_LotteryAilment,m_AilmentInvokeCondition,m_AddAilment,m_CalcTypeAilment,m_ValueAilment,m_WeakLockID,m_DelayedSkill,m_SubAilment,m_CalcTypeResist,m_AddResistWeapon,m_AddResistMagic,m_ResistID,m_ResistAilment,m_ResistAilmentID,m_Reinforcement,m_WeakChangeID,m_EnhancedSkillID,m_SummonGuestID,m_OverrideWeapon,m_OverrideMagic,m_SkillAvailMagnificationCondition,m_SkillAvailMagnificationConditionArray,m_SkillAvailMagnification,m_SkillAvailMagnificationArray,m_InvocationProbability,m_ModeChangeID
1005,cc01,0,cc01,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[2, 2, 2, 2]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1006,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65446, 65431, 65411, 65356]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1007,cc02,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc03,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 246, 0, 0, 0, 0, 0, 0]",101,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1008,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65306, 65276, 65236, 65136]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1009,cc02,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1010,cc01,0,cc03,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65481, 65471, 65456, 65436]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
63504,cc01,0,cc0e,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[2, 2, 2, 2]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1011,cc02,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc03,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 246, 0, 0, 0, 0, 0]",113,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1012,cc01,0,cc02,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65356, 65331, 65291, 65236]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1013,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65451, 65441, 65426, 65396]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1014,cc02,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc03,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 246, 0, 0, 0, 0, 0, 0]",101,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1015,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc01,"[65366, 65336, 65296, 65186]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1016,cc01,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[3, 4, 5, 6]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[106, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[15, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1017,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65366, 65336, 65296, 65186]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1018,cc03,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[3, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1019,cc01,0,cc02,cc01,cc05,100,"[0, 0, 0, 0]",cc01,"[65386, 65361, 65321, 65276]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1020,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc01,"[65471, 65461, 65446, 65416]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1021,cc02,0,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc03,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 246, 0, 0]",149,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
