m_id,m_PoisonX,m_PoisonY,m_BleedX,m_BleedY,m_SilenceX,m_SilenceY,m_SleepX,m_SleepY,m_PalalysisX,m_PalalysisY,m_FearX,m_FearY,m_WasteX,m_WasteY,m_DarknessX,m_DarknessY,m_HeadacheX,m_HeadacheY,m_EnergyDrainX,m_EnergyDrainY,m_RegenerateX,m_RegenerateY,m_ProvokeX,m_ProvokeY,m_CounterX,m_CounterY,m_InterceptX,m_InterceptY,m_PerfectInterceptScale,m_BreakX,m_BreakY,m_CountDownX,m_CountDownY
89,40.0,260.0,35.0,125.0,0.0,0.0,100.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,250.0,0.0,0.0
16,80.0,500.0,60.0,380.0,0.0,0.0,25.0,500.0,0.0,200.0,0.0,0.0,0.0,0.0,160.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,500.0,0.0,0.0
17,235.0,500.0,225.0,360.0,0.0,0.0,195.0,500.0,0.0,200.0,0.0,0.0,0.0,0.0,210.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,500.0,0.0,0.0
75,60.0,290.0,25.0,110.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
81,20.0,500.0,100.0,380.0,0.0,0.0,140.0,480.0,-30.0,200.0,0.0,0.0,0.0,0.0,130.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,115.0,490.0,0.0,0.0
92,50.0,470.0,140.0,250.0,0.0,0.0,180.0,250.0,0.0,300.0,0.0,0.0,0.0,0.0,180.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,260.0,0.0,0.0
18,80.0,250.0,40.0,100.0,0.0,0.0,40.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
19,160.0,530.0,115.0,380.0,0.0,0.0,140.0,500.0,0.0,300.0,0.0,0.0,0.0,0.0,160.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,520.0,0.0,0.0
93,-20.0,590.0,-10.0,480.0,0.0,0.0,10.0,620.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-20.0,630.0,0.0,0.0
94,200.0,250.0,350.0,100.0,0.0,0.0,385.0,140.0,50.0,350.0,0.0,0.0,0.0,0.0,405.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,350.0,160.0,0.0,0.0
101,130.0,620.0,65.0,420.0,0.0,0.0,125.0,550.0,0.0,300.0,0.0,0.0,0.0,0.0,220.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,620.0,100.0,-50.0
82,105.0,540.0,60.0,380.0,0.0,0.0,75.0,500.0,-50.0,200.0,0.0,0.0,0.0,0.0,75.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,530.0,0.0,0.0
83,65.0,270.0,5.0,100.0,0.0,0.0,30.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,250.0,0.0,0.0
84,65.0,270.0,5.0,100.0,0.0,0.0,30.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,250.0,0.0,0.0
85,180.0,540.0,110.0,340.0,0.0,0.0,185.0,470.0,0.0,200.0,0.0,0.0,0.0,0.0,155.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,500.0,0.0,0.0
102,65.0,270.0,5.0,100.0,0.0,0.0,30.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,250.0,0.0,0.0
103,65.0,270.0,5.0,100.0,0.0,0.0,30.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,250.0,0.0,0.0
86,0.0,270.0,-10.0,100.0,0.0,0.0,35.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
87,0.0,270.0,-10.0,100.0,0.0,0.0,35.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,250.0,0.0,0.0
95,190.0,600.0,130.0,420.0,0.0,0.0,155.0,590.0,20.0,300.0,0.0,0.0,0.0,0.0,155.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,120.0,600.0,0.0,0.0
96,130.0,620.0,65.0,420.0,0.0,0.0,125.0,550.0,0.0,300.0,0.0,0.0,0.0,0.0,75.0,520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,620.0,0.0,0.0
97,90.0,540.0,25.0,380.0,0.0,0.0,85.0,490.0,-20.0,280.0,0.0,0.0,0.0,0.0,35.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,535.0,0.0,0.0
98,0.0,270.0,-10.0,100.0,0.0,0.0,35.0,245.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
99,80.0,260.0,15.0,100.0,0.0,0.0,40.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
100,110.0,630.0,25.0,450.0,0.0,0.0,85.0,590.0,0.0,300.0,0.0,0.0,0.0,0.0,75.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,610.0,0.0,0.0
104,110.0,630.0,25.0,450.0,0.0,0.0,85.0,590.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,610.0,0.0,0.0
182,110.0,630.0,25.0,450.0,0.0,0.0,85.0,590.0,0.0,100.0,0.0,0.0,0.0,0.0,10.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,610.0,0.0,0.0
183,110.0,630.0,160.0,500.0,0.0,0.0,220.0,590.0,0.0,200.0,0.0,0.0,0.0,0.0,220.0,590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,610.0,0.0,0.0
184,380.0,630.0,560.0,450.0,0.0,0.0,580.0,480.0,0.0,200.0,0.0,0.0,0.0,0.0,630.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,560.0,500.0,0.0,0.0
193,0.0,250.0,40.0,150.0,0.0,0.0,90.0,250.0,0.0,100.0,0.0,0.0,0.0,0.0,85.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,250.0,0.0,0.0
194,40.0,280.0,-20.0,230.0,0.0,0.0,0.0,300.0,0.0,150.0,0.0,0.0,0.0,0.0,-10.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-20.0,320.0,0.0,0.0
195,60.0,250.0,40.0,160.0,0.0,0.0,40.0,270.0,0.0,100.0,0.0,0.0,0.0,0.0,50.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,280.0,0.0,0.0
196,0.0,230.0,80.0,130.0,0.0,0.0,90.0,250.0,0.0,100.0,0.0,0.0,0.0,0.0,90.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,60.0,250.0,0.0,0.0
197,0.0,360.0,40.0,250.0,0.0,0.0,0.0,400.0,-10.0,150.0,0.0,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-30.0,380.0,0.0,0.0
198,0.0,230.0,20.0,130.0,0.0,0.0,25.0,210.0,0.0,50.0,0.0,0.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,230.0,0.0,0.0
199,0.0,250.0,50.0,130.0,0.0,0.0,25.0,260.0,0.0,100.0,0.0,0.0,0.0,0.0,25.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,260.0,0.0,0.0
200,0.0,360.0,20.0,250.0,0.0,0.0,20.0,400.0,-10.0,150.0,0.0,0.0,0.0,0.0,30.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,390.0,0.0,0.0
201,0.0,360.0,20.0,250.0,0.0,0.0,20.0,400.0,-10.0,150.0,0.0,0.0,0.0,0.0,30.0,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,390.0,0.0,0.0
202,0.0,500.0,100.0,400.0,0.0,0.0,120.0,530.0,0.0,200.0,0.0,0.0,0.0,0.0,130.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,110.0,550.0,0.0,0.0
203,-10.0,590.0,-100.0,480.0,0.0,0.0,60.0,640.0,-20.0,400.0,0.0,0.0,0.0,0.0,40.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,650.0,0.0,0.0
205,40.0,280.0,-20.0,230.0,0.0,0.0,0.0,300.0,0.0,150.0,0.0,0.0,0.0,0.0,-10.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-20.0,320.0,0.0,0.0
206,0.0,380.0,20.0,350.0,0.0,0.0,70.0,480.0,0.0,250.0,0.0,0.0,0.0,0.0,50.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,480.0,0.0,0.0
207,40.0,330.0,80.0,250.0,0.0,0.0,140.0,310.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,325.0,0.0,0.0
208,-10.0,550.0,120.0,420.0,0.0,0.0,110.0,580.0,-20.0,350.0,0.0,0.0,0.0,0.0,100.0,525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,550.0,0.0,30.0
209,0.0,220.0,35.0,125.0,0.0,0.0,50.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,240.0,0.0,0.0
210,0.0,220.0,20.0,125.0,0.0,0.0,50.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,240.0,0.0,0.0
212,-60.0,220.0,-10.0,100.0,0.0,0.0,15.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-40.0,220.0,0.0,0.0
213,-60.0,220.0,-10.0,100.0,0.0,0.0,15.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-40.0,220.0,0.0,0.0
214,0.0,430.0,50.0,380.0,0.0,0.0,90.0,510.0,100.0,250.0,0.0,0.0,0.0,0.0,70.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,75.0,0.6000000238418579,50.0,500.0,0.0,0.0
220,0.0,230.0,80.0,140.0,0.0,0.0,100.0,250.0,0.0,100.0,0.0,0.0,0.0,0.0,90.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,250.0,0.0,0.0
221,0.0,220.0,20.0,140.0,0.0,0.0,60.0,260.0,0.0,100.0,0.0,0.0,0.0,0.0,40.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,280.0,0.0,0.0
222,-10.0,530.0,60.0,480.0,0.0,0.0,120.0,640.0,-30.0,350.0,0.0,0.0,0.0,0.0,80.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,600.0,0.0,0.0
215,-25.0,240.0,-50.0,140.0,0.0,0.0,0.0,260.0,-50.0,100.0,0.0,0.0,0.0,0.0,-30.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.4000000059604645,-50.0,260.0,0.0,0.0
216,0.0,380.0,20.0,350.0,0.0,0.0,70.0,480.0,0.0,250.0,0.0,0.0,0.0,0.0,50.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,480.0,0.0,0.0
217,120.0,330.0,80.0,250.0,0.0,0.0,300.0,290.0,150.0,200.0,0.0,0.0,0.0,0.0,300.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,260.0,280.0,0.0,0.0
223,-10.0,550.0,80.0,470.0,0.0,0.0,130.0,600.0,60.0,300.0,0.0,0.0,0.0,0.0,80.0,600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,630.0,0.0,0.0
224,130.0,320.0,115.0,160.0,0.0,0.0,80.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.4000000059604645,120.0,280.0,0.0,0.0
225,0.0,650.0,80.0,500.0,0.0,0.0,250.0,680.0,50.0,400.0,0.0,0.0,0.0,0.0,180.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,690.0,0.0,0.0
20,80.0,130.0,30.0,-30.0,0.0,0.0,30.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,100.0,0.0,0.0
21,50.0,290.0,-10.0,130.0,0.0,0.0,25.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,270.0,0.0,0.0
22,30.0,200.0,0.0,50.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,290.0,0.0,0.0
23,120.0,280.0,90.0,170.0,0.0,0.0,85.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,290.0,0.0,0.0
24,50.0,150.0,50.0,30.0,0.0,0.0,20.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,130.0,0.0,0.0
25,30.0,200.0,0.0,30.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,160.0,0.0,0.0
26,30.0,200.0,0.0,50.0,0.0,0.0,-20.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,150.0,0.0,0.0
27,130.0,250.0,80.0,110.0,0.0,0.0,85.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,240.0,0.0,0.0
28,30.0,200.0,0.0,30.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,140.0,0.0,0.0
29,30.0,270.0,-15.0,120.0,0.0,0.0,-20.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,240.0,0.0,0.0
30,60.0,290.0,25.0,110.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,250.0,0.0,0.0
31,30.0,200.0,0.0,30.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,160.0,0.0,0.0
32,20.0,230.0,20.0,120.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,210.0,0.0,0.0
33,60.0,240.0,40.0,110.0,0.0,0.0,40.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,220.0,0.0,0.0
34,60.0,260.0,0.0,90.0,0.0,0.0,10.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,260.0,0.0,0.0
35,60.0,240.0,40.0,110.0,0.0,0.0,40.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,220.0,0.0,0.0
36,80.0,250.0,40.0,130.0,0.0,0.0,25.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0,280.0,0.0,0.0
