m_id,m_AnimType,m_Loop,m_FrontName,m_RearName,m_LeftName,m_RightName,m_UpperLeftName,m_UpperLeftName2,m_UpperLeftName3,m_UpperRightName,m_UpperRightName2,m_UpperRightName3,m_LowerLeftName,m_LowerLeftName2,m_LowerLeftName3,m_LowerRightName,m_LowerRightName2,m_LowerRightName3,m_Idle
19,0,194,Nemo_Smi_FR,,Nemo_Smi_LS,,,,,,,,,,,,,,194
20,2,195,Evnt_A,Evnt_A,Evnt_A,,,,,,,,,,,,,,194
21,2,195,Evnt_B,Evnt_B,Evnt_B,,,,,,,,,,,,,,194
22,2,195,Evnt_C,Evnt_C,Evnt_C,,,,,,,,,,,,,,194
23,2,195,Evnt_D,Evnt_D,Evnt_D,,,,,,,,,,,,,,194
24,2,195,Evnt_E,Evnt_E,Evnt_E,,,,,,,,,,,,,,194
25,2,195,Evnt_F,Evnt_F,Evnt_F,,,,,,,,,,,,,,194
26,2,195,Evnt_G,Evnt_G,Evnt_G,,,,,,,,,,,,,,194
27,2,195,Evnt_H,Evnt_H,Evnt_H,,,,,,,,,,,,,,194
28,2,195,Evnt_I,Evnt_I,Evnt_I,,,,,,,,,,,,,,194
29,2,195,Evnt_J,Evnt_J,Evnt_J,,,,,,,,,,,,,,194
30,2,195,Evnt_K,Evnt_K,Evnt_K,,,,,,,,,,,,,,194
31,2,195,Evnt_L,Evnt_L,Evnt_L,,,,,,,,,,,,,,194
32,2,195,Evnt_M,Evnt_M,Evnt_M,,,,,,,,,,,,,,194
33,2,195,Evnt_N,Evnt_N,Evnt_N,,,,,,,,,,,,,,194
34,2,195,Evnt_O,Evnt_O,Evnt_O,,,,,,,,,,,,,,194
35,1,195,,,Bidl_LS,,,,,,,,,,,,,,195
36,1,195,,,Bchg_LS,,,,,,,,,,,,,,195
37,1,195,,,Badd_LS,,,,,,,,,,,,,,195
38,1,195,,,Bded_LS,,,,,,,,,,,,,,195
39,1,194,,,Bdmg_LS,,,,,,,,,,,,,,194
40,1,195,,,Bbad_LS,,,,,,,,,,,,,,194
41,0,195,,,Ncom_Slp_LS,,,,,,,,,,,,,,194
42,1,194,,,,,,,,,,,,,,,,,194
43,1,194,,,Batk_LS_J01,,,,,,,,,,,,,,194
44,1,194,,,Batk_LS_J02,,,,,,,,,,,,,,194
45,1,194,,,Batk_LS_J03,,,,,,,,,,,,,,194
46,1,194,,,Batk_LS_J04,,,,,,,,,,,,,,194
47,1,194,,,Batk_LS_J05,,,,,,,,,,,,,,194
48,1,194,,,Batk_LS_J06,,,,,,,,,,,,,,194
49,1,194,,,Batk_LS_J07,,,,,,,,,,,,,,194
50,1,194,,,Batk_LS_J08,,,,,,,,,,,,,,194
51,1,195,,,Batk_Stp_LS_J01,,,,,,,,,,,,,,194
52,1,195,,,Batk_Stp_LS_J02,,,,,,,,,,,,,,194
53,1,195,,,Batk_Stp_LS_J03,,,,,,,,,,,,,,194
54,1,195,,,Batk_Stp_LS_J04,,,,,,,,,,,,,,194
55,1,195,,,Batk_Stp_LS_J05,,,,,,,,,,,,,,194
56,1,195,,,Batk_Stp_LS_J06,,,,,,,,,,,,,,194
57,1,195,,,Batk_Stp_LS_J07,,,,,,,,,,,,,,194
58,1,195,,,Batk_Stp_LS_J08,,,,,,,,,,,,,,194
59,1,195,,,Bmgc_A_LS,,,,,,,,,,,,,,194
60,1,195,,,Bmgc_B_LS,,,,,,,,,,,,,,194
61,1,195,,,Bmgc_C_LS,,,,,,,,,,,,,,194
62,0,194,,,Ncom_Fcs_FR,,,,,,,,,,,,,,194
63,0,194,,,Ncom_Fcs_A_FR,,,,,,,,,,,,,,194
64,0,195,,,Ncom_Fcs_B_FR,,,,,,,,,,,,,,194
65,1,194,,,,,,,,,,,,,,,,,194
66,1,194,,,,,,,,,,,,,,,,,194
67,1,194,,,,,,,,,,,,,,,,,194
68,1,194,,,,,,,,,,,,,,,,,194
69,1,194,,,,,,,,,,,,,,,,,194
70,1,194,,,,,,,,,,,,,,,,,194
71,1,194,,,,,,,,,,,,,,,,,194
72,1,194,,,Bbst_St_LS,,,,,,,,,,,,,,194
73,1,194,,,Bbst_Lp_LS,,,,,,,,,,,,,,194
74,1,194,,,Bbst_Ed_LS,,,,,,,,,,,,,,194
75,1,195,,,Bwin_LS,,,,,,,,,,,,,,194
76,1,195,Blvu_FR,,Blvu_FR,,,,,,,,,,,,,,194
77,0,195,,,Ncom_Itm_LS,,,,,,,,,,,,,,194
78,1,195,,,Bchg_LS,,,,,,,,,,,,,,194
79,2,195,Evnt_P,Evnt_P,Evnt_P,,,,,,,,,,,,,,194
80,2,195,Evnt_Q,Evnt_Q,Evnt_Q,,,,,,,,,,,,,,194
81,2,195,Evnt_R,Evnt_R,Evnt_R,,,,,,,,,,,,,,194
82,2,195,Evnt_S,Evnt_S,Evnt_S,,,,,,,,,,,,,,194
83,2,195,Evnt_T,Evnt_T,Evnt_T,,,,,,,,,,,,,,194
84,2,195,Evnt_U,Evnt_U,Evnt_U,,,,,,,,,,,,,,194
85,2,195,Evnt_V,Evnt_V,Evnt_V,,,,,,,,,,,,,,194
86,2,195,Evnt_W,Evnt_W,Evnt_W,,,,,,,,,,,,,,194
87,2,195,Evnt_X,Evnt_X,Evnt_X,,,,,,,,,,,,,,194
88,2,195,Evnt_Y,Evnt_Y,Evnt_Y,,,,,,,,,,,,,,194
89,2,195,Evnt_Z,Evnt_Z,Evnt_Z,,,,,,,,,,,,,,194
90,2,195,Evnt_Teazel_A,Evnt_Teazel_A,Evnt_Teazel_A,,,,,,,,,,,,,,194
91,2,195,Evnt_AA,Evnt_AA,Evnt_AA,,,,,,,,,,,,,,194
92,2,195,Evnt_AB,Evnt_AB,Evnt_AB,,,,,,,,,,,,,,194
93,2,195,Evnt_AC,Evnt_AC,Evnt_AC,,,,,,,,,,,,,,194
94,2,195,Evnt_AD,Evnt_AD,Evnt_AD,,,,,,,,,,,,,,194
95,0,195,,,Ncom_Shk_PC_LS,,,,,,,,,,,,,,194
96,2,195,Evnt_AE,Evnt_AE,Evnt_AE,,,,,,,,,,,,,,194
97,2,195,Evnt_AF,Evnt_AF,Evnt_AF,,,,,,,,,,,,,,194
98,2,195,Evnt_AG,Evnt_AG,Evnt_AG,,,,,,,,,,,,,,194
99,2,195,Evnt_AH,Evnt_AH,Evnt_AH,,,,,,,,,,,,,,194
100,2,195,Evnt_AI,Evnt_AI,Evnt_AI,,,,,,,,,,,,,,194
101,2,195,Evnt_AJ,Evnt_AJ,Evnt_AJ,,,,,,,,,,,,,,194
102,2,195,Evnt_AK,Evnt_AK,Evnt_AK,,,,,,,,,,,,,,194
103,2,195,Evnt_AL,Evnt_AL,Evnt_AL,,,,,,,,,,,,,,194
104,2,195,Evnt_AM,Evnt_AM,Evnt_AM,,,,,,,,,,,,,,194
105,2,195,Evnt_AN,Evnt_AN,Evnt_AN,,,,,,,,,,,,,,194
106,2,195,Evnt_AO,Evnt_AO,Evnt_AO,,,,,,,,,,,,,,194
107,2,195,Evnt_AP,Evnt_AP,Evnt_AP,,,,,,,,,,,,,,194
108,2,195,Evnt_AQ,Evnt_AQ,Evnt_AQ,,,,,,,,,,,,,,194
109,2,195,Evnt_AR,Evnt_AR,Evnt_AR,,,,,,,,,,,,,,194
110,2,195,Evnt_AS,Evnt_AS,Evnt_AS,,,,,,,,,,,,,,194
111,2,195,Evnt_AT,Evnt_AT,Evnt_AT,,,,,,,,,,,,,,194
112,2,195,Evnt_AU,Evnt_AU,Evnt_AU,,,,,,,,,,,,,,194
113,2,195,Evnt_AV,Evnt_AV,Evnt_AV,,,,,,,,,,,,,,194
114,2,195,Evnt_AW,Evnt_AW,Evnt_AW,,,,,,,,,,,,,,194
115,2,195,Evnt_AX,Evnt_AX,Evnt_AX,,,,,,,,,,,,,,194
116,2,195,Evnt_A_W,Evnt_A_W,Evnt_A_W,,,,,,,,,,,,,,194
117,2,195,Evnt_B_W,Evnt_B_W,Evnt_B_W,,,,,,,,,,,,,,194
118,2,195,Evnt_C_W,Evnt_C_W,Evnt_C_W,,,,,,,,,,,,,,194
119,2,195,Evnt_D_W,Evnt_D_W,Evnt_D_W,,,,,,,,,,,,,,194
120,2,195,Evnt_E_W,Evnt_E_W,Evnt_E_W,,,,,,,,,,,,,,194
121,2,195,Evnt_F_W,Evnt_F_W,Evnt_F_W,,,,,,,,,,,,,,194
122,2,195,Evnt_G_W,Evnt_G_W,Evnt_G_W,,,,,,,,,,,,,,194
123,2,195,Evnt_H_W,Evnt_H_W,Evnt_H_W,,,,,,,,,,,,,,194
124,2,195,Evnt_I_W,Evnt_I_W,Evnt_I_W,,,,,,,,,,,,,,194
125,2,195,Evnt_J_W,Evnt_J_W,Evnt_J_W,,,,,,,,,,,,,,194
126,2,195,Evnt_K_W,Evnt_K_W,Evnt_K_W,,,,,,,,,,,,,,194
127,2,195,Evnt_L_W,Evnt_L_W,Evnt_L_W,,,,,,,,,,,,,,194
128,2,195,Evnt_M_W,Evnt_M_W,Evnt_M_W,,,,,,,,,,,,,,194
129,2,195,Evnt_N_W,Evnt_N_W,Evnt_N_W,,,,,,,,,,,,,,194
130,2,195,Evnt_O_W,Evnt_O_W,Evnt_O_W,,,,,,,,,,,,,,194
131,2,195,Evnt_P_W,Evnt_P_W,Evnt_P_W,,,,,,,,,,,,,,194
132,2,195,Evnt_Q_W,Evnt_Q_W,Evnt_Q_W,,,,,,,,,,,,,,194
133,2,195,Evnt_R_W,Evnt_R_W,Evnt_R_W,,,,,,,,,,,,,,194
134,2,195,Evnt_S_W,Evnt_S_W,Evnt_S_W,,,,,,,,,,,,,,194
135,2,195,Evnt_T_W,Evnt_T_W,Evnt_T_W,,,,,,,,,,,,,,194
136,2,195,Evnt_A_H,Evnt_A_H,Evnt_A_H,,,,,,,,,,,,,,194
137,2,195,Evnt_B_H,Evnt_B_H,Evnt_B_H,,,,,,,,,,,,,,194
138,2,195,Evnt_C_H,Evnt_C_H,Evnt_C_H,,,,,,,,,,,,,,194
139,2,195,Evnt_D_H,Evnt_D_H,Evnt_D_H,,,,,,,,,,,,,,194
140,2,195,Evnt_E_H,Evnt_E_H,Evnt_E_H,,,,,,,,,,,,,,194
141,2,195,Evnt_F_H,Evnt_F_H,Evnt_F_H,,,,,,,,,,,,,,194
142,2,195,Evnt_G_H,Evnt_G_H,Evnt_G_H,,,,,,,,,,,,,,194
143,2,195,Evnt_H_H,Evnt_H_H,Evnt_H_H,,,,,,,,,,,,,,194
144,2,195,Evnt_I_H,Evnt_I_H,Evnt_I_H,,,,,,,,,,,,,,194
145,2,195,Evnt_J_H,Evnt_J_H,Evnt_J_H,,,,,,,,,,,,,,194
146,2,195,Evnt_K_H,Evnt_K_H,Evnt_K_H,,,,,,,,,,,,,,194
147,2,195,Evnt_L_H,Evnt_L_H,Evnt_L_H,,,,,,,,,,,,,,194
148,2,195,Evnt_M_H,Evnt_M_H,Evnt_M_H,,,,,,,,,,,,,,194
149,2,195,Evnt_N_H,Evnt_N_H,Evnt_N_H,,,,,,,,,,,,,,194
150,2,195,Evnt_O_H,Evnt_O_H,Evnt_O_H,,,,,,,,,,,,,,194
151,2,195,Evnt_P_H,Evnt_P_H,Evnt_P_H,,,,,,,,,,,,,,194
152,2,195,Evnt_Q_H,Evnt_Q_H,Evnt_Q_H,,,,,,,,,,,,,,194
153,2,195,Evnt_R_H,Evnt_R_H,Evnt_R_H,,,,,,,,,,,,,,194
154,2,195,Evnt_S_H,Evnt_S_H,Evnt_S_H,,,,,,,,,,,,,,194
155,2,195,Evnt_T_H,Evnt_T_H,Evnt_T_H,,,,,,,,,,,,,,194
156,2,195,Evnt_U_H,Evnt_U_H,Evnt_U_H,,,,,,,,,,,,,,194
157,2,195,Evnt_V_H,Evnt_V_H,Evnt_V_H,,,,,,,,,,,,,,194
158,2,195,Evnt_W_H,Evnt_W_H,Evnt_W_H,,,,,,,,,,,,,,194
159,2,195,Evnt_X_H,Evnt_X_H,Evnt_X_H,,,,,,,,,,,,,,194
160,2,195,Evnt_Y_H,Evnt_Y_H,Evnt_Y_H,,,,,,,,,,,,,,194
161,2,195,Evnt_Z_H,Evnt_Z_H,Evnt_Z_H,,,,,,,,,,,,,,194
162,2,195,Evnt_Gonzales_A,Evnt_Gonzales_A,Evnt_Gonzales_A,,,,,,,,,,,,,,194
163,2,194,Evnt_Gonzales_B,Evnt_Gonzales_B,Evnt_Gonzales_B,,,,,,,,,,,,,,194
164,2,194,Evnt_Gonzales_C,Evnt_Gonzales_C,Evnt_Gonzales_C,,,,,,,,,,,,,,194
165,2,195,Evnt_Oedipus_A,Evnt_Oedipus_A,Evnt_Oedipus_A,,,,,,,,,,,,,,194
166,2,195,Evnt_Celo_A,Evnt_Celo_A,Evnt_Celo_A,,,,,,,,,,,,,,194
167,2,195,Evnt_Fra_A,Evnt_Fra_A,Evnt_Fra_A,,,,,,,,,,,,,,194
168,2,195,Evnt_Fra_B,Evnt_Fra_B,Evnt_Fra_B,,,,,,,,,,,,,,194
169,2,195,Evnt_Purple_A,Evnt_Purple_A,Evnt_Purple_A,,,,,,,,,,,,,,194
170,2,194,Evnt_Pathos_A,Evnt_Pathos_A,Evnt_Pathos_A,,,,,,,,,,,,,,194
171,2,194,Evnt_Pathos_B,Evnt_Pathos_B,Evnt_Pathos_B,,,,,,,,,,,,,,194
172,2,194,Evnt_Apateia_A,Evnt_Apateia_A,Evnt_Apateia_A,,,,,,,,,,,,,,194
173,2,194,Evnt_Apateia_B,Evnt_Apateia_B,Evnt_Apateia_B,,,,,,,,,,,,,,194
174,2,195,Evnt_EdolasSld_A,Evnt_EdolasSld_A,Evnt_EdolasSld_A,,,,,,,,,,,,,,194
175,2,195,Evnt_EdolasSld_B,Evnt_EdolasSld_B,Evnt_EdolasSld_B,,,,,,,,,,,,,,194
176,2,195,Evnt_EdolasSld_C,Evnt_EdolasSld_C,Evnt_EdolasSld_C,,,,,,,,,,,,,,194
177,2,194,Evnt_Purimuroze_A,Evnt_Purimuroze_A,Evnt_Purimuroze_A,,,,,,,,,,,,,,194
178,2,195,,,Evnt_KingPhilos_A,,,,,,,,,,,,,,194
179,2,194,,,Evnt_EdolasSld_D,,,,,,,,,,,,,,194
180,2,194,,,Evnt_Crow_A,,,,,,,,,,,,,,194
181,2,195,,,Evnt_Crow_B,,,,,,,,,,,,,,194
182,2,195,,,Evnt_ErikaMam_A,,,,,,,,,,,,,,194
183,0,194,Ncom_Fcs_FR,,,,,,,,,,,,,,,,194
184,0,195,,Ncom_Poi_BK,Ncom_Poi_LS,,,,,,,,,,,,,,194
185,0,194,Ncom_Fcs_A_FR,,,,,,,,,,,,,,,,194
186,0,195,Ncom_Fcs_B_FR,,,,,,,,,,,,,,,,194
187,2,195,,,SnwWlf_Bidl_LS,,,,,,,,,,,,,,194
188,2,195,,,SnwWlf_Run_LS,,,,,,,,,,,,,,194
189,2,195,,,SnwWlf_Wlk_LS,,,,,,,,,,,,,,194
190,2,194,,,Evnt_SnwWlf_A,,,,,,,,,,,,,,194
191,2,195,,,SnwWlfBos_Idl_LS,,,,,,,,,,,,,,194
192,2,195,,,SnwWlfBos_Wlk_LS,,,,,,,,,,,,,,194
193,2,194,,,Evnt_SnwWlfBos_A,,,,,,,,,,,,,,194
194,2,195,,,Evnt_SnwWlfBos_B,,,,,,,,,,,,,,194
195,0,194,SnwWlf_Run_FR,SnwWlf_Run_BK,,,,,,,,,,,,,,,194
196,2,194,,,Evnt_Scarlet_A,,,,,,,,,,,,,,194
197,2,194,,,Evnt_Scarlet_B,,,,,,,,,,,,,,194
198,2,194,,,Evnt_Scarlet_C,,,,,,,,,,,,,,194
199,2,194,,,Evnt_Purutu_A,,,,,,,,,,,,,,194
200,2,194,,,Evnt_Purutu_B,,,,,,,,,,,,,,194
201,2,194,,,Evnt_Purutu_C,,,,,,,,,,,,,,194
202,2,194,,,Evnt_Teazel_B,,,,,,,,,,,,,,194
203,2,194,,,Evnt_Teazel_C,,,,,,,,,,,,,,194
204,2,194,,,Evnt_Teazel_D,,,,,,,,,,,,,,194
205,2,194,,Evnt_Gonsuka_A,,,,,,,,,,,,,,,194
206,2,194,,,Evnt_Elle_A,,,,,,,,,,,,,,194
207,2,195,Evnt_AY,Evnt_AY,Evnt_AY,,,,,,,,,,,,,,194
208,2,195,Evnt_AZ,Evnt_AZ,Evnt_AZ,,,,,,,,,,,,,,194
209,2,195,Evnt_BA,Evnt_BA,Evnt_BA,,,,,,,,,,,,,,194
210,2,195,Evnt_BB,Evnt_BB,Evnt_BB,,,,,,,,,,,,,,194
211,2,195,Evnt_BC,Evnt_BC,Evnt_BC,,,,,,,,,,,,,,194
212,2,195,Evnt_BD,Evnt_BD,Evnt_BD,,,,,,,,,,,,,,194
213,2,195,Evnt_BE,Evnt_BE,Evnt_BE,,,,,,,,,,,,,,194
214,2,195,Evnt_BF,Evnt_BF,Evnt_BF,,,,,,,,,,,,,,194
215,2,195,Evnt_BG,Evnt_BG,Evnt_BG,,,,,,,,,,,,,,194
216,2,195,Evnt_BH,Evnt_BH,Evnt_BH,,,,,,,,,,,,,,194
217,2,194,,,Evnt_TattorockSerGL_A,,,,,,,,,,,,,,194
218,2,195,Evnt_BigPanther_A,Evnt_BigPanther_A,Evnt_BigPanther_A,Evnt_BigPanther_A,,,,,,,,,,,,,194
219,2,194,Evnt_Gonsuka_B,Evnt_Gonsuka_B,Evnt_Gonsuka_B,,,,,,,,,,,,,,194
220,2,194,Evnt_Lahm_A,Evnt_Lahm_A,Evnt_Lahm_A,,,,,,,,,,,,,,194
221,2,194,Evnt_KingLieven_A,Evnt_KingLieven_A,Evnt_KingLieven_A,,,,,,,,,,,,,,194
222,2,194,Evnt_Pelagia_A,Evnt_Pelagia_A,Evnt_Pelagia_A,,,,,,,,,,,,,,194
223,2,195,,,TattoRide_Idl_LS,,,,,,,,,,,,,,194
224,2,195,,,TattoRide_Wlk_LS,,,,,,,,,,,,,,194
225,2,195,,,BigPanther_Idl_LS,,,,,,,,,,,,,,194
226,2,195,,,BigPanther_Wlk_LS,,,,,,,,,,,,,,194
227,2,195,,,Panther_Idl_LS,,,,,,,,,,,,,,194
228,2,195,,,Panther_Run_LS,,,,,,,,,,,,,,194
229,2,195,,,Panther_Bded_LS,,,,,,,,,,,,,,194
230,2,195,,,PantherSldRide_Idl_LS,,,,,,,,,,,,,,194
231,2,195,,,PantherSldRide_Run_LS,,,,,,,,,,,,,,194
232,2,195,,,PantherSldRide_Bidl_LS,,,,,,,,,,,,,,194
233,2,194,,,PantherSldRide_BatkA_LS,,,,,,,,,,,,,,194
234,2,194,,,PantherSldRide_BatkB_LS,,,,,,,,,,,,,,194
235,2,195,,,NaguroRide_Idl_LS,,,,,,,,,,,,,,194
236,2,195,,,NaguroRide_Run_LS,,,,,,,,,,,,,,194
237,2,195,,,NaguroRide_Bidl_LS,,,,,,,,,,,,,,194
238,2,194,,,NaguroRide_BatkA_LS,,,,,,,,,,,,,,194
239,2,194,,,Evnt_Tattorock_A,,,,,,,,,,,,,,194
240,2,195,,,Evnt_Tattorock_B,,,,,,,,,,,,,,194
241,2,194,,,Evnt_Tattorock_C,,,,,,,,,,,,,,194
242,2,194,,,Evnt_PantherSldRide_C,,,,,,,,,,,,,,194
243,1,194,,,Oska_Batk_B,,,,,,,,,,,,,,194
244,2,194,,,Evnt_Oska_A,,,,,,,,,,,,,,194
245,2,194,,,Evnt_Oska_B,,,,,,,,,,,,,,194
246,2,195,,,Evnt_Nicola_A,,,,,,,,,,,,,,194
247,2,195,Evnt_Harley_A,Evnt_Harley_A,Evnt_Harley_A,,,,,,,,,,,,,,194
248,2,195,,,TattoRide_Fin_LS,,,,,,,,,,,,,,194
249,2,195,,,TattoRide_Itm_LS,,,,,,,,,,,,,,194
250,2,195,,,TattoRide_Lok_LS,,,,,,,,,,,,,,194
251,2,195,,,Evnt_TattoRide_A,,,,,,,,,,,,,,194
252,2,195,,,Evnt_TattoRide_B,,,,,,,,,,,,,,194
253,2,194,Evnt_Eltrix_A,Evnt_Eltrix_A,Evnt_Eltrix_A,,,,,,,,,,,,,,194
254,2,194,,,Evnt_Eltrix_B,,,,,,,,,,,,,,194
255,2,195,,,Linde_Idl_LS,,,,,,,,,,,,,,194
256,2,195,,,Linde_Wlk_LS,,,,,,,,,,,,,,194
257,2,195,,,Linde_Run_LS,,,,,,,,,,,,,,194
258,2,195,,,Evnt_Linde_A,,,,,,,,,,,,,,194
259,2,194,,,Evnt_Linde_B,,,,,,,,,,,,,,194
260,2,195,SinKyo_Idl_LS,SinKyo_Idl_LS,SinKyo_Idl_LS,,,,,,,,,,,,,,194
261,2,195,SinKyo_Idl_FR,SinKyo_Idl_FR,SinKyo_Idl_FR,,,,,,,,,,,,,,194
262,2,195,SinKyo_Idl_BK,SinKyo_Idl_BK,SinKyo_Idl_BK,,,,,,,,,,,,,,194
263,2,195,Evnt_U_W,Evnt_U_W,Evnt_U_W,,,,,,,,,,,,,,194
264,2,195,Evnt_V_W,Evnt_V_W,Evnt_V_W,,,,,,,,,,,,,,194
265,2,195,Evnt_W_W,Evnt_W_W,Evnt_W_W,,,,,,,,,,,,,,194
266,2,195,Evnt_X_W,Evnt_X_W,Evnt_X_W,,,,,,,,,,,,,,194
267,2,195,Evnt_Y_W,Evnt_Y_W,Evnt_Y_W,,,,,,,,,,,,,,194
268,2,195,Evnt_Z_W,Evnt_Z_W,Evnt_Z_W,,,,,,,,,,,,,,194
269,2,195,Evnt_AA_W,Evnt_AA_W,Evnt_AA_W,,,,,,,,,,,,,,194
270,2,195,Evnt_AB_W,Evnt_AB_W,Evnt_AB_W,,,,,,,,,,,,,,194
271,2,195,Evnt_AC_W,Evnt_AC_W,Evnt_AC_W,,,,,,,,,,,,,,194
272,2,195,Evnt_AD_W,Evnt_AD_W,Evnt_AD_W,,,,,,,,,,,,,,194
273,0,195,Linde_Run_FR,Linde_Run_FR,Linde_Run_FR,,,,,,,,,,,,,,194
274,0,195,Linde_Run_BK,Linde_Run_BK,Linde_Run_BK,,,,,,,,,,,,,,194
275,2,195,,,Lulu_Run_LS,,,,,,,,,,,,,,194
276,2,195,Evnt_OskaFollowersA_A,Evnt_OskaFollowersA_A,Evnt_OskaFollowersA_A,,,,,,,,,,,,,,194
277,2,194,Evnt_Rondo_A,Evnt_Rondo_A,Evnt_Rondo_A,,,,,,,,,,,,,,194
278,2,195,SinKyoMonaris_Idl_LS,SinKyoMonaris_Idl_LS,SinKyoMonaris_Idl_LS,,,,,,,,,,,,,,194
279,2,194,Evnt_SinKyoMonaris_A,Evnt_SinKyoMonaris_A,Evnt_SinKyoMonaris_A,,,,,,,,,,,,,,194
280,2,195,SinKyo_Bidl_LS,SinKyo_Bidl_LS,SinKyo_Bidl_LS,,,,,,,,,,,,,,194
281,2,195,SinKyo_Wlk_BK,SinKyo_Wlk_BK,SinKyo_Wlk_BK,,,,,,,,,,,,,,194
282,2,195,SinKyo_Wlk_FR,SinKyo_Wlk_FR,SinKyo_Wlk_FR,,,,,,,,,,,,,,194
283,2,195,SinKyo_Wlk_LS,SinKyo_Wlk_LS,SinKyo_Wlk_LS,,,,,,,,,,,,,,194
284,2,195,SinKyo_Badd_LS,SinKyo_Badd_LS,SinKyo_Badd_LS,,,,,,,,,,,,,,194
285,2,195,SinKyo_Bded_LS,SinKyo_Bded_LS,SinKyo_Bded_LS,,,,,,,,,,,,,,194
286,2,195,,,Evnt_Hagen_A,,,,,,,,,,,,,,194
287,2,195,,,Evnt_Hagen_B,,,,,,,,,,,,,,194
288,2,195,,,Evnt_Hagen_C,,,,,,,,,,,,,,194
289,2,194,,,Evnt_kurauza_A,,,,,,,,,,,,,,194
290,2,194,,,Evnt_kurauza_B,,,,,,,,,,,,,,194
291,2,194,,,Evnt_erika_b_A,,,,,,,,,,,,,,194
292,2,194,,,Evnt_Iburi_A,,,,,,,,,,,,,,194
293,2,195,Evnt_BI,Evnt_BI,Evnt_BI,,,,,,,,,,,,,,194
294,2,195,Evnt_BJ,Evnt_BJ,Evnt_BJ,,,,,,,,,,,,,,194
295,2,195,Evnt_BK,Evnt_BK,Evnt_BK,,,,,,,,,,,,,,194
296,2,195,Evnt_BL,Evnt_BL,Evnt_BL,,,,,,,,,,,,,,194
297,2,195,Evnt_BM,Evnt_BM,Evnt_BM,,,,,,,,,,,,,,194
298,2,195,Evnt_BN,Evnt_BN,Evnt_BN,,,,,,,,,,,,,,194
299,2,195,Evnt_BO,Evnt_BO,Evnt_BO,,,,,,,,,,,,,,194
300,2,195,Evnt_BP,Evnt_BP,Evnt_BP,,,,,,,,,,,,,,194
301,2,195,Evnt_BQ,Evnt_BQ,Evnt_BQ,,,,,,,,,,,,,,194
302,2,195,Evnt_BR,Evnt_BR,Evnt_BR,,,,,,,,,,,,,,194
303,2,195,Evnt_BS,Evnt_BS,Evnt_BS,,,,,,,,,,,,,,194
304,2,195,Evnt_BT,Evnt_BT,Evnt_BT,,,,,,,,,,,,,,194
305,2,195,Evnt_BU,Evnt_BU,Evnt_BU,,,,,,,,,,,,,,194
306,2,195,Evnt_BV,Evnt_BV,Evnt_BV,,,,,,,,,,,,,,194
307,2,195,Evnt_BW,Evnt_BW,Evnt_BW,,,,,,,,,,,,,,194
308,2,195,Evnt_BX,Evnt_BX,Evnt_BX,,,,,,,,,,,,,,194
309,2,195,Evnt_BY,Evnt_BY,Evnt_BY,,,,,,,,,,,,,,194
310,2,195,Evnt_BZ,Evnt_BZ,Evnt_BZ,,,,,,,,,,,,,,194
311,2,195,Evnt_CA,Evnt_CA,Evnt_CA,,,,,,,,,,,,,,194
312,2,195,Evnt_CB,Evnt_CB,Evnt_CB,,,,,,,,,,,,,,194
313,2,195,Evnt_CC,Evnt_CC,Evnt_CC,,,,,,,,,,,,,,194
