m_id,m_GetJP,m_Param,m_CureRate,m_Exp
30,2,"[0, 750, 60, 5, 0, 750, 60, 0, 0, 30, 30, 30, 30, 30, 30, 0, 30, 30, 30, 30, 30]",239,"[11820, 11820, 11820, 11820, 11820, 11820, 11820, 11820]"
31,1,"[0, 775, 62, 5, 0, 775, 62, 0, 0, 31, 31, 31, 31, 31, 31, 0, 31, 31, 31, 31, 31]",240,"[13750, 13750, 13750, 13750, 13750, 13750, 13750, 13750]"
32,1,"[0, 800, 64, 5, 0, 800, 64, 0, 0, 32, 32, 32, 32, 32, 32, 0, 32, 32, 32, 32, 32]",241,"[15930, 15930, 15930, 15930, 15930, 15930, 15930, 15930]"
33,1,"[0, 825, 66, 5, 0, 825, 66, 0, 0, 33, 33, 33, 33, 33, 33, 0, 33, 33, 33, 33, 33]",242,"[18380, 18380, 18380, 18380, 18380, 18380, 18380, 18380]"
34,1,"[0, 850, 68, 5, 0, 850, 68, 0, 0, 34, 34, 34, 34, 34, 34, 0, 34, 34, 34, 34, 34]",243,"[21140, 21140, 21140, 21140, 21140, 21140, 21140, 21140]"
35,1,"[0, 875, 70, 5, 0, 875, 70, 0, 0, 35, 35, 35, 35, 35, 35, 0, 35, 35, 35, 35, 35]",244,"[24230, 24230, 24230, 24230, 24230, 24230, 24230, 24230]"
36,1,"[0, 900, 72, 5, 0, 900, 72, 0, 0, 36, 36, 36, 36, 36, 36, 0, 36, 36, 36, 36, 36]",245,"[27690, 27690, 27690, 27690, 27690, 27690, 27690, 27690]"
37,1,"[0, 925, 74, 5, 0, 925, 74, 0, 0, 37, 37, 37, 37, 37, 37, 0, 37, 37, 37, 37, 37]",246,"[31550, 31550, 31550, 31550, 31550, 31550, 31550, 31550]"
38,1,"[0, 950, 76, 5, 0, 950, 76, 0, 0, 38, 38, 38, 38, 38, 38, 0, 38, 38, 38, 38, 38]",247,"[35840, 35840, 35840, 35840, 35840, 35840, 35840, 35840]"
39,1,"[0, 975, 78, 5, 0, 975, 78, 0, 0, 39, 39, 39, 39, 39, 39, 0, 39, 39, 39, 39, 39]",248,"[40610, 40610, 40610, 40610, 40610, 40610, 40610, 40610]"
40,2,"[0, 1000, 80, 5, 0, 1000, 80, 0, 0, 40, 40, 40, 40, 40, 40, 0, 40, 40, 40, 40, 40]",249,"[45890, 45890, 45890, 45890, 45890, 45890, 45890, 45890]"
41,1,"[0, 1025, 82, 5, 0, 1025, 82, 0, 0, 41, 41, 41, 41, 41, 41, 0, 41, 41, 41, 41, 41]",250,"[51740, 51740, 51740, 51740, 51740, 51740, 51740, 51740]"
42,1,"[0, 1050, 84, 5, 0, 1050, 84, 0, 0, 42, 42, 42, 42, 42, 42, 0, 42, 42, 42, 42, 42]",251,"[58200, 58200, 58200, 58200, 58200, 58200, 58200, 58200]"
43,1,"[0, 1075, 86, 5, 0, 1075, 86, 0, 0, 43, 43, 43, 43, 43, 43, 0, 43, 43, 43, 43, 43]",252,"[65320, 65320, 65320, 65320, 65320, 65320, 65320, 65320]"
44,1,"[0, 1100, 88, 5, 0, 1100, 88, 0, 0, 44, 44, 44, 44, 44, 44, 0, 44, 44, 44, 44, 44]",253,"[73150, 73150, 73150, 73150, 73150, 73150, 73150, 73150]"
45,1,"[0, 1125, 90, 5, 0, 1125, 90, 0, 0, 45, 45, 45, 45, 45, 45, 0, 45, 45, 45, 45, 45]",254,"[81760, 81760, 81760, 81760, 81760, 81760, 81760, 81760]"
46,1,"[0, 1150, 92, 5, 0, 1150, 92, 0, 0, 46, 46, 46, 46, 46, 46, 0, 46, 46, 46, 46, 46]",255,"[91200, 91200, 91200, 91200, 91200, 91200, 91200, 91200]"
47,1,"[0, 1175, 94, 5, 0, 1175, 94, 0, 0, 47, 47, 47, 47, 47, 47, 0, 47, 47, 47, 47, 47]",256,"[101540, 101540, 101540, 101540, 101540, 101540, 101540, 101540]"
48,1,"[0, 1200, 96, 5, 0, 1200, 96, 0, 0, 48, 48, 48, 48, 48, 48, 0, 48, 48, 48, 48, 48]",257,"[112860, 112860, 112860, 112860, 112860, 112860, 112860, 112860]"
49,1,"[0, 1225, 98, 5, 0, 1225, 98, 0, 0, 49, 49, 49, 49, 49, 49, 0, 49, 49, 49, 49, 49]",258,"[125220, 125220, 125220, 125220, 125220, 125220, 125220, 125220]"
50,2,"[0, 1250, 100, 5, 0, 1250, 100, 0, 0, 50, 50, 50, 50, 50, 50, 0, 50, 50, 50, 50, 50]",259,"[138710, 138710, 138710, 138710, 138710, 138710, 138710, 138710]"
51,2,"[0, 1275, 102, 5, 0, 1275, 102, 0, 0, 51, 51, 51, 51, 51, 51, 0, 51, 51, 51, 51, 51]",260,"[153410, 153410, 153410, 153410, 153410, 153410, 153410, 153410]"
52,2,"[0, 1300, 104, 5, 0, 1300, 104, 0, 0, 52, 52, 52, 52, 52, 52, 0, 52, 52, 52, 52, 52]",261,"[169410, 169410, 169410, 169410, 169410, 169410, 169410, 169410]"
53,2,"[0, 1325, 106, 5, 0, 1325, 106, 0, 0, 53, 53, 53, 53, 53, 53, 0, 53, 53, 53, 53, 53]",262,"[186800, 186800, 186800, 186800, 186800, 186800, 186800, 186800]"
54,2,"[0, 1350, 108, 5, 0, 1350, 108, 0, 0, 54, 54, 54, 54, 54, 54, 0, 54, 54, 54, 54, 54]",263,"[205690, 205690, 205690, 205690, 205690, 205690, 205690, 205690]"
55,2,"[0, 1375, 110, 5, 0, 1375, 110, 0, 0, 55, 55, 55, 55, 55, 55, 0, 55, 55, 55, 55, 55]",264,"[226180, 226180, 226180, 226180, 226180, 226180, 226180, 226180]"
56,2,"[0, 1400, 112, 5, 0, 1400, 112, 0, 0, 56, 56, 56, 56, 56, 56, 0, 56, 56, 56, 56, 56]",265,"[248380, 248380, 248380, 248380, 248380, 248380, 248380, 248380]"
57,2,"[0, 1425, 114, 5, 0, 1425, 114, 0, 0, 57, 57, 57, 57, 57, 57, 0, 57, 57, 57, 57, 57]",266,"[272410, 272410, 272410, 272410, 272410, 272410, 272410, 272410]"
58,2,"[0, 1450, 116, 5, 0, 1450, 116, 0, 0, 58, 58, 58, 58, 58, 58, 0, 58, 58, 58, 58, 58]",267,"[298400, 298400, 298400, 298400, 298400, 298400, 298400, 298400]"
59,2,"[0, 1475, 118, 5, 0, 1475, 118, 0, 0, 59, 59, 59, 59, 59, 59, 0, 59, 59, 59, 59, 59]",268,"[326490, 326490, 326490, 326490, 326490, 326490, 326490, 326490]"
60,2,"[0, 1500, 120, 5, 0, 1500, 120, 0, 0, 60, 60, 60, 60, 60, 60, 0, 60, 60, 60, 60, 60]",269,"[356810, 356810, 356810, 356810, 356810, 356810, 356810, 356810]"
61,2,"[0, 1525, 122, 5, 0, 1525, 122, 0, 0, 61, 61, 61, 61, 61, 61, 0, 61, 61, 61, 61, 61]",270,"[389510, 389510, 389510, 389510, 389510, 389510, 389510, 389510]"
62,2,"[0, 1550, 124, 5, 0, 1550, 124, 0, 0, 62, 62, 62, 62, 62, 62, 0, 62, 62, 62, 62, 62]",271,"[424750, 424750, 424750, 424750, 424750, 424750, 424750, 424750]"
63,2,"[0, 1575, 126, 5, 0, 1575, 126, 0, 0, 63, 63, 63, 63, 63, 63, 0, 63, 63, 63, 63, 63]",272,"[462700, 462700, 462700, 462700, 462700, 462700, 462700, 462700]"
64,2,"[0, 1600, 128, 5, 0, 1600, 128, 0, 0, 64, 64, 64, 64, 64, 64, 0, 64, 64, 64, 64, 64]",273,"[503530, 503530, 503530, 503530, 503530, 503530, 503530, 503530]"
65,2,"[0, 1625, 130, 5, 0, 1625, 130, 0, 0, 65, 65, 65, 65, 65, 65, 0, 65, 65, 65, 65, 65]",274,"[547430, 547430, 547430, 547430, 547430, 547430, 547430, 547430]"
66,2,"[0, 1650, 132, 5, 0, 1650, 132, 0, 0, 66, 66, 66, 66, 66, 66, 0, 66, 66, 66, 66, 66]",275,"[594590, 594590, 594590, 594590, 594590, 594590, 594590, 594590]"
67,2,"[0, 1675, 134, 5, 0, 1675, 134, 0, 0, 67, 67, 67, 67, 67, 67, 0, 67, 67, 67, 67, 67]",276,"[645220, 645220, 645220, 645220, 645220, 645220, 645220, 645220]"
68,2,"[0, 1700, 136, 5, 0, 1700, 136, 0, 0, 68, 68, 68, 68, 68, 68, 0, 68, 68, 68, 68, 68]",277,"[699530, 699530, 699530, 699530, 699530, 699530, 699530, 699530]"
69,2,"[0, 1725, 138, 5, 0, 1725, 138, 0, 0, 69, 69, 69, 69, 69, 69, 0, 69, 69, 69, 69, 69]",278,"[757750, 757750, 757750, 757750, 757750, 757750, 757750, 757750]"
70,3,"[0, 1750, 140, 5, 0, 1750, 140, 0, 0, 70, 70, 70, 70, 70, 70, 0, 70, 70, 70, 70, 70]",279,"[820120, 820120, 820120, 820120, 820120, 820120, 820120, 820120]"
71,3,"[0, 1775, 142, 5, 0, 1775, 142, 0, 0, 71, 71, 71, 71, 71, 71, 0, 71, 71, 71, 71, 71]",280,"[886900, 886900, 886900, 886900, 886900, 886900, 886900, 886900]"
72,3,"[0, 1800, 144, 5, 0, 1800, 144, 0, 0, 72, 72, 72, 72, 72, 72, 0, 72, 72, 72, 72, 72]",281,"[958350, 958350, 958350, 958350, 958350, 958350, 958350, 958350]"
73,3,"[0, 1825, 146, 5, 0, 1825, 146, 0, 0, 73, 73, 73, 73, 73, 73, 0, 73, 73, 73, 73, 73]",282,"[1034750, 1034750, 1034750, 1034750, 1034750, 1034750, 1034750, 1034750]"
74,3,"[0, 1850, 148, 5, 0, 1850, 148, 0, 0, 74, 74, 74, 74, 74, 74, 0, 74, 74, 74, 74, 74]",283,"[1116390, 1116390, 1116390, 1116390, 1116390, 1116390, 1116390, 1116390]"
75,3,"[0, 1875, 150, 5, 0, 1875, 150, 0, 0, 75, 75, 75, 75, 75, 75, 0, 75, 75, 75, 75, 75]",284,"[1203580, 1203580, 1203580, 1203580, 1203580, 1203580, 1203580, 1203580]"
76,3,"[0, 1900, 152, 5, 0, 1900, 152, 0, 0, 76, 76, 76, 76, 76, 76, 0, 76, 76, 76, 76, 76]",285,"[1296650, 1296650, 1296650, 1296650, 1296650, 1296650, 1296650, 1296650]"
77,3,"[0, 1925, 154, 5, 0, 1925, 154, 0, 0, 77, 77, 77, 77, 77, 77, 0, 77, 77, 77, 77, 77]",286,"[1395940, 1395940, 1395940, 1395940, 1395940, 1395940, 1395940, 1395940]"
78,3,"[0, 1950, 156, 5, 0, 1950, 156, 0, 0, 78, 78, 78, 78, 78, 78, 0, 78, 78, 78, 78, 78]",287,"[1501810, 1501810, 1501810, 1501810, 1501810, 1501810, 1501810, 1501810]"
79,3,"[0, 1975, 158, 5, 0, 1975, 158, 0, 0, 79, 79, 79, 79, 79, 79, 0, 79, 79, 79, 79, 79]",288,"[1614630, 1614630, 1614630, 1614630, 1614630, 1614630, 1614630, 1614630]"
80,3,"[0, 2000, 160, 5, 0, 2000, 160, 0, 0, 80, 80, 80, 80, 80, 80, 0, 80, 80, 80, 80, 80]",289,"[1734800, 1734800, 1734800, 1734800, 1734800, 1734800, 1734800, 1734800]"
81,3,"[0, 2025, 162, 5, 0, 2025, 162, 0, 0, 81, 81, 81, 81, 81, 81, 0, 81, 81, 81, 81, 81]",290,"[1862740, 1862740, 1862740, 1862740, 1862740, 1862740, 1862740, 1862740]"
82,3,"[0, 2050, 164, 5, 0, 2050, 164, 0, 0, 82, 82, 82, 82, 82, 82, 0, 82, 82, 82, 82, 82]",291,"[1998880, 1998880, 1998880, 1998880, 1998880, 1998880, 1998880, 1998880]"
83,3,"[0, 2075, 166, 5, 0, 2075, 166, 0, 0, 83, 83, 83, 83, 83, 83, 0, 83, 83, 83, 83, 83]",292,"[2143670, 2143670, 2143670, 2143670, 2143670, 2143670, 2143670, 2143670]"
84,3,"[0, 2100, 168, 5, 0, 2100, 168, 0, 0, 84, 84, 84, 84, 84, 84, 0, 84, 84, 84, 84, 84]",293,"[2297600, 2297600, 2297600, 2297600, 2297600, 2297600, 2297600, 2297600]"
85,3,"[0, 2125, 170, 5, 0, 2125, 170, 0, 0, 85, 85, 85, 85, 85, 85, 0, 85, 85, 85, 85, 85]",294,"[2461160, 2461160, 2461160, 2461160, 2461160, 2461160, 2461160, 2461160]"
86,3,"[0, 2150, 172, 5, 0, 2150, 172, 0, 0, 86, 86, 86, 86, 86, 86, 0, 86, 86, 86, 86, 86]",295,"[2634880, 2634880, 2634880, 2634880, 2634880, 2634880, 2634880, 2634880]"
87,3,"[0, 2175, 174, 5, 0, 2175, 174, 0, 0, 87, 87, 87, 87, 87, 87, 0, 87, 87, 87, 87, 87]",296,"[2819320, 2819320, 2819320, 2819320, 2819320, 2819320, 2819320, 2819320]"
88,3,"[0, 2200, 176, 5, 0, 2200, 176, 0, 0, 88, 88, 88, 88, 88, 88, 0, 88, 88, 88, 88, 88]",297,"[3015050, 3015050, 3015050, 3015050, 3015050, 3015050, 3015050, 3015050]"
89,3,"[0, 2225, 178, 5, 0, 2225, 178, 0, 0, 89, 89, 89, 89, 89, 89, 0, 89, 89, 89, 89, 89]",298,"[3222670, 3222670, 3222670, 3222670, 3222670, 3222670, 3222670, 3222670]"
90,3,"[0, 2250, 180, 5, 0, 2250, 180, 0, 0, 90, 90, 90, 90, 90, 90, 0, 90, 90, 90, 90, 90]",299,"[3442820, 3442820, 3442820, 3442820, 3442820, 3442820, 3442820, 3442820]"
91,4,"[0, 2275, 182, 5, 0, 2275, 182, 0, 0, 91, 91, 91, 91, 91, 91, 0, 91, 91, 91, 91, 91]",300,"[3676160, 3676160, 3676160, 3676160, 3676160, 3676160, 3676160, 3676160]"
92,4,"[0, 2300, 184, 5, 0, 2300, 184, 0, 0, 92, 92, 92, 92, 92, 92, 0, 92, 92, 92, 92, 92]",300,"[3923390, 3923390, 3923390, 3923390, 3923390, 3923390, 3923390, 3923390]"
93,4,"[0, 2325, 186, 5, 0, 2325, 186, 0, 0, 93, 93, 93, 93, 93, 93, 0, 93, 93, 93, 93, 93]",300,"[4185230, 4185230, 4185230, 4185230, 4185230, 4185230, 4185230, 4185230]"
94,4,"[0, 2350, 188, 5, 0, 2350, 188, 0, 0, 94, 94, 94, 94, 94, 94, 0, 94, 94, 94, 94, 94]",300,"[4462440, 4462440, 4462440, 4462440, 4462440, 4462440, 4462440, 4462440]"
95,4,"[0, 2375, 190, 5, 0, 2375, 190, 0, 0, 95, 95, 95, 95, 95, 95, 0, 95, 95, 95, 95, 95]",300,"[4755820, 4755820, 4755820, 4755820, 4755820, 4755820, 4755820, 4755820]"
96,4,"[0, 2400, 192, 5, 0, 2400, 192, 0, 0, 96, 96, 96, 96, 96, 96, 0, 96, 96, 96, 96, 96]",300,"[5066190, 5066190, 5066190, 5066190, 5066190, 5066190, 5066190, 5066190]"
97,4,"[0, 2425, 194, 5, 0, 2425, 194, 0, 0, 97, 97, 97, 97, 97, 97, 0, 97, 97, 97, 97, 97]",300,"[5394430, 5394430, 5394430, 5394430, 5394430, 5394430, 5394430, 5394430]"
98,4,"[0, 2450, 196, 5, 0, 2450, 196, 0, 0, 98, 98, 98, 98, 98, 98, 0, 98, 98, 98, 98, 98]",300,"[5741450, 5741450, 5741450, 5741450, 5741450, 5741450, 5741450, 5741450]"
99,4,"[0, 2475, 198, 5, 0, 2475, 198, 0, 0, 99, 99, 99, 99, 99, 99, 0, 99, 99, 99, 99, 99]",300,"[6108190, 6108190, 6108190, 6108190, 6108190, 6108190, 6108190, 6108190]"
100,5,"[0, 2500, 200, 5, 0, 2500, 200, 0, 0, 100, 100, 100, 100, 100, 100, 0, 100, 100, 100, 100, 100]",300,"[0, 0, 0, 0, 0, 0, 0, 0]"
