m_id,m_Label,m_VoiceID,m_JobID,m_UseCount,m_RemainTurn,m_Level,m_FcRank,m_Param,m_EquipAtk,m_ResistID,m_ResistWeapon,m_ResistMagic,m_EnemyTypeID,m_TacticalAssignID,m_SkillsID,m_OrderTexUS,m_OrderTexVS,m_OrderScaleS,m_OrderTexUL,m_OrderTexVL,m_OrderScaleL
11,PLAYER_0011,cc0b,3,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
12,PLAYER_0012,cc0c,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
13,PLAYER_0013,cc0d,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
14,PLAYER_0014,cc0e,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
15,PLAYER_0015,cc0f,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
16,PLAYER_0016,cc10,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
17,PLAYER_0017,cc11,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
18,PLAYER_0018,cc12,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
19,PLAYER_0019,cc13,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
20,PLAYER_0020,cc14,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
21,PLAYER_0021,cc15,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
22,PLAYER_0022,cc16,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
23,PLAYER_0023,cc17,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
24,PLAYER_0024,cc18,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
25,PLAYER_0025,cc19,3,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
26,PLAYER_0026,cc1a,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
27,PLAYER_0027,cc1b,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
28,PLAYER_0028,cc1c,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
29,PLAYER_0029,cc1d,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
30,PLAYER_0030,cc1e,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
31,PLAYER_0031,cc1f,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
32,PLAYER_0032,cc20,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
33,PLAYER_0033,cc21,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
34,PLAYER_0034,cc22,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
35,PLAYER_0035,cc23,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
36,PLAYER_0036,cc24,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
37,PLAYER_0037,cc25,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
38,PLAYER_0038,cc26,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
39,PLAYER_0039,cc27,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
40,PLAYER_0040,cc28,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
41,PLAYER_0041,cc29,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
42,PLAYER_0042,cc2a,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
43,PLAYER_0043,cc2b,4,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
44,PLAYER_0044,cc2c,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
45,PLAYER_0045,cc2d,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
46,PLAYER_0046,cc2e,1,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
47,PLAYER_0047,cc2f,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
48,PLAYER_0048,cc30,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
49,PLAYER_0049,cc31,6,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
50,PLAYER_0050,cc32,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
51,PLAYER_0051,cc33,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
52,PLAYER_0052,cc34,7,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
53,PLAYER_0053,cc35,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
54,PLAYER_0054,cc36,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
55,PLAYER_0055,cc37,5,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
56,PLAYER_0056,cc38,3,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
57,PLAYER_0057,cc39,3,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
58,PLAYER_0058,cc3a,3,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
59,PLAYER_0059,cc3b,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
60,PLAYER_0060,cc3c,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
61,PLAYER_0061,cc3d,2,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
62,PLAYER_0062,cc3e,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
63,PLAYER_0063,cc3f,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
64,PLAYER_0064,cc40,8,10,3,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,0,0.0,0.0,1.0,0.0,0.0,1.0
65,AM_Chap5_EvB_01,ccc8,1,0,0,55,0,"[0, 3240, 500, 0, 0, 0, 0, 0, 0, 330, 280, 630, 280, 100, 100, 1, 0, 0, 0, 0, 0]",44,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,0,30001,-0.009999999776482582,-0.014999999664723873,1.0,0.0,0.10999999940395355,1.0
66,AM_Chap8_EvB_01,cc00,5,0,0,55,0,"[0, 3240, 500, 0, 0, 0, 0, 0, 0, 430, 280, 430, 280, 100, 100, 1, 0, 0, 0, 0, 0]",44,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,10100,10074,-0.009999999776482582,-0.029999999329447746,1.0,0.009999999776482582,0.09000000357627869,1.0
10029,GuestNpc_FsT11_W013_1,cc00,3,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 106, 114, 95, 95, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40024,0.0,0.0,1.0,0.0,0.0,1.0
10032,GuestNpc_FsT11_P007_3,cc00,6,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 112, 110, 95, 95, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40025,0.0,0.0,1.0,0.0,0.0,1.0
10036,GuestNpc_FsT11_W015_1,cc00,3,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 115, 112, 95, 95, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40029,0.0,0.0,1.0,0.0,0.0,1.0
10037,GuestNpc_FsT11_F007_1,cc00,2,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 114, 107, 95, 95, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40030,0.0,0.0,1.0,0.0,0.0,1.0
10038,GuestNpc_FsT11_W016_1,cc00,2,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 95, 95, 95, 95, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40031,0.0,0.0,1.0,0.0,0.0,1.0
10039,GuestNpc_FsT11_W017_1,cc00,7,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 95, 95, 111, 106, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40032,0.0,0.0,1.0,0.0,0.0,1.0
10040,GuestNpc_FsT11_P009_1,cc00,8,1,1,1,0,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 95, 95, 105, 110, 0, 100, 1, 0, 0, 0, 0, 0]",1,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40033,0.0,0.0,1.0,0.0,0.0,1.0
10056,GuestNpc_SnT11_W004_1,cc00,4,9,1,1,1,"[0, 0, 999, 0, 0, 0, 0, 0, 0, 109, 130, 96, 114, 0, 75, 1, 0, 0, 0, 0, 0]",10,0,"[100, 100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100, 100]",0,33,40045,0.0,0.0,1.0,0.0,0.0,1.0
