m_id,m_ShowOrder,m_UniqueID,m_CharaID,m_Name,m_VoiceID,m_CueSheet,m_VoiceSymbol,m_ProfileVoiceID,m_InfluenceID,m_InfluenceVals,m_JobID,m_GenderID,m_RareMin,m_RareMax,m_Exp,m_LimitBreakItemID,m_DefaultSkills,m_SupportSkills,m_InfoCommandSkills,m_InfoSupportSkills,m_EventID,m_Param,m_ResistWeapon,m_ResistMagic,m_ResistID,m_EquipDef,m_OrderTexUS,m_OrderTexVS,m_OrderScaleS,m_OrderTexUL,m_OrderTexVL,m_OrderScaleL,m_NameTexID,m_IllustID,m_MenuParam,m_IllustMaskID,m_IllustMaskParam,m_FlavorText,m_TownTextID,m_CampaignTriggerConditionID,m_EpiphanyItemID,m_StatusStoryTitle,m_StatusStoryIcon,m_GachaResultBgType,m_OverwriteBaseAttackSkill
10,0,10,1010,28621,10,3009,10,"[141, 142, 143]",3,"[10, 15, 20]",3,1,3,4,0,10,"[1123, 1124, 0]","[0, 0]","[1123, 1124, 1125, 1127, 1128, 1130, 1132, 0, 0, 0, 0, 0, 0, 0, 0]","[1126, 1131]",6010,"[0, 220, 36, 0, 0, 0, 0, 0, 0, 110, 98, 80, 76, 115, 105, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.009999999776482582,-0.03999999910593033,1.0,0.009999999776482582,0.10000000149011612,1.0,509,10,"[0.15000000596046448, -0.699999988079071, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29510,3257,0,0,0,0,0,0
11,0,11,1011,28622,11,3010,11,"[141, 142, 143]",2,"[10, 15, 20]",3,1,3,4,0,11,"[1134, 1135, 0]","[0, 0]","[1134, 1135, 1136, 1138, 1139, 1141, 1143, 0, 0, 0, 0, 0, 0, 0, 0]","[1137, 1142]",6011,"[0, 200, 35, 0, 0, 0, 0, 0, 0, 105, 93, 85, 87, 113, 107, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.019999999552965164,0.004999999888241291,1.0,-0.009999999776482582,0.10999999940395355,1.0,510,11,"[-0.30000001192092896, -0.4000000059604645, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29511,3278,0,0,0,0,0,0
12,0,12,1012,28623,12,3011,12,"[141, 142, 143]",1,"[10, 15, 20]",7,1,3,4,0,12,"[1145, 1146, 0]","[0, 0]","[1145, 1146, 1147, 1149, 1150, 1152, 1154, 0, 0, 0, 0, 0, 0, 0, 0]","[1148, 1153]",6012,"[0, 320, 44, 0, 0, 0, 0, 0, 0, 100, 105, 96, 98, 72, 90, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.019999999552965164,-0.02500000037252903,1.0,0.009999999776482582,0.10000000149011612,1.0,511,12,"[-0.30000001192092896, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29512,3247,0,0,0,0,0,0
13,0,13,1013,28624,13,3012,13,"[141, 142, 143]",1,"[10, 15, 20]",4,1,3,4,0,13,"[1156, 1157, 0]","[0, 0]","[1156, 1157, 1158, 1160, 1161, 1163, 1165, 0, 0, 0, 0, 0, 0, 0, 0]","[1159, 1164]",6013,"[0, 209, 62, 0, 0, 0, 0, 0, 0, 79, 100, 115, 108, 90, 69, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.02500000037252903,-0.02500000037252903,1.0,0.0,0.09000000357627869,1.0,512,13,"[-0.30000001192092896, -0.800000011920929, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29513,3202,0,0,0,0,0,0
14,0,14,1014,28625,14,3013,14,"[141, 142, 143]",3,"[10, 15, 20]",4,1,3,4,0,14,"[1167, 1168, 0]","[0, 0]","[1167, 1168, 1169, 1171, 1172, 1174, 1176, 0, 0, 0, 0, 0, 0, 0, 0]","[1170, 1175]",6014,"[0, 190, 75, 0, 0, 0, 0, 0, 0, 70, 99, 123, 105, 85, 75, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.02500000037252903,-0.014999999664723873,1.0,0.014999999664723873,0.10999999940395355,1.0,513,14,"[0.07000000029802322, -0.09000000357627869, 1.5, 1.5]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29514,3247,0,0,0,0,0,0
15,0,15,1015,28626,15,3014,15,"[141, 142, 143]",2,"[10, 15, 20]",4,2,3,4,0,15,"[1178, 1179, 0]","[0, 0]","[1178, 1179, 1180, 1182, 1183, 1185, 1187, 0, 0, 0, 0, 0, 0, 0, 0]","[1181, 1186]",6015,"[0, 194, 70, 0, 0, 0, 0, 0, 0, 74, 97, 117, 114, 92, 71, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.019999999552965164,0.10000000149011612,1.0,514,15,"[-0.20000000298023224, -0.30000001192092896, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29515,3278,0,0,0,0,0,0
16,0,16,1016,28627,16,3015,16,"[141, 142, 143]",3,"[10, 15, 20]",6,1,3,4,0,16,"[1189, 1190, 0]","[0, 0]","[1189, 1190, 1191, 1193, 1194, 1196, 1198, 0, 0, 0, 0, 0, 0, 0, 0]","[1192, 1197]",6016,"[0, 253, 46, 0, 0, 0, 0, 0, 0, 95, 73, 80, 95, 107, 117, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.019999999552965164,-0.02500000037252903,1.0,0.014999999664723873,0.10000000149011612,1.0,515,16,"[0.0, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29516,3321,0,0,0,0,0,0
17,0,17,1017,28628,17,3016,17,"[141, 142, 143]",1,"[10, 15, 20]",1,2,3,4,0,17,"[1200, 1201, 0]","[0, 0]","[1200, 1201, 1202, 1204, 1205, 1207, 1209, 0, 0, 0, 0, 0, 0, 0, 0]","[1203, 1208]",6017,"[0, 263, 36, 0, 0, 0, 0, 0, 0, 112, 105, 87, 85, 97, 101, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.019999999552965164,1.0,0.009999999776482582,0.10000000149011612,1.0,516,17,"[-0.05000000074505806, -0.4000000059604645, 1.5, 1.5]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29517,3222,0,0,0,0,0,0
18,0,18,1018,28629,18,3017,18,"[141, 142, 143]",3,"[10, 15, 20]",1,1,3,4,0,18,"[1211, 1212, 0]","[0, 0]","[1211, 1212, 1213, 1215, 1216, 1218, 1220, 0, 0, 0, 0, 0, 0, 0, 0]","[1214, 1219]",6018,"[0, 292, 26, 0, 0, 0, 0, 0, 0, 117, 110, 65, 88, 93, 102, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.0,0.10999999940395355,1.0,517,18,"[-0.03999999910593033, -0.46000000834465027, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29518,3227,0,0,0,0,0,0
19,0,19,1019,28630,19,3018,19,"[141, 142, 143]",2,"[10, 15, 20]",1,2,3,4,0,19,"[1222, 1223, 0]","[0, 0]","[1222, 1223, 1224, 1226, 1227, 1229, 1231, 0, 0, 0, 0, 0, 0, 0, 0]","[1225, 1230]",6019,"[0, 278, 30, 0, 0, 0, 0, 0, 0, 120, 102, 75, 79, 101, 110, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.019999999552965164,-0.029999999329447746,1.0,0.02500000037252903,0.09000000357627869,1.0,518,19,"[0.0, -0.30000001192092896, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29519,3321,0,0,0,0,0,0
20,0,20,1020,28631,20,3019,20,"[141, 142, 143]",2,"[10, 15, 20]",5,2,3,4,0,20,"[1233, 1234, 0]","[0, 0]","[1233, 1234, 1235, 1237, 1238, 1240, 1242, 0, 0, 0, 0, 0, 0, 0, 0]","[1236, 1241]",6020,"[0, 160, 52, 0, 0, 0, 0, 0, 0, 85, 100, 100, 120, 90, 93, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.004999999888241291,1.0,0.009999999776482582,0.10999999940395355,1.0,519,20,"[0.0, -0.4000000059604645, 1.600000023841858, 1.600000023841858]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29520,3273,0,0,0,0,0,0
21,0,21,1021,28632,21,3020,21,"[141, 142, 143]",1,"[10, 15, 20]",6,1,3,4,0,21,"[1244, 1245, 0]","[0, 0]","[1244, 1245, 1246, 1248, 1249, 1251, 1253, 0, 0, 0, 0, 0, 0, 0, 0]","[1247, 1252]",6021,"[0, 240, 57, 0, 0, 0, 0, 0, 0, 92, 70, 92, 93, 105, 113, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.019999999552965164,-0.054999999701976776,1.0,-0.009999999776482582,0.0949999988079071,1.0,520,21,"[-0.10000000149011612, -0.699999988079071, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29521,3202,0,0,0,0,0,0
22,0,22,1022,28633,22,3021,22,"[141, 142, 143]",2,"[10, 15, 20]",1,1,3,4,0,22,"[1255, 1256, 0]","[0, 0]","[1255, 1256, 1257, 1259, 1260, 1262, 1264, 0, 0, 0, 0, 0, 0, 0, 0]","[1258, 1263]",6022,"[0, 298, 35, 0, 0, 0, 0, 0, 0, 104, 114, 69, 90, 89, 98, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.07000000029802322,0.03999999910593033,1.0,0.0,0.15000000596046448,1.0,521,22,"[-0.20000000298023224, -0.6000000238418579, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29522,3257,0,0,0,0,0,0
23,0,23,1023,28634,23,3022,23,"[141, 142, 143]",2,"[10, 15, 20]",6,2,3,4,0,23,"[1266, 1267, 0]","[0, 0]","[1266, 1267, 1268, 1270, 1271, 1273, 1275, 0, 0, 0, 0, 0, 0, 0, 0]","[1269, 1274]",6023,"[0, 223, 55, 0, 0, 0, 0, 0, 0, 95, 75, 83, 90, 114, 122, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",0.0,-0.02500000037252903,1.0,0.009999999776482582,0.10000000149011612,1.0,522,23,"[-0.30000001192092896, -0.20000000298023224, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29523,3247,0,0,0,0,0,0
24,0,24,1024,28635,24,3023,24,"[141, 142, 143]",1,"[10, 15, 20]",6,2,3,4,0,24,"[1277, 1278, 0]","[0, 0]","[1277, 1278, 1279, 1281, 1282, 1284, 1286, 0, 0, 0, 0, 0, 0, 0, 0]","[1280, 1285]",6024,"[0, 260, 45, 0, 0, 0, 0, 0, 0, 88, 80, 85, 100, 103, 113, 1, 0, 0, 0, 0, 0]","[100, 100, 100, 100, 100, 100, 100, 100]","[100, 100, 100, 100, 100, 100, 100]",0,"[0, 0, 0, 0, 0]",-0.02500000037252903,0.0,1.0,0.0,0.10999999940395355,1.0,523,24,"[0.0, -0.20000000298023224, 1.7000000476837158, 1.7000000476837158]",0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",29524,3278,0,0,0,0,0,0
