m_id,m_NextWait,m_PerformerID,m_PerformerIsLeader,m_NoName,m_NameID,m_BalloonType,m_NoTail,m_BaloonOffsetX,m_BaloonOffsetY,m_TextID,m_AnimID,m_DirID,m_SoundID,m_SoundHandle,m_EffectID,m_EffectHandle,m_EffectPosition,m_BgmID,m_FadeTime,m_SkillID,m_TargetID,m_isSwitchActionSkip,m_isWaitSkillTime,m_PlayBgmBlock,m_isRewriteIdleMotion,m_OnEventFlgIndex,m_OffEventFlgIndex,m_TextureChangeEnemyIdx,m_ChangeEnemyTextureIdx,m_TextureChangeTime
49,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
37,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5552,0,194,194,0,194,0,0,255,255,-1.0
50,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
38,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5553,0,194,194,0,194,0,0,255,255,-1.0
51,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
39,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5554,0,194,194,0,194,0,0,255,255,-1.0
52,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
40,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5555,0,194,194,0,194,0,0,255,255,-1.0
53,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
41,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5556,0,194,194,0,194,0,0,255,255,-1.0
54,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
42,1.7999999523162842,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,5557,0,194,194,0,194,0,0,255,255,-1.0
55,-1.0,0,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
17,0.6000000238418579,10241,194,194,116291,1,195,200.0,0.0,5399,21,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
18,0.6000000238418579,10241,194,194,116291,1,195,200.0,0.0,5400,23,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
33,1.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,12577,1,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
44,1.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
19,5.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,1195,1,1198,1,1,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
43,1.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
45,2.5999999046325684,10241,194,194,0,0,194,0.0,0.0,0,0,0,70535,1,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
32,2.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,70536,2,1203,2,1,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
20,0.6000000238418579,10241,194,194,116342,1,195,150.0,-200.0,5401,0,0,0,1,0,2,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
21,0.6000000238418579,10241,194,194,116342,1,195,150.0,-200.0,5402,0,0,0,2,0,1,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
22,0.8999999761581421,10241,194,194,116342,2,195,150.0,-200.0,5403,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
23,0.6000000238418579,10241,194,194,116291,1,195,200.0,0.0,5404,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
24,0.6000000238418579,10241,194,194,116291,1,195,200.0,0.0,5405,35,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
46,1.2000000476837158,10241,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,1917,0,194,194,0,194,0,0,255,255,-1.0
25,-1.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
26,0.6000000238418579,10241,194,194,116291,1,195,200.0,0.0,114361,0,0,0,0,0,0,0,0,5.0,0,0,194,194,0,194,0,0,255,255,-1.0
27,0.6000000238418579,10241,194,194,116291,1,195,200.0,0.0,114362,0,0,0,0,0,0,0,0,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
29,1.2000000476837158,10241,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,2643,0,194,194,0,194,0,0,255,255,-1.0
47,-1.0,10241,194,194,0,0,194,0.0,0.0,0,0,0,0,0,0,0,0,94,0.0,0,0,194,194,0,194,0,0,255,255,-1.0
