m_id,m_WorldPosotion,m_Priority
1032,"[240.0, -270.0, 0.0]",3
1038,"[-20.0, -260.0, 0.0]",3
1039,"[-590.0, -90.0, 0.0]",2
1040,"[230.0, 310.0, 0.0]",1
1045,"[-520.0, 40.0, 0.0]",1
1047,"[-160.0, -260.0, 0.0]",3
1048,"[-720.0, -80.0, 0.0]",2
1049,"[-90.0, 330.0, 0.0]",1
1053,"[-520.0, -110.0, 0.0]",1
1056,"[-30.0, -280.0, 0.0]",3
1057,"[150.0, 270.0, 0.0]",1
1058,"[-640.0, -100.0, 0.0]",2
1061,"[150.0, -270.0, 0.0]",3
1062,"[210.0, 270.0, 0.0]",1
1063,"[-590.0, -160.0, 0.0]",2
1066,"[150.0, 300.0, 0.0]",1
1067,"[-730.0, -120.0, 0.0]",2
1161,"[-1130.0, -100.0, 0.0]",2
1162,"[-720.0, 190.0, 0.0]",3
1077,"[130.0, -140.0, 0.0]",3
1078,"[-300.0, 190.0, 0.0]",1
1079,"[-690.0, -200.0, 0.0]",2
1163,"[130.0, 280.0, 0.0]",3
1164,"[-890.0, -130.0, 0.0]",2
1144,"[-480.0, -20.0, 0.0]",1
1145,"[-700.0, -280.0, 0.0]",2
1146,"[80.0, 280.0, 0.0]",1
1147,"[360.0, -180.0, 0.0]",2
1148,"[-500.0, -50.0, 0.0]",3
1149,"[450.0, 440.0, 0.0]",1
1138,"[-370.0, -30.0, 0.0]",1
1139,"[-450.0, -220.0, 0.0]",2
1140,"[260.0, 290.0, 0.0]",1
1141,"[200.0, -280.0, 0.0]",3
1142,"[-700.0, -130.0, 0.0]",2
1143,"[510.0, 430.0, 0.0]",1
1216,"[-260.0, 200.0, 0.0]",1
1217,"[-530.0, -450.0, 0.0]",3
1218,"[500.0, 20.0, 0.0]",2
1210,"[-370.0, -30.0, 0.0]",1
1211,"[-480.0, -250.0, 0.0]",2
1212,"[260.0, 290.0, 0.0]",1
1213,"[210.0, -290.0, 0.0]",3
1214,"[-680.0, -140.0, 0.0]",2
1215,"[510.0, 430.0, 0.0]",1
1219,"[-260.0, 200.0, 0.0]",1
1220,"[-530.0, -450.0, 0.0]",3
1221,"[500.0, 20.0, 0.0]",2
1135,"[-780.0, -100.0, 0.0]",1
1136,"[-560.0, -310.0, 0.0]",2
1137,"[390.0, 260.0, 0.0]",1
1116,"[-680.0, -240.0, 0.0]",1
1117,"[-610.0, -130.0, 0.0]",1
1118,"[-700.0, -280.0, 0.0]",2
1119,"[-420.0, 140.0, 0.0]",1
1120,"[-60.0, -30.0, 0.0]",2
1121,"[-510.0, -180.0, 0.0]",3
1122,"[-360.0, 100.0, 0.0]",1
1123,"[-680.0, -230.0, 0.0]",3
1124,"[-900.0, -70.0, 0.0]",2
1125,"[-220.0, 290.0, 0.0]",1
1126,"[-1000.0, -220.0, 0.0]",1
1127,"[-1000.0, -280.0, 0.0]",2
1128,"[-400.0, 220.0, 0.0]",1
1153,"[-350.0, -150.0, 0.0]",2
1154,"[-440.0, 200.0, 0.0]",1
1155,"[-200.0, -190.0, 0.0]",2
1156,"[-460.0, 110.0, 0.0]",1
1129,"[-230.0, -30.0, 0.0]",2
1130,"[-490.0, 60.0, 0.0]",1
1131,"[-980.0, -220.0, 0.0]",3
1132,"[-680.0, -200.0, 0.0]",3
1133,"[-90.0, 360.0, 0.0]",1
1134,"[-900.0, -40.0, 0.0]",2
1165,"[-150.0, -250.0, 0.0]",3
1166,"[-600.0, -100.0, 0.0]",2
1167,"[100.0, 350.0, 0.0]",1
1150,"[-50.0, -280.0, 0.0]",3
1151,"[-710.0, -160.0, 0.0]",2
1152,"[50.0, 260.0, 0.0]",1
1157,"[-630.0, 0.0, 0.0]",1
1168,"[-780.0, -75.0, 0.0]",2
1169,"[310.0, 440.0, 0.0]",1
1170,"[240.0, -220.0, 0.0]",3
1171,"[-780.0, -45.0, 0.0]",2
1172,"[310.0, 470.0, 0.0]",1
1173,"[240.0, -190.0, 0.0]",3
1174,"[-780.0, -135.0, 0.0]",2
1175,"[310.0, 450.0, 0.0]",1
1176,"[240.0, -265.0, 0.0]",3
1177,"[-1050.0, -260.0, 0.0]",1
1178,"[-1100.0, -160.0, 0.0]",1
1179,"[-680.0, -160.0, 0.0]",3
1180,"[100.0, 360.0, 0.0]",1
1181,"[-900.0, -100.0, 0.0]",2
1182,"[-680.0, -230.0, 0.0]",1
1183,"[-90.0, 360.0, 0.0]",3
1184,"[-900.0, 30.0, 0.0]",2
1185,"[-700.0, -180.0, 0.0]",1
1186,"[-500.0, -240.0, 0.0]",3
1187,"[-880.0, -120.0, 0.0]",2
1188,"[-180.0, 270.0, 0.0]",1
1189,"[-290.0, -210.0, 0.0]",3
1190,"[-850.0, -170.0, 0.0]",2
1191,"[40.0, 300.0, 0.0]",1
1192,"[-470.0, -220.0, 0.0]",3
1193,"[-820.0, -100.0, 0.0]",2
1194,"[-90.0, 280.0, 0.0]",1
1195,"[-450.0, -260.0, 0.0]",3
1196,"[-870.0, -180.0, 0.0]",2
1197,"[-90.0, 250.0, 0.0]",1
1198,"[-330.0, 130.0, 0.0]",1
1199,"[360.0, 0.0, 0.0]",2
1200,"[-360.0, -400.0, 0.0]",3
1201,"[-610.0, -330.0, 0.0]",6
1202,"[-1010.0, -180.0, 0.0]",5
1203,"[-680.0, 120.0, 0.0]",2
1204,"[-140.0, 90.0, 0.0]",3
1205,"[-960.0, -100.0, 0.0]",4
1206,"[-100.0, 310.0, 0.0]",1
1207,"[-1020.0, -260.0, 0.0]",1
1208,"[-1170.0, -140.0, 0.0]",1
1209,"[-1040.0, -400.0, 0.0]",1
1222,"[-120.0, -180.0, 0.0]",2
1223,"[-810.0, -30.0, 0.0]",1
1224,"[-150.0, -360.0, 0.0]",3
1225,"[-760.0, -100.0, 0.0]",2
1226,"[100.0, 350.0, 0.0]",1
1227,"[-430.0, -340.0, 0.0]",3
1228,"[-760.0, -100.0, 0.0]",2
1229,"[100.0, 350.0, 0.0]",1
1230,"[-500.0, -240.0, 0.0]",3
1231,"[-880.0, -120.0, 0.0]",2
1232,"[-180.0, 270.0, 0.0]",1
1233,"[-130.0, -290.0, 0.0]",3
1234,"[-830.0, -130.0, 0.0]",2
1235,"[-200.0, 320.0, 0.0]",1
1236,"[-750.0, -230.0, 0.0]",2
1237,"[-150.0, 210.0, 0.0]",1
1238,"[-800.0, -250.0, 0.0]",1
1239,"[-700.0, -190.0, 0.0]",1
1240,"[210.0, -290.0, 0.0]",3
1241,"[-680.0, -195.0, 0.0]",2
1242,"[510.0, 435.0, 0.0]",1
1243,"[210.0, -290.0, 0.0]",3
1244,"[-760.0, -125.0, 0.0]",2
1245,"[510.0, 430.0, 0.0]",1
1246,"[790.0, 90.0, 0.0]",4
1247,"[-380.0, -380.0, 0.0]",3
1248,"[-890.0, -100.0, 0.0]",2
1249,"[510.0, 420.0, 0.0]",1
1250,"[190.0, -200.0, 0.0]",3
1251,"[-760.0, -125.0, 0.0]",2
1252,"[510.0, 430.0, 0.0]",1
1255,"[210.0, -290.0, 0.0]",3
1256,"[-880.0, -190.0, 0.0]",2
1257,"[510.0, 430.0, 0.0]",1
1258,"[210.0, -290.0, 0.0]",3
1259,"[-700.0, -120.0, 0.0]",2
1260,"[510.0, 435.0, 0.0]",1
1261,"[0.0, -290.0, 0.0]",4
1262,"[210.0, 0.0, 0.0]",3
1263,"[-880.0, 0.0, 0.0]",2
1264,"[510.0, 430.0, 0.0]",1
1266,"[220.0, -230.0, 0.0]",3
1267,"[-700.0, -120.0, 0.0]",2
1268,"[510.0, 435.0, 0.0]",1
1272,"[-450.0, 60.0, 0.0]",1
1273,"[-990.0, -430.0, 0.0]",2
1274,"[-260.0, -380.0, 280.0]",3
1275,"[150.0, -340.0, 0.0]",3
1276,"[210.0, 270.0, 0.0]",1
1277,"[-590.0, -160.0, 0.0]",2
1284,"[0.0, -250.0, 0.0]",3
1285,"[-800.0, -90.0, 0.0]",2
1286,"[510.0, 430.0, 0.0]",1
1290,"[190.0, -210.0, 0.0]",3
1291,"[-760.0, -130.0, 0.0]",2
1292,"[510.0, 430.0, 0.0]",1
1293,"[-720.0, -420.0, 0.0]",4
1294,"[580.0, -15.0, 0.0]",3
1295,"[520.0, 460.0, 0.0]",2
1296,"[-800.0, -40.0, 0.0]",1
1297,"[80.0, 280.0, 0.0]",1
1298,"[-450.0, -180.0, 0.0]",2
1299,"[-370.0, 60.0, 0.0]",2
1300,"[-370.0, 60.0, 0.0]",1
1301,"[200.0, -200.0, 0.0]",3
1302,"[-860.0, -100.0, 0.0]",2
1303,"[280.0, 430.0, 0.0]",1
1304,"[-1100.0, -130.0, 0.0]",1
1305,"[-200.0, -430.0, 0.0]",2
1306,"[-250.0, -350.0, 0.0]",3
1307,"[-500.0, -400.0, 0.0]",3
1308,"[150.0, -20.0, 0.0]",2
1309,"[-810.0, 70.0, 0.0]",1
1315,"[-690.0, -490.0, 0.0]",3
1316,"[630.0, 125.0, 0.0]",2
1317,"[-800.0, 130.0, 0.0]",1
1318,"[-1000.0, -300.0, 0.0]",2
1319,"[-100.0, 300.0, 0.0]",1
1320,"[210.0, -290.0, 0.0]",3
1321,"[-770.0, -180.0, 0.0]",2
1322,"[700.0, 460.0, 0.0]",1
