m_id,m_MapObjType,m_OwnerChara,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_MapID,m_AppearLabel,m_TalkID,m_AppearDir,m_Priority,m_InputCheck,m_HideChara,m_HideIcon,m_AutoTalk,m_Boss,m_Progress,m_BootQuestID,m_BootQuestStaet,m_BootQuestTaskNum,m_TrigConditionID,m_DisableQuestID,m_DisableQuestState,m_DisableQuestTaskNum,m_NoneConditionID
25,1,1044,0,0,0,0,143,QuTr_PC044_02_01,30,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2044020,2,0,"[0, 0, 0, 0]"
26,1,1044,0,0,0,0,143,QuTr_PC044_02_02,31,0,10,0,194,194,194,0,0,2044020,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
27,1,1044,0,0,0,0,143,QuTr_PC044_02_03,32,0,10,0,194,194,194,0,0,2044020,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
28,1,1044,0,0,0,0,143,QuTr_PC044_03_01,33,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2044030,2,0,"[0, 0, 0, 0]"
29,1,1044,0,0,0,0,143,QuTr_PC044_03_02,34,0,10,0,194,194,194,0,0,2044030,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
30,1,1044,0,0,0,0,143,QuTr_PC044_04_01,35,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2044040,2,0,"[0, 0, 0, 0]"
31,1,1044,0,0,0,0,143,QuTr_PC044_04_02,36,0,10,0,194,194,194,0,0,2044040,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
32,1,1044,0,0,0,0,143,QuTr_PC044_04_03,37,0,10,0,194,194,194,0,0,2044040,2,2,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
33,1,1060,0,0,0,0,48,QuTr_PC060_01_01,38,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2060010,2,0,"[0, 0, 0, 0]"
34,1,1060,0,0,0,0,48,QuTr_PC060_01_02,39,1,10,0,194,194,194,0,0,2060010,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
35,1,1060,0,0,0,0,48,QuTr_PC060_02_01,40,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2060020,2,0,"[0, 0, 0, 0]"
36,1,1060,0,0,0,0,48,QuTr_PC060_02_02,41,1,10,0,194,194,194,0,0,2060020,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
37,1,1060,0,0,0,0,48,QuTr_PC060_02_04,42,1,10,0,194,194,194,0,0,2060020,2,3,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
38,1,1060,0,0,0,0,48,QuTr_PC060_03_01,43,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2060030,2,0,"[0, 0, 0, 0]"
39,1,1060,0,0,0,0,48,QuTr_PC060_03_02,44,1,10,0,194,194,194,0,0,2060030,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
40,1,1060,0,0,0,0,48,QuTr_PC060_04_01,45,1,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2060040,2,0,"[0, 0, 0, 0]"
41,1,1060,0,0,0,0,48,QuTr_PC060_04_02,46,1,10,0,194,194,194,0,0,2060040,2,1,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
42,1,1060,0,0,0,0,48,QuTr_PC060_04_04,47,1,10,0,194,194,194,0,0,2060040,2,3,"[0, 0, 0, 0]",0,0,0,"[0, 0, 0, 0]"
43,1,1039,0,0,0,0,90068,QuTr_PC039_01_01,24,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2039010,2,0,"[0, 0, 0, 0]"
44,1,1039,0,0,0,0,90068,QuTr_PC039_02_01,25,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2039020,2,0,"[0, 0, 0, 0]"
45,1,1039,0,0,0,0,90068,QuTr_PC039_03_01,26,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2039030,2,0,"[0, 0, 0, 0]"
46,1,1039,0,0,0,0,90068,QuTr_PC039_04_01,27,0,10,0,194,194,194,0,0,0,0,0,"[0, 0, 0, 0]",2039040,2,0,"[0, 0, 0, 0]"
