m_id,m_OwnerChara,m_MapID,m_AppearLabel,m_AppearDir,m_TalkDir,m_EventID,m_QuestID,m_Priority,m_InputCheck,m_HideChara,m_HideIcon,m_Root,m_AutoTalk,m_ChoiceTalk,m_Affection,m_ChainTalk,m_TalkText,m_EmbedWord1,m_EmbedWord2,m_EmbedWord3,m_EmbedWord4,m_Boss,m_Progress,m_ChainConditionID,m_Inflence,m_TrigConditionID,m_NoneConditionID,m_ChoiceJump
16,104,48,Landmark13,4,6,0,0,10,0,194,194,195,194,194,194,17,16,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
17,104,48,Landmark13,4,6,0,0,10,0,194,194,194,194,194,194,18,17,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
18,104,48,Landmark13,4,6,0,0,10,0,194,194,194,194,194,194,0,18,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
19,71,48,Landmark14,1,6,0,0,10,0,194,194,195,194,194,194,20,19,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
20,71,48,Landmark14,1,6,0,0,10,0,194,194,194,194,194,194,0,20,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
21,136,48,Landmark15,3,6,0,0,10,0,194,194,195,194,194,194,22,21,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
22,136,48,Landmark15,3,6,0,0,10,0,194,194,194,194,194,194,23,22,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
23,136,48,Landmark15,3,6,0,0,10,0,194,194,194,194,194,194,0,23,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
24,5,48,Landmark16,3,6,0,0,10,0,194,194,195,194,194,194,0,24,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
25,78,48,Landmark17,4,6,0,0,10,0,194,194,195,194,194,194,26,25,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
26,78,48,Landmark17,4,6,0,0,10,0,194,194,194,194,194,194,27,26,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
27,78,48,Landmark17,4,6,0,0,10,0,194,194,194,194,194,194,0,27,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
28,24,48,PC24_1,1,6,0,0,10,0,194,194,195,194,195,194,0,28,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[17, 0, 0, 0]","[29, 31, 0, 0]"
29,24,48,PC24_1,1,6,0,0,10,0,194,194,194,194,194,194,0,30,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[17, 0, 0, 0]","[0, 0, 0, 0]"
30,24,48,PC24_1,1,6,1061,0,10,0,194,194,194,194,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[17, 0, 0, 0]","[0, 0, 0, 0]"
31,24,48,PC24_1,1,6,0,0,10,0,194,194,194,194,194,194,30,29,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[17, 0, 0, 0]","[0, 0, 0, 0]"
32,109,48,Landmark19,1,6,0,0,10,0,194,194,195,194,194,194,0,31,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
33,104,48,,1,0,0,0,10,0,194,194,195,194,194,194,0,31,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
34,0,48,,3,0,0,0,10,0,194,194,195,194,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
35,109,48,FBTEST,3,0,0,0,10,0,194,194,195,194,194,194,36,166,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
36,109,48,FBTEST,3,0,4936,0,10,0,194,194,194,194,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
37,107,49,Landmark21,1,6,0,0,10,0,194,194,195,194,194,194,38,84,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
38,107,49,Landmark21,1,6,0,0,10,0,194,194,194,194,194,194,0,85,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
39,107,49,Landmark22,4,6,0,0,10,0,194,194,195,194,194,194,40,86,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
40,107,49,Landmark22,4,6,0,0,10,0,194,194,194,194,194,194,0,87,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
41,103,49,Landmark23,3,6,0,0,10,0,194,194,195,194,194,194,0,88,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
42,110,49,Landmark24,1,6,0,0,10,0,194,194,195,194,194,194,43,89,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
43,110,49,Landmark24,1,6,0,0,10,0,194,194,194,194,194,194,0,90,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
44,116,49,Landmark25,1,6,0,0,10,0,194,194,195,194,194,194,45,91,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
45,116,49,Landmark25,1,6,0,0,10,0,194,194,194,194,194,194,0,92,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
46,105,49,Landmark26,1,6,0,0,10,0,194,194,195,194,194,194,0,93,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
47,106,49,Landmark27,1,6,0,0,10,0,194,194,195,194,194,194,48,94,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
48,106,49,Landmark27,1,6,0,0,10,0,194,194,194,194,194,194,49,95,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
49,106,49,Landmark27,1,6,0,0,10,0,194,194,194,194,194,194,0,96,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
50,119,49,Landmark28,3,6,0,0,10,0,194,194,195,194,194,194,51,97,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
51,119,49,Landmark28,3,6,0,0,10,0,194,194,194,194,194,194,0,98,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
52,118,49,Landmark29,3,6,0,0,10,0,194,194,195,194,194,194,53,99,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
53,118,49,Landmark29,3,6,0,0,10,0,194,194,194,194,194,194,54,100,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
54,118,49,Landmark29,3,6,0,0,10,0,194,194,194,194,194,194,0,101,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
55,120,49,Landmark30,2,6,0,0,10,0,194,194,195,194,194,194,0,102,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
56,73,49,Landmark31,1,6,0,0,10,0,194,194,195,194,194,194,57,103,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
57,73,49,Landmark31,1,6,0,0,10,0,194,194,194,194,194,194,0,104,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
58,31,49,Landmark32,3,6,0,0,10,0,194,194,195,194,194,194,59,105,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
59,31,49,Landmark32,3,6,0,0,10,0,194,194,194,194,194,194,0,106,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
60,76,49,Landmark33,3,6,0,0,10,0,194,194,195,194,194,194,61,107,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
61,76,49,Landmark33,3,6,0,0,10,0,194,194,194,194,194,194,62,108,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
62,76,49,Landmark33,3,6,0,0,10,0,194,194,194,194,194,194,63,109,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
63,76,49,Landmark33,3,6,0,0,10,0,194,194,194,194,194,194,64,110,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
64,76,49,Landmark33,3,6,0,0,10,0,194,194,194,194,194,194,0,111,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
65,70,49,Landmark34,1,6,0,0,10,0,194,194,195,194,194,194,66,112,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
66,70,49,Landmark34,1,6,0,0,10,0,194,194,194,194,194,194,67,113,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
67,70,49,Landmark34,1,6,0,0,10,0,194,194,194,194,194,194,0,114,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
68,89,48,Landmark53,3,0,16,0,10,0,194,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[10, 0, 0, 0]","[11, 0, 0, 0]","[0, 0, 0, 0]"
69,121,58,Landmark35,1,1,0,0,10,0,194,194,195,194,194,194,0,132,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
70,122,58,Landmark36,1,1,0,0,10,0,194,194,195,194,194,194,0,133,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
71,123,58,Landmark37,1,1,0,0,10,0,194,194,195,194,194,194,0,134,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
72,124,58,Landmark38,4,0,0,0,10,0,194,194,195,194,194,194,0,135,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
73,125,58,Landmark39,3,0,0,0,10,0,194,194,195,194,194,194,74,136,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
74,125,58,Landmark39,3,0,0,0,10,0,194,194,194,194,194,194,75,137,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
75,125,58,Landmark39,3,0,0,0,10,0,194,194,194,194,194,194,76,138,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
76,125,58,Landmark39,3,0,0,0,10,0,194,194,194,194,194,194,0,139,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
77,126,58,Landmark40,1,1,0,0,10,0,194,194,195,194,194,194,78,140,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
78,126,58,Landmark40,1,1,0,0,10,0,194,194,194,194,194,194,0,141,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
79,127,58,Landmark41,3,0,0,0,10,0,194,194,195,194,194,194,0,142,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
80,128,58,Landmark42,1,0,0,0,10,0,194,194,195,194,194,194,81,143,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
81,128,58,Landmark42,1,0,0,0,10,0,194,194,194,194,194,194,82,144,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
82,128,58,Landmark42,1,0,0,0,10,0,194,194,194,194,194,194,0,145,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
83,128,58,Landmark43,3,0,0,0,10,0,194,194,195,194,194,194,84,146,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
84,129,58,Landmark43,3,0,0,0,10,0,194,194,194,194,194,194,0,147,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
85,130,58,Landmark44,2,2,0,0,10,0,194,194,195,194,194,194,86,148,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
86,130,58,Landmark44,2,2,0,0,10,0,194,194,194,194,194,194,87,149,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
87,130,58,Landmark44,2,2,0,0,10,0,194,194,194,194,194,194,88,150,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
88,130,58,Landmark44,2,2,0,0,10,0,194,194,194,194,194,194,0,151,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
89,80,58,Landmark45,3,3,0,0,10,0,194,194,195,194,194,194,0,152,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
90,81,58,Landmark46,4,4,0,0,10,0,194,194,195,194,194,194,91,153,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
91,81,58,Landmark46,4,0,0,0,10,0,194,194,194,194,194,194,0,154,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
92,82,58,Landmark47,1,1,0,0,10,0,194,194,195,194,194,194,93,155,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
93,82,58,Landmark47,1,0,0,0,10,0,194,194,194,194,194,194,0,156,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
94,56,58,Landmark48,3,0,0,0,10,0,194,194,195,194,194,194,0,157,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
95,0,58,Landmark55,3,0,23,0,10,0,195,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[12, 0, 0, 0]","[13, 0, 0, 0]","[0, 0, 0, 0]"
96,89,53,Landmark49,3,0,7,0,10,0,194,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[52, 0, 0, 0]","[7, 0, 0, 0]","[0, 0, 0, 0]"
97,89,53,Landmark49,3,0,11,0,10,0,194,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[8, 0, 0, 0]","[9, 0, 0, 0]","[0, 0, 0, 0]"
98,0,53,Landmark52,3,0,13,0,10,0,195,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[9, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 0, 0]"
99,0,54,Landmark50,3,0,8,0,10,0,195,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[7, 0, 0, 0]","[8, 0, 0, 0]","[0, 0, 0, 0]"
100,88,54,Landmark51,4,0,0,0,10,0,194,194,195,194,194,194,101,119,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
101,88,54,Landmark51,4,0,0,0,10,0,194,194,194,194,194,194,0,120,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
102,94,66,Landmark56,1,0,27,0,10,0,194,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[13, 0, 0, 0]","[14, 0, 0, 0]","[0, 0, 0, 0]"
103,0,67,Landmark57,3,0,28,0,10,0,195,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[14, 0, 0, 0]","[15, 0, 0, 0]","[0, 0, 0, 0]"
104,0,67,Landmark58,3,0,34,0,10,0,195,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[15, 0, 0, 0]","[16, 0, 0, 0]","[0, 0, 0, 0]"
105,0,48,Betastart,3,6,4937,0,10,0,195,195,195,195,194,194,0,0,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[32, 0, 0, 0]","[0, 0, 0, 0]"
106,137,48,maruto_1,1,6,0,0,10,0,194,194,195,194,194,194,107,35,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]"
107,137,48,maruto_1,1,6,0,0,10,0,194,194,194,194,194,194,108,36,0,0,0,0,0,0,"[0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0]","[6, 0, 0, 0]","[0, 0, 0, 0]"
