m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_HardDungeonPairNum,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
1,eTALK_B02S_1_7,1,0,0,0,0,0,0,0,57,B02S_1_7,12,0,2,0,,194,195,194,194,195,0,2,95973572620027908011633407348483970406514515902071588613376,379,3,1610169358138181481664501061139230427531254730207725661088952708352,379,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
2,eTALK_B02S_2_0,1,0,0,0,0,0,0,0,57,B02S_2_0,10021,0,1,0,,195,194,194,194,194,0,1,95974530429740949192169881315375939349754277614022953364736,0,2,1610185427518624071567256480760153839157279952237663489017305722112,381,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10020,eTALK_B02S_2_0_Lock,9,0,0,0,0,0,0,0,57,B02S_2_0_Lock,10022,15,0,0,House2,194,195,194,194,195,0,1,95974530429740949192169881315375939349754277614022953364736,0,2,1610185427518624071567256480760153839157279952237663489017305722112,381,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
3,eTALK_B02S_2_3,1,1302,0,0,0,0,0,0,57,B02S_2_3,14,0,4,0,,194,194,194,194,194,0,2,95974530429740949192169881315375939349754277614022953364736,382,3,1610185427518624071567256480760153839157279952237663489017305722112,382,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10045,eTALK_B02S_2_6,1,0,0,0,0,0,0,0,57,B02S_2_6,10044,0,3,0,,195,195,194,194,195,0,2,95974530429740949192169881315375939349754277614022953364736,385,3,1610185427518624071567256480760153839157279952237663489017305722112,385,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
4,eTALK_B02S_3_0,1,0,0,0,0,0,0,0,57,B02S_3_0,15,0,1,0,,195,194,194,194,194,0,1,95975488239453990372706355282267908292994039325974318116096,0,2,1610201496899066661470011900381077250783305174267601316945658735872,388,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10044,eTALK_B02S_3_3_Lock,9,0,0,0,0,0,0,0,57,B02S_3_3_Lock,10022,15,0,0,House2,194,194,194,194,194,0,3,95974530429740949192169881315375939349754277614022953364736,386,3,1610201496899066661470011900381077250783305174267601316945658735872,390,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10010,eTALK_B02S_3_4,1,0,0,0,0,0,0,0,57,B02S_3_4,10020,0,3,0,,195,194,194,194,194,0,2,95975488239453990372706355282267908292994039325974318116096,391,3,1610201496899066661470011900381077250783305174267601316945658735872,391,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10052,eTALK_B07S_0_1,1,0,0,0,0,0,0,0,57,B07S_0_1,10055,0,3,0,,195,195,194,194,195,0,2,96451519666835457099333916827576473083155610165802599542016,1000,3,1618187978979033843139455451980012828917840523146701797337106574592,1000,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10006,Lck_Obj002_01_SnT11B,9,0,60,0,0,0,0,0,57,Lck_Obj002_01_SnT11B,10009,0,1,0,Spawn2,194,195,194,194,195,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610185427518624071567256480760153839157279952237663489017305722112,384,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10079,Lck_Obj002_02_SnT11B,9,0,0,0,0,0,0,0,57,Lck_Obj002_02_SnT11B,99999999,0,1,0,,195,195,195,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610185427518624071567256480760153839157279952237663489017305722112,384,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10005,eNPC_Lock_TP_Snow_1001_HouseRinYu_001_A,9,0,0,0,0,0,0,0,57,eNPC_Lock_TP_Snow_1001_HouseRinYu_001_A,10015,15,0,0,,194,194,194,194,194,0,3,95973572620027908011633407348483970406514515902071588613376,377,3,1610169358138181481664501061139230427531254730207725661088952708352,378,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10073,Lck_SnowBoy_v1_1_SnT11B,9,0,0,0,0,0,0,0,57,Lck_SnowBoy_v1_1_SnT11B,99999999,0,0,0,,195,195,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[30010, 0, 0, 0]",194,0,c2de0024
10003,Tlk_SnT11_F005_SnT11B_v1_1,1,10000112,0,0,0,0,0,0,57,Tlk_SnT11_F005_SnT11B,10070,0,1,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610201496899066661470011900381077250783305174267601316945658735872,392,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10058,Tlk_SnT11_F005_SnT11B_v2_1,1,10000112,0,0,0,0,0,0,57,Tlk_SnT11_F005_SnT11B,10072,0,1,0,,194,194,194,194,194,0,3,95975488239453990372706355282267908292994039325974318116096,392,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10042,Tlk_SnT11_F006_SnT11B_v1_1,1,10000114,0,0,0,0,0,0,57,Tlk_SnT11_F006_SnT11B,10080,0,4,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610201496899066661470011900381077250783305174267601316945658735872,392,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10056,Tlk_SnT11_F006_SnT11B_v2_1,1,10000114,0,0,0,0,0,0,57,Tlk_SnT11_F006_SnT11B,10084,0,4,0,,194,194,194,194,194,0,3,95975488239453990372706355282267908292994039325974318116096,392,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10007,Tlk_SnT11_F007_SnT11B_v1_1,1,10000140,0,0,0,0,0,0,57,Tlk_SnT11_F007_SnT11B,10088,0,3,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10067,Tlk_SnT11_F007_SnT11B_v1_2,1,10000577,0,0,0,0,0,0,57,Tlk_SnT11_F007_SnT11B,10094,0,3,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10001,Tlk_SnT11_P009_SnT11B_v1_1,1,10000109,0,0,0,0,0,0,57,Tlk_SnT11_P009_SnT11B,10057,0,1,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10068,Tlk_SnT11_P009_SnT11B_v1_2,1,10000579,0,0,0,0,0,0,57,Tlk_SnT11_P009_SnT11B,10096,0,1,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10041,Tlk_SnT11_P010_SnT11B_v1_1,1,10000111,0,0,0,0,0,0,57,Tlk_SnT11_P010_SnT11B,10062,0,3,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610201496899066661470011900381077250783305174267601316945658735872,392,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10054,Tlk_SnT11_P010_SnT11B_v2_1,1,10000111,0,0,0,0,0,0,57,Tlk_SnT11_P010_SnT11B,10066,0,3,0,,194,194,194,194,194,0,3,95975488239453990372706355282267908292994039325974318116096,392,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10002,Tlk_SnT11_P011_SnT11B_v1_1,1,10000113,0,0,0,0,0,0,57,Tlk_SnT11_P011_SnT11B,10074,0,4,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610169358138181481664501061139230427531254730207725661088952708352,379,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10069,Tlk_SnT11_P011_SnT11B_v1_2,1,10000580,0,0,0,0,0,0,57,Tlk_SnT11_P011_SnT11B,10097,0,4,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610169358138181481664501061139230427531254730207725661088952708352,379,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10062,Tlk_SnT11_P011_SnT11B_v2_1,1,10000113,0,0,0,0,0,0,57,Tlk_SnT11_P011_SnT11B,10076,0,4,0,,194,194,194,194,194,0,3,95973572620027908011633407348483970406514515902071588613376,379,3,1610201496899066661470011900381077250783305174267601316945658735872,392,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10070,Tlk_SnT11_P011_SnT11B_v2_2,1,10000580,0,0,0,0,0,0,57,Tlk_SnT11_P011_SnT11B,10099,0,4,0,,194,194,194,194,194,0,3,95973572620027908011633407348483970406514515902071588613376,379,3,1610201496899066661470011900381077250783305174267601316945658735872,392,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10063,Tlk_SnT11_P011_SnT11B_v3_1,1,10000113,0,0,0,0,0,0,57,Tlk_SnT11_P011_SnT11B,10078,0,4,0,,194,194,194,194,194,0,3,95975488239453990372706355282267908292994039325974318116096,392,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10071,Tlk_SnT11_P011_SnT11B_v3_2,1,10000580,0,0,0,0,0,0,57,Tlk_SnT11_P011_SnT11B,10101,0,4,0,,194,194,194,194,194,0,3,95975488239453990372706355282267908292994039325974318116096,392,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10059,Tlk_SnT11_P015_SnT11B_v1_1,1,10000317,0,0,0,0,0,0,57,Tlk_SnT11_P015_SnT11B,10090,0,3,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10038,Tlk_SnT11_W007_SnT11B_v1_1,1,10000110,0,0,0,0,0,0,57,Tlk_SnT11_W007_SnT11B_Mv01,10058,0,1,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10049,Tlk_SnT11_W007_SnT11B_v1_2,1,10000348,0,0,0,0,0,0,57,Tlk_SnT11_W007_SnT11B_Mv02,10060,0,1,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10009,Tlk_Unique_B02_002_SnT11B,1,1302,0,0,0,0,0,0,57,Tlk_Unique_B02_002_SnT11B,10018,0,3,0,,194,194,194,194,194,0,2,95974530429740949192169881315375939349754277614022953364736,381,3,1610185427518624071567256480760153839157279952237663489017305722112,381,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10004,Tlk_Unique_B02_004a_SnT11B_v1,1,1304,0,0,0,0,0,0,57,Tlk_Unique_B02_004a_SnT11B_Mv01,10013,0,4,0,,194,194,194,194,194,0,3,95973572620027908011633407348483970406514515902071588613376,376,3,1610169358138181481664501061139230427531254730207725661088952708352,377,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10029,eTALK_B02S_1_1_NPC1,1,1304,0,0,0,0,0,0,57,B02S_1_1_NPC1,99999999,0,4,0,,194,195,194,194,194,0,2,95973572620027908011633407348483970406514515902071588613376,375,3,1610169358138181481664501061139230427531254730207725661088952708352,375,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10030,eTALK_B02S_1_1_NPC2,1,5201,0,0,0,0,0,0,57,B02S_1_1_NPC2,99999999,0,1,10,,194,195,194,194,194,0,2,95973572620027908011633407348483970406514515902071588613376,375,3,1610169358138181481664501061139230427531254730207725661088952708352,375,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10031,eTALK_RINYUU_DOLL,8,0,33,0,0,0,0,0,57,RINYUU_DOLL,99999999,0,1,0,,194,195,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,3,1610201496899066661470011900381077250783305174267601316945658735872,392,"[1012, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10039,Pnl_SnT11B_Mob_W007_1_v1,1,80071,0,0,0,0,0,0,57,Pnl_SnT11B_Mob_W007_1_Mv01,99999999,0,4,0,,194,195,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[30010, 0, 0, 0]",194,0,c2de0024
10060,Pnl_SnT11B_Mob_W007_1_v1_2,1,80071,0,0,0,0,0,0,57,Pnl_SnT11B_Mob_W007_1_Mv02,99999999,0,4,0,,194,195,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[30010, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10040,Pnl_SnT11B_Mob_W007_2_v1,1,80072,0,0,0,0,0,0,57,Pnl_SnT11B_Mob_W007_2_Mv01,99999999,0,3,0,,194,195,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[30010, 0, 0, 0]",194,0,c2de0024
10061,Pnl_SnT11B_Mob_W007_2_v1_2,1,80072,0,0,0,0,0,0,57,Pnl_SnT11B_Mob_W007_2_Mv02,99999999,0,3,0,,194,195,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[30010, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10017,eTreBX_TPSn1001B1_001,6,0,0,1102,0,0,0,0,57,eTreBX_TPSn1001B1_001,99999999,0,0,0,,194,194,194,194,194,0,0,00da00126d5f426f6f7451756573745461736b4e756d00,0,0,00da00156d5f44697361626c6551756573745461736b4e756d00,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10075,QuTr_PC089_03_03,1,10000773,0,0,0,0,0,0,57,QuTr_PC089_03_03,10105,0,3,0,,194,194,194,194,194,0,2,200089404047030314687426556439292038455092128439322790948096,1558,3,3356943151008589090984124694755920999724939828509497128918254447872,1558,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10078,QuTr_PC112_01_02,1,10000653,0,0,0,0,0,0,57,QuTr_PC112_01_02,10109,0,1,0,,194,194,194,194,194,0,2,202290450767598947560243732357036670020064542503558989573376,1189,3,3393870587265660687516078983637920916330900053306625708273480068352,1189,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,0,194
