m_id,m_label,m_MapObjType,m_OwnerNPC,m_OwnerObject,m_TreasureBox,m_OwnerEnemy,m_RecoveryPointId,m_HardDungeonPairId,m_MapID,m_AppearLabel,m_TalkID,m_IconType,m_AppearDir,m_AppearPose,m_BackUniquePath,m_HideChara,m_HideIcon,m_HideMinimapIconFlg,m_ExcludeEventOnOffCommand,m_AutoTalk,m_Hard,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskNum,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskNum,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_HideFC,m_ReplaceEnemyTypeId,m_SetLandPos
19,HardDungeon_Type2_HPPl1009A1_Enemy3,10,0,0,0,0,0,12609765636745731223989210197945715574080005830759268713065731,113,HPPl1009A1_Enemy3,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
21,HardDungeon_Type2_HPPl1009A1_Enemy4,10,0,0,0,0,0,12616042738481117904753045987368923240496108186203732747578628,113,HPPl1009A1_Enemy4,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
23,HardDungeon_Type2_HPPl1009A1_Enemy5,10,0,0,0,0,0,12622319840216504585516881776792130906912210541648196782091525,113,HPPl1009A1_Enemy5,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
25,HardDungeon_Type2_HPPl1009A1_Enemy6,10,0,0,0,0,0,12628596941951891266280717566215338573328312897092660816604422,113,HPPl1009A1_Enemy6,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
41,HardDungeon_Type3_HPPl1009A1_Boss1,10,0,0,0,0,0,12634874043687277947044553355638546239744415252537124851117319,113,HPPl1009A1_Boss1,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
29,HardDungeon_Type3_HPPl1009A1_Enemy1,10,0,0,0,0,0,12597211433274957862461538619099300241247801119870340644039937,113,HPPl1009A1_Enemy1,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
31,HardDungeon_Type3_HPPl1009A1_Enemy2,10,0,0,0,0,0,12603488535010344543225374408522507907663903475314804678552834,113,HPPl1009A1_Enemy2,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
33,HardDungeon_Type3_HPPl1009A1_Enemy3,10,0,0,0,0,0,12609765636745731223989210197945715574080005830759268713065731,113,HPPl1009A1_Enemy3,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
35,HardDungeon_Type3_HPPl1009A1_Enemy4,10,0,0,0,0,0,12616042738481117904753045987368923240496108186203732747578628,113,HPPl1009A1_Enemy4,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
37,HardDungeon_Type3_HPPl1009A1_Enemy5,10,0,0,0,0,0,12622319840216504585516881776792130906912210541648196782091525,113,HPPl1009A1_Enemy5,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
39,HardDungeon_Type3_HPPl1009A1_Enemy6,10,0,0,0,0,0,12628596941951891266280717566215338573328312897092660816604422,113,HPPl1009A1_Enemy6,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
50,HardDungeon_Type1_VHPPl1009A1_Boss1,10,0,0,0,0,0,18911975779073958710880342778846212655846770697001159364013318,114,VHPPl1009A1_Boss1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
45,HardDungeon_Type1_VHPPl1009A1_Enemy1,10,0,0,0,0,0,18880590270397025307061163831730174323766258919778839191448833,114,VHPPl1009A1_Enemy1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
46,HardDungeon_Type1_VHPPl1009A1_Enemy2,10,0,0,0,0,0,18886867372132411987824999621153381990182361275223303225961730,114,VHPPl1009A1_Enemy2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
47,HardDungeon_Type1_VHPPl1009A1_Enemy3,10,0,0,0,0,0,18893144473867798668588835410576589656598463630667767260474627,114,VHPPl1009A1_Enemy3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
48,HardDungeon_Type1_VHPPl1009A1_Enemy4,10,0,0,0,0,0,18899421575603185349352671199999797323014565986112231294987524,114,VHPPl1009A1_Enemy4,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
49,HardDungeon_Type1_VHPPl1009A1_Enemy5,10,0,0,0,0,0,18905698677338572030116506989423004989430668341556695329500421,114,VHPPl1009A1_Enemy5,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
44,Heal_PlH19A2_001,5,0,0,0,0,22,00da00146d5f4861726444756e67656f6e506169724e756d00,113,Heal_PlH19A2_001,99999999,0,0,0,,194,194,194,194,194,0,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
2,HardDungeon_Type1_HPPl1009A1_Treasure1,6,0,0,0,0,0,12597211433274957862461538619099300241247801119870340644039937,113,HPPl1009A1_Treasure1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
4,HardDungeon_Type1_HPPl1009A1_Treasure2,6,0,0,0,0,0,12603488535010344543225374408522507907663903475314804678552834,113,HPPl1009A1_Treasure2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
6,HardDungeon_Type1_HPPl1009A1_Treasure3,6,0,0,0,0,0,12609765636745731223989210197945715574080005830759268713065731,113,HPPl1009A1_Treasure3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
8,HardDungeon_Type1_HPPl1009A1_Treasure4,6,0,0,0,0,0,12616042738481117904753045987368923240496108186203732747578628,113,HPPl1009A1_Treasure4,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
10,HardDungeon_Type1_HPPl1009A1_Treasure5,6,0,0,0,0,0,12622319840216504585516881776792130906912210541648196782091525,113,HPPl1009A1_Treasure5,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
12,HardDungeon_Type1_HPPl1009A1_Treasure6,6,0,0,0,0,0,12628596941951891266280717566215338573328312897092660816604422,113,HPPl1009A1_Treasure6,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
14,HardDungeon_Type1_HPPl1009A1_Treasure7,6,0,0,0,0,0,12634874043687277947044553355638546239744415252537124851117319,113,HPPl1009A1_Treasure7,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
16,HardDungeon_Type2_HPPl1009A1_Treasure1,6,0,0,0,0,0,12597211433274957862461538619099300241247801119870340644039937,113,HPPl1009A1_Treasure1,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
18,HardDungeon_Type2_HPPl1009A1_Treasure2,6,0,0,0,0,0,12603488535010344543225374408522507907663903475314804678552834,113,HPPl1009A1_Treasure2,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
20,HardDungeon_Type2_HPPl1009A1_Treasure3,6,0,0,0,0,0,12609765636745731223989210197945715574080005830759268713065731,113,HPPl1009A1_Treasure3,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
22,HardDungeon_Type2_HPPl1009A1_Treasure4,6,0,0,0,0,0,12616042738481117904753045987368923240496108186203732747578628,113,HPPl1009A1_Treasure4,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
24,HardDungeon_Type2_HPPl1009A1_Treasure5,6,0,0,0,0,0,12622319840216504585516881776792130906912210541648196782091525,113,HPPl1009A1_Treasure5,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
26,HardDungeon_Type2_HPPl1009A1_Treasure6,6,0,0,0,0,0,12628596941951891266280717566215338573328312897092660816604422,113,HPPl1009A1_Treasure6,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
28,HardDungeon_Type2_HPPl1009A1_Treasure7,6,0,0,0,0,0,12634874043687277947044553355638546239744415252537124851117319,113,HPPl1009A1_Treasure7,99999999,0,0,0,,194,194,194,194,194,2,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
30,HardDungeon_Type3_HPPl1009A1_Treasure1,6,0,0,0,0,0,12597211433274957862461538619099300241247801119870340644039937,113,HPPl1009A1_Treasure1,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
32,HardDungeon_Type3_HPPl1009A1_Treasure2,6,0,0,0,0,0,12603488535010344543225374408522507907663903475314804678552834,113,HPPl1009A1_Treasure2,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
34,HardDungeon_Type3_HPPl1009A1_Treasure3,6,0,0,0,0,0,12609765636745731223989210197945715574080005830759268713065731,113,HPPl1009A1_Treasure3,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
36,HardDungeon_Type3_HPPl1009A1_Treasure4,6,0,0,0,0,0,12616042738481117904753045987368923240496108186203732747578628,113,HPPl1009A1_Treasure4,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
38,HardDungeon_Type3_HPPl1009A1_Treasure5,6,0,0,0,0,0,12622319840216504585516881776792130906912210541648196782091525,113,HPPl1009A1_Treasure5,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
40,HardDungeon_Type3_HPPl1009A1_Treasure6,6,0,0,0,0,0,12628596941951891266280717566215338573328312897092660816604422,113,HPPl1009A1_Treasure6,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
42,HardDungeon_Type3_HPPl1009A1_Treasure7,6,0,0,0,0,0,12634874043687277947044553355638546239744415252537124851117319,113,HPPl1009A1_Treasure7,99999999,0,0,0,,194,194,194,194,194,3,0,0,0,0,0,0,0,0,"[70003, 0, 0, 0]","[0, 0, 0, 0]",194,0,c2de0024
51,HardDungeon_Type1_VHPPl1009A1_Treasure1,6,0,0,0,0,0,18880590270397025307061163831730174323766258919778839191448833,114,VHPPl1009A1_Treasure1,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
52,HardDungeon_Type1_VHPPl1009A1_Treasure2,6,0,0,0,0,0,18886867372132411987824999621153381990182361275223303225961730,114,VHPPl1009A1_Treasure2,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
53,HardDungeon_Type1_VHPPl1009A1_Treasure3,6,0,0,0,0,0,18893144473867798668588835410576589656598463630667767260474627,114,VHPPl1009A1_Treasure3,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
54,HardDungeon_Type1_VHPPl1009A1_Treasure4,6,0,0,0,0,0,18899421575603185349352671199999797323014565986112231294987524,114,VHPPl1009A1_Treasure4,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
55,HardDungeon_Type1_VHPPl1009A1_Treasure5,6,0,0,0,0,0,18905698677338572030116506989423004989430668341556695329500421,114,VHPPl1009A1_Treasure5,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,c2de0024
56,HardDungeon_Type1_VHPPl1009A1_Treasure6,6,0,0,0,0,0,18911975779073958710880342778846212655846770697001159364013318,114,VHPPl1009A1_Treasure6,99999999,0,0,0,,194,194,194,194,194,1,0,0,0,0,0,0,0,0,"[0, 0, 0, 0]","[70003, 0, 0, 0]",194,0,194
