m_id,m_picture_resource,m_picture_mask,m_picture_mask_param,m_single_unit_id,m_button_type
10,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350010/QP_n_UiTX_Gch_350010_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350010/QP_n_UiTX_Gch_350010_img_mask_01,"[40.0, 2.799999952316284, 3.0, 0.30000001192092896, 1.0, 0.699999988079071, 1.0, 0.6000000238418579, 1.2000000476837158, 1.0, 1.0, 0.75, 1.2000000476837158, 1.399999976158142, 0.23999999463558197, 0.47999998927116394, 1.0, 1.0, 0.3100000023841858, 0.10999999940395355, 0.46000000834465027, 1.0, 0.3199999928474426]",0,0
11,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350010/QP_n_UiTX_Gch_350010_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350010/QP_n_UiTX_Gch_350010_img_mask_02,"[0.0, 2.5999999046325684, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, 0.11999999731779099, 0.6000000238418579, 1.0, 0.6000000238418579, -0.6000000238418579, 0.699999988079071, 1.0, 0.6499999761581421, 0.25, 1.0, 0.800000011920929, 0.4000000059604645, 1.0, 0.800000011920929, 0.4000000059604645]",7,1001
12,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350010/QP_n_UiTX_Gch_350010_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350010/QP_n_UiTX_Gch_350010_img_mask_03,"[0.0, 1.899999976158142, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, -0.10000000149011612, -0.6000000238418579, 1.0, 0.800000011920929, -0.6000000238418579, -0.6000000238418579, 0.30000001192092896, 0.30000001192092896, 0.8999999761581421, 0.8999999761581421, 0.699999988079071, 1.0, 0.8999999761581421, 0.699999988079071, 1.0]",1,1001
13,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_110010/QP_n_UiTX_Gch_110010_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_110010/QP_n_UiTX_Gch_110010_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
14,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_230015/QP_n_UiTX_Gch_230015_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_230015/QP_n_UiTX_Gch_230015_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
15,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_210020/QP_n_UiTX_Gch_210020_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_210020/QP_n_UiTX_Gch_210020_img_mask_01,"[40.0, 2.799999952316284, 3.0, 0.30000001192092896, 1.0, 0.699999988079071, 1.0, 0.6000000238418579, 1.2000000476837158, 1.0, 1.0, 0.75, 1.2000000476837158, 1.399999976158142, 0.23999999463558197, 0.47999998927116394, 1.0, 1.0, 0.3100000023841858, 0.10999999940395355, 0.46000000834465027, 1.0, 0.3199999928474426]",0,0
50,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_210020/QP_n_UiTX_Gch_210020_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_210020/QP_n_UiTX_Gch_210020_img_mask_02,"[40.0, 2.799999952316284, 3.0, 0.30000001192092896, 1.0, 0.699999988079071, 1.0, 0.6000000238418579, 1.2000000476837158, 1.0, 1.0, 0.75, 1.2000000476837158, 1.399999976158142, 0.23999999463558197, 0.47999998927116394, 1.0, 1.0, 0.3100000023841858, 0.10999999940395355, 0.46000000834465027, 1.0, 0.3199999928474426]",0,0
16,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250020/QP_n_UiTX_Gch_250020_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250020/QP_n_UiTX_Gch_250020_img_mask_01,"[-20.0, 2.0, 0.800000011920929, 0.07999999821186066, 1.0, 0.8999999761581421, 1.0, 1.25, -0.30000001192092896, 0.5, 0.8500000238418579, 0.800000011920929, -0.800000011920929, 1.0, 0.4699999988079071, 1.0, 0.5699999928474426, 1.0, 0.8299999833106995, 0.07999999821186066, 0.0, 1.0, 0.8399999737739563]",70,1002
17,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130025/QP_n_UiTX_Gch_130025_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130025/QP_n_UiTX_Gch_130025_img_mask_01,"[-20.0, 2.0, 0.800000011920929, 0.07999999821186066, 1.0, 0.8999999761581421, 1.0, 1.25, -0.30000001192092896, 0.5, 0.8500000238418579, 0.800000011920929, -0.800000011920929, 1.0, 0.4699999988079071, 1.0, 0.5699999928474426, 1.0, 0.8299999833106995, 0.07999999821186066, 0.0, 1.0, 0.8399999737739563]",0,0
19,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130035/QP_n_UiTX_Gch_130035_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130035/QP_n_UiTX_Gch_130035_img_mask_01,"[0.0, 2.0, 0.800000011920929, 0.05000000074505806, 1.0, 0.5, 0.8999999761581421, 1.5, 1.100000023841858, 1.2000000476837158, 0.75, 0.5, 0.8500000238418579, 0.25, 0.20000000298023224, 0.4000000059604645, 0.41999998688697815, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896]",0,0
20,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130040/QP_n_UiTX_Gch_130040_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130040/QP_n_UiTX_Gch_130040_img_mask_01,"[300.0, 1.600000023841858, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, 0.10000000149011612, 0.5, 1.0, 0.5, 0.5, 1.0, 1.0, 0.4000000059604645, 0.10000000149011612, 1.0, 0.6000000238418579, 0.25, 1.0, 0.4000000059604645, 0.30000001192092896]",0,0
21,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130045/QP_n_UiTX_Gch_130045_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130045/QP_n_UiTX_Gch_130045_img_mask_01,"[40.0, 3.5, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.2999999523162842, 0.0, 0.5, 1.0, 0.800000011920929, 0.3499999940395355, 1.2000000476837158, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",0,0
23,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130055/QP_n_UiTX_Gch_130055_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130055/QP_n_UiTX_Gch_130055_img_mask_01,"[290.0, 1.899999976158142, 0.3499999940395355, 0.05000000074505806, 1.0, 0.5, 1.0, 1.399999976158142, -0.05000000074505806, 0.6000000238418579, 1.0, 0.800000011920929, -1.100000023841858, 1.2999999523162842, 0.8999999761581421, 0.4000000059604645, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224, 0.8999999761581421, 0.5, 0.20000000298023224]",0,0
25,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130065/QP_n_UiTX_Gch_130065_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130065/QP_n_UiTX_Gch_130065_img_mask_01,"[40.0, 1.7000000476837158, 0.5, 0.05000000074505806, 0.6000000238418579, 0.4000000059604645, 0.5, 1.25, 0.4000000059604645, 0.699999988079071, 0.8500000238418579, 0.800000011920929, 1.399999976158142, 1.2000000476837158, 0.800000011920929, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 1.0, 0.5, 0.4000000059604645]",0,0
26,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250025/QP_n_UiTX_Gch_250025_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250025/QP_n_UiTX_Gch_250025_img_mask_01,"[6.5, 2.0, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, 0.17000000178813934, 0.800000011920929, 0.8500000238418579, 0.800000011920929, 0.6000000238418579, 0.6000000238418579, 1.0, 0.6499999761581421, 0.4000000059604645, 1.0, 0.5, 0.3499999940395355, 0.3499999940395355, 0.5, 1.0]",83,1002
27,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130070/QP_n_UiTX_Gch_130070_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130070/QP_n_UiTX_Gch_130070_img_mask_01,"[6.5, 2.0, 0.5, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, 0.17000000178813934, 0.800000011920929, 0.8500000238418579, 0.800000011920929, 0.6000000238418579, 0.6000000238418579, 1.0, 0.6499999761581421, 0.4000000059604645, 1.0, 0.5, 0.3499999940395355, 0.3499999940395355, 0.5, 1.0]",0,0
51,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250060/QP_n_UiTX_Gch_250060_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250060/QP_n_UiTX_Gch_250060_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
52,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250060/QP_n_UiTX_Gch_250060_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250060/QP_n_UiTX_Gch_250060_img_mask_02,"[0.0, 2.0, 0.800000011920929, 0.05000000074505806, 1.0, 0.5, 0.8999999761581421, 1.5, 1.100000023841858, 1.2000000476837158, 0.75, 0.5, 0.8500000238418579, 0.25, 0.20000000298023224, 0.4000000059604645, 0.41999998688697815, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896]",2,1002
53,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250060/QP_n_UiTX_Gch_250060_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250060/QP_n_UiTX_Gch_250060_img_mask_03,"[0.0, 1.899999976158142, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, -0.10000000149011612, -0.6000000238418579, 1.0, 0.800000011920929, -0.6000000238418579, -0.6000000238418579, 0.30000001192092896, 0.30000001192092896, 0.8999999761581421, 0.8999999761581421, 0.699999988079071, 1.0, 0.8999999761581421, 0.699999988079071, 1.0]",1,1002
28,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350015/QP_n_UiTX_Gch_350015_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350015/QP_n_UiTX_Gch_350015_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
29,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350015/QP_n_UiTX_Gch_350015_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350015/QP_n_UiTX_Gch_350015_img_mask_02,"[0.0, 2.0, 0.800000011920929, 0.05000000074505806, 1.0, 0.5, 0.8999999761581421, 1.5, 1.100000023841858, 1.2000000476837158, 0.75, 0.5, 0.8500000238418579, 0.25, 0.20000000298023224, 0.4000000059604645, 0.41999998688697815, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.4000000059604645, 0.30000001192092896]",2,1002
30,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350015/QP_n_UiTX_Gch_350015_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350015/QP_n_UiTX_Gch_350015_img_mask_03,"[0.0, 1.899999976158142, 0.699999988079071, 0.05000000074505806, 1.0, 0.5, 1.0, 1.0, -0.10000000149011612, -0.6000000238418579, 1.0, 0.800000011920929, -0.6000000238418579, -0.6000000238418579, 0.30000001192092896, 0.30000001192092896, 0.8999999761581421, 0.8999999761581421, 0.699999988079071, 1.0, 0.8999999761581421, 0.699999988079071, 1.0]",1,1002
31,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250030/QP_n_UiTX_Gch_250030_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250030/QP_n_UiTX_Gch_250030_img_mask_01,"[360.0, 3.799999952316284, 1.100000023841858, 0.05000000074505806, 1.100000023841858, 0.699999988079071, 1.0, 1.2999999523162842, 0.20000000298023224, 1.0, 0.8999999761581421, 1.100000023841858, -0.30000001192092896, 1.0, 0.699999988079071, 0.4000000059604645, 0.20000000298023224, 1.0, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.30000001192092896, 0.800000011920929]",68,1002
32,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130075/QP_n_UiTX_Gch_130075_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130075/QP_n_UiTX_Gch_130075_img_mask_01,"[360.0, 3.799999952316284, 1.100000023841858, 0.05000000074505806, 1.100000023841858, 0.699999988079071, 1.0, 1.2999999523162842, 0.20000000298023224, 1.0, 0.8999999761581421, 1.100000023841858, -0.30000001192092896, 1.0, 0.699999988079071, 0.4000000059604645, 0.20000000298023224, 1.0, 0.30000001192092896, 0.20000000298023224, 0.4000000059604645, 0.30000001192092896, 0.800000011920929]",0,0
33,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250035/QP_n_UiTX_Gch_250035_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250035/QP_n_UiTX_Gch_250035_img_mask_01,"[0.0, 1.0, 0.20000000298023224, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, -0.14000000059604645, 1.0, 1.0399999618530273, 0.800000011920929, 0.3799999952316284, 1.0, 0.6000000238418579, 0.4000000059604645, 0.30000001192092896, 1.0, 0.5, 0.20000000298023224, 1.0, 0.5, 0.20000000298023224]",81,1002
34,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130080/QP_n_UiTX_Gch_130080_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130080/QP_n_UiTX_Gch_130080_img_mask_01,"[0.0, 1.0, 0.20000000298023224, 0.05000000074505806, 1.0, 0.5, 1.0, 1.25, -0.14000000059604645, 1.0, 1.0399999618530273, 0.800000011920929, 0.3799999952316284, 1.0, 0.6000000238418579, 0.4000000059604645, 0.30000001192092896, 1.0, 0.5, 0.20000000298023224, 1.0, 0.5, 0.20000000298023224]",0,0
54,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250065/QP_n_UiTX_Gch_250065_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250065/QP_n_UiTX_Gch_250065_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
55,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250065/QP_n_UiTX_Gch_250065_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250065/QP_n_UiTX_Gch_250065_img_mask_02,"[330.0, 1.600000023841858, 0.550000011920929, 0.05000000074505806, 1.0, 0.5, 0.699999988079071, 0.8999999761581421, 0.0, 0.30000001192092896, 1.0, 0.75, -0.8999999761581421, 1.399999976158142, 0.8999999761581421, 0.6000000238418579, 0.30000001192092896, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",5,1002
56,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250065/QP_n_UiTX_Gch_250065_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250065/QP_n_UiTX_Gch_250065_img_mask_03,"[40.0, 1.7000000476837158, 0.5, 0.05000000074505806, 0.6000000238418579, 0.4000000059604645, 0.5, 1.25, 0.4000000059604645, 0.699999988079071, 0.8500000238418579, 0.800000011920929, 1.399999976158142, 1.2000000476837158, 0.800000011920929, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 1.0, 0.5, 0.4000000059604645]",8,1002
35,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350020/QP_n_UiTX_Gch_350020_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350020/QP_n_UiTX_Gch_350020_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
36,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350020/QP_n_UiTX_Gch_350020_img_main_02,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350020/QP_n_UiTX_Gch_350020_img_mask_02,"[330.0, 1.600000023841858, 0.550000011920929, 0.05000000074505806, 1.0, 0.5, 0.699999988079071, 0.8999999761581421, 0.0, 0.30000001192092896, 1.0, 0.75, -0.8999999761581421, 1.399999976158142, 0.8999999761581421, 0.6000000238418579, 0.30000001192092896, 0.699999988079071, 0.699999988079071, 0.10000000149011612, 0.8999999761581421, 0.699999988079071, 0.20000000298023224]",5,1002
37,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350020/QP_n_UiTX_Gch_350020_img_main_03,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_350020/QP_n_UiTX_Gch_350020_img_mask_03,"[40.0, 1.7000000476837158, 0.5, 0.05000000074505806, 0.6000000238418579, 0.4000000059604645, 0.5, 1.25, 0.4000000059604645, 0.699999988079071, 0.8500000238418579, 0.800000011920929, 1.399999976158142, 1.2000000476837158, 0.800000011920929, 0.4000000059604645, 0.30000001192092896, 0.8999999761581421, 0.6000000238418579, 0.20000000298023224, 1.0, 0.5, 0.4000000059604645]",8,1002
38,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250040/QP_n_UiTX_Gch_250040_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250040/QP_n_UiTX_Gch_250040_img_mask_01,"[330.0, 3.9000000953674316, 1.2999999523162842, 0.05000000074505806, 0.4000000059604645, 0.20000000298023224, 1.0, 1.0, -0.3499999940395355, 1.0700000524520874, 0.8999999761581421, 0.8700000047683716, -0.4000000059604645, 0.8999999761581421, 0.7599999904632568, 0.47999998927116394, 0.3100000023841858, 1.0, 0.5, 0.20000000298023224, 0.30000001192092896, 0.4000000059604645, 1.0]",133,1002
39,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130085/QP_n_UiTX_Gch_130085_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_130085/QP_n_UiTX_Gch_130085_img_mask_01,"[330.0, 3.9000000953674316, 1.2999999523162842, 0.05000000074505806, 0.4000000059604645, 0.20000000298023224, 1.0, 1.0, -0.3499999940395355, 1.0700000524520874, 0.8999999761581421, 0.8700000047683716, -0.4000000059604645, 0.8999999761581421, 0.7599999904632568, 0.47999998927116394, 0.3100000023841858, 1.0, 0.5, 0.20000000298023224, 0.30000001192092896, 0.4000000059604645, 1.0]",0,0
40,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250045/QP_n_UiTX_Gch_250045_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250045/QP_n_UiTX_Gch_250045_img_mask_01,"[40.0, 2.799999952316284, 1.0, 0.10000000149011612, 1.0, 0.5, 1.0, 1.2000000476837158, 0.6000000238418579, 0.800000011920929, 0.8999999761581421, 1.0, 0.800000011920929, 0.800000011920929, 1.0, 0.7799999713897705, 0.47999998927116394, 1.0, 0.8299999833106995, 0.1899999976158142, 0.14000000059604645, 1.0, 0.1899999976158142]",132,1002
41,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250050/QP_n_UiTX_Gch_250050_img_main_01,/Game/ExtTex/Gacha/QP_n_UiTX_Gch_250050/QP_n_UiTX_Gch_250050_img_mask_01,"[40.0, 3.4000000953674316, 0.8999999761581421, 0.10000000149011612, 1.0, 0.5, 1.0, 1.5, 0.699999988079071, 0.800000011920929, 0.8999999761581421, 0.9399999976158142, 1.0, 1.2000000476837158, 0.46000000834465027, 0.6000000238418579, 1.0, 0.15000000596046448, 0.5799999833106995, 1.0, 1.0, 0.949999988079071, 0.1599999964237213]",0,0
