m_id,m_SoundLabel,m_Category,m_Usage,m_Sheet,m_Loop,m_PlayMax,m_FadeI,m_FadeO,m_Priority
69,bgm_bat_extend_thief_m45,0,0,1,194,1,0.0,1.0,1
70,bgm_bat_extend_thief_m44,0,0,1,194,1,0.0,1.0,1
71,bgm_bat_extend_thief,0,0,1,194,1,0.0,1.0,1
72,bgm_bat_extend_scholar_m45,0,0,1,194,1,0.0,1.0,1
73,bgm_bat_extend_scholar_m44,0,0,1,194,1,0.0,1.0,1
74,bgm_bat_extend_scholar,0,0,1,194,1,0.0,1.0,1
75,bgm_bat_extend_priest_m45,0,0,1,194,1,0.0,1.0,1
76,bgm_bat_extend_priest_m44,0,0,1,194,1,0.0,1.0,1
77,bgm_bat_extend_priest,0,0,1,194,1,0.0,1.0,1
78,bgm_bat_extend_pharmacist_m45,0,0,1,194,1,0.0,1.0,1
79,bgm_bat_extend_pharmacist_m44,0,0,1,194,1,0.0,1.0,1
80,bgm_bat_extend_pharmacist,0,0,1,194,1,0.0,1.0,1
81,bgm_bat_extend_merchant_m45,0,0,1,194,1,0.0,1.0,1
82,bgm_bat_extend_merchant_m44,0,0,1,194,1,0.0,1.0,1
83,bgm_bat_extend_merchant,0,0,1,194,1,0.0,1.0,1
84,bgm_bat_extend_hunter_m45,0,0,1,194,1,0.0,1.0,1
85,bgm_bat_extend_hunter_m44,0,0,1,194,1,0.0,1.0,1
86,bgm_bat_extend_hunter,0,0,1,194,1,0.0,1.0,1
87,bgm_bat_extend_fencer_m45,0,0,1,194,1,0.0,1.0,1
88,bgm_bat_extend_fencer_m44,0,0,1,194,1,0.0,1.0,1
89,bgm_bat_extend_dancer_m45,0,0,1,194,1,0.0,1.0,1
90,bgm_bat_extend_dancer_m44,0,0,1,194,1,0.0,1.0,1
91,bgm_bat_exboss03,0,0,1,194,1,0.0,1.0,1
92,bgm_bat_exboss02,0,0,1,194,1,0.0,1.0,1
93,bgm_bat_exboss01,0,0,1,194,1,0.0,1.0,1
94,bgm_bat_csboss,0,0,1,194,1,0.0,1.0,1
95,M_Q01,0,0,1,194,1,0.0,1.0,1
96,M_Q02,0,0,1,194,1,0.0,1.0,1
97,M_Q03,0,0,1,194,1,0.0,1.0,1
98,M_Q04,0,0,1,194,1,0.0,1.0,1
99,M_Q05,0,0,1,194,1,0.0,1.0,1
121,M_Q06,0,0,1,194,1,0.0,1.0,1
12468,M_Q06_solo,0,0,1,194,1,0.0,1.0,1
78092,M_Q06_A,0,0,1,194,1,0.0,1.0,1
122,M_Q07,0,0,1,194,1,0.0,1.0,1
123,M_Q08,0,0,1,194,1,0.0,1.0,1
124,M_Q09,0,0,1,194,1,0.0,1.0,1
100,M_Q10,0,0,1,194,1,0.0,1.0,1
101,M_Q11,0,0,1,194,1,0.0,1.0,1
102,M_Q12,0,0,1,194,1,0.0,1.0,1
125,M_Q13,0,0,1,194,1,0.0,1.0,1
126,M_Q14,0,0,1,194,1,0.0,1.0,1
127,M_Q15,0,0,1,194,1,0.0,1.0,1
128,M_Q16,0,0,1,194,1,0.0,1.0,1
129,M_Q17,0,0,1,194,1,0.0,1.0,1
103,M_Q18,0,0,1,194,1,0.0,1.0,1
104,M_Q19,0,0,1,194,1,0.0,1.0,1
105,M_Q20,0,0,1,194,1,0.0,1.0,1
106,M_Q21,0,0,1,194,1,0.0,1.0,1
107,M_Q22,0,0,1,194,1,0.0,1.0,1
130,M_Q23,0,0,1,194,1,0.0,1.0,1
131,M_Q24,0,0,1,194,1,0.0,1.0,1
132,M_Q25,0,0,1,194,1,0.0,1.0,1
133,M_Q26,0,0,1,194,1,0.0,1.0,1
108,M_Q27,0,0,1,194,1,0.0,1.0,1
109,M_Q28,0,0,1,194,1,0.0,1.0,1
134,M_Q29,0,0,1,194,1,0.0,1.0,1
135,M_Q30,0,0,1,194,1,0.0,1.0,1
136,M_Q31,0,0,1,194,1,0.0,1.0,1
137,M_Q32,0,0,1,194,1,0.0,1.0,1
138,M_Q33,0,0,1,194,1,0.0,1.0,1
139,M_Q34,0,0,1,194,1,0.0,1.0,1
140,M_Q35,0,0,1,194,1,0.0,1.0,1
152,M_Q35_A,0,0,1,194,1,0.0,1.0,1
153,M_Q35_B,0,0,1,194,1,0.0,1.0,1
12469,M_Q35_C,0,0,1,194,1,0.0,1.0,1
141,M_Q36,0,0,1,194,1,0.0,1.0,1
71033,M_Q36_A,0,0,1,194,1,0.0,1.0,1
71034,M_Q36_B,0,0,1,194,1,0.0,1.0,1
142,M_Q37,0,0,1,194,1,0.0,1.0,1
110,M_Q38,0,0,1,194,1,0.0,1.0,1
111,M_Q39,0,0,1,194,1,0.0,1.0,1
143,M_Q40,0,0,1,194,1,0.0,1.0,1
144,M_Q41,0,0,1,194,1,0.0,1.0,1
145,M_Q42,0,0,1,194,1,0.0,1.0,1
146,M_Q43,0,0,1,194,1,0.0,1.0,1
147,M_Q44,0,0,1,194,1,0.0,1.0,1
148,M_Q45,0,0,1,194,1,0.0,1.0,1
149,M_Q46,0,0,1,194,1,0.0,1.0,1
150,M_Q47,0,0,1,194,1,0.0,1.0,1
151,M_Q48,0,0,1,194,1,0.0,1.0,1
78804,M_Q49,0,0,1,194,1,0.0,1.0,1
78800,M_Q50,0,0,1,194,1,0.0,1.0,1
78801,M_Q51,0,0,1,194,1,0.0,1.0,1
78802,M_Q52,0,0,1,194,1,0.0,1.0,1
78803,M_Q53,0,0,1,194,1,0.0,1.0,1
112,bgm_event_m65,0,0,2,194,1,0.0,1.0,1
113,bgm_event_m66,0,0,2,194,1,0.0,1.0,1
114,bgm_event_m67,0,0,2,194,1,0.0,1.0,1
115,bgm_event_m68,0,0,2,194,1,0.0,1.0,1
116,bgm_event_m69,0,0,2,194,1,0.0,1.0,1
117,bgm_event_m70,0,0,2,194,1,0.0,1.0,1
118,bgm_event_m71,0,0,2,194,1,0.0,1.0,1
119,bgm_event_m72,0,0,2,194,1,0.0,1.0,1
120,bgm_event_m73,0,0,2,194,1,0.0,1.0,1
78942,M_Q54,0,0,3,194,1,0.0,1.0,1
78943,M_Q55,0,0,3,194,1,0.0,1.0,1
78944,M_Q56,0,0,3,194,1,0.0,1.0,1
78945,M_Q48_B,0,0,3,194,1,0.0,1.0,1
78946,M_Q58,0,0,3,194,1,0.0,1.0,1
78949,M_Q61,0,0,3,194,1,0.0,1.0,1
78952,M_Q64,0,0,3,194,1,0.0,1.0,1
78955,M_Q67,0,0,3,194,1,0.0,1.0,1
78958,M_Q70,0,0,4,194,1,0.0,1.0,1
78959,M_Q71,0,0,4,194,1,0.0,1.0,1
78960,M_Q72,0,0,4,194,1,0.0,1.0,1
78961,M_Q73,0,0,4,194,1,0.0,1.0,1
78962,M_Q74,0,0,4,194,1,0.0,1.0,1
78963,M_Q75,0,0,4,194,1,0.0,1.0,1
78964,M_Q76,0,0,5,194,1,0.0,1.0,1
78967,M_Q79,0,0,3,194,1,0.0,1.0,1
85236,M_ClbBD_BD1_Airly_Battle1,0,0,6,194,1,0.0,1.0,1
85237,M_ClbBD_BD1_Airly_Battle2,0,0,6,194,1,0.0,1.0,1
85238,M_ClbBD_BD1_Job_Boss_Battle1,0,0,6,194,1,0.0,1.0,1
85239,M_ClbBD_BD1_Party1,0,0,6,194,1,0.0,1.0,1
85240,M_ClbBD_BD1_Dungeon1,0,0,6,194,1,0.0,1.0,1
85241,M_ClbBD_BD1_Boss_Battle1,0,0,6,194,1,0.0,1.0,1
85242,M_ClbBD_BD1_Kandou1,0,0,6,194,1,0.0,1.0,1
85243,M_ClbBD_BD2_Dungeon1,0,0,7,194,1,0.0,1.0,1
85244,M_ClbBD_BD2_Normal_Battle1,0,0,7,194,1,0.0,1.0,1
85245,M_ClbBD_BD2_Boss_Battle1,0,0,7,194,1,0.0,1.0,1
86178,M_ClbBD_BD1_Normal_Battle1,0,0,6,194,1,0.0,1.0,1
200,se_bat_boost_gauge01,1,3,1001,194,1,0.0,0.0,0
201,se_bat_encount,1,3,1001,194,1,0.0,0.0,0
202,se_bat_encount,1,3,1001,194,1,0.0,0.0,0
203,se_bat_encount_event,1,3,1001,194,1,0.0,0.0,0
204,se_bat_hit_fan01,1,3,1001,194,1,0.0,0.0,0
205,se_bat_hit_fan02,1,3,1001,194,1,0.0,0.0,0
206,se_bat_boost_lv1,1,3,1001,194,1,0.0,0.0,0
207,se_bat_boost_lv1s,1,3,1001,194,1,0.0,0.0,0
208,se_bat_boost_lv2,1,3,1001,194,1,0.0,0.0,0
209,se_bat_boost_lv2s,1,3,1001,194,1,0.0,0.0,0
210,se_bat_boost_lv3,1,3,1001,194,1,0.0,0.0,0
211,se_bat_boost_lv3s,1,3,1001,194,1,0.0,0.0,0
212,se_bat_boost_cancel,1,3,1001,194,1,0.0,0.0,0
213,se_bat_boost_countup,1,3,1001,194,1,0.0,0.0,0
214,se_bat_boost_countfull,1,3,1001,194,1,0.0,0.0,0
215,se_bat_shield_down,1,3,1001,194,1,0.0,0.0,0
216,se_bat_shield_break,1,3,1001,194,1,0.0,0.0,0
217,se_bat_action_move,1,3,1001,194,1,0.0,0.0,0
218,se_bat_atk_sword,1,3,1001,194,1,0.0,0.0,0
219,se_bat_atk_spear,1,3,1001,194,1,0.0,0.0,0
220,se_bat_atk_dagger,1,3,1001,194,1,0.0,0.0,0
221,se_bat_hit_sword01,1,3,1001,194,1,0.0,0.0,0
222,se_bat_hit_sword02,1,3,1001,194,1,0.0,0.0,0
223,se_bat_hit_spear01,1,3,1001,194,1,0.0,0.0,0
224,se_bat_hit_spear02,1,3,1001,194,1,0.0,0.0,0
225,se_bat_hit_staff01,1,3,1001,194,1,0.0,0.0,0
226,se_bat_hit_staff02,1,3,1001,194,1,0.0,0.0,0
227,se_bat_hit_dagger01,1,3,1001,194,1,0.0,0.0,0
228,se_bat_hit_dagger02,1,3,1001,194,1,0.0,0.0,0
229,se_bat_hit_miss,1,3,1001,194,1,0.0,0.0,0
230,se_bat_damage_slash01,1,3,1001,194,1,0.0,0.0,0
231,se_bat_damage_slash02,1,3,1001,194,1,0.0,0.0,0
232,se_bat_damage_blow01,1,3,1001,194,1,0.0,0.0,0
233,se_bat_damage_blow02,1,3,1001,194,1,0.0,0.0,0
234,se_bat_damage_cleave01,1,3,1001,194,1,0.0,0.0,0
235,se_bat_damage_cleave02,1,3,1001,194,1,0.0,0.0,0
236,se_bat_damage_break01,1,3,1001,194,1,0.0,0.0,0
237,se_bat_damage_break02,1,3,1001,194,1,0.0,0.0,0
238,se_bat_damage_shield,1,3,1001,194,1,0.0,0.0,0
239,se_bat_item01,1,3,1001,194,1,0.0,0.0,0
240,se_bat_heal02,1,3,1001,194,1,0.0,0.0,0
241,se_bat_heal03,1,3,1001,194,1,0.0,0.0,0
242,se_bat_guard,1,3,1001,194,1,0.0,0.0,0
243,se_bat_buff,1,3,1001,194,1,0.0,0.0,0
244,se_bat_debuff,1,3,1001,194,1,0.0,0.0,0
245,se_bat_break,1,3,1001,194,1,0.0,0.0,0
246,se_bat_poison,1,3,1001,194,1,0.0,0.0,0
247,se_bat_paralyze,1,3,1001,194,1,0.0,0.0,0
248,se_bat_sleep,1,3,1001,194,1,0.0,0.0,0
249,se_bat_heartof_swordman,1,3,1001,194,1,0.0,0.0,0
250,se_bat_heartof_dancer,1,3,1001,194,1,0.0,0.0,0
251,se_bat_dead01,1,3,1001,194,1,0.0,0.0,0
252,se_bat_dead02,1,3,1001,194,1,0.0,0.0,0
253,se_bat_runaway,1,3,1001,194,1,0.0,0.0,0
254,se_bat_heal04,1,3,1001,194,1,0.0,0.0,0
255,se_bat_equip_change,1,3,1001,194,1,0.0,0.0,0
256,se_bat_nextturn,1,3,1001,194,1,0.0,0.0,0
257,se_bat_item_firestone,1,3,1001,194,1,0.0,0.0,0
258,se_bat_item_icestone,1,3,1001,194,1,0.0,0.0,0
259,se_bat_item_thunderstone,1,3,1001,194,1,0.0,0.0,0
260,se_bat_down,1,3,1001,194,1,0.0,0.0,0
71065,SE_BAT_STARTENTER,1,3,1001,194,1,0.0,0.0,0
261,VO_BAT_ENCOUNT_ENM_ACBDUG,1,3,1001,194,1,0.0,0.0,0
262,VO_BAT_ENCOUNT_ENM_ANDRSD_M_A,1,3,1001,194,1,0.0,0.0,0
263,VO_BAT_ENCOUNT_ENM_ANTMNT_S_A,1,3,1001,194,1,0.0,0.0,0
264,VO_BAT_ENCOUNT_ENM_ANVRSD_M_A,1,3,1001,194,1,0.0,0.0,0
265,VO_BAT_ENCOUNT_ENM_ARMCLF_M_A,1,3,1001,194,1,0.0,0.0,0
266,VO_BAT_ENCOUNT_ENM_ARMMNT,1,3,1001,194,1,0.0,0.0,0
267,VO_BAT_ENCOUNT_ENM_ARMSNW_M_A,1,3,1001,194,1,0.0,0.0,0
268,VO_BAT_ENCOUNT_ENM_BAN1,1,3,1001,194,1,0.0,0.0,0
269,VO_BAT_ENCOUNT_ENM_BAT,1,3,1001,194,1,0.0,0.0,0
270,VO_BAT_ENCOUNT_ENM_BBTCAV_S_A,1,3,1001,194,1,0.0,0.0,0
271,VO_BAT_ENCOUNT_ENM_BDGOTR_M_A,1,3,1001,194,1,0.0,0.0,0
272,VO_BAT_ENCOUNT_ENM_BDRCLF_L_A,1,3,1001,194,1,0.0,0.0,0
273,VO_BAT_ENCOUNT_ENM_BERSNW_M_A,1,3,1001,194,1,0.0,0.0,0
274,VO_BAT_ENCOUNT_ENM_BFLRVR_L_A,1,3,1001,194,1,0.0,0.0,0
275,VO_BAT_ENCOUNT_ENM_BIRD,1,3,1001,194,1,0.0,0.0,0
276,VO_BAT_ENCOUNT_ENM_BLFOTR_M_A,1,3,1001,194,1,0.0,0.0,0
277,VO_BAT_ENCOUNT_ENM_BOSBIGWOLF_L_A,1,3,1001,194,1,0.0,0.0,0
278,VO_BAT_ENCOUNT_ENM_BOSCHIMERA_L_A,1,3,1001,194,1,0.0,0.0,0
279,VO_BAT_ENCOUNT_ENM_BOSDEATHTIGER_L_A,1,3,1001,194,1,0.0,0.0,0
280,VO_BAT_ENCOUNT_ENM_BOSDRAGON_L_A,1,3,1001,194,1,0.0,0.0,0
12470,VO_BAT_ENCOUNT_ENM_BOSFORESTBOSS_L_A,1,3,1001,194,1,0.0,0.0,0
12471,VO_BAT_ENCOUNT_ENM_BOSGUARDIAN_L_A,1,3,1001,194,1,0.0,0.0,0
12472,VO_BAT_ENCOUNT_ENM_BOSSNAKE_L_A,1,3,1001,194,1,0.0,0.0,0
12473,VO_BAT_ENCOUNT_ENM_BOSTENGUEAGLE_L_A,1,3,1001,194,1,0.0,0.0,0
12474,VO_BAT_ENCOUNT_ENM_BRDCLF_M_A,1,3,1001,194,1,0.0,0.0,0
12475,VO_BAT_ENCOUNT_ENM_BRDCLF_S_A,1,3,1001,194,1,0.0,0.0,0
12476,VO_BAT_ENCOUNT_ENM_BRDRVR_M_A,1,3,1001,194,1,0.0,0.0,0
12477,VO_BAT_ENCOUNT_ENM_BRDSEA_M_A,1,3,1001,194,1,0.0,0.0,0
12478,VO_BAT_ENCOUNT_ENM_BRDSEA_S_A,1,3,1001,194,1,0.0,0.0,0
12479,VO_BAT_ENCOUNT_ENM_BTFFST_L_A,1,3,1001,194,1,0.0,0.0,0
12480,VO_BAT_ENCOUNT_ENM_BZDCLF,1,3,1001,194,1,0.0,0.0,0
12481,VO_BAT_ENCOUNT_ENM_CATRAR_M_A,1,3,1001,194,1,0.0,0.0,0
12482,VO_BAT_ENCOUNT_ENM_CATRAR_S_A,1,3,1001,194,1,0.0,0.0,0
12483,VO_BAT_ENCOUNT_ENM_CHTDST_M_A,1,3,1001,194,1,0.0,0.0,0
12484,VO_BAT_ENCOUNT_ENM_CLBSEA_M_A,1,3,1001,194,1,0.0,0.0,0
12485,VO_BAT_ENCOUNT_ENM_CLBSEA_S_A,1,3,1001,194,1,0.0,0.0,0
12486,VO_BAT_ENCOUNT_ENM_CMLRVR_M_A,1,3,1001,194,1,0.0,0.0,0
12487,VO_BAT_ENCOUNT_ENM_COWPLN_M_A,1,3,1001,194,1,0.0,0.0,0
12488,VO_BAT_ENCOUNT_ENM_CRCRVR_M_A,1,3,1001,194,1,0.0,0.0,0
12489,VO_BAT_ENCOUNT_ENM_CRWPLN_S_A,1,3,1001,194,1,0.0,0.0,0
12490,VO_BAT_ENCOUNT_ENM_CTPFST_S_A,1,3,1001,194,1,0.0,0.0,0
12491,VO_BAT_ENCOUNT_ENM_DERFST_M_A,1,3,1001,194,1,0.0,0.0,0
12492,VO_BAT_ENCOUNT_ENM_DOGRSD_S_A,1,3,1001,194,1,0.0,0.0,0
12493,VO_BAT_ENCOUNT_ENM_DRAPLN_M_A,1,3,1001,194,1,0.0,0.0,0
12494,VO_BAT_ENCOUNT_ENM_DRASNW_M_A,1,3,1001,194,1,0.0,0.0,0
12495,VO_BAT_ENCOUNT_ENM_DRGCAV_L_A,1,3,1001,194,1,0.0,0.0,0
12496,VO_BAT_ENCOUNT_ENM_EGGCLF_S_A,1,3,1001,194,1,0.0,0.0,0
12497,VO_BAT_ENCOUNT_ENM_EGLCLF_M_A,1,3,1001,194,1,0.0,0.0,0
12498,VO_BAT_ENCOUNT_ENM_ELMOTR_S_FRE,1,3,1001,194,1,0.0,0.0,0
12499,VO_BAT_ENCOUNT_ENM_FFHSEA_S_A,1,3,1001,194,1,0.0,0.0,0
12500,VO_BAT_ENCOUNT_ENM_FLYRVR_M_A,1,3,1001,194,1,0.0,0.0,0
12501,VO_BAT_ENCOUNT_ENM_FLYRVR_S_A,1,3,1001,194,1,0.0,0.0,0
12502,VO_BAT_ENCOUNT_ENM_FOXSNW_S_A,1,3,1001,194,1,0.0,0.0,0
12503,VO_BAT_ENCOUNT_ENM_FRGPLN_M_A,1,3,1001,194,1,0.0,0.0,0
12504,VO_BAT_ENCOUNT_ENM_FRGPLN_S_A,1,3,1001,194,1,0.0,0.0,0
12505,VO_BAT_ENCOUNT_ENM_FRGRVR_M_A,1,3,1001,194,1,0.0,0.0,0
12506,VO_BAT_ENCOUNT_ENM_FRGRVR_S_A,1,3,1001,194,1,0.0,0.0,0
12507,VO_BAT_ENCOUNT_ENM_GLMDNG_L_A,1,3,1001,194,1,0.0,0.0,0
12508,VO_BAT_ENCOUNT_ENM_GLMDST_M_A,1,3,1001,194,1,0.0,0.0,0
12509,VO_BAT_ENCOUNT_ENM_GOTMNT_M_A,1,3,1001,194,1,0.0,0.0,0
12510,VO_BAT_ENCOUNT_ENM_HMTSEA_S_A,1,3,1001,194,1,0.0,0.0,0
12511,VO_BAT_ENCOUNT_ENM_HYECLF_S_A,1,3,1001,194,1,0.0,0.0,0
12512,VO_BAT_ENCOUNT_ENM_KRKSEA_L_A,1,3,1001,194,1,0.0,0.0,0
12513,VO_BAT_ENCOUNT_ENM_LEOSNW_M_A,1,3,1001,194,1,0.0,0.0,0
12514,VO_BAT_ENCOUNT_ENM_LGRFST_M_A,1,3,1001,194,1,0.0,0.0,0
12515,VO_BAT_ENCOUNT_ENM_LINDE,1,3,1001,194,1,0.0,0.0,0
12516,VO_BAT_ENCOUNT_ENM_LZDDST1,1,3,1001,194,1,0.0,0.0,0
12517,VO_BAT_ENCOUNT_ENM_LZDDST_M_A,1,3,1001,194,1,0.0,0.0,0
12518,VO_BAT_ENCOUNT_ENM_LZDSNW_M_A,1,3,1001,194,1,0.0,0.0,0
12519,VO_BAT_ENCOUNT_ENM_LZDSNW_S_A,1,3,1001,194,1,0.0,0.0,0
12520,VO_BAT_ENCOUNT_ENM_MMCFST_L_A,1,3,1001,194,1,0.0,0.0,0
12521,VO_BAT_ENCOUNT_ENM_MMSPLN_L_A,1,3,1001,194,1,0.0,0.0,0
12522,VO_BAT_ENCOUNT_ENM_MNKCLF_S_A,1,3,1001,194,1,0.0,0.0,0
12523,VO_BAT_ENCOUNT_ENM_MSHFST_M_A,1,3,1001,194,1,0.0,0.0,0
12524,VO_BAT_ENCOUNT_ENM_MUSFST_M_A,1,3,1001,194,1,0.0,0.0,0
12525,VO_BAT_ENCOUNT_ENM_MUSFST_S_A,1,3,1001,194,1,0.0,0.0,0
12526,VO_BAT_ENCOUNT_ENM_MUSMNT_M_A,1,3,1001,194,1,0.0,0.0,0
12527,VO_BAT_ENCOUNT_ENM_OBSOTR_M_A,1,3,1001,194,1,0.0,0.0,0
12528,VO_BAT_ENCOUNT_ENM_OWLFST_S_A,1,3,1001,194,1,0.0,0.0,0
12529,VO_BAT_ENCOUNT_ENM_PCKDST_M_A,1,3,1001,194,1,0.0,0.0,0
12530,VO_BAT_ENCOUNT_ENM_PIGPLN_S_A,1,3,1001,194,1,0.0,0.0,0
12531,VO_BAT_ENCOUNT_ENM_PLCSNW_M_A,1,3,1001,194,1,0.0,0.0,0
12532,VO_BAT_ENCOUNT_ENM_PLTCLF_M_A,1,3,1001,194,1,0.0,0.0,0
12533,VO_BAT_ENCOUNT_ENM_PLTDST_M_A,1,3,1001,194,1,0.0,0.0,0
12534,VO_BAT_ENCOUNT_ENM_PLTFST_S_A,1,3,1001,194,1,0.0,0.0,0
12535,VO_BAT_ENCOUNT_ENM_PLTPLN_M_A,1,3,1001,194,1,0.0,0.0,0
12536,VO_BAT_ENCOUNT_ENM_PRTOTR_M_A,1,3,1001,194,1,0.0,0.0,0
12537,VO_BAT_ENCOUNT_ENM_RAT1,1,3,1001,194,1,0.0,0.0,0
12538,VO_BAT_ENCOUNT_ENM_RNOPLN_M_A,1,3,1001,194,1,0.0,0.0,0
12539,VO_BAT_ENCOUNT_ENM_RSCOTR_M_A,1,3,1001,194,1,0.0,0.0,0
12540,VO_BAT_ENCOUNT_ENM_RVSOTR_M_A,1,3,1001,194,1,0.0,0.0,0
12541,VO_BAT_ENCOUNT_ENM_SANDWARM,1,3,1001,194,1,0.0,0.0,0
12542,VO_BAT_ENCOUNT_ENM_SBDSEA_M_A,1,3,1001,194,1,0.0,0.0,0
12543,VO_BAT_ENCOUNT_ENM_SCADST_S_A,1,3,1001,194,1,0.0,0.0,0
12544,VO_BAT_ENCOUNT_ENM_SCPDST_S_A,1,3,1001,194,1,0.0,0.0,0
12545,VO_BAT_ENCOUNT_ENM_SECRSD_S_A,1,3,1001,194,1,0.0,0.0,0
12546,VO_BAT_ENCOUNT_ENM_SHPPLN_M_A,1,3,1001,194,1,0.0,0.0,0
12547,VO_BAT_ENCOUNT_ENM_SKLDNG,1,3,1001,194,1,0.0,0.0,0
12548,VO_BAT_ENCOUNT_ENM_SLDDST_M_A,1,3,1001,194,1,0.0,0.0,0
12549,VO_BAT_ENCOUNT_ENM_SLGDNG_M_A,1,3,1001,194,1,0.0,0.0,0
12550,VO_BAT_ENCOUNT_ENM_SLMRVR_M_A,1,3,1001,194,1,0.0,0.0,0
12551,VO_BAT_ENCOUNT_ENM_SMLOTR_M_A,1,3,1001,194,1,0.0,0.0,0
12552,VO_BAT_ENCOUNT_ENM_SNDMNT_M_A,1,3,1001,194,1,0.0,0.0,0
12553,VO_BAT_ENCOUNT_ENM_SNKCAV,1,3,1001,194,1,0.0,0.0,0
12554,VO_BAT_ENCOUNT_ENM_SNKCAV_M_A,1,3,1001,194,1,0.0,0.0,0
12555,VO_BAT_ENCOUNT_ENM_SNLRVR_S_A,1,3,1001,194,1,0.0,0.0,0
12556,VO_BAT_ENCOUNT_ENM_SPYCLF_M_A,1,3,1001,194,1,0.0,0.0,0
12557,VO_BAT_ENCOUNT_ENM_SQLFST_S_A,1,3,1001,194,1,0.0,0.0,0
12558,VO_BAT_ENCOUNT_ENM_SWROTR_M_A,1,3,1001,194,1,0.0,0.0,0
