m_id,m_Category,m_VoiceType
2621,etc,etc7_A
2328,etc,etc7_B
1042,etc,etc8
2622,etc,etc8B
2623,etc,etc8_A
2624,etc,etc8_B
2625,etc,etc8_C
1043,etc,etc9
2626,etc,etc9B
2627,etc,etc9_A
2628,etc,etc9_B
1044,etc,etc10
2629,etc,etc10_B
1045,etc,etc11
2630,etc,etc11_B
1046,etc,etc12
1047,etc,etc13
1048,etc,etc14
1049,etc,etc15
1050,etc,etc16
1051,etc,etc17
1052,etc,etc18
1053,etc,etc19
2631,etc,etc19_A
2632,etc,etc19_B
1054,etc,etc20
1055,etc,etc21
1056,etc,etc22
1057,etc,etc23
1058,etc,etc24
1059,etc,etc25
2633,etc,etc25_A
2634,etc,etc25_B
1060,etc,etc26
1061,etc,etc27
1062,etc,etc28
1063,etc,etc29
1064,etc,etc30
1065,etc,etc31
1066,etc,etc32
1067,etc,etc33
1068,etc,etc34
1069,etc,etc35
1070,etc,etc36
1071,etc,etc37
1072,etc,etc38
1073,etc,etc39
1074,etc,etc40
2259,etc,etc41
2260,etc,etc42
2344,etc,etc43
2345,etc,etc44
2346,etc,etc45
2347,etc,etc46
2348,etc,etc47
2349,etc,etc48
2635,etc,etc48_A
2636,etc,etc48_B
2350,etc,etc49
2351,etc,etc50
2352,etc,etc51
2353,etc,etc52
2354,etc,etc53
2355,etc,etc54
2356,etc,etc55
2357,etc,etc56
2358,etc,etc57
2359,etc,etc58
2360,etc,etc59
2361,etc,etc60
2362,etc,etc61
2363,etc,etc62
2364,etc,etc63
2365,etc,etc64
2429,etc,etc65
1076,etc,hurry
2430,etc,hurry1
1075,etc,shout
2637,etc,shout_B
2431,etc,shout1
2258,etc,continue
2432,etc,continue1
1077,etc,cry1
1078,etc,cry2
2329,etc,cry3
1080,etc,agony1
2331,etc,agony2
1079,etc,scream1
2330,etc,scream2
2389,etc,arena1
2390,etc,arena2
2391,etc,arena3
2392,etc,arena4
2393,etc,arena5
2394,etc,arena6
2395,etc,arena7
2396,etc,arena8
2397,etc,arena9
2398,etc,arena10
2399,etc,arena11
2400,etc,arena12
2401,etc,arena13
2402,etc,arena14
2403,etc,arena15
2404,etc,arena16
2405,etc,arena17
2406,etc,arena18
2407,etc,arena19
2408,etc,arena20
2409,etc,arena21
2434,etc,arena22
2435,etc,arena23
2436,etc,arena24
2437,etc,arena25
2638,etc,arena50
2639,etc,arena51
2640,etc,arena52
2641,etc,arena53
2642,etc,arena54
2643,etc,arena55
2644,etc,arena56
2645,etc,arena01
2646,etc,arena02
2647,etc,arena03
2648,etc,arena04
2649,etc,arena05
2650,etc,arena06
2651,etc,arena07
2652,etc,arena08
2653,etc,arena09
2654,etc,Auction01
2655,etc,Auction02
2656,etc,bmarket01
2657,etc,bmarket02
2658,etc,theater01
2659,etc,theater02
2660,etc,2sheeps
2661,etc,3sheeps
2687,etc,3alpacas
2000,btl,bow1
2001,btl,bow2
2002,btl,aha1
2003,btl,aha2
2004,btl,bye
2005,btl,surprise1
2006,btl,surprise2
2007,btl,anger
2008,btl,sad
2009,btl,happy
2010,btl,joy
2011,btl,laugh1
2012,btl,laugh2
2662,btl,mortify
2013,btl,mortify1
2014,btl,mortify2
2015,btl,scared
2016,btl,thank
2017,btl,worry
2018,btl,found1
2019,btl,found2
2020,btl,yes1
2021,btl,yes2
2022,btl,no
2023,btl,positive
2024,btl,negation
2025,btl,ready
2026,btl,doubt
2027,btl,thought
2028,btl,truth
2029,btl,dislike
2030,btl,apology
2031,btl,etc
2032,btl,instruct
2033,btl,inn
2034,btl,blacksmith
2035,btl,etc1
2036,btl,etc2
2037,btl,etc3
2038,btl,etc4
2039,btl,etc5
2040,btl,etc6
2041,btl,etc7
2042,btl,etc8
2043,btl,etc9
2044,btl,etc10
2045,btl,etc11
2046,btl,etc12
2047,btl,etc13
2048,btl,etc14
2049,btl,etc15
2050,btl,etc16
2051,btl,etc17
2052,btl,etc18
2053,btl,etc19
2054,btl,etc20
2055,btl,etc21
2056,btl,etc22
2057,btl,etc23
2058,btl,etc24
2059,btl,etc25
2060,btl,etc26
2061,btl,etc27
2062,btl,etc28
2063,btl,etc29
2064,btl,etc30
2065,btl,etc31
2066,btl,etc32
2067,btl,etc33
2068,btl,etc34
2069,btl,etc35
2070,btl,etc36
2071,btl,etc37
2072,btl,etc38
2073,btl,etc39
2074,btl,etc40
2075,btl,shout
2663,btl,shout_A
2664,btl,shout_B
2076,btl,hurry
2077,btl,ability1
2078,btl,ability2
2079,btl,ability3
2080,btl,ability4
2081,btl,ability5
2082,btl,ability6
2083,btl,ability7
2084,btl,ability8
2085,btl,ability9
2086,btl,ability10
2087,btl,ability11
2088,btl,ability12
2089,btl,ability13
2090,btl,ability14
2091,btl,ability15
2092,btl,ability16
2093,btl,ability17
2094,btl,ability18
2095,btl,ability19
2096,btl,ability20
2097,btl,ability21
2098,btl,ability22
2099,btl,ability23
2100,btl,ability24
2101,btl,ability25
2102,btl,ability26
2103,btl,ability27
2104,btl,ability28
2105,btl,ability29
2106,btl,ability30
2107,btl,ability31
2108,btl,ability32
2109,btl,ability33
2110,btl,ability34
2111,btl,ability35
2112,btl,ability1p1
2113,btl,ability2p1
2114,btl,ability3p1
2115,btl,ability4p1
2116,btl,ability5p1
2117,btl,ability6p1
2118,btl,ability7p1
2119,btl,ability8p1
2120,btl,ability9p1
2121,btl,ability10p1
2122,btl,ability11p1
2123,btl,ability12p1
2124,btl,ability13p1
2125,btl,ability14p1
2126,btl,ability15p1
2127,btl,ability16p1
2128,btl,ability17p1
2129,btl,ability18p1
2130,btl,ability19p1
2131,btl,ability20p1
2132,btl,ability21p1
2133,btl,ability22p1
2134,btl,ability23p1
2135,btl,ability24p1
2136,btl,ability25p1
2137,btl,ability26p1
2138,btl,ability27p1
2139,btl,ability28p1
2140,btl,ability29p1
2141,btl,ability30p1
2142,btl,ability31p1
2143,btl,ability32p1
2144,btl,ability33p1
2145,btl,ability34p1
2146,btl,ability35p1
2147,btl,ability1p2
2148,btl,ability2p2
2149,btl,ability3p2
2150,btl,ability4p2
2151,btl,ability5p2
2152,btl,ability6p2
2153,btl,ability7p2
2154,btl,ability8p2
2155,btl,ability9p2
2156,btl,ability10p2
2157,btl,ability11p2
2158,btl,ability12p2
2159,btl,ability13p2
2160,btl,ability14p2
2161,btl,ability15p2
2162,btl,ability16p2
2163,btl,ability17p2
2164,btl,ability18p2
2165,btl,ability19p2
2166,btl,ability20p2
2167,btl,ability21p2
2168,btl,ability22p2
2169,btl,ability23p2
2170,btl,ability24p2
2171,btl,ability25p2
2172,btl,ability26p2
2173,btl,ability27p2
2174,btl,ability28p2
2175,btl,ability29p2
2176,btl,ability30p2
2177,btl,ability31p2
2178,btl,ability32p2
2179,btl,ability33p2
2180,btl,ability34p2
2181,btl,ability35p2
2182,btl,ability1p3
2183,btl,ability2p3
2184,btl,ability3p3
2185,btl,ability4p3
2186,btl,ability5p3
2187,btl,ability6p3
2188,btl,ability7p3
2189,btl,ability8p3
2190,btl,ability9p3
2191,btl,ability10p3
2192,btl,ability11p3
2193,btl,ability12p3
2194,btl,ability13p3
2195,btl,ability14p3
2196,btl,ability15p3
2197,btl,ability16p3
2198,btl,ability17p3
2199,btl,ability18p3
2200,btl,ability19p3
2201,btl,ability20p3
2202,btl,ability21p3
2203,btl,ability22p3
2204,btl,ability23p3
2205,btl,ability24p3
2206,btl,ability25p3
2207,btl,ability26p3
2208,btl,ability27p3
2209,btl,ability28p3
2210,btl,ability29p3
2211,btl,ability30p3
2212,btl,ability31p3
2213,btl,ability32p3
2214,btl,ability33p3
2215,btl,ability34p3
2216,btl,ability35p3
2217,btl,btl1
2218,btl,btl2
2219,btl,btl3
2220,btl,btl4
2221,btl,btl5
2222,btl,btl6
2223,btl,btl7
2224,btl,btl8
2225,btl,btl9
2226,btl,btl10
2227,btl,btl11
2228,btl,btl12
2229,btl,btl13
2230,btl,btl14
2231,btl,btl15
2232,btl,btl16
2233,btl,btl17
2234,btl,btl18
2235,btl,btl19
2236,btl,btl20
2237,btl,btl21
2238,btl,btl22
2239,btl,btl23
2240,btl,btl24
2241,btl,btl25
2242,btl,btl26
2243,btl,btl27
2244,btl,btl28
2245,btl,btl29
2246,btl,btl30
2247,eTxE,0140
2248,eTxE,0220
2249,eTxE,0313
2250,eTxE,0314
2251,eTxE,0360
2252,eTxE,0380
2253,eTxE,0390
2438,btl,start1
2439,btl,start2
2440,btl,start3
2441,btl,start4
2442,btl,start5
2443,btl,start6
2444,btl,start7
2445,btl,symbol
2446,btl,symbol2
2447,btl,boss1
2448,btl,boss2
2449,btl,boss3
2450,btl,boss4
2451,btl,boss5
2452,btl,boss6
2453,btl,beat1
2454,btl,beat2
2455,btl,beat3
2456,btl,beat4
2665,btl,beatnarrow
2457,btl,beatnarrow1
2458,btl,beatnarrow2
2459,btl,turnstart1
2460,btl,turnstart2
2461,btl,turnstart3
2462,btl,turnstart4
2666,btl,tslowhp
2463,btl,tslowhp1
2464,btl,tslowhp2
2465,btl,tbreak1
2466,btl,tbreak2
2467,btl,tbreak3
2468,btl,tbreak4
2469,btl,deathblow1
2470,btl,deathblow2
2471,btl,deathblow3
2472,btl,deathblow4
2474,btl,break1
2475,btl,break2
2476,btl,break3
2537,btl,break4
2477,btl,changefront1
2478,btl,changefront2
2479,btl,changefront3
2480,btl,changefront4
2481,btl,changefront5
2482,btl,changefront6
2667,btl,avoidatk
2483,btl,avoidatk1
2484,btl,avoidatk2
2485,btl,debuff
2486,btl,debuff2
2487,btl,restorebymate1
2488,btl,restorebymate2
2489,btl,restorebymate3
2490,btl,restorebymate4
2491,btl,retrieve1
2492,btl,retrieve2
2493,btl,retrieve3
2494,btl,retrieve4
2495,btl,damage1lv1
2496,btl,damage1lv2
2497,btl,damage1lv3
2498,btl,damage1lv4
2499,btl,damage2lv1
2500,btl,damage2lv2
2501,btl,damage2lv3
2502,btl,damage2lv4
2503,btl,damage3lv1
2504,btl,damage3lv2
2505,btl,damage3lv3
2506,btl,damage3lv4
2507,btl,dead1
2508,btl,dead2
2509,btl,dead3
2510,btl,dead4
2686,btl,deadall
2511,btl,deadall1
2512,btl,deadall2
2513,btl,deadall3
2514,btl,deadall4
2515,btl,deadall5
2516,btl,deadall6
2517,btl,deadall7
2518,btl,deadall8
2519,btl,deadall9
2520,btl,deadall10
2521,btl,recoverhp
2522,btl,recoverhp2
2523,btl,recoversp
2524,btl,recoversp2
2668,btl,recoverbad
2525,btl,recoverbad1
2526,btl,recoverbad2
2669,btl,addbuff
2527,btl,addbuff1
2528,btl,addbuff2
2670,btl,addresistbuff
2529,btl,addresistbuff1
2530,btl,addresistbuff2
2671,btl,adddebuff
2531,btl,adddebuff1
2532,btl,adddebuff2
2672,btl,addresistdebuff
2533,btl,addresistdebuff1
2534,btl,addresistdebuff2
2673,btl,provoke
2535,btl,provoke1
2536,btl,provoke2
2674,btl,attack1
2675,btl,attack2
2676,btl,attack3
2677,btl,attack4
2678,btl,burst1lv1
2679,btl,burst1lv2
2680,btl,burst2lv1
2681,btl,burst2lv2
2682,btl,burst3lv1
2683,btl,burst3lv2
2684,btl,weak1
2685,btl,weak2
