m_id,m_LevelObjectName,m_TexPath
28,ObjMD_Door_Pluto_Office_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Door/StaticMesh/ObjMD_Door_Pluto_Office_A.ObjMD_Door_Pluto_Office_A
29,EvObj_Tiesel_ParentsHouse_A,
30,EvObj_Tiesel_ParentsHouse_B,
31,EvObj_SeikakishiDanCamp_Flame_Off,
32,EvObj_SeikakishiDanCamp_Flame_On,
33,ObjMD_Ev_RinyuuDoll_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_RinyuuDoll_A.ObjMD_Ev_RinyuuDoll_A
34,EvObj_07_Room_Church,
35,ObjMD_Cemetery_Flower_D,/Game/Object/Resource/V1_0_0/Obj/Obj_Cemetery/StaticMesh/ObjMD_Cemetery_Flower_D.ObjMD_Cemetery_Flower_D
36,ObjMD_Cemetery_Flower_D4,/Game/Object/Resource/V1_0_0/Obj/Obj_Cemetery/StaticMesh/ObjMD_Cemetery_Flower_C.ObjMD_Cemetery_Flower_C
40,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Event_BigRock_A.ObjMD_Event_BigRock_A
41,ObjMD_Ev_Apple_Cart_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Apple_Cart_A.ObjMD_Ev_Apple_Cart_A
42,ObjMD_Ev_Wolf_Bded_R,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Wolf_Bded_R.ObjMD_Ev_Wolf_Bded_R
43,ObjMD_Ev_Wolf_Bded_L,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Wolf_Bded_L.ObjMD_Ev_Wolf_Bded_L
44,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Arrow_Set_A.ObjMD_Ev_Arrow_Set_A
45,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Arrow_Set_B.ObjMD_Ev_Arrow_Set_B
46,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Pluto_Flower_A.ObjMD_Ev_Pluto_Flower_A
47,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_AncientVessel_A.ObjMD_Ev_AncientVessel_A
48,,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_TeaSets_Pot_A.ObjMD_Edlus_TeaSets_Pot_A
49,,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_TeaSets_Cup_A.ObjMD_Edlus_TeaSets_Cup_A
50,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Wedding_A.ObjMD_Ev_Wedding_A
51,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Casket_Mafflets_A.ObjMD_Ev_Casket_Mafflets_A
52,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Scaffold_A.ObjMD_Ev_Scaffold_A
53,ObjMD_Edlus_Castle_Bridge_A_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_Castle_Bridge_A_Close.ObjMD_Edlus_Castle_Bridge_A_Close
54,ObjMD_Edlus_Castle_Bridge_A_Open,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_Castle_Bridge_A_Open.ObjMD_Edlus_Castle_Bridge_A_Open
55,ObjMD_Edlus_Castle_Gate_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_Castle_Gate_A.ObjMD_Edlus_Castle_Gate_A
56,ObjMD_Door_Edlus_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Door/StaticMesh/ObjMD_Door_Edlus_A.ObjMD_Door_Edlus_A
38,ObjMD_SignRoad_2A,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_2A.ObjMD_SignRoad_2A
57,ObjMD_SignRoad_2A_Snow,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_2A_Snow.ObjMD_SignRoad_2A_Snow
39,ObjMD_SignRoad_NS,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_NS.ObjMD_SignRoad_NS
58,ObjMD_SignRoad_E,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_E.ObjMD_SignRoad_E
59,ObjMD_SignRoad_W,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_W.ObjMD_SignRoad_W
60,ObjMD_SignRoad_NS_Snow,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_NS_Snow.ObjMD_SignRoad_NS_Snow
61,ObjMD_SignRoad_E_Snow,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_E_Snow.ObjMD_SignRoad_E_Snow
62,ObjMD_SignRoad_W_Snow,/Game/Object/Resource/V1_0_0/Obj/Obj_SignRoad/StaticMesh/ObjMD_SignRoad_W_Snow.ObjMD_SignRoad_W_Snow
63,EvObj_SeaT_Ship_A,
64,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_TSnow1001A_SofiaSet_A.ObjMD_Ev_TSnow1001A_SofiaSet_A
65,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_TSnow1001A_CressSet_A.ObjMD_Ev_TSnow1001A_CressSet_A
66,,/Game/Object/Resource/V1_0_0/Obj/Obj_Picture/StaticMesh/ObjMD_Ev_Picture_Easel_A.ObjMD_Ev_Picture_Easel_A
67,,/Game/Object/Resource/V1_0_0/Obj/Obj_Picture/StaticMesh/ObjMD_Ev_Picture_Easel_B.ObjMD_Ev_Picture_Easel_B
68,,/Game/Object/Resource/V1_0_0/Obj/Obj_Picture/StaticMesh/ObjMD_Ev_Picture_Easel_C.ObjMD_Ev_Picture_Easel_C
69,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_WhiteStone_A.ObjMD_Ev_WhiteStone_A
70,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Tiesel_TableSet_A.ObjMD_Ev_Tiesel_TableSet_A
71,,/Game/Object/Resource/V1_0_0/Obj/Obj_Flower/StaticMesh/ObjMD_Flower_A_lavender.ObjMD_Flower_A_lavender
72,,/Game/Object/Resource/BP/Npc_Obj/Eve_InductionLight/BP_Eve_InductionLight.BP_Eve_InductionLight_C
73,EvObj_TSnow1001B1_Day,
74,EvObj_TSnow1001B1_Night,
76,EvObj_Snow_Red_EV1005A1,
77,Flag_Edlus_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Flag_Edlus_A.ObjMD_Flag_Edlus_A
78,Flag_Leaven_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Flag_Leaven_A.ObjMD_Flag_Leaven_A
79,Flag_Philos_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Flag_Philos_A.ObjMD_Flag_Philos_A
80,Flag_Edlus_A_Wind,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Flag_Edlus_A_Wind.ObjMD_Flag_Edlus_A_Wind
81,Flag_Leaven_A_Wind,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Flag_Leaven_A_Wind.ObjMD_Flag_Leaven_A_Wind
82,Flag_Philos_A_Wind,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Flag_Philos_A_Wind.ObjMD_Flag_Philos_A_Wind
83,Edlus_Castle_Gate_A_L,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_Castle_Gate_A_L.ObjMD_Edlus_Castle_Gate_A_L
84,Edlus_Castle_Gate_A_R,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Edlus_Castle_Gate_A_R.ObjMD_Edlus_Castle_Gate_A_R
85,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Daiseidou_Cenotaph_A.ObjMD_Ev_Daiseidou_Cenotaph_A
86,EvObj_Edlus_Sky_Evening,
87,EvObj_Edlus_Sky_Night,
88,EvObj_Wedding_A,
89,EvObj_AllKing_Meeting_Light_Off,
90,EvObj_AllKing_Meeting_Light_On,
91,EvObj_Daiseidou_Gareki_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Daiseidou_Gareki_A.ObjMD_Ev_Daiseidou_Gareki_A
92,,/Game/Object/Resource/V1_0_0/Obj/Obj_Bottle/StaticMesh/ObjMD_Bottle_A_thin_blue_label_Event.ObjMD_Bottle_A_thin_blue_label_Event
93,ObjMD_Ev_Com_Bag_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Com_Bag_A.ObjMD_Ev_Com_Bag_A
94,ObjMD_Bed_A_nofuton,/Game/Object/Resource/V1_0_0/Obj/Obj_Bed/StaticMesh/ObjMD_Bed_A_nofuton.ObjMD_Bed_A_nofuton
95,ObjMD_Co_Theater_Rope_A_2_1,/Game/Object/Resource/V1_0_0/Obj/Obj_Theater/StaticMesh/ObjMD_Co_Theater_Rope_A_2_1.ObjMD_Co_Theater_Rope_A_2_1
96,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_NPC_Crowd_A.ObjMD_Ev_NPC_Crowd_A
97,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_NPC_Crowd_B.ObjMD_Ev_NPC_Crowd_B
98,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_NPC_Crowd_C.ObjMD_Ev_NPC_Crowd_C
223,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_NPC_Crowd_D.ObjMD_Ev_NPC_Crowd_D
99,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_NPC_Crowd_Theater_A.ObjMD_Ev_NPC_Crowd_Theater_A
100,ObjMD_Co_Theater_Rope_A_1_1,/Game/Object/Resource/V1_0_0/Obj/Obj_Theater/StaticMesh/ObjMD_Co_Theater_Rope_A_1_1.ObjMD_Co_Theater_Rope_A_1_1
101,ObjMD_Ev_Fuusa_Wood_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Fuusa_Wood_A.ObjMD_Ev_Fuusa_Wood_A
102,ObjMD_Ev_Fuusa_Chip_Snow_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Fuusa_Chip_Snow_A.ObjMD_Ev_Fuusa_Chip_Snow_A
103,ObjMD_Ev_Fuusa_Wagon_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Fuusa_Wagon_A.ObjMD_Ev_Fuusa_Wagon_A
104,ObjMD_Ev_Fuusa_Chip_Mount_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Fuusa_Chip_Mount_A.ObjMD_Ev_Fuusa_Chip_Mount_A
105,ObjMD_Ev_Fuusa_Chip_Desert_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Fuusa_Chip_Desert_A.ObjMD_Ev_Fuusa_Chip_Desert_A
106,ObjMD_Ev_Fuusa_Chip_River_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Fuusa_Chip_River_A.ObjMD_Ev_Fuusa_Chip_River_A
107,ObjMD_Ev_Flag_Edlus_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Ev_Flag_Edlus_A.ObjMD_Ev_Flag_Edlus_A
108,ObjMD_Ev_Flag_Leaven_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Ev_Flag_Leaven_A.ObjMD_Ev_Flag_Leaven_A
109,ObjMD_Ev_Flag_Philos_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Battlefield/StaticMesh/ObjMD_Ev_Flag_Philos_A.ObjMD_Ev_Flag_Philos_A
110,ObjMD_Door_Leaven_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Door/StaticMesh/ObjMD_Door_Leaven_A.ObjMD_Door_Leaven_A
111,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Stage_A.ObjMD_Ev_Stage_A
112,ObjMD_Ev_Edlus_Camp_A,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Edlus_Camp_A.ObjMD_Ev_Edlus_Camp_A
113,ObjMD_Com_Box_A_D,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_A_D.ObjMD_Com_Box_A_D
114,EvObj_Tiesel_TerraceWay_On,
224,EvObj_RingFlame_Blue,
225,EvObj_RingFlame_Black,
203,,/Game/Object/Resource/V1_0_0/Obj/Obj_Mat/StaticMesh/ObjMD_Mat_B.ObjMD_Mat_B
222,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Kizoku_A.ObpMD_Co_Carpet_Ev_Kizoku_A
214,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Cliff_A.ObpMD_Co_Carpet_Ev_Cliff_A
215,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Desert_A.ObpMD_Co_Carpet_Ev_Desert_A
216,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Forest_A.ObpMD_Co_Carpet_Ev_Forest_A
217,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Mount_A.ObpMD_Co_Carpet_Ev_Mount_A
218,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Plain_A.ObpMD_Co_Carpet_Ev_Plain_A
219,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_River_A.ObpMD_Co_Carpet_Ev_River_A
220,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Sea_A.ObpMD_Co_Carpet_Ev_Sea_A
221,,/Game/Object/Resource/BP/BPI/BPI_Carpet/StaticMesh/ObpMD_Co_Carpet_Ev_Snow_A.ObpMD_Co_Carpet_Ev_Snow_A
115,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Blood_Machine_Kanagu_A.ObjMD_Ev_Blood_Machine_Kanagu_A
116,,/Game/Object/Resource/V1_0_0/Obj/Obj_Counter/StaticMesh/ObjMD_Counter_Shelf_A.ObjMD_Counter_Shelf_A
117,,/Game/Object/Resource/V1_0_0/Obj/Obj_Counter/StaticMesh/ObjMD_Counter_Shelf_B.ObjMD_Counter_Shelf_B
118,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Pub_Shelf_A_A.ObjMD_Com_Pub_Shelf_A_A
119,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Pub_Shelf_A_B.ObjMD_Com_Pub_Shelf_A_B
120,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Pub_Shelf_B_A.ObjMD_Com_Pub_Shelf_B_A
121,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Pub_Shelf_B_B.ObjMD_Com_Pub_Shelf_B_B
122,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Smith_Shelf_A.ObjMD_Com_Smith_Shelf_A
125,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Barrelstand_A_3set.ObjMD_Barrelstand_A_3set
213,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Smith_BarrelSword_A.ObjMD_Com_Smith_BarrelSword_A
123,,/Game/Object/Resource/V1_0_0/Obj/Obj_Barrel/StaticMesh/ObjMD_Barrel_A.ObjMD_Barrel_A
124,,/Game/Object/Resource/V1_0_0/Obj/Obj_Barrel/StaticMesh/ObjMD_Barrel_B.ObjMD_Barrel_B
126,,/Game/Object/Resource/V1_0_0/Obj/Obj_Box/StaticMesh/ObjMD_Box_B.ObjMD_Box_B
127,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_B_Bread_A.ObjMD_Com_Box_B_Bread_A
128,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Box_Apple_A.ObjMD_Ev_Box_Apple_A
129,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_B_Rope_A.ObjMD_Com_Box_B_Rope_A
130,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_B_Bottle_A.ObjMD_Com_Box_B_Bottle_A
131,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Smith_Box_A.ObjMD_Com_Smith_Box_A
132,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Smith_Box_B.ObjMD_Com_Smith_Box_B
133,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Smith_Box_C.ObjMD_Com_Smith_Box_C
134,,/Game/Object/Resource/V1_0_0/Obj/Obj_Box/StaticMesh/ObjMD_Box_A.ObjMD_Box_A
135,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_A.ObjMD_Com_Box_A
136,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_A_B.ObjMD_Com_Box_A_B
137,,/Game/Object/Resource/V1_0_0/Obj/Obj_Box/StaticMesh/ObjMD_Box_D.ObjMD_Box_D
138,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_D_A.ObjMD_Com_Box_D_A
204,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_B_Rope_A.ObjMD_Com_Box_B_Rope_A
208,,/Game/Object/Resource/V1_0_0/Obj/Obj_Mat/StaticMesh/ObjMD_Mat_A.ObjMD_Mat_A
139,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Box_A_C.ObjMD_Com_Box_A_C
140,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Bag_B_Desert.ObjMD_Com_Bag_B_Desert
141,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Bag_B.ObjMD_Com_Bag_B
142,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Bag_A.ObjMD_Com_Bag_A
143,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Com_Bag_A.ObjMD_Ev_Com_Bag_A
144,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Shop_Meat_A.ObjMD_Com_Shop_Meat_A
145,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_Shop_Bread_A.ObjMD_Com_Shop_Bread_A
146,,/Game/Object/Resource/V1_0_0/Obj/Obj_Cupboard/StaticMesh/ObjMD_Cupboard_A.ObjMD_Cupboard_A
147,,/Game/Object/Resource/V1_0_0/Obj/Obj_Cupboard/StaticMesh/ObjMD_Cupboard_D.ObjMD_Cupboard_D
148,,/Game/Object/Resource/V1_0_0/Obj/Obj_Cupboard/StaticMesh/ObjMD_Cupboard_E.ObjMD_Cupboard_E
149,,/Game/Object/Resource/V1_0_0/Obj/Obj_Cupboard/StaticMesh/ObjMD_Cupboard_B.ObjMD_Cupboard_B
150,,/Game/Object/Resource/V1_0_0/Obj/Obj_Cupboard/StaticMesh/ObjMD_Cupboard_C.ObjMD_Cupboard_C
151,,/Game/Object/Resource/V1_0_0/Obj/Obj_Edlus/StaticMesh/ObjMD_Cupboard_A.ObjMD_Cupboard_A
152,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_A.ObjMD_Com_KitchenSet_A
153,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_G.ObjMD_Com_KitchenSet_G
154,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_B.ObjMD_Com_KitchenSet_B
155,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_C.ObjMD_Com_KitchenSet_C
156,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_F.ObjMD_Com_KitchenSet_F
157,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_C_Dirty.ObjMD_Com_KitchenSet_C_Dirty
158,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_E.ObjMD_Com_KitchenSet_E
159,,/Game/Object/Resource/V1_0_0/Obj/Obj_Common/StaticMesh/ObjMD_Com_KitchenSet_D.ObjMD_Com_KitchenSet_D
212,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Blood_B.ObjMD_Ev_Blood_B
206,,/Game/Object/Resource/V1_0_0/Obj/Obj_Vase/StaticMesh/ObjMD_Vase_A_small.ObjMD_Vase_A_small
205,,/Game/Object/Resource/V1_0_0/Obj/Obj_Vase/StaticMesh/ObjMD_Vase_A.ObjMD_Vase_A
211,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Blood_Machine_B.ObjMD_Ev_Blood_Machine_B
160,,/Game/Object/Resource/V1_0_0/Obj/Obj_Event/StaticMesh/ObjMD_Ev_Bed_A_nofuton_A.ObjMD_Ev_Bed_A_nofuton_A
207,,/Game/Object/Resource/V1_0_0/Obj/Obj_Objects/StaticMesh/ObjMD_Objects_A_rope.ObjMD_Objects_A_rope
163,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_01_Foliage.ObjMD_Book_Blue_01_Foliage
164,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_Open.ObjMD_Book_Blue_Open
165,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_01.ObjMD_Book_Blue_01
166,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_02.ObjMD_Book_Blue_02
167,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_03.ObjMD_Book_Blue_03
168,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_04.ObjMD_Book_Blue_04
169,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Blue_05.ObjMD_Book_Blue_05
161,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_OdetHouse_A.ObjMD_Book_OdetHouse_A
162,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Library_A.ObjMD_Book_Library_A
170,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Red_01_Foliage.ObjMD_Book_Red_01_Foliage
171,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Red_Open.ObjMD_Book_Red_Open
172,,/Game/Object/Resource/V1_0_0/Obj/Obj_Furniture/StaticMesh/ObjMD_Book_Red_01.ObjMD_Book_Red_01
