m_id,m_label,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID
58,MOC_Twn001_02_tsk2_clr_a,0,0,0,3,5000010,1594,"[0, 0, 0, 0]","[0, 0, 0, 0]"
59,MOC_Twn001_02_tsk2_clr_b,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
78,MOC_Twn001_02_tsk2_clr_c,3,5000010,1594,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
60,MOC_Twn001_03_tsk3_clr_a,0,0,0,3,5000020,1579,"[0, 0, 0, 0]","[0, 0, 0, 0]"
61,MOC_Twn001_03_tsk3_clr_b,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
79,MOC_Twn001_03_tsk3_clr_c,3,5000020,1579,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
62,MOC_Twn001_04_tsk3_clr_a,0,0,0,3,5000030,1580,"[0, 0, 0, 0]","[0, 0, 0, 0]"
63,MOC_Twn001_04_tsk3_clr_b,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
80,MOC_Twn001_04_tsk3_clr_c,3,5000030,1580,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
72,MOC_Twn002_01_tsk3_clr_a,0,0,0,3,5000050,1736,"[0, 0, 0, 0]","[0, 0, 0, 0]"
81,MOC_Twn002_01_tsk3_clr_b,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
73,MOC_Twn002_01_tsk3_clr_c,3,5000050,1736,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
74,MOC_Twn003_01_tsk3_clr_a,0,0,0,3,5000080,1744,"[0, 0, 0, 0]","[0, 0, 0, 0]"
82,MOC_Twn003_01_tsk3_clr_b,0,0,0,0,0,0,"[94051, 0, 0, 0]","[0, 0, 0, 0]"
75,MOC_Twn003_01_tsk3_clr_c,3,5000080,1744,3,5000120,1916,"[0, 0, 0, 0]","[0, 0, 0, 0]"
85,MOC_Twn003_01_tsk3_clr_d,3,5000120,1916,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
86,MOC_Twn003_01_tsk3_clr_e,3,5000140,1919,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
87,MOC_Twn005_01_tsk3_clr_a,0,0,0,3,5000110,1875,"[0, 0, 0, 0]","[0, 0, 0, 0]"
88,MOC_Twn005_01_tsk3_clr_b,3,5000110,1875,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
95,MOC_Twn007_01_tsk3_clr_a,0,0,0,3,5000150,2153,"[0, 0, 0, 0]","[0, 0, 0, 0]"
96,MOC_Twn007_01_tsk3_clr_b,3,5000150,2153,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]"
90,MOC_Secret_Road_A_On,0,0,0,0,0,0,"[103723, 0, 0, 0]","[0, 0, 0, 0]"
99,MOC_TestForcePath,0,0,0,0,0,0,"[4000, 0, 0, 0]","[0, 0, 0, 0]"
100,MOC_Tower_Debris_A,0,0,0,0,0,0,"[0, 0, 0, 0]","[103963, 0, 0, 0]"
121,MOC_Twn011_01_tsk1_clr_a,0,0,0,1,5000180,2470,"[0, 0, 0, 0]","[0, 0, 0, 0]"
