m_id,m_Treasures,m_Probability
10049,"[9059, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10050,"[9060, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10051,"[9061, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10052,"[9062, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10053,"[9063, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10054,"[9064, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10055,"[9065, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10056,"[9066, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10057,"[9067, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10058,"[9068, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10059,"[9069, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10060,"[9070, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10061,"[9071, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10062,"[9072, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10063,"[9073, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10064,"[9074, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10065,"[9075, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10066,"[9076, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10067,"[9077, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10068,"[9078, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10069,"[9079, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10070,"[9080, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10071,"[9081, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10072,"[9082, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10073,"[9083, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10074,"[9084, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10075,"[9085, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1111,"[1111, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1001,"[1001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1002,"[1002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1003,"[1003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1010,"[1010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1011,"[1011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1012,"[1012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1013,"[1013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1112,"[1014, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1020,"[1020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1021,"[1021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1022,"[1022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1023,"[1023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1024,"[1024, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1025,"[1025, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1030,"[1030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1031,"[1031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1032,"[1032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1033,"[1033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1034,"[1034, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1035,"[1035, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1040,"[1040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1041,"[1041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1042,"[1042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1050,"[1050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1051,"[1051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1052,"[1052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1053,"[1053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1060,"[1060, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1061,"[1061, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1062,"[1062, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1070,"[1070, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1071,"[1071, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1072,"[1072, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1073,"[1073, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1080,"[1080, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1081,"[1081, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1082,"[1082, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1090,"[1090, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1091,"[1091, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1092,"[1092, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1100,"[1100, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1101,"[1101, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1102,"[1102, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10024,"[9034, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10025,"[9035, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10026,"[9036, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10027,"[9037, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10028,"[9038, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10029,"[9039, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10030,"[9040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10031,"[9041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10032,"[9042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10033,"[9043, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10034,"[9044, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10035,"[9045, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10036,"[9046, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10037,"[9047, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10039,"[9049, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10040,"[9050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10041,"[9051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10042,"[9052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10043,"[9053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10100,"[9110, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10101,"[9111, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10102,"[9112, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10103,"[9113, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10104,"[9114, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10105,"[9115, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10106,"[9116, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10107,"[9117, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10108,"[9118, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10109,"[9119, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10110,"[9120, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10111,"[9121, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10112,"[9122, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10113,"[9123, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10114,"[9124, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7138,"[7138, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7139,"[7139, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7140,"[7140, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7141,"[7141, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10045,"[9055, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10046,"[9056, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10047,"[9057, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10048,"[9058, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10115,"[9125, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10116,"[9126, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10117,"[9127, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10118,"[9128, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2001,"[2001, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2002,"[2002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2003,"[2003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2004,"[2004, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2010,"[2010, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2011,"[2011, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2012,"[2012, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2013,"[2013, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2014,"[2014, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2020,"[2020, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2021,"[2021, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2022,"[2022, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2023,"[2023, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2024,"[2024, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2030,"[2030, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2031,"[2031, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2032,"[2032, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2033,"[2033, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2040,"[2040, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2041,"[2041, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2042,"[2042, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2043,"[2043, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2050,"[2050, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2051,"[2051, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2052,"[2052, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2053,"[2053, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2060,"[2060, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2061,"[2061, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2062,"[2062, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2070,"[2070, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2071,"[2071, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2072,"[2072, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2080,"[2080, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2081,"[2081, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2082,"[2082, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7142,"[7142, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7143,"[7143, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7144,"[7144, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7145,"[7145, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
