m_id,m_SE,m_CloseMinimapIcon,m_OpenMinimapIcon,m_Priority,m_RepopType,m_RepopValue,m_KeyId,m_RewardType,m_RewardItemId,m_RewardItemNum,m_RewardOption0,m_RewardProbability,m_EffectId,m_ClosePath,m_OpenPath
23,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[217, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
24,426,2,3,0,0,0,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
30,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10016, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
31,426,2,3,0,0,0,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
40,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
41,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
42,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10411, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
43,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[412, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
44,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[224, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
50,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[409, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
51,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
52,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[162, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
53,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10808, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
60,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[104, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
61,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[220, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
62,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10211, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
63,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1407, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
64,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[400, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
70,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10810, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
71,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[608, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
72,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1500, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
73,426,2,3,0,0,0,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
80,426,2,3,0,0,0,"[0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[219, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Close.ObjMD_Treasure_A_Wood_Close,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_Wood_Open.ObjMD_Treasure_A_Wood_Open
81,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[250, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
83,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[807, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
90,426,2,3,0,0,0,"[0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
91,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10207, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
92,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[600, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
93,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1204, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
100,426,2,3,0,0,0,"[0, 0, 0]","[230, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[50207, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
110,426,2,3,0,0,0,"[0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[200, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
111,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1003, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
112,426,2,3,0,0,0,"[0, 0, 0]","[260, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[11002, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_01.ObjMD_Treasure_A_01,/Game/Object/Resource/V1_0_0/Obj/Obj_Treasure/StaticMesh/ObjMD_Treasure_A_02.ObjMD_Treasure_A_02
