m_id,m_RewardType,m_RewardItemId,m_RewardItemNum,m_isGreat,m_HDListID
82,250,802,1,194,11
83,250,803,1,194,11
84,250,804,1,194,11
85,240,50001,5,194,11
368,250,67,2,194,11
369,250,125,2,194,11
370,250,183,4,194,11
371,250,241,2,194,11
86,210,50209,7,195,11
87,250,802,1,195,11
88,250,803,1,195,11
89,250,804,1,195,11
90,250,805,1,195,11
91,240,50001,5,195,11
92,240,50002,1,195,11
372,250,67,4,195,11
373,250,125,4,195,11
374,250,183,4,195,11
375,250,241,4,195,11
93,210,50209,5,194,10
94,250,802,1,194,10
95,250,803,1,194,10
96,250,804,1,194,10
97,240,50001,5,194,10
376,250,67,2,194,10
377,250,125,2,194,10
378,250,183,2,194,10
379,250,241,4,194,10
98,210,50209,7,195,10
99,250,802,1,195,10
100,250,803,1,195,10
101,250,804,1,195,10
102,250,805,1,195,10
103,240,50001,5,195,10
104,240,50002,1,195,10
380,250,67,4,195,10
381,250,125,4,195,10
382,250,183,4,195,10
383,250,241,4,195,10
105,210,50209,5,194,12
106,250,802,1,194,12
107,250,803,1,194,12
108,250,804,1,194,12
109,240,50001,5,194,12
384,250,67,1,194,12
385,250,125,4,194,12
386,250,183,2,194,12
387,250,241,3,194,12
110,210,50209,7,195,12
111,250,802,1,195,12
112,250,803,1,195,12
113,250,804,1,195,12
114,250,805,1,195,12
115,240,50001,5,195,12
116,240,50002,1,195,12
388,250,67,3,195,12
389,250,125,4,195,12
390,250,183,4,195,12
391,250,241,5,195,12
117,210,50209,5,194,13
118,250,802,1,194,13
119,250,803,1,194,13
120,250,804,1,194,13
121,240,50001,5,194,13
392,250,68,2,194,13
393,250,126,4,194,13
394,250,184,2,194,13
395,250,242,2,194,13
122,210,50209,7,195,13
123,250,802,1,195,13
124,250,803,1,195,13
125,250,804,1,195,13
126,250,805,1,195,13
127,240,50001,5,195,13
128,240,50002,1,195,13
396,250,68,4,195,13
397,250,126,4,195,13
398,250,184,4,195,13
399,250,242,4,195,13
129,210,50209,5,194,14
130,250,802,1,194,14
131,250,803,1,194,14
132,250,804,1,194,14
133,240,50001,5,194,14
400,250,68,2,194,14
401,250,126,2,194,14
402,250,184,2,194,14
403,250,242,4,194,14
134,210,50209,7,195,14
135,250,802,1,195,14
136,250,803,1,195,14
137,250,804,1,195,14
138,250,805,1,195,14
139,240,50001,5,195,14
140,240,50002,1,195,14
404,250,68,4,195,14
405,250,126,4,195,14
406,250,184,4,195,14
407,250,242,4,195,14
141,210,50209,5,194,15
142,250,802,1,194,15
143,250,803,1,194,15
144,250,804,1,194,15
145,240,50001,5,194,15
408,250,68,4,194,15
409,250,126,2,194,15
410,250,184,2,194,15
411,250,242,2,194,15
146,210,50209,7,195,15
147,250,802,1,195,15
148,250,803,1,195,15
149,250,804,1,195,15
150,250,805,1,195,15
151,240,50001,5,195,15
152,240,50002,1,195,15
412,250,68,4,195,15
413,250,126,4,195,15
414,250,184,4,195,15
415,250,242,4,195,15
153,210,50209,5,194,16
154,250,802,1,194,16
155,250,803,1,194,16
156,250,804,1,194,16
157,240,50001,5,194,16
416,250,68,1,194,16
417,250,126,2,194,16
418,250,184,4,194,16
419,250,242,3,194,16
158,210,50209,7,195,16
159,250,802,1,195,16
160,250,803,1,195,16
161,250,804,1,195,16
162,250,805,1,195,16
163,240,50001,5,195,16
164,240,50002,1,195,16
420,250,68,3,195,16
421,250,126,4,195,16
422,250,184,4,195,16
423,250,242,5,195,16
