m_id,m_RegionText,m_MapText,m_DescriptionText,m_RiskLevel,m_RecommendedJob,m_Icon,m_IconPosX,m_IconPosY,m_IconScale,m_AppearEnemyID,m_DifficultyGroup,m_DifficultyNum,m_StartMap,m_ReleaseQuestStaet,m_ReleaseQuestID,m_ReleaseQuestTaskId,m_TrigConditionID,m_ReleaseConditions,m_Difficulty,m_Collabo,m_EntryItemType,m_EntryItemID,m_EntryItemNum,m_probability,m_BossGroup,m_JudgeType,m_Reward2Open,m_Reward3Open,m_RewardStoneNum,m_Enable_TimeStamp,m_StartTimestamp,m_EndTimestamp,m_SkipExp,m_SkipMoney,m_Great_Probability
11,3108,16093,16101,68,"[1, 4, 5, 6]",16,3025.0,2069.0,1.0,"[10007, 10008, 10009, 10010, 10011, 10012, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,15,"[15, 0, 0, 0, 0]",3,7001015,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[10011, 0, 0, 0]",0,"[400, 0, 0, 0, 0, 0, 0, 0]","[600, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[210000, 315000]","[54300, 81450]",25
10,3102,16095,16103,70,"[3, 5, 6, 7]",18,4517.0,1921.0,1.0,"[9009, 9010, 9011, 9012, 9013, 9014, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,16,"[16, 0, 0, 0, 0]",3,7001018,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[9013, 0, 0, 0]",0,"[0, 0, 400, 0, 0, 0, 0, 0]","[0, 0, 600, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[220000, 330000]","[59700, 89550]",25
12,3103,16090,16098,72,"[2, 3, 7, 8]",19,4557.0,2729.0,1.0,"[11009, 11010, 11011, 11012, 11013, 11014, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,17,"[17, 0, 0, 0, 0]",3,7001012,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[11013, 0, 0, 0]",0,"[0, 400, 0, 0, 0, 0, 0, 0]","[0, 600, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[225000, 337500]","[61300, 91950]",25
13,3107,16089,16097,74,"[1, 2, 4, 8]",16,2481.0,3041.0,1.0,"[12009, 12010, 12011, 12012, 12013, 12014, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,18,"[18, 0, 0, 0, 0]",3,7001011,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[12013, 0, 0, 0]",0,"[0, 0, 400, 0, 0, 0, 0, 0]","[0, 0, 600, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[235000, 352500]","[64500, 96750]",25
14,3106,16094,16102,76,"[3, 5, 6, 7]",16,3137.0,3745.0,1.0,"[13009, 13010, 13011, 13012, 13013, 13014, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,19,"[19, 0, 0, 0, 0]",3,7001017,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[13013, 0, 0, 0]",0,"[400, 0, 0, 0, 0, 0, 0, 0]","[600, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[240000, 360000]","[66200, 99300]",25
15,3105,16091,16099,78,"[1, 4, 5, 6]",16,4325.0,3565.0,1.0,"[14008, 14009, 14010, 14011, 14012, 14013, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,20,"[20, 0, 0, 0, 0]",3,7001013,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[14012, 0, 0, 0]",0,"[0, 400, 0, 0, 0, 0, 0, 0]","[0, 600, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[250000, 375000]","[69600, 104400]",25
16,3104,16092,16100,80,"[2, 3, 7, 8]",16,5033.0,3281.0,1.0,"[15010, 15011, 15012, 15013, 15014, 15015, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,21,"[21, 0, 0, 0, 0]",3,7001014,0,"[0, 0, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[15014, 0, 0, 0]",0,"[0, 0, 400, 0, 0, 0, 0, 0]","[0, 0, 600, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[267000, 400500]","[71500, 107250]",25
21,3108,16174,16198,30,"[1, 2, 8, 4]",43,3501.0,2209.0,1.0,"[50142, 50145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,26,"[26, 0, 0, 0, 0]",0,0,0,"[30093, 0, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[50145, 0, 0, 0]",0,"[40, 0, 0, 0, 0, 0, 0, 0]","[80, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",195,1643828400,1644433200,"[25000, 25000]","[17500, 17500]",25
22,3101,16203,16199,35,"[1, 2, 8, 4]",43,4029.0,2237.0,1.0,"[50146, 50149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,27,"[27, 0, 0, 0, 0]",0,0,0,"[30093, 103681, 0, 0]","[0, 0, 0]",1,194,120,1,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[50149, 0, 0, 0]",0,"[0, 0, 40, 0, 0, 0, 0, 0]","[0, 0, 80, 0, 0, 0, 0, 0]","[20, 10, 5]",195,1643828400,1644433200,"[190000, 190000]","[75000, 75000]",25
23,3102,16204,16200,50,"[3, 5, 6, 7]",43,4117.0,2557.0,1.0,"[50150, 50152, 50218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,28,"[28, 0, 0, 0, 0]",0,0,0,"[103780, 103682, 0, 0]","[0, 0, 0]",2,194,120,2,1,"[100, 0, 0, 0, 0, 0, 0, 0]","[50218, 0, 0, 0]",0,"[0, 40, 0, 0, 0, 0, 0, 0]","[0, 80, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",195,1643828400,1644433200,"[550000, 550000]","[132000, 132000]",25
18,16167,16171,16194,25,"[1, 3, 4, 5]",44,750.0,400.0,1.0,"[16001, 16002, 16003, 16004, 16005, 16006, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,23,"[23, 0, 0, 0, 0]",3,2186020,2058,"[0, 0, 0, 0]","[0, 0, 0]",7,195,120,3,1,"[20, 80, 0, 0, 0, 0, 0, 0]","[16005, 0, 0, 0]",0,"[300, 0, 0, 0, 0, 0, 0, 0]","[500, 0, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[5820, 8730]","[6700, 10050]",25
19,16167,16172,16195,40,"[1, 3, 4, 5]",44,1500.0,600.0,1.0,"[16008, 16009, 16010, 16011, 16012, 16013, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,24,"[24, 0, 0, 0, 0]",3,2186030,2062,"[0, 0, 0, 0]","[0, 0, 0]",7,195,120,3,1,"[20, 80, 0, 0, 0, 0, 0, 0]","[16012, 0, 0, 0]",0,"[0, 300, 0, 0, 0, 0, 0, 0]","[0, 500, 0, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[14200, 21300]","[12120, 18180]",25
20,16167,16173,16196,55,"[1, 3, 4, 5]",44,900.0,950.0,1.0,"[16015, 16016, 16017, 16018, 16019, 16020, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7,25,"[25, 0, 0, 0, 0]",3,2186040,2068,"[0, 0, 0, 0]","[0, 0, 0]",7,195,120,3,1,"[20, 80, 0, 0, 0, 0, 0, 0]","[16019, 16025, 0, 0]",0,"[0, 0, 300, 0, 0, 0, 0, 0]","[0, 0, 500, 0, 0, 0, 0, 0]","[20, 10, 5]",194,0,0,"[32100, 48150]","[18060, 27090]",25
