m_id,m_SymbolEnemyId,m_TreasureBoxId,m_probability
2039,"[14001, 8013, 0, 0, 0]","[9018, 9019, 0, 0, 0]","[95, 5, 0, 0, 0]"
2040,"[14002, 8021, 0, 0, 0]","[9018, 9019, 0, 0, 0]","[95, 5, 0, 0, 0]"
2041,"[14003, 8021, 0, 0, 0]","[9018, 9019, 0, 0, 0]","[95, 5, 0, 0, 0]"
2042,"[14004, 8013, 0, 0, 0]","[9018, 9019, 0, 0, 0]","[95, 5, 0, 0, 0]"
2043,"[14005, 8021, 0, 0, 0]","[9018, 9019, 0, 0, 0]","[95, 5, 0, 0, 0]"
2051,"[15007, 8021, 0, 0, 0]","[9018, 9019, 0, 0, 0]","[95, 5, 0, 0, 0]"
2044,"[14006, 0, 0, 0, 0]","[9018, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
2045,"[15001, 8014, 0, 0, 0]","[9021, 9022, 0, 0, 0]","[95, 5, 0, 0, 0]"
2046,"[15002, 8014, 0, 0, 0]","[9021, 9022, 0, 0, 0]","[95, 5, 0, 0, 0]"
2047,"[15003, 8014, 0, 0, 0]","[9021, 9022, 0, 0, 0]","[95, 5, 0, 0, 0]"
2048,"[15004, 8014, 0, 0, 0]","[9021, 9022, 0, 0, 0]","[95, 5, 0, 0, 0]"
2049,"[15005, 8022, 0, 0, 0]","[9021, 9022, 0, 0, 0]","[95, 5, 0, 0, 0]"
2052,"[15008, 8014, 0, 0, 0]","[9021, 9022, 0, 0, 0]","[95, 5, 0, 0, 0]"
2050,"[15006, 0, 0, 0, 0]","[9021, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3001,"[8023, 0, 0, 0, 0]","[10000, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3002,"[8024, 0, 0, 0, 0]","[10000, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3003,"[8025, 0, 0, 0, 0]","[10000, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3004,"[8026, 8028, 0, 0, 0]","[10000, 10002, 0, 0, 0]","[80, 20, 0, 0, 0]"
3005,"[8029, 0, 0, 0, 0]","[10001, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3006,"[8027, 0, 0, 0, 0]","[10000, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3013,"[10007, 0, 0, 0, 0]","[10006, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3014,"[10008, 0, 0, 0, 0]","[10006, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3015,"[10009, 0, 0, 0, 0]","[10006, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3016,"[10010, 10012, 0, 0, 0]","[10006, 10008, 0, 0, 0]","[80, 20, 0, 0, 0]"
3017,"[8030, 0, 0, 0, 0]","[10007, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3018,"[10011, 0, 0, 0, 0]","[10006, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3007,"[9009, 0, 0, 0, 0]","[10003, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3008,"[9010, 0, 0, 0, 0]","[10003, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3009,"[9011, 0, 0, 0, 0]","[10003, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3010,"[9012, 9014, 0, 0, 0]","[10003, 10005, 0, 0, 0]","[80, 20, 0, 0, 0]"
3011,"[8031, 0, 0, 0, 0]","[10004, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3012,"[9013, 0, 0, 0, 0]","[10003, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3019,"[11009, 0, 0, 0, 0]","[10009, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3020,"[11010, 0, 0, 0, 0]","[10009, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3021,"[11011, 11014, 0, 0, 0]","[10009, 10011, 0, 0, 0]","[80, 20, 0, 0, 0]"
3022,"[11012, 0, 0, 0, 0]","[10009, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3023,"[8032, 0, 0, 0, 0]","[10010, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3024,"[11013, 0, 0, 0, 0]","[10009, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3025,"[12009, 0, 0, 0, 0]","[10012, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3026,"[12010, 0, 0, 0, 0]","[10012, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3027,"[12011, 0, 0, 0, 0]","[10012, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3028,"[12012, 12014, 0, 0, 0]","[10012, 10014, 0, 0, 0]","[80, 20, 0, 0, 0]"
3029,"[8033, 0, 0, 0, 0]","[10013, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3030,"[12013, 0, 0, 0, 0]","[10012, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3031,"[13009, 0, 0, 0, 0]","[10015, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3032,"[13010, 0, 0, 0, 0]","[10015, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3033,"[13011, 0, 0, 0, 0]","[10015, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3034,"[13012, 13014, 0, 0, 0]","[10015, 10017, 0, 0, 0]","[80, 20, 0, 0, 0]"
3035,"[8034, 0, 0, 0, 0]","[10016, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3036,"[13013, 0, 0, 0, 0]","[10015, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3037,"[14008, 0, 0, 0, 0]","[10018, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3038,"[14009, 0, 0, 0, 0]","[10018, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3039,"[14010, 0, 0, 0, 0]","[10018, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3040,"[14011, 14013, 0, 0, 0]","[10018, 10020, 0, 0, 0]","[80, 20, 0, 0, 0]"
3041,"[8035, 0, 0, 0, 0]","[10019, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3042,"[14012, 0, 0, 0, 0]","[10018, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3043,"[15010, 0, 0, 0, 0]","[10021, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3044,"[15011, 0, 0, 0, 0]","[10021, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3045,"[15012, 0, 0, 0, 0]","[10021, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3046,"[15013, 15015, 0, 0, 0]","[10021, 10023, 0, 0, 0]","[80, 20, 0, 0, 0]"
3047,"[8036, 0, 0, 0, 0]","[10022, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3048,"[15014, 0, 0, 0, 0]","[10021, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3067,"[50142, 0, 0, 0, 0]","[10258, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3068,"[50143, 0, 0, 0, 0]","[10258, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3069,"[50144, 0, 0, 0, 0]","[10258, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3070,"[50145, 0, 0, 0, 0]","[10258, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3071,"[50146, 0, 0, 0, 0]","[10260, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3072,"[50147, 0, 0, 0, 0]","[10260, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3073,"[50148, 0, 0, 0, 0]","[10260, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3074,"[50149, 0, 0, 0, 0]","[10260, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3075,"[50150, 0, 0, 0, 0]","[10262, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3076,"[50151, 0, 0, 0, 0]","[10262, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3077,"[50152, 0, 0, 0, 0]","[10262, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3078,"[50218, 0, 0, 0, 0]","[10262, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3049,"[16001, 16022, 0, 0, 0]","[10263, 10264, 0, 0, 0]","[95, 5, 0, 0, 0]"
3050,"[16002, 16007, 0, 0, 0]","[10263, 10264, 0, 0, 0]","[95, 5, 0, 0, 0]"
3051,"[16003, 16022, 0, 0, 0]","[10263, 10264, 0, 0, 0]","[95, 5, 0, 0, 0]"
3052,"[16004, 16007, 0, 0, 0]","[10263, 10264, 0, 0, 0]","[95, 5, 0, 0, 0]"
3053,"[16005, 0, 0, 0, 0]","[10264, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3054,"[16006, 0, 0, 0, 0]","[10264, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3055,"[16008, 16023, 0, 0, 0]","[10265, 10266, 0, 0, 0]","[95, 5, 0, 0, 0]"
3056,"[16009, 16014, 0, 0, 0]","[10265, 10266, 0, 0, 0]","[95, 5, 0, 0, 0]"
3057,"[16010, 16023, 0, 0, 0]","[10265, 10266, 0, 0, 0]","[95, 5, 0, 0, 0]"
3058,"[16011, 16014, 0, 0, 0]","[10265, 10266, 0, 0, 0]","[95, 5, 0, 0, 0]"
3059,"[16012, 0, 0, 0, 0]","[10266, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3060,"[16013, 0, 0, 0, 0]","[10266, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
3061,"[16015, 16021, 0, 0, 0]","[10267, 10268, 0, 0, 0]","[95, 5, 0, 0, 0]"
3062,"[16016, 16024, 0, 0, 0]","[10267, 10268, 0, 0, 0]","[95, 5, 0, 0, 0]"
3063,"[16017, 16024, 0, 0, 0]","[10267, 10268, 0, 0, 0]","[95, 5, 0, 0, 0]"
3064,"[16018, 16021, 0, 0, 0]","[10267, 10268, 0, 0, 0]","[95, 5, 0, 0, 0]"
3065,"[16019, 16025, 0, 0, 0]","[10268, 10268, 0, 0, 0]","[80, 20, 0, 0, 0]"
3066,"[16020, 0, 0, 0, 0]","[10268, 0, 0, 0, 0]","[100, 0, 0, 0, 0]"
