m_id,m_Type,m_TitleID,m_TabID,m_CategoryID,m_IconID,m_PlayerID,m_ApperStoryBookCondition,m_ApperQuestCondition,m_ArrayApperQuestCondition,m_ApperCondition,m_ArrayApperCondition,m_OpenCondition,m_ReadCondition,m_FirstRewardType,m_FirstArrayRewardType,m_FirstRewardItemID,m_FirstArrayRewardItemID,m_FirstRewardItemNum,m_FirstArrayRewardItemNum,m_RewardType,m_ArrayRewardType,m_RewardItemID,m_ArrayRewardItemID,m_RewardItemNum,m_ArrayRewardItemNum,m_SortPriority,m_EventID,m_BattleLevel,m_BattleGradeInvalid,m_RewardInfluenceWealth,m_RewardInfluencePower,m_RewardInfluenceFame,m_StartTimestamp,m_EndTimestamp,m_EndType,m_EndTypePlayerID
25,1,18,26,1,5105,0,0,1006010,"[0, 0, 0]",0,[0],"[28, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250501,8284,0,194,0,0,0,0,0,0,0
26,1,19,27,1,5106,0,0,1007010,"[0, 0, 0]",0,[0],"[29, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",260501,8288,0,194,0,0,0,0,0,0,0
27,1,20,35,3,9204,0,0,2186010,"[0, 0, 0]",0,[0],"[30, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",240,"[0, 0, 0]",50222,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",520999,8120,0,194,0,0,0,0,0,0,0
28,1,21,17,2,9205,0,0,2186020,"[0, 0, 0]",0,[0],"[31, 32, 33, 0, 0, 0, 0, 0]","[0, 0, 0]",240,"[0, 0, 0]",50224,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390999,8319,0,194,0,0,0,0,0,0,0
29,1,103,15,1,9205,0,0,7001024,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",250,"[0, 0, 0]",555,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",300499,8357,0,194,0,0,0,0,0,0,0
30,1,104,15,1,9205,0,0,7001024,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",250,"[0, 0, 0]",555,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",300498,8388,0,194,0,0,0,0,0,0,0
31,1,105,15,1,9205,0,0,7001024,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",250,"[0, 0, 0]",555,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",300497,8389,0,194,0,0,0,0,0,0,0
32,1,106,15,1,9205,0,0,7001024,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",250,"[0, 0, 0]",555,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",300496,8358,0,194,0,0,0,0,0,0,0
33,1,107,31,2,0,7,0,1004090,"[0, 0, 0]",0,[0],"[39, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410002,8359,0,194,0,0,0,0,0,0,0
34,1,108,31,2,0,1,0,1004090,"[0, 0, 0]",0,[0],"[40, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410003,8360,0,194,0,0,0,0,0,0,0
35,1,109,21,2,5100,0,0,1001010,"[0, 0, 0]",0,[0],"[41, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",200501,8370,0,194,0,0,0,0,0,0,0
36,1,110,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310001,8390,0,194,0,0,0,0,0,0,0
37,1,111,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[42, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310003,8391,0,194,0,0,0,0,0,0,0
38,1,112,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[43, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310004,8392,0,194,0,0,0,0,0,0,0
39,1,113,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[44, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310005,8393,0,194,0,0,0,0,0,0,0
40,1,114,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[45, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310006,8394,0,194,0,0,0,0,0,0,0
41,1,115,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[46, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310007,8395,0,194,0,0,0,0,0,0,0
42,1,116,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[47, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310008,8396,0,194,0,0,0,0,0,0,0
43,1,117,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[48, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310009,8397,0,194,0,0,0,0,0,0,0
44,1,118,16,1,9205,0,0,5000040,"[0, 0, 0]",0,[0],"[49, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310002,8398,0,194,0,0,0,0,0,0,0
45,1,119,21,2,5100,0,0,1001020,"[0, 0, 0]",0,[0],"[50, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",200502,8465,0,194,0,0,0,0,0,0,0
46,2,120,30,1,0,88,16,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",299999,8442,0,194,0,0,0,0,0,0,0
47,1,121,17,2,9205,0,0,0,"[0, 0, 0]",103811,[0],"[51, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390993,8420,0,194,0,0,0,0,0,0,0
48,1,122,16,1,9205,0,0,1004100,"[0, 0, 0]",0,[0],"[52, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",310201,8446,0,194,0,0,0,0,0,0,0
49,1,123,26,1,5105,0,48,0,"[0, 0, 0]",0,[0],"[65, 53, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",20,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250502,8463,0,194,0,0,0,0,0,0,0
50,1,124,25,4,5104,0,0,1005020,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240201,8447,0,194,0,0,0,0,0,0,0
51,1,125,25,4,5104,0,50,0,"[0, 0, 0]",0,[0],"[54, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",200,"[0, 0, 0]",0,"[0, 0, 0]",5000,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240202,8448,0,194,0,0,0,0,0,0,0
52,1,126,25,4,5104,0,51,0,"[0, 0, 0]",0,[0],"[55, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",200,"[0, 0, 0]",0,"[0, 0, 0]",10000,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240203,8450,0,194,0,0,0,0,0,0,0
53,1,127,25,4,5104,0,52,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240204,8453,75,194,0,0,0,0,0,0,0
54,1,128,25,4,5104,0,53,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",200,"[0, 0, 0]",0,"[0, 0, 0]",5000,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240205,8456,0,194,0,0,0,0,0,0,0
55,1,129,25,4,5104,0,54,0,"[0, 0, 0]",0,[0],"[58, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",200,"[0, 0, 0]",0,"[0, 0, 0]",10000,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240206,8457,0,194,0,0,0,0,0,0,0
56,1,130,25,4,5104,0,55,0,"[0, 0, 0]",0,[0],"[59, 60, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240207,8458,85,194,0,0,0,0,0,0,0
57,1,131,25,4,5104,0,56,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",260,"[0, 0, 0]",30499,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240208,8460,0,194,0,0,0,0,0,0,0
60,1,191,15,1,9205,0,0,7001024,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",250,"[0, 0, 0]",555,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",300495,8552,0,194,0,0,0,0,0,0,0
61,1,192,15,5,9205,0,0,0,"[0, 0, 0]",103869,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",230,"[0, 0, 0]",50370,"[0, 0, 0]",8,"[0, 0, 0]",230,"[0, 0, 0]",50370,"[0, 0, 0]",8,"[0, 0, 0]",300999,8553,95,195,0,0,0,0,0,0,0
62,1,193,15,5,9205,0,0,0,"[0, 0, 0]",103870,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",230,"[0, 0, 0]",50371,"[0, 0, 0]",8,"[0, 0, 0]",230,"[0, 0, 0]",50371,"[0, 0, 0]",8,"[0, 0, 0]",300998,8554,95,195,0,0,0,0,0,0,0
63,1,194,15,5,9205,0,0,0,"[0, 0, 0]",103871,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",230,"[0, 0, 0]",50373,"[0, 0, 0]",8,"[0, 0, 0]",230,"[0, 0, 0]",50373,"[0, 0, 0]",8,"[0, 0, 0]",300997,8555,95,195,0,0,0,0,0,0,0
64,1,195,15,5,9205,0,0,0,"[0, 0, 0]",103872,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",230,"[0, 0, 0]",50381,"[0, 0, 0]",8,"[0, 0, 0]",230,"[0, 0, 0]",50381,"[0, 0, 0]",8,"[0, 0, 0]",300996,8556,95,195,0,0,0,0,0,0,0
65,1,196,15,5,9205,0,0,0,"[0, 0, 0]",103873,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",230,"[0, 0, 0]",50382,"[0, 0, 0]",8,"[0, 0, 0]",230,"[0, 0, 0]",50382,"[0, 0, 0]",8,"[0, 0, 0]",300995,8557,95,195,0,0,0,0,0,0,0
66,1,197,31,2,0,5,0,1004090,"[0, 0, 0]",0,[0],"[62, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410004,8549,0,194,0,0,0,0,0,0,0
67,1,198,31,2,0,4,0,1004090,"[0, 0, 0]",0,[0],"[63, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410005,8547,0,194,0,0,0,0,0,0,0
68,1,203,22,2,5101,0,0,1002020,"[0, 0, 0]",0,[0],"[64, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",210501,8579,0,194,0,0,0,0,0,0,0
69,1,204,21,5,5100,0,0,1001030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",210,"[0, 0, 0]",50206,"[0, 0, 0]",1,"[0, 0, 0]",200103,8631,24,194,0,0,0,0,0,0,0
70,1,205,21,5,5100,0,69,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",200102,8634,60,194,0,0,0,0,0,0,0
71,1,206,21,5,5100,0,70,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",260,"[0, 0, 0]",30779,"[0, 0, 0]",1,"[0, 0, 0]",290,"[0, 0, 0]",50007,"[0, 0, 0]",1,"[0, 0, 0]",200101,8637,90,194,0,0,0,0,0,0,0
72,1,207,22,5,5101,0,0,1002030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",210,"[0, 0, 0]",50206,"[0, 0, 0]",1,"[0, 0, 0]",210103,8640,24,194,0,0,0,0,0,0,0
73,1,208,22,5,5101,0,72,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",210102,8643,60,194,0,0,0,0,0,0,0
74,1,209,22,5,5101,0,73,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",260,"[0, 0, 0]",30783,"[0, 0, 0]",1,"[0, 0, 0]",290,"[0, 0, 0]",50008,"[0, 0, 0]",1,"[0, 0, 0]",210101,8646,90,194,0,0,0,0,0,0,0
75,1,210,23,5,5102,0,0,1003030,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",210,"[0, 0, 0]",50206,"[0, 0, 0]",1,"[0, 0, 0]",220103,8607,24,194,0,0,0,0,0,0,0
76,1,211,23,5,5102,0,75,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",220102,8610,60,194,0,0,0,0,0,0,0
77,1,212,23,5,5102,0,76,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",260,"[0, 0, 0]",30787,"[0, 0, 0]",1,"[0, 0, 0]",290,"[0, 0, 0]",50009,"[0, 0, 0]",1,"[0, 0, 0]",220101,8613,90,194,0,0,0,0,0,0,0
79,1,220,24,1,5103,0,0,1004030,"[0, 0, 0]",1000005,[0],"[69, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",230503,8695,0,194,0,0,0,0,0,0,0
80,1,221,31,2,0,6,0,1004090,"[0, 0, 0]",0,[0],"[66, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410006,8616,0,194,0,0,0,0,0,0,0
81,1,222,31,2,0,8,0,1004090,"[0, 0, 0]",0,[0],"[67, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410007,8617,0,194,0,0,0,0,0,0,0
82,1,223,31,2,0,2,0,1004090,"[0, 0, 0]",0,[0],"[68, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410008,8618,0,194,0,0,0,0,0,0,0
83,2,224,30,1,0,68,0,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",299996,8693,0,194,0,0,0,0,0,0,0
85,1,226,26,4,5105,0,0,1006020,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250201,8619,0,194,0,0,0,0,0,0,0
86,1,227,26,4,5105,0,85,0,"[0, 0, 0]",0,[0],"[51, 70, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250202,8621,77,194,0,0,0,0,0,0,0
87,1,228,26,4,5105,0,86,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250203,8623,0,194,0,0,0,0,0,0,0
88,1,229,26,4,5105,0,87,0,"[0, 0, 0]",0,[0],"[71, 75, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250204,8624,0,194,0,0,0,0,0,0,0
89,1,230,26,4,5105,0,88,0,"[0, 0, 0]",0,[0],"[72, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250205,8625,0,194,0,0,0,0,0,0,0
90,1,231,26,4,5105,0,89,0,"[0, 0, 0]",0,[0],"[73, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",210,"[0, 0, 0]",50210,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250206,8626,0,194,0,0,0,0,0,0,0
91,1,232,26,4,5105,0,90,0,"[0, 0, 0]",0,[0],"[74, 76, 77, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250207,8628,87,194,0,0,0,0,0,0,0
92,1,233,26,4,5105,0,91,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",260,"[0, 0, 0]",30467,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",250208,8630,0,194,0,0,0,0,0,0,0
95,2,234,30,1,0,133,0,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",299995,8790,0,194,0,0,0,0,0,0,0
