m_id,m_RewardType,m_RewardItemId,m_DropRates,m_DropCntF,m_DropCntR,m_RewardOption0,m_EventDropQuestIDs
76,"[250, 0, 0, 0, 0]","[105, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
77,"[250, 0, 0, 0, 0]","[159, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
78,"[250, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
79,"[250, 0, 0, 0, 0]","[217, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
80,"[250, 0, 0, 0, 0]","[101, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
81,"[250, 0, 0, 0, 0]","[159, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
82,"[250, 0, 0, 0, 0]","[43, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
83,"[250, 0, 0, 0, 0]","[217, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
84,"[250, 0, 0, 0, 0]","[101, 0, 0, 0, 0]","[100, 0, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
85,"[250, 0, 0, 0, 0]","[44, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
86,"[250, 0, 0, 0, 0]","[218, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
87,"[250, 0, 0, 0, 0]","[102, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
88,"[250, 0, 0, 0, 0]","[160, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
89,"[250, 0, 0, 0, 0]","[161, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
90,"[250, 0, 0, 0, 0]","[103, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
91,"[250, 0, 0, 0, 0]","[219, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
92,"[250, 0, 0, 0, 0]","[45, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
93,"[250, 0, 0, 0, 0]","[105, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
94,"[250, 0, 0, 0, 0]","[221, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
95,"[250, 0, 0, 0, 0]","[163, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
96,"[250, 0, 0, 0, 0]","[47, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
97,"[250, 0, 0, 0, 0]","[108, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
98,"[250, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
99,"[250, 0, 0, 0, 0]","[224, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
100,"[250, 0, 0, 0, 0]","[166, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
101,"[250, 0, 0, 0, 0]","[108, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
102,"[250, 0, 0, 0, 0]","[50, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
103,"[250, 0, 0, 0, 0]","[224, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
104,"[250, 0, 0, 0, 0]","[166, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
105,"[250, 0, 0, 0, 0]","[223, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
106,"[250, 0, 0, 0, 0]","[49, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
107,"[250, 0, 0, 0, 0]","[107, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
108,"[250, 0, 0, 0, 0]","[165, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
109,"[250, 0, 0, 0, 0]","[227, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
110,"[250, 0, 0, 0, 0]","[169, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
111,"[250, 0, 0, 0, 0]","[111, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
112,"[250, 0, 0, 0, 0]","[53, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
113,"[250, 0, 0, 0, 0]","[227, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
114,"[250, 0, 0, 0, 0]","[169, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
115,"[250, 0, 0, 0, 0]","[111, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
116,"[250, 0, 0, 0, 0]","[53, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
117,"[250, 0, 0, 0, 0]","[227, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
118,"[250, 0, 0, 0, 0]","[53, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
119,"[250, 0, 0, 0, 0]","[169, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
120,"[250, 0, 0, 0, 0]","[111, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
121,"[250, 0, 0, 0, 0]","[168, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
122,"[250, 0, 0, 0, 0]","[110, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
123,"[250, 0, 0, 0, 0]","[226, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
124,"[250, 0, 0, 0, 0]","[52, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
125,"[250, 0, 0, 0, 0]","[228, 0, 0, 0, 0]","[70, 30, 0, 0, 0]","[1, 1, 1, 1, 1]","[1, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0]"
