m_id,m_LockWeapon,m_LockMagic,m_RemoveConditions,m_RemoveParams
17,"[194, 194, 194, 194, 194, 195, 194, 195, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
18,"[194, 194, 195, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
19,"[194, 194, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
20,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 195, 194, 194, 194, 194]","[204, 2]","[1, 0]"
21,"[194, 195, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 21]","[1, 0]"
22,"[194, 194, 195, 195, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 195, 194, 194, 194]","[204, 21]","[1, 0]"
23,"[194, 194, 195, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
24,"[194, 194, 195, 195, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
25,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 195, 194, 195, 194, 194, 195, 194]","[204, 2]","[1, 0]"
26,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 21]","[1, 0]"
27,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 195, 194, 194, 194, 194, 194]","[204, 21]","[1, 0]"
28,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 195, 194, 194, 194]","[204, 2]","[1, 0]"
29,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 195, 194]","[204, 2]","[1, 0]"
30,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 195, 194, 195, 194]","[204, 2]","[1, 0]"
31,"[194, 194, 194, 194, 195, 195, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
32,"[194, 194, 194, 194, 194, 195, 194, 194, 194]","[194, 194, 195, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
33,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 195, 194, 194, 195, 194, 194]","[204, 2]","[1, 0]"
34,"[194, 194, 194, 195, 195, 194, 195, 194, 194]","[194, 194, 195, 194, 195, 194, 194, 194]","[204, 30]","[1, 0]"
35,"[194, 195, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 2]","[1, 0]"
36,"[194, 195, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[1, 0]"
37,"[194, 194, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 195, 194, 194, 194]","[204, 2]","[1, 0]"
38,"[194, 195, 194, 195, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
39,"[194, 194, 194, 194, 194, 194, 195, 195, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
40,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 195, 194, 195, 194, 194, 194, 194]","[204, 2]","[0, 0]"
41,"[194, 195, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
42,"[194, 194, 194, 195, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
43,"[194, 194, 194, 194, 194, 194, 195, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
44,"[194, 194, 194, 194, 194, 194, 194, 195, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
45,"[194, 195, 194, 195, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
46,"[194, 194, 194, 195, 194, 194, 195, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
47,"[194, 194, 194, 194, 194, 194, 195, 195, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
48,"[194, 195, 194, 194, 194, 194, 194, 195, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
49,"[194, 194, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 195, 194, 194, 194, 194]","[204, 30]","[1, 0]"
50,"[194, 195, 194, 194, 194, 194, 194, 194, 195]","[194, 194, 195, 194, 194, 194, 194, 194]","[204, 30]","[1, 0]"
51,"[194, 195, 194, 195, 194, 194, 194, 194, 194]","[194, 195, 194, 195, 194, 194, 194, 194]","[204, 2]","[0, 0]"
52,"[194, 194, 195, 194, 194, 195, 194, 194, 194]","[194, 195, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
53,"[194, 195, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 2]","[0, 0]"
54,"[194, 195, 194, 194, 195, 194, 194, 194, 194]","[194, 195, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
55,"[194, 195, 195, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 30]","[0, 0]"
56,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 195, 194, 195, 194, 194, 194]","[204, 30]","[0, 0]"
59,"[194, 195, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 21]","[1, 0]"
60,"[194, 194, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 195, 194, 194, 194]","[204, 21]","[1, 0]"
61,"[194, 194, 195, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 2]","[0, 0]"
62,"[194, 195, 194, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 2]","[0, 0]"
63,"[194, 195, 195, 194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194, 194, 194]","[204, 2]","[0, 0]"
78,"[194, 194, 194, 194, 195, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 195, 194, 194]","[204, 2]","[1, 0]"
