m_id,m_Label,m_Inescapable,m_SkipResult,m_IgnoreDefeat,m_SkipBgmResult,m_Bgm,m_BgmType,m_Camera,m_Formation,m_EnemyID,m_EventIndices,m_AbortCondition,m_ForcedWinAbortCondition,m_TipsGroup,m_TipsTargets,m_ImportantFlags
1022,Forest_EnemyGroup_01_202,194,194,194,194,36,0,0,73,"[573, 572, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1023,Forest_EnemyGroup_01_203,194,194,194,194,36,0,0,73,"[572, 574, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1024,Forest_EnemyGroup_01_204,194,194,194,194,36,0,0,71,"[574, 572, 573, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1025,Forest_EnemyGroup_01_205,194,194,194,194,36,0,0,71,"[574, 573, 573, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1026,Forest_EnemyGroup_01_206,194,194,194,194,36,0,0,71,"[574, 574, 574, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1027,Forest_EnemyGroup_01_207,194,194,194,194,36,0,0,71,"[572, 572, 573, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1101,Forest_EnemyGroup_02_001,194,194,194,194,36,0,0,72,"[8, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1102,Forest_EnemyGroup_02_002,194,194,194,194,36,0,0,72,"[5, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1103,Forest_EnemyGroup_02_003,194,194,194,194,36,0,0,72,"[6, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1104,Forest_EnemyGroup_02_004,194,194,194,194,36,0,0,73,"[8, 6, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1105,Forest_EnemyGroup_02_005,194,194,194,194,36,0,0,73,"[8, 5, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1106,Forest_EnemyGroup_02_006,194,194,194,194,36,0,0,73,"[8, 8, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1107,Forest_EnemyGroup_02_007,194,194,194,194,36,0,0,73,"[6, 5, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1108,Forest_EnemyGroup_02_008,194,194,194,194,109,0,0,72,"[2001, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1109,Forest_EnemyGroup_02_009,194,194,194,194,109,0,0,72,"[2113, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1111,Forest_EnemyGroup_02_101,194,194,194,194,36,0,0,72,"[507, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1112,Forest_EnemyGroup_02_102,194,194,194,194,36,0,0,73,"[504, 504, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1113,Forest_EnemyGroup_02_103,194,194,194,194,36,0,0,73,"[505, 505, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1114,Forest_EnemyGroup_02_104,194,194,194,194,36,0,0,73,"[507, 505, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1115,Forest_EnemyGroup_02_105,194,194,194,194,36,0,0,73,"[507, 504, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1116,Forest_EnemyGroup_02_106,194,194,194,194,36,0,0,73,"[507, 507, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1117,Forest_EnemyGroup_02_107,194,194,194,194,36,0,0,73,"[505, 504, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1121,Forest_EnemyGroup_02_201,194,194,194,194,36,0,0,73,"[579, 579, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1122,Forest_EnemyGroup_02_202,194,194,194,194,36,0,0,73,"[576, 577, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1123,Forest_EnemyGroup_02_203,194,194,194,194,36,0,0,73,"[577, 579, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1124,Forest_EnemyGroup_02_204,194,194,194,194,36,0,0,71,"[579, 577, 576, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1125,Forest_EnemyGroup_02_205,194,194,194,194,36,0,0,71,"[576, 576, 579, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1126,Forest_EnemyGroup_02_206,194,194,194,194,36,0,0,71,"[579, 579, 579, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1127,Forest_EnemyGroup_02_207,194,194,194,194,36,0,0,71,"[577, 577, 576, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1201,Forest_EnemyGroup_03_001,194,194,194,194,36,0,0,72,"[9, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1202,Forest_EnemyGroup_03_002,194,194,194,194,36,0,0,72,"[10, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1203,Forest_EnemyGroup_03_003,194,194,194,194,36,0,0,72,"[11, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1204,Forest_EnemyGroup_03_004,194,194,194,194,36,0,0,73,"[12, 10, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1205,Forest_EnemyGroup_03_005,194,194,194,194,36,0,0,73,"[11, 9, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1206,Forest_EnemyGroup_03_006,194,194,194,194,36,0,0,73,"[10, 10, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1207,Forest_EnemyGroup_03_007,194,194,194,194,36,0,0,73,"[12, 9, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1208,Forest_EnemyGroup_03_008,194,194,194,194,36,0,0,73,"[12, 11, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1209,Forest_EnemyGroup_03_009,194,194,194,194,109,0,0,72,"[2002, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1210,Forest_EnemyGroup_03_010,194,194,194,194,109,0,0,72,"[2003, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
71181,Forest_EnemyGroup_03_011,194,194,194,194,117,0,0,72,"[2232, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1301,Forest_EnemyGroup_04_001,194,194,194,194,36,0,0,72,"[13, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1302,Forest_EnemyGroup_04_002,194,194,194,194,36,0,0,72,"[15, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1303,Forest_EnemyGroup_04_003,194,194,194,194,36,0,0,73,"[14, 14, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1304,Forest_EnemyGroup_04_004,194,194,194,194,36,0,0,73,"[13, 16, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1305,Forest_EnemyGroup_04_005,194,194,194,194,36,0,0,73,"[14, 16, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1306,Forest_EnemyGroup_04_006,194,194,194,194,36,0,0,73,"[15, 15, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1307,Forest_EnemyGroup_04_007,194,194,194,194,36,0,0,73,"[13, 14, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1308,Forest_EnemyGroup_04_008,194,194,194,194,36,0,0,73,"[13, 15, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1309,Forest_EnemyGroup_04_009,194,194,194,194,109,0,0,69,"[2004, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1310,Forest_EnemyGroup_04_010,194,194,194,194,109,0,0,69,"[2005, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1401,Forest_EnemyGroup_05_001,194,194,194,194,36,0,0,72,"[17, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1402,Forest_EnemyGroup_05_002,194,194,194,194,36,0,0,73,"[18, 18, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1403,Forest_EnemyGroup_05_003,194,194,194,194,36,0,0,73,"[19, 19, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1404,Forest_EnemyGroup_05_004,194,194,194,194,36,0,0,73,"[18, 17, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1405,Forest_EnemyGroup_05_005,194,194,194,194,36,0,0,73,"[19, 18, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1406,Forest_EnemyGroup_05_006,194,194,194,194,36,0,0,73,"[19, 17, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1407,Forest_EnemyGroup_05_007,194,194,194,194,36,0,0,73,"[17, 17, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1408,Forest_EnemyGroup_05_008,194,194,194,194,109,0,0,72,"[2006, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1409,Forest_EnemyGroup_05_009,194,194,194,194,109,0,0,72,"[2114, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1411,Forest_EnemyGroup_05_101,194,194,194,194,36,0,0,73,"[508, 510, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1412,Forest_EnemyGroup_05_102,194,194,194,194,36,0,0,73,"[509, 509, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1413,Forest_EnemyGroup_05_103,194,194,194,194,36,0,0,73,"[510, 510, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1414,Forest_EnemyGroup_05_104,194,194,194,194,36,0,0,73,"[509, 508, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1415,Forest_EnemyGroup_05_105,194,194,194,194,36,0,0,73,"[510, 509, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1416,Forest_EnemyGroup_05_106,194,194,194,194,36,0,0,71,"[510, 510, 508, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1417,Forest_EnemyGroup_05_107,194,194,194,194,36,0,0,71,"[508, 508, 510, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1421,Forest_EnemyGroup_05_201,194,194,194,194,36,0,0,73,"[580, 582, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1422,Forest_EnemyGroup_05_202,194,194,194,194,36,0,0,73,"[581, 581, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1423,Forest_EnemyGroup_05_203,194,194,194,194,36,0,0,73,"[582, 582, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1424,Forest_EnemyGroup_05_204,194,194,194,194,36,0,0,71,"[581, 580, 582, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1425,Forest_EnemyGroup_05_205,194,194,194,194,36,0,0,71,"[582, 582, 581, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1426,Forest_EnemyGroup_05_206,194,194,194,194,36,0,0,71,"[582, 582, 580, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1427,Forest_EnemyGroup_05_207,194,194,194,194,36,0,0,71,"[580, 580, 582, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1501,Forest_EnemyGroup_06_001,194,194,194,194,36,0,0,72,"[24, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1502,Forest_EnemyGroup_06_002,194,194,194,194,36,0,0,73,"[22, 22, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1503,Forest_EnemyGroup_06_003,194,194,194,194,36,0,0,73,"[24, 24, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1504,Forest_EnemyGroup_06_004,194,194,194,194,36,0,0,73,"[24, 22, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1505,Forest_EnemyGroup_06_005,194,194,194,194,36,0,0,73,"[22, 24, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1506,Forest_EnemyGroup_06_006,194,194,194,194,36,0,0,73,"[21, 24, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1507,Forest_EnemyGroup_06_007,194,194,194,194,36,0,0,73,"[21, 21, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1508,Forest_EnemyGroup_06_008,194,194,194,194,109,0,0,72,"[2007, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1509,Forest_EnemyGroup_06_009,194,194,194,194,109,0,0,72,"[2115, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1511,Forest_EnemyGroup_06_101,194,194,194,194,36,0,0,73,"[515, 512, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1512,Forest_EnemyGroup_06_102,194,194,194,194,36,0,0,73,"[513, 513, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1513,Forest_EnemyGroup_06_103,194,194,194,194,36,0,0,73,"[515, 515, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1514,Forest_EnemyGroup_06_104,194,194,194,194,36,0,0,73,"[515, 513, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1515,Forest_EnemyGroup_06_105,194,194,194,194,36,0,0,73,"[513, 515, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
1516,Forest_EnemyGroup_06_106,194,194,194,194,36,0,0,71,"[515, 515, 512, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,"[194, 194, 194, 194, 194, 194]","[194, 194, 194, 194, 194, 194]"
