m_id,m_ShowOrder,m_CategoryID,m_TypeID,m_Rare,m_TexID,m_NameID,m_DetailID,m_WeaponTypeID,m_MagicTypeID,m_EquipLock,m_LevelValue,m_ExclusivePlayerID,m_ExclusiveJobID,m_Param,m_Rank,m_Variation,m_SkillID,m_BuyValue,m_MaterialCheck,m_MaterialNum,m_MaterialItemID,m_MaterialEquipID,m_SlotShapeID,m_MateriaRarityLimit,m_GrowthEquipBonusID,m_EquipSkillTypeID
12,8300,1,1,1,1015,21812,0,1,0,194,23,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 6, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]",44,0,"[0, 0]",6500,"[195, 194, 194]","[2, 1, 0]","[53, 111, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
13,9100,1,1,1,1016,21813,0,1,0,194,25,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 6, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0]",49,0,"[0, 0]",8400,"[195, 194, 194]","[2, 2, 0]","[54, 112, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
15,9900,1,1,1,1018,21815,0,1,0,194,27,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 8, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,0,"[0, 0]",11000,"[195, 194, 194]","[2, 2, 0]","[55, 113, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
17,10700,1,1,1,1020,21817,0,1,0,194,32,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 103, 10, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0]",60,0,"[0, 0]",14500,"[195, 194, 194]","[3, 2, 0]","[57, 115, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
19,11500,1,1,1,1022,21819,0,1,0,194,37,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 12, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67,0,"[0, 0]",18800,"[195, 194, 194]","[3, 2, 0]","[59, 117, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
21,13100,1,1,1,1024,21821,0,1,0,194,42,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 145, 15, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75,0,"[0, 0]",25200,"[195, 194, 194]","[4, 2, 1]","[61, 119, 235]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
23,13900,1,1,1,1026,21823,0,1,0,194,47,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 18, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0]",83,0,"[0, 0]",32600,"[195, 194, 194]","[4, 2, 1]","[63, 121, 237]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
25,14700,1,1,1,1028,21825,0,1,0,194,49,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 195, 21, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0]",92,0,"[0, 0]",41000,"[195, 194, 194]","[5, 3, 1]","[64, 122, 238]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
27,16300,1,1,1,1030,21827,0,1,0,194,51,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 24, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0]",102,0,"[0, 0]",50400,"[195, 194, 194]","[5, 3, 2]","[65, 123, 239]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
29,17100,1,1,1,1032,21829,0,1,0,194,55,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 256, 27, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0]",113,0,"[0, 0]",61000,"[195, 194, 194]","[6, 4, 2]","[66, 124, 240]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
31,18700,1,1,1,1033,21831,0,1,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 291, 30, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0]",125,0,"[0, 0]",73000,"[195, 194, 194]","[7, 5, 2]","[67, 125, 241]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
32,19500,1,1,1,1261,25081,0,1,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 302, 31, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0]",132,0,"[0, 0]",100000,"[195, 194, 194]","[7, 5, 2]","[68, 126, 242]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
33,20300,1,1,2,1261,25082,0,1,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 302, 31, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0]",138,1,"[0, 0]",25000,"[195, 194, 194]","[1, 10, 5]","[0, 2000, 2001]","[32, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
34,21100,1,1,3,1261,25083,0,1,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 302, 31, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0]",144,2,"[0, 0]",25000,"[195, 194, 194]","[1, 10, 5]","[0, 2001, 2002]","[33, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30648,24400,1,1,4,1261,26101,0,1,0,194,60,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 371, 36, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0]",174,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[34, 1496, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
35,22700,1,1,1,1270,25084,0,1,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 314, 32, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",138,0,"[0, 0]",116000,"[195, 194, 194]","[7, 5, 2]","[69, 127, 243]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
36,23500,1,1,2,1270,25085,0,1,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 329, 32, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",144,1,"[0, 0]",29000,"[195, 194, 194]","[1, 10, 5]","[0, 2004, 2005]","[35, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
37,24300,1,1,3,1270,25086,0,1,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 344, 32, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0]",150,2,"[0, 0]",29000,"[195, 194, 194]","[1, 10, 5]","[0, 2005, 2006]","[36, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30657,27600,1,1,4,1270,26111,0,1,0,194,61,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 411, 36, 123, 0, 0, 0, 0, 0, 0, 0, 0, 0]",180,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[37, 1496, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
41,26700,1,1,1,1285,25090,0,1,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 33, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0]",144,0,"[0, 0]",133000,"[195, 194, 194]","[7, 5, 2]","[70, 128, 244]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
42,27500,1,1,2,1285,25091,0,1,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 33, 102, 0, 0, 15, 0, 0, 0, 0, 0, 0]",150,1,"[0, 0]",33250,"[195, 194, 194]","[1, 10, 5]","[0, 2008, 2009]","[41, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
43,28300,1,1,3,1285,25092,0,1,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 326, 33, 102, 0, 0, 30, 0, 0, 0, 0, 0, 0]",158,2,"[0, 0]",33250,"[195, 194, 194]","[1, 10, 5]","[0, 2009, 2010]","[42, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30658,32400,1,1,4,1285,26112,0,1,0,194,62,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 391, 36, 133, 0, 0, 30, 0, 0, 0, 0, 0, 0]",188,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[43, 1496, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
47,29100,1,1,1,1293,25096,0,1,0,194,63,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 338, 34, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0]",150,0,"[0, 0]",152000,"[195, 194, 194]","[8, 6, 3]","[71, 129, 245]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
48,29900,1,1,2,1293,25097,0,1,0,194,63,0,0,"[0, 0, 15, 0, 0, 0, 0, 0, 0, 338, 34, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0]",158,1,"[0, 0]",38000,"[195, 194, 194]","[1, 10, 5]","[0, 2012, 2013]","[47, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
49,30700,1,1,3,1293,25098,0,1,0,194,63,0,0,"[0, 0, 30, 0, 0, 0, 0, 0, 0, 338, 34, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0]",166,2,"[0, 0]",38000,"[195, 194, 194]","[1, 10, 5]","[0, 2013, 2014]","[48, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30673,38000,1,1,4,1293,26127,0,1,0,194,63,0,0,"[0, 0, 30, 0, 0, 0, 0, 0, 0, 401, 36, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0]",196,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[49, 1496, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
53,31500,1,1,1,1301,25315,0,1,0,194,64,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 355, 35, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0]",158,0,"[0, 0]",172000,"[195, 194, 194]","[8, 6, 3]","[72, 130, 246]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
54,32300,1,1,2,1301,25316,0,1,0,194,64,0,0,"[0, 150, 0, 0, 0, 0, 0, 0, 0, 355, 35, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0]",166,1,"[0, 0]",43000,"[195, 194, 194]","[1, 10, 5]","[0, 2016, 2017]","[53, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
55,33100,1,1,3,1301,25317,0,1,0,194,64,0,0,"[0, 300, 0, 0, 0, 0, 0, 0, 0, 355, 35, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0]",175,2,"[0, 0]",43000,"[195, 194, 194]","[1, 10, 5]","[0, 2017, 2018]","[54, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30794,41700,1,1,4,1301,26246,0,1,0,194,64,0,0,"[0, 300, 0, 0, 0, 0, 0, 0, 0, 416, 37, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0]",205,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[55, 1496, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
59,33900,1,1,1,1309,25321,0,1,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 362, 36, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0]",166,0,"[0, 0]",193000,"[195, 194, 194]","[8, 6, 3]","[73, 131, 247]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
60,34700,1,1,2,1309,25322,0,1,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 382, 36, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0]",175,1,"[0, 0]",48250,"[195, 194, 194]","[1, 10, 5]","[0, 2020, 2021]","[59, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
61,35500,1,1,3,1309,25323,0,1,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 402, 36, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0]",184,2,"[0, 0]",48250,"[195, 194, 194]","[1, 10, 5]","[0, 2021, 2022]","[60, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
30795,44400,1,1,4,1309,26247,0,1,0,194,65,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 463, 38, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0]",214,3,"[0, 0]",1000000,"[195, 194, 194]","[1, 1, 0]","[0, 0, 0]","[61, 1496, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
201,200,1,7,1,1190,21832,0,2,0,195,1,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,0,"[0, 0]",0,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
202,1700,1,7,1,1191,21833,0,2,0,194,1,0,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0]",10,0,"[0, 0]",90,"[194, 194, 194]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
203,2200,1,7,1,1192,21834,0,2,0,194,2,0,0,"[0, 2, 0, 0, 0, 0, 0, 0, 0, 11, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0]",14,0,"[0, 0]",150,"[195, 194, 194]","[1, 0, 0]","[101, 0, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
204,3300,1,7,1,1193,21835,0,2,0,194,9,0,0,"[0, 10, 0, 0, 0, 0, 0, 0, 0, 17, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0]",18,0,"[0, 0]",700,"[195, 194, 194]","[1, 1, 0]","[103, 45, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
205,4100,1,7,1,1194,21836,0,2,0,194,11,0,0,"[0, 10, 0, 0, 0, 0, 0, 0, 0, 22, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0]",22,0,"[0, 0]",1000,"[195, 194, 194]","[1, 1, 0]","[104, 46, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
207,4900,1,7,1,1196,21838,0,2,0,194,12,0,0,"[0, 15, 0, 0, 0, 0, 0, 0, 0, 27, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0]",26,0,"[0, 0]",1400,"[195, 194, 194]","[1, 1, 0]","[105, 47, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
208,5700,1,7,1,1197,21839,0,2,0,194,16,0,0,"[0, 20, 0, 0, 0, 0, 0, 0, 0, 33, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]",32,0,"[0, 0]",2200,"[195, 194, 194]","[1, 1, 0]","[107, 49, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
209,6600,1,7,1,1198,21840,0,2,0,194,18,0,0,"[0, 20, 0, 0, 0, 0, 0, 0, 0, 40, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0]",36,0,"[0, 0]",3400,"[195, 194, 194]","[1, 1, 0]","[108, 50, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
211,8200,1,7,1,1200,21842,0,2,0,194,21,0,0,"[0, 25, 0, 0, 0, 0, 0, 0, 0, 48, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0]",40,0,"[0, 0]",4800,"[195, 194, 194]","[2, 1, 0]","[110, 52, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
212,9000,1,7,1,1201,21843,0,2,0,194,23,0,0,"[0, 30, 0, 0, 0, 0, 0, 0, 0, 57, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0]",44,0,"[0, 0]",6500,"[195, 194, 194]","[2, 1, 0]","[111, 53, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
213,9600,1,7,1,1202,21844,0,2,0,194,25,0,0,"[0, 30, 0, 0, 0, 0, 0, 0, 0, 68, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0]",49,0,"[0, 0]",8400,"[195, 194, 194]","[2, 2, 0]","[112, 54, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
215,10400,1,7,1,1204,21846,0,2,0,194,27,0,0,"[0, 35, 0, 0, 0, 0, 0, 0, 0, 84, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0]",54,0,"[0, 0]",11000,"[195, 194, 194]","[2, 2, 0]","[113, 55, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
217,11200,1,7,1,1206,21848,0,2,0,194,32,0,0,"[0, 40, 0, 0, 0, 0, 0, 0, 0, 102, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0]",60,0,"[0, 0]",14500,"[195, 194, 194]","[3, 2, 0]","[115, 57, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
219,12000,1,7,1,1208,21850,0,2,0,194,37,0,0,"[0, 45, 0, 0, 0, 0, 0, 0, 0, 122, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67,0,"[0, 0]",18800,"[195, 194, 194]","[3, 2, 0]","[117, 59, 0]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
221,13600,1,7,1,1210,21852,0,2,0,194,42,0,0,"[0, 50, 0, 0, 0, 0, 0, 0, 0, 143, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0]",75,0,"[0, 0]",25200,"[195, 194, 194]","[4, 2, 1]","[119, 61, 177]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
223,14400,1,7,1,1212,21854,0,2,0,194,47,0,0,"[0, 55, 0, 0, 0, 0, 0, 0, 0, 165, 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0]",83,0,"[0, 0]",32600,"[195, 194, 194]","[4, 2, 1]","[121, 63, 179]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
225,15200,1,7,1,1214,21856,0,2,0,194,49,0,0,"[0, 60, 0, 0, 0, 0, 0, 0, 0, 190, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0]",92,0,"[0, 0]",41000,"[195, 194, 194]","[5, 3, 1]","[122, 64, 180]","[0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
