m_id,m_MapID,m_EquipID,m_AndCond,m_TrigCondID
2020,10009,1234,194,"[103202, 0, 0]"
12334,10009,30654,194,"[103202, 0, 0]"
2021,0,1505,194,"[103202, 0, 0]"
2022,10009,1506,194,"[103202, 0, 0]"
2023,10009,1507,194,"[103202, 0, 0]"
12335,10009,30655,194,"[103202, 0, 0]"
2200,0,35,194,"[103201, 0, 0]"
2201,10002,36,194,"[103201, 0, 0]"
2202,10002,37,194,"[103201, 0, 0]"
12336,10002,30657,194,"[103201, 0, 0]"
2203,0,235,194,"[103201, 0, 0]"
2204,10002,236,194,"[103201, 0, 0]"
2205,10002,237,194,"[103201, 0, 0]"
12337,10002,30659,194,"[103201, 0, 0]"
2206,0,435,194,"[103201, 0, 0]"
2207,10002,436,194,"[103201, 0, 0]"
2208,10002,437,194,"[103201, 0, 0]"
12338,10002,30661,194,"[103201, 0, 0]"
2209,0,635,194,"[103201, 0, 0]"
2210,10002,636,194,"[103201, 0, 0]"
2211,10002,637,194,"[103201, 0, 0]"
12339,10002,30663,194,"[103201, 0, 0]"
2212,0,835,194,"[103201, 0, 0]"
2213,10002,836,194,"[103201, 0, 0]"
2214,10002,837,194,"[103201, 0, 0]"
12340,10002,30665,194,"[103201, 0, 0]"
2215,0,1035,194,"[103201, 0, 0]"
2216,10002,1036,194,"[103201, 0, 0]"
2217,10002,1037,194,"[103201, 0, 0]"
12341,10002,30667,194,"[103201, 0, 0]"
2218,0,1235,194,"[103201, 0, 0]"
2219,10002,1236,194,"[103201, 0, 0]"
2220,10002,1237,194,"[103201, 0, 0]"
12342,10002,30669,194,"[103201, 0, 0]"
2221,0,1508,194,"[103201, 0, 0]"
2222,10002,1509,194,"[103201, 0, 0]"
2223,10002,1510,194,"[103201, 0, 0]"
12343,10002,30671,194,"[103201, 0, 0]"
2224,0,41,194,"[103207, 0, 0]"
2225,10020,42,194,"[103207, 0, 0]"
2226,10020,43,194,"[103207, 0, 0]"
12344,10020,30658,194,"[103207, 0, 0]"
2227,0,241,194,"[103207, 0, 0]"
2228,10020,242,194,"[103207, 0, 0]"
2229,10020,243,194,"[103207, 0, 0]"
12345,10020,30660,194,"[103207, 0, 0]"
2230,0,441,194,"[103207, 0, 0]"
2231,10020,442,194,"[103207, 0, 0]"
2232,10020,443,194,"[103207, 0, 0]"
12346,10020,30662,194,"[103207, 0, 0]"
2233,0,641,194,"[103207, 0, 0]"
2234,10020,642,194,"[103207, 0, 0]"
2235,10020,643,194,"[103207, 0, 0]"
12347,10020,30664,194,"[103207, 0, 0]"
2236,0,841,194,"[103207, 0, 0]"
2237,10020,842,194,"[103207, 0, 0]"
2238,10020,843,194,"[103207, 0, 0]"
12348,10020,30666,194,"[103207, 0, 0]"
2239,0,1041,194,"[103207, 0, 0]"
2240,10020,1042,194,"[103207, 0, 0]"
2241,10020,1043,194,"[103207, 0, 0]"
12349,10020,30668,194,"[103207, 0, 0]"
2242,0,1241,194,"[103207, 0, 0]"
2243,10020,1242,194,"[103207, 0, 0]"
2244,10020,1243,194,"[103207, 0, 0]"
12350,10020,30670,194,"[103207, 0, 0]"
2245,0,1514,194,"[103207, 0, 0]"
2246,10020,1515,194,"[103207, 0, 0]"
2247,10020,1516,194,"[103207, 0, 0]"
12351,10020,30672,194,"[103207, 0, 0]"
2248,0,47,194,"[103200, 0, 0]"
2249,56,48,194,"[103200, 0, 0]"
2250,56,49,194,"[103200, 0, 0]"
12352,56,30673,194,"[103200, 0, 0]"
2368,10034,48,194,"[103200, 0, 0]"
2369,10034,49,194,"[103200, 0, 0]"
12353,10034,30673,194,"[103200, 0, 0]"
2251,0,247,194,"[103200, 0, 0]"
2252,56,248,194,"[103200, 0, 0]"
2253,56,249,194,"[103200, 0, 0]"
12354,56,30674,194,"[103200, 0, 0]"
2370,10034,248,194,"[103200, 0, 0]"
2371,10034,249,194,"[103200, 0, 0]"
12355,10034,30674,194,"[103200, 0, 0]"
2254,0,447,194,"[103200, 0, 0]"
2255,56,448,194,"[103200, 0, 0]"
2256,56,449,194,"[103200, 0, 0]"
12356,56,30675,194,"[103200, 0, 0]"
2372,10034,448,194,"[103200, 0, 0]"
2373,10034,449,194,"[103200, 0, 0]"
12357,10034,30675,194,"[103200, 0, 0]"
2257,0,647,194,"[103200, 0, 0]"
2258,56,648,194,"[103200, 0, 0]"
2259,56,649,194,"[103200, 0, 0]"
12358,56,30676,194,"[103200, 0, 0]"
2374,10034,648,194,"[103200, 0, 0]"
2375,10034,649,194,"[103200, 0, 0]"
12359,10034,30676,194,"[103200, 0, 0]"
2260,0,847,194,"[103200, 0, 0]"
2261,56,848,194,"[103200, 0, 0]"
2262,56,849,194,"[103200, 0, 0]"
12360,56,30677,194,"[103200, 0, 0]"
2376,10034,848,194,"[103200, 0, 0]"
2377,10034,849,194,"[103200, 0, 0]"
12361,10034,30677,194,"[103200, 0, 0]"
2263,0,1047,194,"[103200, 0, 0]"
2264,56,1048,194,"[103200, 0, 0]"
2265,56,1049,194,"[103200, 0, 0]"
12362,56,30678,194,"[103200, 0, 0]"
2378,10034,1048,194,"[103200, 0, 0]"
2379,10034,1049,194,"[103200, 0, 0]"
12363,10034,30678,194,"[103200, 0, 0]"
2266,0,1247,194,"[103200, 0, 0]"
2267,56,1248,194,"[103200, 0, 0]"
2268,56,1249,194,"[103200, 0, 0]"
12364,56,30679,194,"[103200, 0, 0]"
2380,10034,1248,194,"[103200, 0, 0]"
2381,10034,1249,194,"[103200, 0, 0]"
12365,10034,30679,194,"[103200, 0, 0]"
2269,0,1520,194,"[103200, 0, 0]"
2270,56,1521,194,"[103200, 0, 0]"
2271,56,1522,194,"[103200, 0, 0]"
12366,56,30680,194,"[103200, 0, 0]"
2382,10034,1521,194,"[103200, 0, 0]"
2383,10034,1522,194,"[103200, 0, 0]"
12367,10034,30680,194,"[103200, 0, 0]"
2272,0,53,194,"[103206, 0, 0]"
2273,10014,54,194,"[103206, 0, 0]"
2274,10014,55,194,"[103206, 0, 0]"
12449,10014,30794,194,"[103206, 0, 0]"
2275,0,253,194,"[103206, 0, 0]"
2276,10014,254,194,"[103206, 0, 0]"
2277,10014,255,194,"[103206, 0, 0]"
12450,10014,30797,194,"[103206, 0, 0]"
2278,0,453,194,"[103206, 0, 0]"
2279,10014,454,194,"[103206, 0, 0]"
2280,10014,455,194,"[103206, 0, 0]"
12451,10014,30800,194,"[103206, 0, 0]"
2281,0,653,194,"[103206, 0, 0]"
2282,10014,654,194,"[103206, 0, 0]"
2283,10014,655,194,"[103206, 0, 0]"
12452,10014,30803,194,"[103206, 0, 0]"
2284,0,853,194,"[103206, 0, 0]"
2285,10014,854,194,"[103206, 0, 0]"
2286,10014,855,194,"[103206, 0, 0]"
12453,10014,30806,194,"[103206, 0, 0]"
2287,0,1053,194,"[103206, 0, 0]"
2288,10014,1054,194,"[103206, 0, 0]"
2289,10014,1055,194,"[103206, 0, 0]"
12454,10014,30809,194,"[103206, 0, 0]"
2290,0,1253,194,"[103206, 0, 0]"
2291,10014,1254,194,"[103206, 0, 0]"
2292,10014,1255,194,"[103206, 0, 0]"
12455,10014,30812,194,"[103206, 0, 0]"
2293,0,1526,194,"[103206, 0, 0]"
2294,10014,1527,194,"[103206, 0, 0]"
2295,10014,1528,194,"[103206, 0, 0]"
12456,10014,30815,194,"[103206, 0, 0]"
2296,0,59,194,"[103204, 0, 0]"
2297,10026,60,194,"[103204, 0, 0]"
2298,10026,61,194,"[103204, 0, 0]"
12457,10026,30795,194,"[103204, 0, 0]"
2299,0,259,194,"[103204, 0, 0]"
2300,10026,260,194,"[103204, 0, 0]"
2301,10026,261,194,"[103204, 0, 0]"
12458,10026,30798,194,"[103204, 0, 0]"
2302,0,459,194,"[103204, 0, 0]"
2303,10026,460,194,"[103204, 0, 0]"
2304,10026,461,194,"[103204, 0, 0]"
12459,10026,30801,194,"[103204, 0, 0]"
2305,0,659,194,"[103204, 0, 0]"
2306,10026,660,194,"[103204, 0, 0]"
2307,10026,661,194,"[103204, 0, 0]"
12460,10026,30804,194,"[103204, 0, 0]"
2308,0,859,194,"[103204, 0, 0]"
2309,10026,860,194,"[103204, 0, 0]"
2310,10026,861,194,"[103204, 0, 0]"
12461,10026,30807,194,"[103204, 0, 0]"
2311,0,1059,194,"[103204, 0, 0]"
2312,10026,1060,194,"[103204, 0, 0]"
2313,10026,1061,194,"[103204, 0, 0]"
12462,10026,30810,194,"[103204, 0, 0]"
2314,0,1259,194,"[103204, 0, 0]"
2315,10026,1260,194,"[103204, 0, 0]"
2316,10026,1261,194,"[103204, 0, 0]"
12463,10026,30813,194,"[103204, 0, 0]"
2317,0,1532,194,"[103204, 0, 0]"
2318,10026,1533,194,"[103204, 0, 0]"
2319,10026,1534,194,"[103204, 0, 0]"
12464,10026,30816,194,"[103204, 0, 0]"
12242,100061,30552,194,"[103594, 0, 0]"
12243,100061,30553,194,"[103594, 0, 0]"
12244,100061,30557,194,"[103594, 0, 0]"
12245,100061,30558,194,"[103594, 0, 0]"
12246,100061,30562,194,"[103594, 0, 0]"
12247,100061,30563,194,"[103594, 0, 0]"
12248,100061,30567,194,"[103594, 0, 0]"
12249,100061,30568,194,"[103594, 0, 0]"
12250,100061,30572,194,"[103594, 0, 0]"
12251,100061,30573,194,"[103594, 0, 0]"
12252,100061,30577,194,"[103594, 0, 0]"
12253,100061,30578,194,"[103594, 0, 0]"
12254,100061,30582,194,"[103594, 0, 0]"
12255,100061,30583,194,"[103594, 0, 0]"
12256,100061,30587,194,"[103594, 0, 0]"
12257,100061,30588,194,"[103594, 0, 0]"
12258,100060,30552,194,"[0, 0, 0]"
12259,100060,30553,194,"[0, 0, 0]"
12260,100060,30554,194,"[0, 0, 0]"
12261,100060,30555,194,"[0, 0, 0]"
12262,100060,30556,194,"[0, 0, 0]"
12263,100060,30557,194,"[0, 0, 0]"
12264,100060,30558,194,"[0, 0, 0]"
12265,100060,30559,194,"[0, 0, 0]"
12266,100060,30560,194,"[0, 0, 0]"
12267,100060,30561,194,"[0, 0, 0]"
12268,100060,30562,194,"[0, 0, 0]"
12269,100060,30563,194,"[0, 0, 0]"
12270,100060,30564,194,"[0, 0, 0]"
12271,100060,30565,194,"[0, 0, 0]"
12272,100060,30566,194,"[0, 0, 0]"
12273,100060,30567,194,"[0, 0, 0]"
12274,100060,30568,194,"[0, 0, 0]"
12275,100060,30569,194,"[0, 0, 0]"
12276,100060,30570,194,"[0, 0, 0]"
12277,100060,30571,194,"[0, 0, 0]"
12278,100060,30572,194,"[0, 0, 0]"
12279,100060,30573,194,"[0, 0, 0]"
12280,100060,30574,194,"[0, 0, 0]"
12281,100060,30575,194,"[0, 0, 0]"
12290,100060,30576,194,"[0, 0, 0]"
12291,100060,30577,194,"[0, 0, 0]"
12292,100060,30578,194,"[0, 0, 0]"
12293,100060,30579,194,"[0, 0, 0]"
12294,100060,30580,194,"[0, 0, 0]"
12295,100060,30581,194,"[0, 0, 0]"
12296,100060,30582,194,"[0, 0, 0]"
12297,100060,30583,194,"[0, 0, 0]"
12298,100060,30584,194,"[0, 0, 0]"
12299,100060,30585,194,"[0, 0, 0]"
12300,100060,30586,194,"[0, 0, 0]"
12301,100060,30587,194,"[0, 0, 0]"
12302,100060,30588,194,"[0, 0, 0]"
12303,100060,30589,194,"[0, 0, 0]"
12304,100060,30590,194,"[0, 0, 0]"
12305,100060,30591,194,"[0, 0, 0]"
12368,100061,30606,194,"[103594, 0, 0]"
12369,100061,30607,194,"[103594, 0, 0]"
12370,100061,30608,194,"[103594, 0, 0]"
12371,100061,30609,194,"[103594, 0, 0]"
12372,100061,30610,194,"[103594, 0, 0]"
12373,100061,30611,194,"[103594, 0, 0]"
12374,100061,30612,194,"[103594, 0, 0]"
12375,100061,30613,194,"[103594, 0, 0]"
12376,100061,30614,194,"[103594, 0, 0]"
12377,100061,30615,194,"[103594, 0, 0]"
12378,100061,30616,194,"[103594, 0, 0]"
12379,100061,30617,194,"[103594, 0, 0]"
12380,100061,30618,194,"[103594, 0, 0]"
12381,100061,30619,194,"[103594, 0, 0]"
12382,100061,30620,194,"[103594, 0, 0]"
12383,100061,30621,194,"[103594, 0, 0]"
12384,100061,30622,194,"[103594, 0, 0]"
12385,100061,30623,194,"[103594, 0, 0]"
12386,100061,30624,194,"[103594, 0, 0]"
12387,100061,30625,194,"[103594, 0, 0]"
12388,100061,30626,194,"[103594, 0, 0]"
12389,100061,30627,194,"[103594, 0, 0]"
12390,100061,30628,194,"[103594, 0, 0]"
12391,100061,30629,194,"[103594, 0, 0]"
12392,100060,30606,194,"[0, 0, 0]"
12393,100060,30607,194,"[0, 0, 0]"
12394,100060,30608,194,"[0, 0, 0]"
12395,100060,30609,194,"[0, 0, 0]"
12396,100060,30610,194,"[0, 0, 0]"
12397,100060,30611,194,"[0, 0, 0]"
12398,100060,30612,194,"[0, 0, 0]"
12399,100060,30613,194,"[0, 0, 0]"
12400,100060,30614,194,"[0, 0, 0]"
12401,100060,30615,194,"[0, 0, 0]"
12402,100060,30616,194,"[0, 0, 0]"
12403,100060,30617,194,"[0, 0, 0]"
12404,100060,30618,194,"[0, 0, 0]"
12405,100060,30619,194,"[0, 0, 0]"
12406,100060,30620,194,"[0, 0, 0]"
12407,100060,30621,194,"[0, 0, 0]"
12408,100060,30622,194,"[0, 0, 0]"
12409,100060,30623,194,"[0, 0, 0]"
12410,100060,30624,194,"[0, 0, 0]"
12411,100060,30625,194,"[0, 0, 0]"
12412,100060,30626,194,"[0, 0, 0]"
12413,100060,30627,194,"[0, 0, 0]"
12414,100060,30628,194,"[0, 0, 0]"
12415,100060,30629,194,"[0, 0, 0]"
12429,100060,30715,194,"[0, 0, 0]"
12430,100060,30716,194,"[0, 0, 0]"
12431,100060,30717,194,"[0, 0, 0]"
12432,100060,30718,194,"[0, 0, 0]"
12433,100060,30719,194,"[0, 0, 0]"
12434,100060,30720,194,"[0, 0, 0]"
12435,100060,30721,194,"[0, 0, 0]"
12436,100060,30722,194,"[0, 0, 0]"
10001,0,10001,194,"[0, 0, 0]"
10002,0,10002,194,"[0, 0, 0]"
10003,0,0,194,"[0, 0, 0]"
10004,0,10004,194,"[0, 0, 0]"
10005,0,0,194,"[0, 0, 0]"
10006,0,0,194,"[0, 0, 0]"
10007,0,10007,194,"[0, 0, 0]"
10008,0,10008,194,"[0, 0, 0]"
10009,0,0,194,"[0, 0, 0]"
10010,0,10010,194,"[0, 0, 0]"
10011,0,10011,194,"[94063, 0, 0]"
10012,0,10012,194,"[94064, 0, 0]"
10013,0,0,194,"[0, 0, 0]"
10014,0,0,194,"[0, 0, 0]"
10015,0,10015,194,"[3000, 0, 0]"
10016,0,10016,194,"[3000, 0, 0]"
10017,0,0,194,"[0, 0, 0]"
10018,0,10018,194,"[94052, 0, 0]"
10019,0,10019,194,"[94053, 0, 0]"
10020,0,0,194,"[0, 0, 0]"
10021,0,10021,194,"[94054, 0, 0]"
10022,0,0,194,"[0, 0, 0]"
10023,0,10023,194,"[94055, 0, 0]"
10024,0,10024,194,"[94056, 0, 0]"
10025,0,10025,194,"[94056, 0, 0]"
10026,0,0,194,"[0, 0, 0]"
10027,0,0,194,"[0, 0, 0]"
10028,0,10028,194,"[94057, 0, 0]"
10029,0,10029,194,"[94058, 0, 0]"
10030,0,10030,194,"[94059, 0, 0]"
10201,0,10201,194,"[0, 0, 0]"
10202,0,10202,194,"[0, 0, 0]"
10203,0,0,194,"[0, 0, 0]"
10204,0,10204,194,"[0, 0, 0]"
10205,0,0,194,"[0, 0, 0]"
10206,0,0,194,"[0, 0, 0]"
10207,0,10207,194,"[0, 0, 0]"
10208,0,10208,194,"[0, 0, 0]"
10209,0,0,194,"[0, 0, 0]"
10210,0,10210,194,"[0, 0, 0]"
10211,0,10211,194,"[94063, 0, 0]"
10212,0,10212,194,"[94064, 0, 0]"
10213,0,0,194,"[0, 0, 0]"
10214,0,0,194,"[0, 0, 0]"
10215,0,10215,194,"[3000, 0, 0]"
10216,0,10216,194,"[3000, 0, 0]"
10217,0,0,194,"[0, 0, 0]"
10218,0,10218,194,"[94052, 0, 0]"
10219,0,10219,194,"[94053, 0, 0]"
10220,0,0,194,"[0, 0, 0]"
10221,0,10221,194,"[94054, 0, 0]"
10222,0,0,194,"[0, 0, 0]"
10223,0,10223,194,"[94055, 0, 0]"
10224,0,10224,194,"[94056, 0, 0]"
10225,0,10225,194,"[94056, 0, 0]"
10226,0,0,194,"[0, 0, 0]"
10227,0,0,194,"[0, 0, 0]"
10228,0,10228,194,"[94057, 0, 0]"
10229,0,10229,194,"[94058, 0, 0]"
10230,0,10230,194,"[94059, 0, 0]"
10401,0,10401,194,"[0, 0, 0]"
10402,0,10402,194,"[0, 0, 0]"
10403,0,0,194,"[0, 0, 0]"
10404,0,10404,194,"[0, 0, 0]"
10405,0,0,194,"[0, 0, 0]"
10406,0,0,194,"[0, 0, 0]"
10407,0,10407,194,"[0, 0, 0]"
10408,0,10408,194,"[0, 0, 0]"
10409,0,0,194,"[0, 0, 0]"
10410,0,10410,194,"[0, 0, 0]"
10411,0,10411,194,"[94063, 0, 0]"
10412,0,10412,194,"[94064, 0, 0]"
10413,0,0,194,"[0, 0, 0]"
10414,0,0,194,"[0, 0, 0]"
10415,0,10415,194,"[3000, 0, 0]"
10416,0,10416,194,"[3000, 0, 0]"
10417,0,0,194,"[0, 0, 0]"
10418,0,10418,194,"[94052, 0, 0]"
10419,0,10419,194,"[94053, 0, 0]"
10420,0,0,194,"[0, 0, 0]"
10421,0,10421,194,"[94054, 0, 0]"
10422,0,0,194,"[0, 0, 0]"
10423,0,10423,194,"[94055, 0, 0]"
10424,0,10424,194,"[94056, 0, 0]"
10425,0,10425,194,"[94056, 0, 0]"
10426,0,0,194,"[0, 0, 0]"
10427,0,0,194,"[0, 0, 0]"
10428,0,10428,194,"[94057, 0, 0]"
10429,0,10429,194,"[94058, 0, 0]"
10430,0,10430,194,"[94059, 0, 0]"
10601,0,10601,194,"[0, 0, 0]"
10602,0,10602,194,"[0, 0, 0]"
10603,0,0,194,"[0, 0, 0]"
10604,0,10604,194,"[0, 0, 0]"
10605,0,0,194,"[0, 0, 0]"
10606,0,0,194,"[0, 0, 0]"
10607,0,10607,194,"[0, 0, 0]"
10608,0,10608,194,"[0, 0, 0]"
10609,0,0,194,"[0, 0, 0]"
10610,0,10610,194,"[0, 0, 0]"
10611,0,10611,194,"[94063, 0, 0]"
10612,0,10612,194,"[94064, 0, 0]"
10613,0,0,194,"[0, 0, 0]"
10614,0,0,194,"[0, 0, 0]"
10615,0,10615,194,"[3000, 0, 0]"
10616,0,10616,194,"[3000, 0, 0]"
10617,0,0,194,"[0, 0, 0]"
10618,0,10618,194,"[94052, 0, 0]"
10619,0,10619,194,"[94053, 0, 0]"
10620,0,0,194,"[0, 0, 0]"
10621,0,10621,194,"[94054, 0, 0]"
10622,0,0,194,"[0, 0, 0]"
10623,0,10623,194,"[94055, 0, 0]"
10624,0,10624,194,"[94056, 0, 0]"
10625,0,10625,194,"[94056, 0, 0]"
10626,0,0,194,"[0, 0, 0]"
10627,0,0,194,"[0, 0, 0]"
10628,0,10628,194,"[94057, 0, 0]"
10629,0,10629,194,"[94058, 0, 0]"
10630,0,10630,194,"[94059, 0, 0]"
10801,0,10801,194,"[0, 0, 0]"
10802,0,10802,194,"[0, 0, 0]"
10803,0,0,194,"[0, 0, 0]"
10804,0,10804,194,"[0, 0, 0]"
10805,0,0,194,"[0, 0, 0]"
10806,0,0,194,"[0, 0, 0]"
10807,0,10807,194,"[0, 0, 0]"
10808,0,10808,194,"[0, 0, 0]"
10809,0,0,194,"[0, 0, 0]"
10810,0,10810,194,"[0, 0, 0]"
10811,0,10811,194,"[94063, 0, 0]"
10812,0,10812,194,"[94064, 0, 0]"
10813,0,0,194,"[0, 0, 0]"
10814,0,0,194,"[0, 0, 0]"
10815,0,10815,194,"[3000, 0, 0]"
10816,0,10816,194,"[3000, 0, 0]"
10817,0,0,194,"[0, 0, 0]"
