m_id,m_Priority,m_NameID,m_RewardID,m_ItemID,m_ItemNum,m_PremiumShopID,m_ResourceID,m_Price,m_SalePrice,m_ProductNum,m_OpenTimestamp,m_CloseTimestamp,m_ResetCycle,m_AndCondition,m_Conditions
202,29990,0,255,9020,1,0,16,100,0,0,0,0,0,194,"[0, 0, 0]"
203,29980,0,255,9010,1,0,16,20,5,0,0,0,0,194,"[0, 0, 0]"
204,29970,0,255,9000,1,0,16,6,0,0,0,0,0,194,"[0, 0, 0]"
278,65500,0,260,30271,1,0,17,5000,0,8,0,0,0,194,"[0, 0, 0]"
279,65490,0,260,30272,1,0,17,5000,0,8,0,0,0,194,"[0, 0, 0]"
280,65480,0,260,30538,1,0,17,2000,0,8,0,0,0,194,"[0, 0, 0]"
272,55490,0,210,50205,1,0,17,300,0,0,0,0,0,194,"[0, 0, 0]"
277,45480,0,250,518,1,0,17,100,0,0,0,0,0,194,"[0, 0, 0]"
226,35500,0,240,50206,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
227,35490,0,240,50212,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
228,35480,0,240,50208,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
229,35470,0,240,50207,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
230,35460,0,240,50211,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
231,35450,0,240,50210,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
232,35440,0,240,50209,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
233,35430,0,240,50213,1,0,17,15000,0,1,0,0,3,194,"[0, 0, 0]"
234,35420,0,240,50002,1,0,17,1500,0,0,0,0,0,194,"[0, 0, 0]"
235,35410,0,240,50001,1,0,17,300,0,0,0,0,0,194,"[0, 0, 0]"
300,30000,0,230,50293,1,0,17,0,200,0,0,0,0,194,"[0, 0, 0]"
223,29990,0,255,9020,1,0,17,300,0,0,0,0,0,194,"[0, 0, 0]"
224,29980,0,255,9010,1,0,17,60,0,0,0,0,0,194,"[0, 0, 0]"
225,29970,0,255,9000,1,0,17,20,5,0,0,0,0,194,"[0, 0, 0]"
4,19990,0,255,1,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
5,19980,0,255,2,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
6,19970,0,255,3,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
7,19960,0,255,4,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
8,19950,0,255,5,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
9,19940,0,255,6,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
10,19930,0,255,7,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
11,19920,0,255,8,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
12,19990,0,255,9,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
13,19980,0,255,10,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
14,19970,0,255,11,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
15,19960,0,255,12,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
16,19950,0,255,13,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
17,19940,0,255,14,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
18,19930,0,255,15,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
19,19920,0,255,16,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
20,19910,0,255,17,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
21,19900,0,255,18,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
22,19890,0,255,19,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
23,19880,0,255,20,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
24,19870,0,255,21,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
25,19860,0,255,22,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
26,19850,0,255,23,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
27,19840,0,255,24,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
28,19830,0,255,25,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
29,19820,0,255,26,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
30,19810,0,255,27,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
31,19800,0,255,28,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
32,19790,0,255,29,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
33,19780,0,255,30,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
34,19770,0,255,31,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
35,19760,0,255,32,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
36,19750,0,255,33,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
37,19740,0,255,34,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
38,19730,0,255,35,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
39,19720,0,255,36,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
40,19710,0,255,37,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
41,19700,0,255,38,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
42,19690,0,255,39,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
43,19680,0,255,40,1,0,16,0,5,0,0,0,0,194,"[0, 0, 0]"
44,19990,0,255,41,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
45,19980,0,255,42,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
46,19970,0,255,43,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
47,19960,0,255,44,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
48,19950,0,255,45,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
49,19940,0,255,46,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
50,19930,0,255,47,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
51,19920,0,255,48,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
52,19910,0,255,49,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
53,19900,0,255,50,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
54,19890,0,255,51,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
55,19880,0,255,52,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
56,19870,0,255,53,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
57,19860,0,255,54,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
58,19850,0,255,55,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
59,19840,0,255,56,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
60,19830,0,255,57,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
61,19820,0,255,58,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
62,19810,0,255,59,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
63,19800,0,255,60,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
64,19790,0,255,61,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
65,19780,0,255,62,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
66,19770,0,255,63,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
67,19760,0,255,64,1,0,17,0,5,0,0,0,0,194,"[0, 0, 0]"
69,19850,0,255,66,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
70,19870,0,255,67,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
71,19690,0,255,68,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
73,19860,0,255,70,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
74,19420,0,255,71,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
75,19910,0,255,72,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
76,19799,0,255,73,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
78,19500,0,255,75,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
83,19840,0,255,80,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
84,19890,0,255,81,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
85,19640,0,255,82,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
86,19900,0,255,83,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
87,19810,0,255,84,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
89,19830,0,255,86,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
91,19740,0,255,88,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
92,19760,0,255,89,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
100,19750,0,255,97,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
102,19780,0,255,99,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
106,19700,0,255,103,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
108,19800,0,255,105,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
110,19660,0,255,107,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
115,19880,0,255,112,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
116,19820,0,255,113,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
125,19770,0,255,122,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
133,19790,0,255,130,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
134,19720,0,255,131,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
135,19620,0,255,132,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
136,19680,0,255,133,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
320,19757,0,255,184,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
321,19756,0,255,185,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
322,19759,0,255,186,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
323,19758,0,255,187,1,0,15,0,5,0,0,0,0,194,"[0, 0, 0]"
442,72002,0,255,9020,1,0,14,10,0,50,0,0,2,194,"[0, 0, 0]"
443,72001,0,255,9010,1,0,14,2,0,100,0,0,2,194,"[0, 0, 0]"
301,70000,0,250,2070,1,0,14,50,0,0,0,0,0,194,"[50004, 0, 0]"
303,60003,0,230,50321,1,0,14,40,0,0,0,0,0,194,"[50129, 0, 0]"
192,60002,0,230,50320,1,0,14,10,0,0,0,0,0,194,"[0, 0, 0]"
193,60001,0,230,50324,1,0,14,10,0,0,0,0,0,194,"[0, 0, 0]"
194,60000,0,230,50328,1,0,14,10,0,0,0,0,0,194,"[0, 0, 0]"
546,50007,0,230,50374,1,0,14,300,0,1,0,0,0,194,"[103716, 0, 0]"
304,50006,0,230,50365,1,0,14,100,0,15,0,0,0,194,"[50158, 0, 0]"
305,50005,0,230,50364,1,0,14,400,0,1,0,0,0,194,"[50155, 0, 0]"
258,50004,0,230,50354,1,0,14,30,0,15,0,0,0,194,"[50097, 0, 0]"
257,50003,0,230,50353,1,0,14,90,0,1,0,0,0,194,"[50094, 0, 0]"
256,50001,0,230,50344,1,0,14,30,0,15,0,0,0,194,"[50090, 0, 0]"
255,50000,0,230,50350,1,0,14,90,0,1,0,0,0,194,"[50087, 0, 0]"
622,40007,0,260,30715,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
623,40006,0,260,30716,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
624,40005,0,260,30717,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
625,40004,0,260,30718,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
626,40003,0,260,30719,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
627,40002,0,260,30720,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
628,40000,0,260,30721,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
629,40001,0,260,30722,1,0,14,1000,0,1,0,0,0,194,"[0, 0, 0]"
182,30007,0,260,1600,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
183,30006,0,260,1601,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
184,30005,0,260,1602,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
185,30004,0,260,1603,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
186,30003,0,260,1604,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
187,30002,0,260,1605,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
189,30001,0,260,1607,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
188,30000,0,260,1606,1,0,14,50,0,1,0,0,0,194,"[0, 0, 0]"
190,20001,0,260,30544,1,0,14,30,0,0,0,0,0,194,"[0, 0, 0]"
191,20000,0,260,30545,1,0,14,30,0,0,0,0,0,194,"[0, 0, 0]"
254,12005,0,260,30533,1,0,14,300,0,1,0,0,0,194,"[0, 0, 0]"
253,12004,0,260,30527,1,0,14,300,0,1,0,0,0,194,"[0, 0, 0]"
252,12003,0,260,30521,1,0,14,300,0,1,0,0,0,194,"[0, 0, 0]"
251,12002,0,260,30515,1,0,14,300,0,1,0,0,0,194,"[0, 0, 0]"
250,12001,0,260,30509,1,0,14,300,0,1,0,0,0,194,"[0, 0, 0]"
249,12000,0,260,30503,1,0,14,300,0,1,0,0,0,194,"[0, 0, 0]"
181,10005,0,260,30532,1,0,14,150,0,1,0,0,0,194,"[0, 0, 0]"
180,10004,0,260,30526,1,0,14,150,0,1,0,0,0,194,"[0, 0, 0]"
179,10003,0,260,30520,1,0,14,150,0,1,0,0,0,194,"[0, 0, 0]"
178,10002,0,260,30514,1,0,14,150,0,1,0,0,0,194,"[0, 0, 0]"
177,10001,0,260,30508,1,0,14,150,0,1,0,0,0,194,"[0, 0, 0]"
176,10000,0,260,30502,1,0,14,150,0,1,0,0,0,194,"[0, 0, 0]"
630,1513,0,230,50376,1,0,14,0,300,0,0,0,0,194,"[0, 0, 0]"
631,1512,0,230,50377,1,0,14,0,100,0,0,0,0,194,"[0, 0, 0]"
632,1511,0,230,50378,1,0,14,0,20,0,0,0,0,194,"[0, 0, 0]"
444,1501,0,230,50367,1,0,14,0,10,0,0,0,0,194,"[50143, 0, 0]"
445,1500,0,230,50366,1,0,14,0,5,0,0,0,0,194,"[50064, 0, 0]"
306,1003,0,230,50321,1,0,14,0,20,0,0,0,0,194,"[50124, 0, 0]"
195,1002,0,230,50320,1,0,14,0,5,0,0,0,0,194,"[50004, 0, 0]"
196,1001,0,230,50324,1,0,14,0,5,0,0,0,0,194,"[50006, 0, 0]"
197,1000,0,230,50328,1,0,14,0,5,0,0,0,0,194,"[50008, 0, 0]"
673,10000,0,260,30782,1,0,45,400,0,0,0,0,0,194,"[0, 0, 0]"
674,9990,0,260,30786,1,0,45,400,0,0,0,0,0,194,"[0, 0, 0]"
675,9980,0,260,30790,1,0,45,400,0,0,0,0,0,194,"[0, 0, 0]"
676,8000,0,260,30781,1,0,45,0,30,0,0,0,0,194,"[0, 0, 0]"
677,7990,0,260,30780,1,0,45,0,10,0,0,0,0,194,"[0, 0, 0]"
678,7980,0,260,30785,1,0,45,0,30,0,0,0,0,194,"[0, 0, 0]"
679,7970,0,260,30784,1,0,45,0,10,0,0,0,0,194,"[0, 0, 0]"
680,7960,0,260,30789,1,0,45,0,30,0,0,0,0,194,"[0, 0, 0]"
681,7950,0,260,30788,1,0,45,0,10,0,0,0,0,194,"[0, 0, 0]"
739,9995,0,260,1496,1,0,54,300,0,0,0,0,0,194,"[103890, 0, 0]"
740,9990,0,260,1497,1,0,54,300,0,0,0,0,0,194,"[103875, 0, 0]"
741,9980,0,260,1498,1,0,54,300,0,0,0,0,0,194,"[103888, 0, 0]"
742,9970,0,260,1499,1,0,54,300,0,0,0,0,0,194,"[103831, 0, 0]"
743,9960,0,260,1500,1,0,54,300,0,0,0,0,0,194,"[103809, 0, 0]"
744,9950,0,260,1501,1,0,54,300,0,0,0,0,0,194,"[103874, 0, 0]"
745,9940,0,260,1503,1,0,54,300,0,0,0,0,0,194,"[103832, 0, 0]"
746,9930,0,260,1502,1,0,54,300,0,0,0,0,0,194,"[103889, 0, 0]"
822,9920,0,290,64000,1,0,54,35,0,0,0,0,0,194,"[103202, 0, 0]"
823,9910,0,290,64001,1,0,54,40,0,0,0,0,0,194,"[103201, 0, 0]"
824,9900,0,290,64002,1,0,54,45,0,0,0,0,0,194,"[103207, 0, 0]"
825,9890,0,290,64003,1,0,54,50,0,0,0,0,0,194,"[103200, 0, 0]"
826,9880,0,290,64004,1,0,54,55,0,0,0,0,0,194,"[103206, 0, 0]"
827,9870,0,290,64005,1,0,54,60,0,0,0,0,0,194,"[103204, 0, 0]"
830,9840,0,290,61000,1,0,54,20,0,0,0,0,0,194,"[0, 0, 0]"
831,9830,0,290,61001,1,0,54,25,0,0,0,0,0,194,"[90220, 0, 0]"
832,9820,0,290,61002,1,0,54,30,0,0,0,0,0,194,"[90222, 0, 0]"
833,9810,0,290,61003,1,0,54,60,0,0,0,0,0,194,"[103207, 0, 0]"
747,10020,0,230,50388,1,0,54,0,10,0,0,0,0,194,"[0, 0, 0]"
1543,10010,0,240,50206,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1544,10000,0,240,50212,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1545,9990,0,240,50208,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1546,9980,0,240,50207,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1547,9970,0,240,50211,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1548,9960,0,240,50210,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1549,9950,0,240,50209,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1550,9940,0,240,50213,1,0,54,0,50,0,0,0,0,194,"[0, 0, 0]"
1542,9930,0,240,50002,1,0,54,0,20,0,0,0,0,194,"[0, 0, 0]"
1541,9920,0,240,50001,1,0,54,0,10,0,0,0,0,194,"[0, 0, 0]"
941,9910,0,260,30001,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
942,9900,0,260,30002,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
943,9890,0,260,30003,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
944,9880,0,260,30004,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
945,9870,0,260,30005,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
946,9860,0,260,30006,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
947,9850,0,260,30007,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
948,9840,0,260,30008,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
949,9830,0,260,30009,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
950,9820,0,260,30010,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
951,9810,0,260,30011,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
952,9800,0,260,30012,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
953,9790,0,260,30013,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
954,9780,0,260,30014,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
955,9770,0,260,30015,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
956,9760,0,260,30016,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
957,9750,0,260,30017,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
958,9740,0,260,30018,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
959,9730,0,260,30019,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
960,9720,0,260,30020,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
961,9710,0,260,30021,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
962,9700,0,260,30022,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
963,9690,0,260,30023,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
964,9680,0,260,30024,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
965,9670,0,260,30025,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
966,9660,0,260,30026,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
967,9650,0,260,30027,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
968,9640,0,260,30028,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
969,9630,0,260,30029,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
970,9620,0,260,30030,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
971,9610,0,260,30031,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
972,9600,0,260,30032,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
973,9590,0,260,30033,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
974,9580,0,260,30034,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
975,9570,0,260,30035,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
976,9560,0,260,30036,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
977,9550,0,260,30037,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
978,9540,0,260,30038,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
979,9530,0,260,30039,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
980,9520,0,260,30040,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
981,9510,0,260,30041,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
982,9500,0,260,30042,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
983,9490,0,260,30043,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
984,9480,0,260,30044,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
985,9470,0,260,30045,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
986,9460,0,260,30046,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
987,9450,0,260,30047,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
988,9440,0,260,30048,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
989,9430,0,260,30049,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
990,9420,0,260,30050,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
991,9410,0,260,30051,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
992,9400,0,260,30052,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
993,9390,0,260,30053,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
994,9380,0,260,30054,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
995,9370,0,260,30055,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
996,9360,0,260,30056,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
997,9350,0,260,30057,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
998,9340,0,260,30058,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
999,9330,0,260,30059,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1000,9320,0,260,30060,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1001,9310,0,260,30061,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1002,9300,0,260,30062,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1003,9290,0,260,30063,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1004,9280,0,260,30064,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1005,9270,0,260,30065,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1006,9260,0,260,30066,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1007,9250,0,260,30067,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1008,9240,0,260,30068,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1009,9230,0,260,30069,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1010,9220,0,260,30070,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1011,9210,0,260,30071,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
1012,9200,0,260,30072,1,0,54,0,3,0,0,0,0,194,"[0, 0, 0]"
