m_id,m_LimitType,m_DefeatBackMap,m_worldMapID,m_mapID,m_BootQuestStaet,m_BootQuestID,m_BootQuestTaskId,m_DisableQuestState,m_DisableQuestID,m_DisableQuestTaskId,m_TrigConditionID,m_NoneConditionID,m_BgmID
13,"[2, 0, 0, 0, 0]",0,"[7, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3,1004080,578,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
5,"[2, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1007000,1058,3,1007000,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
20,"[9, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10011, 2021, 0, 0, 0, 0, 0, 0, 0, 0]",2,1007000,1058,3,1007000,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
19,"[5, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2021, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,1007000,1058,3,1007000,1365,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
14,"[2, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1004090,0,0,0,0,"[0, 0, 0, 0]","[3814, 0, 0, 0]",0
3,"[3, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 13, 14, 172, 260, 0, 0, 0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
15,"[6, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[83, 84, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
16,"[6, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[52, 53, 0, 0, 0, 0, 0, 0, 0, 0]",2,1001030,374,3,1001030,374,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
17,"[7, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 2, 0, 0, 0, 0, 0, 0, 0, 0]",2,1004080,577,3,1004080,577,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
18,"[6, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2, 3, 10, 0, 0, 0, 0, 0, 0, 0]",2,1004080,577,3,1004080,577,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
21,"[6, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10015, 10017, 10018, 0, 0, 0, 0, 0, 0, 0]",2,1005020,1202,3,1005020,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
22,"[6, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10017, 10015, 10018, 0, 0, 0, 0, 0, 0, 0]",2,1005020,1202,3,1005020,1717,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
24,"[2, 0, 0, 0, 0]",0,"[10048, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,3,1007010,1073,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
25,"[10, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[12, 13, 14, 172, 260, 0, 0, 0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
29,"[8, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[10026, 10027, 10028, 100026, 0, 0, 0, 0, 0, 0]",2,1006020,1715,3,1006020,1716,"[0, 0, 0, 0]","[0, 0, 0, 0]",78961
31,"[6, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[100061, 100060, 0, 0, 0, 0, 0, 0, 0, 0]",2,5000000,1567,0,0,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",0
37,"[2, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,0,0,0,"[0, 0, 0, 0]","[30084, 0, 0, 0]",0
