m_id,m_OwnerQuest,m_TaskType,m_TaskNo,m_HideTask,m_Purpose,m_Synopsis,m_NextDestination,m_DestNpcSetLabel,m_DestPathName,m_ClearedQuest,m_OpenConditionID,m_StartConditionID,m_InvalidConditionID,m_ReorderMax,m_ReorderInterval,m_SubClearConditionID,m_ClearConditionID,m_CondQuest,m_CondQuestTask,m_OwnerUniqueChara,m_EventID,m_EnemyID,m_EnemyRaceID,m_ItemID,m_EquipID,m_IntParam,m_StrParam,m_StartEvent,m_ShowStartUI,m_QuestStartEffectType,m_ClearEvent,m_ShowClearUI,m_QuestClearEffectType,m_TaskItemId,m_TaskItemNum,m_BlockadeIgnoreRouteSearch
368,1001020,2,3,194,10102045,10102046,65,eTALK_B01S_2_3_Destination,PathActorBP51,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,28,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
369,1001020,2,4,194,10102055,10102056,65,eTALK_B01S_2_4,PathActorBP80,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,38,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
619,1001030,1,0,194,0,0,46,eTALK_B01S_3_0,PathActorBP45,"[1001020, 0, 0, 0]","[0, 0]","[91004, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
370,1001030,2,1,194,10103015,10103016,47,eTALK_B01S_3_1_Destination,PathActorBP74,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,44,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",39,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
371,1001030,2,2,194,10103025,10103026,46,eTALK_B01S_3_2,PathActorBP19,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,46,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
372,1001030,2,3,194,10103035,10103036,52,eTALK_B01S_3_3,PathActorBP9,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,6235,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
373,1001030,2,4,194,10103045,10103046,52,eTALK_B01S_3_4,PathActorBP59,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,48,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50245, 0, 0, 0]","[1, 0, 0, 0]",194
889,1001030,2,5,194,10103055,10103056,52,eTALK_B01S_3_5,PathActorBP9,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,57,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50245, 0, 0, 0]","[255, 0, 0, 0]",194
374,1001030,2,6,194,10103065,10103066,52,eTALK_B01S_3_6,PathActorBP15,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,54,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[50246, 0, 0, 0]","[1, 0, 0, 0]",194
616,1002010,1,0,194,0,0,56,QuTr_B02_01_00a_SnT11A,PathActorBP113,"[0, 0, 0, 0]","[1010, 0]","[92001, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
375,1002010,2,1,194,10201025,10201026,57,eTALK_B02S_1_1,PathActorBP54,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,104,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",101,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
376,1002010,2,2,194,10201035,10201036,57,eTALK_B02S_1_2,PathActorBP36,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,165,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
523,1002010,2,3,194,10201045,10201046,57,eTALK_B02S_1_3,PathActorBP4,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,173,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
524,1002010,2,4,194,10201055,10201056,60,eTALK_B02S_1_4,PathActorBP26,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,174,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
377,1002010,2,5,194,10201065,10201066,61,eTALK_B02S_1_5,PathActorBP108,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,166,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
378,1002010,2,6,194,10201075,10201076,61,eTALK_B02S_1_6,PathActorBP82,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,109,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50271, 0, 0, 0]","[1, 0, 0, 0]",194
379,1002010,2,7,194,10201085,10201086,57,eTALK_B02S_1_7,PathActorBP36,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,111,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
620,1002020,1,0,194,0,0,57,eTALK_B02S_2_0,PathActorBP4,"[1002010, 0, 0, 0]","[0, 0]","[92002, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50208, 0, 0, 0]","[1, 0, 0, 0]",194
381,1002020,2,1,194,10202025,10202026,85,eTALK_B02S_2_1,PathActorBP90,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,114,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",112,195,0,0,194,0,"[50208, 0, 0, 0]","[255, 0, 0, 0]",194
525,1002020,2,2,194,10202035,10202036,77,eTALK_B02S_2_2,PathActorBP24,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,117,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
382,1002020,2,3,194,10202045,10202046,57,eTALK_B02S_2_3,PathActorBP72,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,118,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
383,1002020,2,4,194,10202055,10202056,56,eTALK_B02S_2_4,PathActorBP21,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,120,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
384,1002020,2,5,194,10202065,10202066,56,eTALK_B02S_2_5,PathActorBP16,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,122,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
385,1002020,2,6,194,10202075,10202076,119,eTALK_B02S_2_6_Destination,PathActorBP4,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,123,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
386,1002020,2,7,194,10202085,10202086,119,eTALK_B02S_2_7_Destination,PathActorBP45,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,131,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
621,1002030,1,0,194,0,0,57,eTALK_B02S_3_0,PathActorBP4,"[1002020, 0, 0, 0]","[0, 0]","[92004, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
388,1002030,2,1,194,10203015,10203016,119,eTALK_B02S_3_1,PathActorBP45,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,139,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",134,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
389,1002030,2,2,194,10203025,10203026,122,eTALK_B02S_3_2,PathActorBP16,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,142,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
390,1002030,2,3,194,10203035,10203036,119,eTALK_B02S_3_3,PathActorBP54,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,168,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50271, 0, 0, 0]","[255, 0, 0, 0]",194
391,1002030,2,4,194,10203045,10203046,57,eTALK_B02S_3_4,PathActorBP72,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,146,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
614,1002030,2,5,194,10203055,10203056,62,eTALK_B02S_3_5,PathActorBP56,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,147,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
392,1002030,2,6,194,10203065,10203066,63,eTALK_B02S_3_6,PathActorBP82,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,151,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[50247, 0, 0, 0]","[1, 0, 0, 0]",194
617,1003010,1,0,194,0,0,78,eTALK_B03S_1_0,PathActorBP2,"[0, 0, 0, 0]","[2010, 0]","[93001, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
300,1003010,2,1,194,10301025,10301026,81,eTALK_B03S_1_1,PathActorBP78,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,206,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",201,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
301,1003010,2,2,194,10301035,10301036,82,eTALK_B03S_1_2,PathActorBP3,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,209,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
302,1003010,2,3,194,10301045,10301046,82,eTALK_B03S_1_3,PathActorBP54,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,211,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
622,1003020,1,0,194,0,0,46,eTALK_B03S_2_0,PathActorBP,"[1003010, 0, 0, 0]","[0, 0]","[93002, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
304,1003020,2,1,194,10302025,10302026,54,eTALK_B03S_2_1,PathActorBP6,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,213,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",212,195,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
305,1003020,2,2,194,10302035,10302036,54,eTALK_B03S_2_2,PathActorBP43,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,214,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
306,1003020,2,3,194,10302045,10302046,54,eTALK_B03S_2_3,PathActorBP51,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,216,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50207, 0, 0, 0]","[1, 0, 0, 0]",194
307,1003020,2,4,194,10302055,10302056,54,eTALK_B03S_2_4,PathActorBP43,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,218,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50207, 0, 0, 0]","[255, 0, 0, 0]",194
308,1003020,2,5,194,10302065,10302066,55,eTALK_B03S_2_5,PathActorBP95,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,219,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
589,1003020,2,6,194,10302075,10302076,55,eTALK_B03S_2_6_Destination,PathActorBP91,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,221,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
623,1003030,1,0,194,0,0,77,eTALK_B03S_3_0,PathActorBP79,"[1003020, 0, 0, 0]","[0, 0]","[93004, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
585,1003030,2,1,194,10303015,10303016,133,eTALK_B03S_3_1,PathActorBP16,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,224,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",222,195,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
586,1003030,2,2,194,10303025,10303026,81,eTALK_B03S_3_2,PathActorBP12,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,225,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
587,1003030,2,3,194,10303035,10303036,82,eTALK_B03S_3_3,PathActorBP34,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,228,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
588,1003030,2,4,194,10303045,10303046,83,eTALK_B03S_3_4_Destination,PathActorBP40,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,237,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[50248, 0, 0, 0]","[1, 0, 0, 0]",194
879,1004000,1,0,194,0,0,56,eTALK_B04S_0_0,PathActorBP90,"[1001030, 1002030, 1003030, 0]","[0, 0]","[91004, 92004, 93004]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
533,1004000,2,1,194,10400015,10400016,21,eTALK_B04S_0_1,PathActorBP89,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,304,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",429,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
1174,1004000,2,2,194,10400025,10400026,21,eTALK_B04S_0_2,PathActorBP89,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,499,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
534,1004000,2,3,194,10400035,10400036,259,eTALK_B04S_0_1_NPC3,PathActorBP8,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,307,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[50246, 50247, 50248, 0]","[255, 255, 255, 0]",194
535,1004000,2,4,194,10400045,10400046,25,eTALK_B04S_0_4,PathActorBP53,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,430,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
986,1004000,2,5,194,10400055,10400056,259,eTALK_B04S_0_5,PathActorBP2,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,436,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,195,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
880,1004010,1,0,194,0,0,11,eTALK_B04S_1_0,PathActorBP31,"[1004000, 0, 0, 0]","[0, 0]","[91006, 92006, 93006]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",0,0,0,0,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",0,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
538,1004010,2,1,194,10401015,10401016,11,eTALK_B04S_1_1,PathActorBP33,"[0, 0, 0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0, 0]",0,0,"[0, 0, 0, 0]",19,0,0,0,314,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0]","['', '', '', '']",311,194,0,0,194,0,"[0, 0, 0, 0]","[0, 0, 0, 0]",194
