m_id,m_CatMap,m_CatRegion,m_CatVariation,m_CatBlock,m_MapLabel,m_RegionIconTexID,m_RegionText,m_MapText,m_CameraSet,m_LightSet,m_BGM,m_FootSE,m_FootEffect,m_ReverbFlag,m_LanthanumFlag,m_RidingVehicle,m_WorldId,m_Battlemap,m_SubLevelList,m_JoinMap,m_MapPath,m_PathDataPath,m_PlayerAttachEffectTriggers,m_PlayerAttachEffectInvalidConditions,m_PlayerAttachEffectGroups
10,DP,Cliff,N0,A1,Map_DP_Cliff_N0_1003_A1,6250,3107,3210,2,2,62,434,0,194,194,0,0,Map_FB_Cliff_N0_1002_A1,"['', '']","[11, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
11,DP,Cliff,N0,B1,Map_DP_Cliff_N0_1003_B1,6250,3107,3211,2,2,54,860,0,194,194,0,0,Map_FB_Cliff_N0_1002_A1,"['', '']","[10, 12, 2, 100134, 100137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_B1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
12,DP,Cliff,N0,C1,Map_DP_Cliff_N0_1003_C1,6250,3107,3212,3,3,102,873,0,195,195,0,0,Map_DB_Other_H2_0002_A1,"['', '']","[11, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_C1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_C1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
13,DP,Cliff,N0,D1,Map_DP_Cliff_N0_1003_D1,6250,3107,3213,3,3,102,873,0,195,195,0,0,Map_DB_Other_H2_0002_A1,"['', '']","[12, 14, 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_D1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_D1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
14,DP,Cliff,N0,E1,Map_DP_Cliff_N0_1003_E1,6250,3107,3214,2,2,102,860,0,194,194,0,0,Map_DB_Other_H2_0002_A1,"['', '']","[13, 172, 260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_E1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_E1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
172,DP,Cliff,N0,F1,Map_DP_Cliff_N0_1003_F1,6250,3107,3215,3,3,102,873,0,194,195,0,0,Map_DB_Other_H2_0002_A1,"['', '']","[13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_F1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_F1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
260,DP,Cliff,N0,G1,Map_DP_Cliff_N0_1003_G1,6250,3107,3216,3,3,102,873,0,195,195,0,0,Map_DB_Other_H2_0002_A1,"['', '']","[14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_G1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1003_G1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
125,DP,Cliff,N0,A1,Map_DP_Cliff_N0_1009_A1,6250,3107,3326,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_DP_Cliff_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_DP_Cliff_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
87,HP,Cliff,N0,A1,Map_HP_Cliff_N0_1009_A1,6250,3107,3288,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_HP_Cliff_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_HP_Cliff_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
86,HP,Cliff,N0,A2,Map_HP_Cliff_N0_1009_A2,6250,3107,3288,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Cliff/Map_HP_Cliff_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Cliff/Map_HP_Cliff_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
26,TP,Desert,N0,A1,Map_TP_Desert_N0_1001_A1,6248,3105,3227,1,1,13,860,0,194,194,0,0,Map_FB_Desert_N0_1001_A1,"['', '']","[27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_TP_Desert_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_TP_Desert_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
27,FP,Desert,N0,A1,Map_FP_Desert_N0_1001_A1,6248,3105,3228,2,2,20,432,0,194,194,0,0,Map_FB_Desert_N0_1001_A1,"['', '']","[28, 26, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_FP_Desert_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_FP_Desert_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
28,FP,Desert,N0,A1,Map_FP_Desert_N0_1002_A1,6248,3105,3229,2,2,20,432,0,194,194,0,0,Map_FB_Desert_N0_1001_A1,"['', '']","[27, 126, 36, 10016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_FP_Desert_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_FP_Desert_N0_1002_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
126,DP,Desert,N0,A1,Map_DP_Desert_N0_1009_A1,6248,3105,3327,3,3,22,860,0,195,195,0,0,Map_DB_Other_C3_0001_A1,"['', '']","[28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_DP_Desert_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_DP_Desert_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
97,HP,Desert,N0,A1,Map_HP_Desert_N0_1009_A1,6248,3105,3298,3,3,22,860,0,195,195,0,0,Map_DB_Other_C3_0001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_HP_Desert_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_HP_Desert_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
98,HP,Desert,N0,A2,Map_HP_Desert_N0_1009_A2,6248,3105,3298,3,3,22,434,0,195,195,0,0,Map_DB_Other_C3_0001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_HP_Desert_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_HP_Desert_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10014,TP,Desert,N0,A1,Map_TP_Desert_N0_2001_A1,6248,3105,16014,1,1,10,860,0,194,194,0,0,Map_FB_Desert_N0_2001_A1,"['', '']","[10015, 10016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_TP_Desert_N0_2001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_TP_Desert_N0_2001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10015,TP,Desert,N0,B1,Map_TP_Desert_N0_2001_B1,6248,3105,16015,1,1,10,860,0,194,194,0,0,Map_FB_Desert_N0_2001_A1,"['', '']","[10014, 10017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_TP_Desert_N0_2001_B1,/Game/Level/PathActor/V1_0_0/Desert/Map_TP_Desert_N0_2001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10016,FP,Desert,N0,A1,Map_FP_Desert_N0_2001_A1,6248,3105,16016,2,2,20,432,0,194,194,0,0,Map_FB_Desert_N0_2001_A1,"['', '']","[10014, 10019, 100019, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_FP_Desert_N0_2001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_FP_Desert_N0_2001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10017,DP,Desert,N0,A1,Map_DP_Desert_N0_2001_A1,6248,3105,16017,3,3,63,873,0,195,195,0,0,Map_DB_Other_H2_0005_A1,"['', '']","[10015, 10018, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_DP_Desert_N0_2001_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_DP_Desert_N0_2001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10018,DP,Desert,N0,B1,Map_DP_Desert_N0_2001_B1,6248,3105,16018,3,3,63,873,0,195,195,0,0,Map_DB_Other_H2_0005_A1,"['', '']","[10017, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_DP_Desert_N0_2001_B1,/Game/Level/PathActor/V1_0_0/Desert/Map_DP_Desert_N0_2001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10019,DP,Desert,N0,A1,Map_DP_Desert_N0_2009_A1,6248,3105,16019,3,3,22,860,0,195,195,0,0,Map_DB_Other_C3_0002_A1,"['', '']","[10016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Desert/Map_DP_Desert_N0_2009_A1,/Game/Level/PathActor/V1_0_0/Desert/Map_DP_Desert_N0_2009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
46,TP,Forest,N0,A1,Map_TP_Forest_N0_1001_A1,6251,3108,3247,1,1,13,860,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[47, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
47,TP,Forest,N0,B1,Map_TP_Forest_N0_1001_B1,6251,3108,3248,1,1,13,860,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[46, 50, 51, 100144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_1001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
48,FP,Forest,N0,A1,Map_FP_Forest_N0_1001_A1,6251,3108,3249,2,2,17,434,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[49, 46, 59, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_FP_Forest_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_FP_Forest_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
49,FP,Forest,N0,A1,Map_FP_Forest_N0_1002_A1,6251,3108,3250,2,2,17,434,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[48, 127, 1, 10005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_FP_Forest_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_FP_Forest_N0_1002_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
50,DP,Forest,N0,A1,Map_DP_Forest_N0_1001_A1,6251,3108,3251,3,3,65,434,0,194,195,0,0,Map_FB_Forest_N0_1001_B1,"['', '']","[51, 47, 100050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1001_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
51,DP,Forest,N0,B1,Map_DP_Forest_N0_1001_B1,6251,3108,3252,3,3,65,434,0,194,195,0,0,Map_FB_Forest_N0_1001_B1,"['', '']","[50, 52, 47, 100050, 100056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1001_B1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
52,DP,Forest,N0,A1,Map_DP_Forest_N0_1002_A1,6251,3108,3253,3,2,63,873,0,195,194,0,0,Map_DB_Other_H1_0002_A1,"['', '']","[53, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1002_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1002_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
53,DP,Forest,N0,B1,Map_DP_Forest_N0_1002_B1,6251,3108,3254,3,3,124,445,0,195,195,0,0,Map_DB_Other_C1_0001_A1,"['', '']","[52, 100056, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1002_B1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1002_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
54,DP,Forest,N0,A1,Map_DP_Forest_N0_1003_A1,6251,3108,3255,3,2,65,434,0,194,194,0,0,Map_FB_Forest_N0_1001_B1,"['', '']","[55, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1003_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1003_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
55,DP,Forest,N0,B1,Map_DP_Forest_N0_1003_B1,6251,3108,3256,3,3,63,873,0,195,195,0,0,Map_DB_Other_H1_0001_A1,"['', '']","[54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1003_B1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1003_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
127,DP,Forest,N0,A1,Map_DP_Forest_N0_1009_A1,6251,3108,3328,3,3,62,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_DP_Forest_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_DP_Forest_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
105,HP,Forest,N0,A1,Map_HP_Forest_N0_1009_A1,6251,3108,3306,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_HP_Forest_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_HP_Forest_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
106,HP,Forest,N0,A2,Map_HP_Forest_N0_1009_A2,6251,3108,3306,3,3,22,434,0,195,195,0,0,Map_DB_Other_C0_0001_A1,"['', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_HP_Forest_N0_1009_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_HP_Forest_N0_1009_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10001,TP,Forest,N0,A1,Map_TP_Forest_N0_2001_A1,6251,3108,10001,1,1,55,860,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[10002, 10005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_2001_A1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_2001_A1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10002,TP,Forest,N0,B1,Map_TP_Forest_N0_2001_B1,6251,3108,10002,1,1,55,860,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[10001, 10003, 10004, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_2001_B1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_2001_B1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
10003,TP,Forest,N0,C1,Map_TP_Forest_N0_2001_C1,6251,3108,10003,1,1,55,434,0,194,194,0,0,Map_FB_Forest_N0_1001_A1,"['', '']","[10002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",/Game/Level/Area/V1_0_0/Forest/Map_TP_Forest_N0_2001_C1,/Game/Level/PathActor/V1_0_0/Forest/Map_TP_Forest_N0_2001_C1,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]"
